	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0006364	8.923027883723346e-12	7.124742800801138e-16	PES1;RRP8;SUV39H1;NPM3;POP7;RPP38;RPP30;EXOSC2;PDCD11;EXOSC7;EXOSC6;WDR74;EMG1;RRP36;IMP4;NOC4L;REXO4;NOL6;EXOSC5;RRP7A;EXOSC1;POP5;WDR18;DDX54;MRTO4;POP4;UTP15;DDX49;EBNA1BP2;DDX10;RPF1;HELQ;PIN4	Rrna Processing	33	109	6.153993017674012	5.362372024996676	11.049487749877585
GO:0009060	2.7279445071072555e-09	4.3563470250834485e-13	NDUFS8;NDUFS4;NDUFB5;NDUFS2;NDUFS6;NDUFS3;NDUFB4;NDUFB2;NDUFA7;NDUFA10;NDUFV2;NDUFS1;NDUFV1;NDUFV3;COX10;MTFR1;SURF1;NDUFA9;NDUFA11;SDHC;SIRT3;MTFR1L;SDHB	Aerobic Respiration	23	65	3.66981234998909	6.2673504273504275	8.564164468510512
GO:0042776	5.509778723492145e-09	1.3198128529604308e-12	NDUFS8;SDHD;NDUFS4;NDUFB5;NDUFS2;NDUFS6;NDUFS3;ATP5MG;NDUFB4;NDUFB2;NDUFA7;NDUFA10;NDUFV2;SDHB;ATP5PB;NDUFS1;ATP5F1C;NDUFV1;NDUFV3;NDUFA9;NDUFA11;SDHC	Proton Motive Force-driven Mitochondrial Atp Synthesis	22	62	3.500436395374209	6.2849306529530935	8.258865842363463
GO:0006120	2.7504736090505367e-08	8.784649022837868e-12	NDUFS8;NDUFS4;NDUFB5;COQ9;NDUFS2;NDUFS6;NDUFS3;NDUFB4;NDUFB2;NDUFA7;NDUFA10;DLD;NDUFV2;NDUFS1;NDUFV1;NDUFV3;NDUFA9;NDUFAF1	Mitochondrial Electron Transport, Nadh To Ubiquinone	18	44	2.4841806676849223	7.245849802371542	7.560592517774281
GO:0032981	4.425674876949753e-08	1.766877545891789e-11	NDUFS8;NDUFS4;NDUFB5;NDUFS2;NDUFS3;NDUFB4;NDUFB2;NDUFA10;NDUFS1;NDUFA9;NDUFAF7;NDUFA11;TMEM186;FOXRED1;DMAC1;ECSIT;COA1;BCS1L;NDUFAF1;TMEM126A	Mitochondrial Respiratory Chain Complex I Assembly	20	57	3.2181431376827403	6.214763963047717	7.354020493782684
GO:0033617	4.5467133204008705e-08	2.1782401726609087e-11	SCO1;COX17;SURF1;SMIM20;COX18;COA1;COA4;COX16;BCS1L;COX19;PET117	Mitochondrial Cytochrome C Oxidase Assembly	11	15	0.8468797730744054	12.988856682769725	7.342302428089369
GO:0042273	1.193210072662943e-07	6.669171597445386e-11	PES1;RRS1;WDR74;GTF3A;WDR12;RPF2;PAK1IP1;RPL26L1;MRTO4;NIP7;EBNA1BP2;NOP16;SURF6;GTPBP4	Ribosomal Large Subunit Biogenesis	14	28	1.5808422430722233	8.856038647342995	6.923283089132075
GO:0016226	1.912840960010865e-07	1.221872219745043e-10	ABCB7;CIAO1;HSPA9;NUBP1;FXN;GLRX5;ISCU;CIAO3;NFU1;BOLA1;NFS1;ISCA2;CIAPIN1;NUBP2	Iron-sulfur Cluster Assembly	14	29	1.6373008946105172	8.550658004331167	6.7183211371661
GO:0006099	5.134026588473113e-05	3.68941546600591e-08	SDHD;IDH3B;FH;DLAT;PDHB;SDHB;DLST;SUCLG1;NNT;SUCLG2;SDHC;SDHAF2	Tricarboxylic Acid Cycle	12	30	1.6937595461488109	7.084830917874396	4.289541886502664
GO:0001682	5.50714359112578e-05	4.397272110448563e-08	POP7;RPP14;POP4;RPP38;RPP30;POP5;RPP21;RPP25L	Trna 5'-leader Removal	8	12	0.6775038184595243	11.80805152979066	4.259073599745232
GO:0009083	5.006494173750709e-05	4.397272110448563e-08	BCKDK;DLD;DBT;BCKDHA;BCKDHB;HIBCH;MCCC1;MCCC2	Branched-chain Amino Acid Catabolic Process	8	12	0.6775038184595243	11.80805152979066	4.300466284903457
GO:0006744	0.0005112714746416126	4.898800459676901e-07	COQ9;COQ5;PDSS2;COQ2;COQ7;COQ3;COQ6;UBIAD1	Ubiquinone Biosynthetic Process	8	15	0.8468797730744054	9.446441223832528	3.2913484371802273
GO:0000463	0.0011408640603933337	1.1842249109799855e-06	PES1;GTPBP4;WDR12;URB1;NIFK;RPF2;RPL7L1	Maturation Of Lsu-rrna From Tricistronic Rrna Transcript (ssu-rrna, 5.8s Rrna, Lsu-rrna)	7	12	0.6775038184595243	10.332045088566828	2.942766100838781
GO:0002098	0.004148653378657051	4.63758761587342e-06	MOCS3;ELP6;ELP2;CTU1;ELP5;KTI12;URM1	Trna Wobble Uridine Modification	7	14	0.7904211215361117	8.856038647342995	2.3820928491008972
GO:0000387	0.006659209720702259	7.975738247407688e-06	PRMT5;SNRPC;CLNS1A;SNRPE;SNRPG;WDR77;GEMIN7;PRMT7;LSM4	Spliceosomal Snrnp Assembly	9	26	1.467924939995636	6.131103678929766	2.176577307511795
GO:0008535	0.008931709597080867	1.141067977908766e-05	COX10;SURF1;COX15;COX18;SLC25A46	Respiratory Chain Complex Iv Assembly	5	7	0.39521056076805583	12.651483781918566	2.049065405891196
GO:0042407	0.009020358792845216	1.2244179134331576e-05	LETM1;IMMT;MICOS10;MICOS13;UQCC3;SLC25A46	Cristae Formation	6	11	0.6210451669212306	9.661133069828724	2.0447761876627357
GO:0000398	0.03350914977390193	4.816070711675461e-05	PRPF4;SNRPC;MFAP1;MAGOH;SNRPE;SNRPG;LSM3;NCBP1;CWC27;CACTIN;PRPF31;MAGOHB;SNRNP40;CRNKL1;GEMIN7;METTL14;TXNL4B;CWC15;LSM2;PPIL1;LSM5;LSM4;SNRNP35;RBM19;GCFC2	Mrna Splicing, Via Spliceosome	25	184	10.38839188304604	2.406532241125814	1.4748365913586166
GO:0006121	0.033140501642793925	5.027703059829803e-05	SDHD;SDHB;SDHC;SDHAF2	Mitochondrial Electron Transport, Succinate To Ubiquinone	4	5	0.28229325769146846	14.169661835748792	1.4796409220166091
GO:0061732	0.03148347656065423	5.027703059829803e-05	PDHX;MPC2;DLD;PDHB	Mitochondrial Acetyl-coa Biosynthetic Process From Pyruvate	4	5	0.28229325769146846	14.169661835748792	1.5019173167277613
GO:0000462	0.04038199050372751	6.771173751024255e-05	ERCC2;GTF2H5;NOL10;DHX37;UTP4;DCAF13;RRP36;WDR46	Maturation Of Ssu-rrna From Tricistronic Rrna Transcript (ssu-rrna, 5.8s Rrna, Lsu-rrna)	8	26	1.467924939995636	5.449869936826459	1.3938122776786803
GO:0007031	0.044059367140282656	7.739588606565142e-05	PEX12;PEX7;PEX10;PEX11A;PEX2;PEX3;PEX6	Peroxisome Organization	7	20	1.1291730307658738	6.199227053140097	1.355961745257357
