	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0005739	1.597678623543518e-46	8.720953185281212e-50	TMEM223;VWA8;HAX1;NDUFS8;PDHX;NME4;SDHD;COX7A2L;BCKDK;TRIM24;FANCG;NDUFS4;FIBP;RAD51C;NDUFB5;TRIAP1;LIAS;IDH3B;ABCB7;COQ9;NDUFS2;NDUFS3;ECI2;GCAT;SCO1;ATP5MG;NDUFB4;NDUFA7;LETM1;NDUFA10;MPC2;DHFR;PCCA;FH;DLD;COX6C;DLAT;PDHB;DBT;ACADM;BCKDHA;ETFA;NDUFV2;SDHB;BCKDHB;CPT2;ATP5PB;AK4;NDUFS1;PRDX3;PPIF;HSPA4;PHB1;ATP5F1C;DLST;ETFB;HSPA9;PNPLA4;ECI1;NDUFV1;SUCLG1;NDUFV3;C1QBP;NCBP1;COX10;NNT;AUH;DELE1;MTFR1;STK11;ZBTB6;FXN;BAK1;DECR1;IMMT;COX19;LRRC10;CMPK2;SLC25A30;THEM4;MICOS10;MICOS13;NAIF1;CIAPIN1;ACAD10;GPAT2;HIBCH;SFXN4;FAHD1;UQCC3;PET117;COX15;NDUFAF7;DHX32;HUWE1;CMC1;GLRX5;ATG4D;NLRX1;NUDT13;NDUFA11;PPARGC1B;MCAT;MICU2;PPM1K;TCAIM;GTPBP8;METTL13;HJURP;DDX1;FAM162A;SLC25A46;TMEM143;TMEM186;PINX1;COA7;MIEF2;FOXRED1;PGAM5;SUCLG2;FAM210A;MCCC1;SDHC;TXN2;ECSIT;UQCC2;CHCHD5;DHRS4;HINT2;BCL2L13;BCO2;COA1;TMEM126A;ISCU;SMDT1;OPA3;ACSS3;NOL6;DCTPP1;PTGES2;QTRT2;SUGCT;SLC25A19;MCCC2;GPN1;MRS2;TXNRD2;SIRT3;ABHD10;ABCB8;TMLHE;OXSM;SDHAF2;SIRT5;TEX10;COA4;COQ3;CWC15;APEX2;AK3;MSRA;NFU1;BCS1L;COQ6;NDUFAF1;BOLA1;PTRH2;NFS1;COX11;SUOX;ACSS1;ATPAF2;RTN4IP1;PCCB;HIBADH;RMDN2;SURF1;MIX23;MTFR1L;TMEM65;FECH;HIGD2A;ISCA2;TAMM41;ABHD11;DTYMK;HDHD5;NDUFA9;GATD3;UQCC1;NAXE;RPP14;LIPT1	Mitochondrion	193	1073	60.58013310058913	3.185862924393659	45.796510575496576
GO:0005759	2.6458713633848587e-36	2.888505855223645e-39	NDUFS8;PDHX;NME4;BCKDK;LIAS;IDH3B;NDUFS2;NDUFS3;NDUFA10;PCCA;PCCB;FH;DLD;DLAT;PDHB;DBT;ACADM;BCKDHA;ETFA;BCKDHB;FECH;ATP5PB;AK4;NDUFS1;PRDX3;PPIF;HIBADH;ATP5F1C;DLST;ETFB;HSPA9;ECI1;NUDT2;SUOX;SUCLG1;C1QBP;AUH;FXN;DECR1;NDUFA9;COQ5;THEM4;ACAD10;HIBCH;FAHD1;NDUFAF7;GLRX5;ATG4D;ISCA2;PARG;NUDT13;PDSS2;MCAT;NAXD;PPM1K;NAXE;FLAD1;ACOT11;MMAB;SUCLG2;MCCC1;TXN2;UQCC2;BCO2;ISCU;SMDT1;ACSS3;MCCC2;TXNRD2;ACOT13;ACSS2;SDHAF3;SIRT3;ACSS1;ABHD10;TMLHE;SDHAF2;SIRT5;COQ3;AK3;ACAD8;LIPT1;PIN4;NDUFAF1;NFS1	Mitochondrial Matrix	85	280	15.808422430722233	5.376880607315391	35.57743127410549
GO:0005654	4.26354474479828e-27	6.981787245848712e-30	AHRR;ZBTB42;TMEM250;RTCA;PES1;E2F3;PRMT5;ANKRD28;POLR1C;TRIM24;WDR46;FANCG;SOX12;HDAC3;NUP42;RRP8;PRPF4;ZNHIT1;LYRM1;SUV39H1;RAD51C;NDUFB5;BUD23;TRIAP1;DYRK3;ORC5;ZNF500;CDC14B;NDUFS2;GMNN;GCAT;SURF6;WDHD1;POP7;RAD17;KDM4B;RPP14;NDUFB4;SMC2;PSMG1;CPSF4;POP4;SNAP29;WIZ;MBD3;HAND1;ZBED1;CHEK2;SNRPC;CHTF8;MYB;AR;PDHB;UBL4A;GTF2F2;UCHL3;GCFC2;ERCC2;SDHB;BCKDHB;OSBP;CPT2;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB5;CCND2;HOXA13;HOXC8;AKT2;PHB1;RPA3;DLST;NUP62;MLH1;IARS1;HTT;MASP1;POLD2;PRIM1;PRIM2;PSMB2;NR0B1;PPP5C;CLNS1A;PRKAG1;MFAP1;FOXA1;PEX3;ANAPC15;PSME3;MAGOH;WDR5;SNRPE;SNRPG;LSM3;CSNK2A1;RNF4;RPP38;RPP30;CDK6;KIF23;ZNF45;CSTF1;PPARA;FOXM1;PPID;NCBP1;FAAP100;MTAP;ITGB3BP;ATR;EXOSC2;GTF2H3;C1D;SIM2;PDCD11;MTF1;MAD2L1BP;EXOSC7;RRS1;TARBP2;MED1;STK11;NEDD8;ZBTB6;SNRNP35;DECR1;SMUG1;CMPK2;EXOSC6;SNAPC4;NOL9;LRIF1;LIN9;MICOS13;ICE2;NAIF1;TRIM68;CIAPIN1;THOC7;ELP2;SNRNP48;ALKBH2;PWWP2B;TTI2;FAAP20;MZT2B;PMF1;SFXN4;MZT2A;FAHD1;SHQ1;WDR74;UQCC3;CWC27;CYHR1;GTF2H5;COX15;CENPQ;APTX;BCDIN3D;HUWE1;TAF8;TADA2B;ATG4D;GTF2IRD2;PARG;CARM1;NCAPG2;PPARGC1B;IRF2BP1;RBM45;P3H2;MGA;ZBTB8OS;HOMEZ;KLHL7;DHX37;TMEM192;ZZZ3;REXO1;PIAS4;ASCC3;ZCCHC9;COMMD1;SIRT6;ARL14EP;BANP;POC5;HJURP;TSEN2;SETD9;NUP43;NUP37;NUP35;CDC26;NPLOC4;SETD6;WDR20;DDX54;ELP5;SH3RF2;UTP15;ZNF473;CACTIN;CHTF18;PRPF31;ATRIP;DNAJC9;DGCR8;DDX1;JADE3;GTF3A;RAD54L;DPF3;SYMPK;HOXB13;EMG1;GTF3C6;POP5;ZKSCAN4;UTP4;SYAP1;MAGOHB;AKT1S1;PINX1;COA7;ARMC5;INTS12;SNRNP40;SAAL1;RRP36;MCRS1;IMP4;DCUN1D1;GPATCH3;RITA1;PRAC1;CEP20;ZNF830;SETDB2;PSMB7;GPER1;NUP88;VRK1;NABP2;GRWD1;ECSIT;WDR77;NAA38;VPS25;NUDT22;GINS3;THAP7;CENPO;WRAP53;METTL22;WDR18;NTMT1;MLST8;NOC4L;RIOK2;REPIN1;TRAIP;GON7;PCGF6;NIFK;NUF2;GTPBP4;CRNKL1;XPO4;WDR12;REXO4;ZNF350;SPRTN;NAT10;INTS2;CSTF2T;CUEDC2;SMDT1;SUV39H2;RPP21;TUT1;NOL6;DCTPP1;RPF2;GEMIN7;NOL11;ACTR8;POLR1B;XPO5;NMRAL1;METTL14;GPN1;FANCF;EXOSC5;SMYD2;AAAS;PNO1;PHPT1;SIRT3;AP5S1;ABCB8;POT1;DCAF13;MRGBP;INTS9;PRMT7;INTS13;NLE1;POLR3B;TXNL4B;COMMD8;MIOS;TEX10;GAR1;ANAPC11;MIS18A;CWC15;IBTK;RNF7;DBF4;APEX2;POLL;APOBEC3B;TRPS1;MSRA;HACL1;MCM8;CDC23;CPSF3;NFU1;NIP7;PIN4;RUVBL1;NUDC;DRG1;RXYLT1;ZNF281;LSM2;RRP7A;EXOSC1;NOP16;PPIL1;AK6;ZNF330;RBM19;LSM5;LSM4;OARD1;GTF3C5;NFS1;TAF6L;DNMT3A;DDX49;DUSP10;ZBTB39;CDKN2AIPNL;NPM3	Nucleoplasm	362	3719	209.96972507091425	1.724058074933135	26.370229174848614
GO:0005743	3.622737457323615e-23	7.909907112060294e-26	NDUFS8;NME4;SDHD;COX7A2L;NDUFS4;NDUFB5;ABCB7;COQ9;NDUFS2;NDUFS6;NDUFS3;GCAT;ATP5MG;NDUFB4;NDUFB2;NDUFA7;LETM1;NDUFA10;MPC2;COX6C;NDUFV2;SDHB;FECH;CPT2;ATP5PB;NDUFS1;PHB1;ATP5F1C;HSPA9;NDUFV1;NDUFV3;ATP5MC2;COX10;NNT;DELE1;NDUFA9;IMMT;COQ5;SLC25A30;THEM4;MICOS10;MICOS13;TMEM65;COX15;NDUFA11;MICU2;SMIM20;TMEM186;TAMM41;FOXRED1;CCDC51;DMAC1;COQ2;SDHC;DMAC2L;COQ7;ECSIT;UQCC2;HIGD2A;COA1;TMEM126A;SMDT1;SLC25A19;MRS2;ABCB8;UQCC1;COQ3;UQCR10;COQ6;NDUFAF1;BCS1L	Mitochondrial Inner Membrane	71	297	16.768219506873226	4.234200296036045	22.440963138492958
GO:0005730	5.855923596816903e-18	1.5982324227120365e-20	PES1;COX7A2L;WDR46;FANCG;ABCC4;RRP8;SUV39H1;BUD23;URB1;CDC14B;TBCA;NPM3;SURF6;POP7;RAD17;FGF18;RPP14;ZNF202;SMC2;METTL18;POP4;HAND1;GCFC2;BCKDHB;OSBP;CPT2;CCND2;HSPA9;RPP38;CRADD;C1QBP;PPID;COX10;EXOSC2;C1D;MAD2L1BP;EXOSC7;RRS1;ZNF146;MED1;SNRNP35;GLE1;SMUG1;EXOSC6;NOL9;TRIM68;RPL7L1;CIAPIN1;ALKBH2;SHQ1;WDR74;GTF2H5;APTX;HOMEZ;KLHL7;DHX37;ZZZ3;ZCCHC9;SIRT6;ARL14EP;HJURP;TSEN2;FBXO25;DDX54;UTP15;DGCR8;EMG1;POP5;UTP4;PINX1;RRP36;MCRS1;IMP4;GPER1;TXN2;EBNA1BP2;VRK1;GRWD1;LLPH;NOL10;METTL22;WDR18;THUMPD3;NOC4L;TRAIP;GON7;NIFK;GTPBP4;WDR12;REXO4;NAT10;ZCCHC4;TUT1;NOL6;RPF2;NOL11;RPF1;EXOSC5;PNO1;ABCB8;DCAF13;NLE1;RBM28;PAK1IP1;SDHAF2;TEX10;ANAPC11;NIP7;PIN4;RRP7A;EXOSC1;NOP16;AK6;ZNF330;RBM19;OARD1;GPATCH4;PDCD11;CDKN2AIPNL;MRTO4	Nucleolus	120	860	48.55444032293258	2.471452645770138	17.232404598223106
GO:0005747	1.4476422794004576e-08	4.741186504586652e-11	NDUFS8;NDUFS4;NDUFB5;NDUFS2;NDUFS6;NDUFS3;NDUFB4;NDUFB2;NDUFA7;NDUFA10;NDUFV2;NDUFS1;NDUFV1;NDUFV3;NDUFA9;NDUFA11;FOXRED1;NDUFAF1	Mitochondrial Respiratory Chain Complex I	18	48	2.7100152738380974	6.642028985507246	7.839338741505962
GO:0005758	1.4631359787126965e-07	5.590585071500479e-10	HAX1;NME4;TRIAP1;NDUFS1;SUOX;COX17;IMMT;COX19;MIX23;THEM4;CIAPIN1;MICU2;COA7;CEP89;UQCC2;SDHAF3;SIRT5;COA4;CHCHD5	Mitochondrial Intermembrane Space	19	61	3.4439777438359154	5.5168765344103905	6.834715310197094
GO:0031305	4.1493295501929355e-06	1.811934301394295e-08	SCO1;TMEM177;UQCC3;COX18;CCDC51;COQ2;COA1;SMDT1;COX16;COX11;SFXN4;SLC25A19;MPC2	Integral Component Of Mitochondrial Inner Membrane	13	34	1.9195941523019855	6.772264847968173	5.38202207104073
GO:0005634	1.603462885903336e-05	7.877274002800232e-08	ZBTB42;TMEM250;E2F3;TXNDC9;ZNF195;PRMT5;VPS26C;ZNF646;LSM1;TRIM24;HDAC3;NUP42;TTI1;ZBTB24;PRPF4;ZNHIT1;THAP12;FIBP;SUV39H1;RAD51C;DNPH1;BUD23;SGTA;DYRK3;IDH3B;ORC5;CDC14B;FKTN;SPAG7;GMNN;GCAT;RAD17;KCNK2;SMC2;PSMG1;MPC2;METTL18;WIZ;HAND1;ZBED1;EIF2S1;FH;SNRPC;DLD;ZNF875;GLI4;MYB;AR;UMPS;PDHB;ACADM;UBL4A;ZNF35;GTF2F2;GCFC2;ERCC2;ATP5PB;PSMA1;PSMA2;PSMA3;PSMA4;CAD;PSMA5;PSMB5;CCND2;AKT2;PHB1;DLST;MLH1;HTT;POLD2;PSMB2;MEOX1;NR0B1;NUBP1;CLNS1A;PMS1;PRKAG1;MFAP1;FOXA1;EEFSEC;PSME3;MAGOH;WDR5;SNRPE;SNRPG;LSM3;CSNK2A1;RNF4;RPP30;CRADD;ZNF200;CDK6;KIF23;CREM;C1QBP;PPARA;PPID;NCBP1;ZNF763;ELP6;TCF15;AIMP2;FADD;ITGB3BP;ATR;EXOSC2;GTF2H3;C1D;ZNF268;PDCD11;KIF22;MAD2L1BP;EXOSC7;MED1;ZNF174;STK11;ZBTB6;SNRNP35;DECR1;NDUFA9;ZSWIM7;TNNI3K;LRRC10;C3orf38;MTUS2;EXOSC6;SNAPC4;RBM20;ZNF684;ZNF691;NAIF1;TRIM68;THOC7;ALKBH2;DPY19L2;SWSAP1;TTI2;ANKRD16;ZNF613;FIGNL1;WDR74;RANBP10;RPS27L;HUWE1;TAF8;GLRX5;METTL16;PARG;CARM1;CEP57;VRK2;PPARGC1B;IRF2BP1;RBM45;ZBTB8OS;CDAN1;TMEM192;PIAS4;ASCC3;CARNMT1;NOPCHAP1;RPP25L;COMMD1;METTL13;SIRT6;ZNF511;FAM98A;ZNF680;FBXO22;NUP37;RP9;NPLOC4;SETD6;ZNF564;FBXO25;DDX54;HELQ;ELP5;SH3RF2;CACTIN;PRPF31;ATRIP;ASB10;DNAJC9;THAP4;DGCR8;DDX1;EMG1;MAGOHB;INTS12;SLC7A6OS;SNRNP40;SPDL1;SAAL1;MCRS1;DCUN1D1;ZNF764;GPATCH3;RITA1;HYLS1;ZNF75A;FIZ1;SETDB2;PSMB7;GPER1;COQ7;VRK1;NABP2;GRWD1;ECSIT;WDR77;NUDT12;ZSWIM1;NAA38;VPS25;NUDT16L1;GINS3;DCUN1D5;DHRS4;MED18;MCRIP2;METTL22;NTMT1;CINP;CYREN;CHID1;NAA15;BCL2L13;GON7;PCGF6;GTPBP4;CRNKL1;REXO4;ZNF350;UBA5;SPRTN;NAT10;COMMD4;INTS2;ISCU;ZNF768;DCTPP1;PTGES2;ACTR8;ZNF408;XPO5;SLC25A19;METTL14;ACOT13;TIGAR;EXOSC5;SMYD2;AAAS;ZNF277;TENM2;INTS9;PRMT7;INTS13;MED9;SIRT5;CWC15;AKAP7;RNF7;COMMD3;ZNF282;POLL;APOBEC3B;TRPS1;MCM8;MOSPD1;ZNF180;CNOT11;NFU1;RUVBL1;DRG1;ZKSCAN5;CDIN1;ZNF281;LSM2;EXOSC1;PPIL1;RWDD3;LSM5;LSM4;N6AMT1;NUBP2;UBIAD1;NFS1;TEX264;TAF6L;DNMT3A;DUSP10;FAM120A;JMJD4;ZNF7;MTF1;TADA2B;RIOK2;ZNF330;ZNF44;NOL9;PPP5C;NUDT4;MIS18A;ZNF574;ZNF189;DYRK4;ATF7IP2;CHEK2;ZNF319;TARBP2;APEX2;ANAPC11;NEDD8;ZNF830;ZNF181;JRK;ZNF787;ZNF146;ZNF234;GTF3A;ZNF473;NKAPL;TRAIP;HSPA4;GTF2IRD2;SAC3D1;TEX10;DET1;PIN4;PWWP2B;ZNF45;ZNF433;ZNF844;IGF2BP3;SUV39H2;URM1;THAP7;CHTF18;ZNF563;RTCA;RAD54L;HOXC8;REXO1;DDX10;NCAPG2;TRIAP1;BORA;ZNF585B;SRRD;MSH5;AHRR;ZNF576;ZNF776;SYAP1;DTYMK;ZNF761;CENPQ;AK6;TRIP13;HELLS;CYHR1;FOXM1;ZNF222;ZNF418;APTX;DBF4;HOMEZ;SIRT3;LBHD1;POP7;ZNF827;ZNF526;TRMT1L;KDM4B;DDX49	Nucleus	377	5306	299.5696050621863	1.2584721334520579	4.7949410878926475
GO:0030681	3.546716742369499e-05	1.9359807545685036e-07	POP7;RPP14;POP4;RPP38;RPP30;POP5;RPP21	Multimeric Ribonuclease P Complex	7	10	0.5645865153829369	12.398454106280195	4.450173494961415
