	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0051539	7.450003645641485e-07	1.652985055611601e-10	NDUFS8;LIAS;NDUFS2;ERCC2;SDHB;PRIM2;NDUFV1;NUBP1;CIAPIN1;DPH2;TYW1;NFU1;NUBP2;NDUFS1;CIAO3;ISCA2	4 Iron, 4 Sulfur Cluster Binding	16	39	2.201887409993454	7.266493249101945	6.127843514730688
GO:0008137	9.289696774580406e-06	4.1223415906724675e-09	NDUFS8;NDUFS4;NDUFB5;NDUFS2;NDUFS6;NDUFS3;NDUFB4;NDUFB2;NDUFA7;NDUFA10;NDUFV2;NDUFS1;NDUFV1;NDUFV3;NDUFA9	Nadh Dehydrogenase (ubiquinone) Activity	15	41	2.3148047130700413	6.480028278543656	5.031998461601161
GO:0003723	7.922260263934663e-06	5.27330392540581e-09	IGF2BP3;RTCA;PES1;LSM1;WDR46;NUP42;RRP8;BUD23;URB1;EIF4E2;TBCA;NPM3;SURF6;POP7;CPSF4;EIF2S1;SNRPC;APEH;PSMA1;ATP5F1C;HSPA9;CCT3;METAP2;NR0B1;PPP5C;SUCLG1;CLNS1A;MFAP1;NDUFV3;MAGOH;SNRPE;SNRPG;LSM3;RPP30;CSTF1;NCBP1;DDX10;C1D;PDCD11;EXOSC7;RRS1;IMMT;FAM133B;EXOSC6;NOL9;GPATCH4;RBM20;RPL7L1;THOC7;RPS27L;TRMT1L;HUWE1;METTL16;PPARGC1B;RBM45;MCAT;RPUSD2;LRRC47;ASCC3;ZCCHC9;RPP25L;FAM98A;RP9;DDX54;UTP15;CACTIN;PRPF31;DDX1;EMG1;UTP4;MAGOHB;SNRNP40;RRP36;EBNA1BP2;GRWD1;NUDT16L1;LLPH;NOL10;WRAP53;NOC4L;REPIN1;NAA15;NIFK;GTPBP4;CRNKL1;REXO4;PAIP1;NAT10;CSTF2T;ZNF768;TUT1;NOL6;RPF2;NOL11;RPF1;XPO5;EXOSC5;PNO1;FARSB;DCAF13;RBM28;GAR1;FAM120A;CWC15;APOBEC3B;MRTO4;CPSF3;MCTS1;NIP7;PIN4;FARSA;LSM2;RRP7A;EXOSC1;NOP16;RBM19;LSM4;DDX49;EXOSC2;DHX37;DHX32;LSM5;RPL26L1	Rna Binding	123	1256	70.91206633209688	1.7345426013108094	5.101150894154147
GO:0005515	0.00019826163832050174	1.75958853623698e-07	ILVBL;VWA8;RCCD1;UNC119B;SAC3D1;MYH7B;AHRR;ZBTB42;TMEM250;HAX1;NDUFS8;PDHX;IGF2BP3;PES1;PEX12;PEX7;E2F3;NME4;SDHD;TXNDC9;PRMT5;BCKDK;VPS26C;ZNF646;ZBTB39;ANKRD28;LSM1;BET1;POLR1C;TRIM24;PFDN6;FANCG;INPP4B;HDAC3;ABCC4;NUP42;TTI1;RRP8;ZBTB24;PRPF4;NDUFS4;MSH5;ZNHIT1;EMC8;THAP12;SUV39H1;AKR7A2;RAD51C;DENR;DNPH1;NDUFB5;SULT1B1;BUD23;TRIAP1;SGTA;ORC5;ZNRD2;LCMT2;ZNF500;EIF4E2;PEX10;CDC14B;ABCB7;FKTN;PEX11A;COQ9;NDUFS2;TBCA;ENTPD5;SPAG7;NDUFS3;GMNN;ECI2;JRK;NPM3;TIPRL;SURF6;WDHD1;POP7;TRAPPC6A;SCO1;RAD17;ATP5MG;CIAO1;LRIG2;ERLIN2;USP19;RPP14;ZNF202;NDUFA7;LETM1;SNAPIN;SMC2;MOCS3;PSMG1;MPC2;METTL18;CPSF4;PPP1R3D;POP4;SNAP29;WIZ;GPANK1;MBD3;HAND1;ZBED1;CHEK2;F8;ADA;CA1;PCCA;PCCB;EIF2S1;EPRS1;FH;SNRPC;DLD;COX6C;GLI4;MYB;AR;DLAT;PDHB;UBL4A;BCKDHA;ZNF35;APEH;ETFA;GTF2F2;UCHL3;GCFC2;PRLR;ERCC2;NDUFV2;SDHB;BCKDHB;OSBP;FECH;CPT2;ATP5PB;ACP1;PSMA1;PSMA2;PSMA3;PSMA4;VARS1;AK4;PSMA5;PSMB5;PEX2;NDUFS1;PCSK6;PRDX3;CCND2;PPIF;HMOX2;HOXC8;AKT2;HIBADH;HSPA4;PHB1;RPA3;FBN2;ATP5F1C;DLST;NUP62;ETFB;HSPA9;MLH1;IARS1;HTT;GNPDA1;GSS;MASP1;POLD2;CCT3;PRIM1;PRIM2;PSMB2;EIF2B2;NDUFV1;MEOX1;METAP2;NUDT2;SUOX;NR0B1;PPP5C;NUBP1;SUCLG1;PGGT1B;SLC16A1;CLNS1A;PMS1;PRKAG1;MFAP1;FOXA1;NDUFV3;PEX3;ANAPC15;PSME3;MAGOH;WDR5;SNRPE;SNRPG;LSM3;KCNJ2;CSNK2A1;RNF4;RPP38;RPP30;CRADD;CXCL6;ZNF200;CDK6;KIF23;CREM;CSTF1;ATP5MC2;C1QBP;PPARA;FOXM1;PUDP;PPID;ZNF844;NCBP1;ZNF763;FAAP100;BNIP1;IFT88;MTAP;AIMP2;FADD;ITGB3BP;MYO7A;ATR;PEX6;RIN1;EXOSC2;GTF2H3;C1D;COX17;DELE1;MLEC;FZD2;PDCD11;COG2;SMCO1;KIF22;MTF1;MAD2L1BP;EXOSC7;RRS1;ZNF146;MTFR1;SURF1;TARBP2;TRIP13;MED1;STK11;NEDD8;ZBTB6;FXN;BAK1;NDUFA9;IMMT;ZNF827;ZSWIM7;LSM12;COX19;C4orf46;GLE1;SMUG1;TMEM177;CCDC93;TNNI3K;DALRD3;TMEM67;RABL3;COQ5;MTUS2;NKAPL;SLC25A30;TMEM69;NOL9;C6orf141;THEM4;ARMH3;GPATCH4;LRIF1;RBM20;MICOS10;LIN9;ZNF691;FYB2;MICOS13;WDR25;ICE2;ZNF776;NAIF1;NCBP2AS2;TRIM68;RPL7L1;CIAPIN1;SMYD5;PTRHD1;THOC7;SNRNP48;PRR5L;ALKBH2;PWWP2B;SWSAP1;CDPF1;FAAP20;MZT2B;PMF1;METTL2B;C3orf33;MZT2A;AAGAB;TMEM88;ZNF613;BORA;SHQ1;TMEM65;FIGNL1;FBXO46;WDR59;WDR74;LCLAT1;RANBP10;CERS6;CYHR1;ADAMTSL5;RNF207;GTF2H5;IKBIP;RPS27L;COX15;EIF3M;CENPQ;NDUFAF7;DET1;DHX32;APTX;TRMT1L;HAUS6;BCDIN3D;RABEPK;HUWE1;CTU1;TAF8;GLRX5;TADA2B;ISCA2;GTF2IRD2;NLRX1;RTTN;COMMD7;PARG;CARM1;NCAPG2;CEP57;VRK2;NDUFA11;PDSS2;HPS6;IRF2BP1;RBM45;NAXD;MGA;ZBTB8OS;CDAN1;KLHL7;DDX60;DHX37;ZZZ3;MICU2;LYG1;LRRC47;FAM43A;PIAS4;ASCC3;PPM1K;GTPBP8;PHETA1;CARNMT1;HDDC3;TMEM199;SMIM20;DHRSX;NOPCHAP1;RPP25L;ATPAF2;COMMD1;METTL13;SIRT6;ZNF433;PTGR2;COX18;ARL14EP;BANP;SREK1IP1;POC5;ZNF511;FAM98A;HJURP;TSEN2;NAXE;SMG8;SIMC1;C19orf18;FBXO22;FLAD1;NUP43;NUP37;NUP35;CDC26;RP9;ZNF563;NPLOC4;SLC35B2;THAP6;KLHDC4;SETD6;WDR20;ZNF564;CIP2A;FAM200A;HELQ;BLOC1S5;ELP5;EOLA1;RHBDD1;SH3RF2;UTP15;CEP192;ZNF418;ZNF526;ZNF473;NPRL2;CACTIN;CHTF18;NUDCD2;RTN4IP1;PRPF31;ATRIP;ASB10;DNAJC9;THAP4;DGCR8;POMGNT1;DDX1;JADE3;RAD54L;SYMPK;HOXB13;PEX13;EMG1;GLMN;GTF3C6;POP5;ZKSCAN4;TMEM203;UTP4;FAM162A;SYAP1;MAGOHB;RFT1;SLC25A46;TMEM143;AKT1S1;TMEM186;PINX1;COA7;TAMM41;MIEF2;ARMC5;ENTR1;INTS12;SNRNP40;VWCE;SPDL1;GNPNAT1;KTI12;CCDC51;MFSD3;DYNC2I2;MMAB;MCRS1;DTD2;CHMP6;IMP4;SLC35A4;DCUN1D1;BORCS6;C16orf74;ZNF764;CDKN2AIPNL;PGAM5;SCLY;GPATCH3;SUCLG2;METTL2A;RITA1;RMDN2;HYLS1;DNAAF10;ZNF75A;CEP20;ZNF830;GUCD1;MCCC1;WDR24;PIGS;CEP89;SETDB2;PSMB7;DDO;GPER1;MPHOSPH9;NUP88;SDHC;TXN2;COQ7;EBNA1BP2;RNF5;VRK1;FAM118B;NABP2;GRWD1;ECSIT;WDR77;DPH2;NUDT12;SPATA25;NAA38;VPS25;NUDT16L1;NUDT22;UQCC2;LLPH;GINS3;PRADC1;YIPF4;CHCHD5;HAUS8;THAP7;NAT9;DCUN1D5;URM1;TBCD;THTPA;CENPO;MED18;MSTO1;WRAP53;MCRIP2;METTL22;C1orf50;WDR18;THUMPD3;EMC6;NTMT1;ZNF747;MLST8;NOC4L;ALG8;RIOK2;CINP;YJU2;TRAIP;CYREN;CHID1;C1QTNF6;NAA15;BCL2L13;GON7;PCGF6;NIFK;SLC29A3;NUF2;GTPBP4;CRNKL1;XPO4;WDR12;REXO4;ZNF350;COA1;UBA5;MTFR1L;SPRTN;PAIP1;NAT10;COMMD4;SPATC1L;INTS2;CSTF2T;LMAN2L;ISCU;TMEM60;CUEDC2;SMDT1;ZNF768;SUV39H2;ZNF576;RPP21;ASB7;TUT1;CIAO3;ACSS3;NOL6;C19orf44;DCTPP1;RPF2;C8orf33;PTGES2;GEMIN7;NOL11;ZWILCH;QTRT2;ACTR8;ARMT1;ZNF408;COG4;JMJD4;RPF1;GPN2;POLR1B;C17orf75;XPO5;PARVB;PLGRKT;NMRAL1;MCCC2;METTL14;GPN1;TXNRD2;ZDHHC4;FANCF;ACOT13;SCUBE2;SLC52A3;TIGAR;AVEN;EXOSC5;STARD7;DYRK4;SMYD2;AAAS;PNO1;PHPT1;HELLS;FARSB;SIRT3;LYRM2;ACSS1;PDRG1;TMEM14B;ABCF3;AP5S1;ABCB8;POT1;DCAF13;NUDT15;MRGBP;INTS9;UQCC1;SLC38A7;PRMT7;INTS13;PNPO;PLEKHJ1;MED9;PAK1IP1;TXNL4B;COMMD8;SDHAF2;TMEM161A;MKS1;MIOS;TEX10;GAR1;ANAPC11;MIS18A;USE1;COQ3;NUDT4;CWC15;AKAP7;COX16;ZNF319;LARS1;KLHL13;STX18;RNF7;COMMD3;DBF4;B4GALT7;APEX2;POLL;APOBEC3B;CIDEB;TRPS1;ZNHIT2;AK3;FKBPL;MSRA;HACL1;MCM8;MOSPD1;ZNF180;CDC23;MRTO4;CPSF3;CNOT11;MCTS1;NFU1;ADAMTS5;SSR3;RPL26L1;DOLK;PLCL2;NIP7;LIPT1;PIN4;RUVBL1;NUDC;BCS1L;FARSA;DRG1;TRAPPC4;RXYLT1;ZKSCAN5;LAMTOR2;CDIN1;ZNF281;COQ6;LSM2;NDUFAF1;RRP7A;EXOSC1;EMC9;PPIL1;AK6;BOLA1;PTRH2;ZNF330;RWDD3;MMACHC;LSM5;LSM4;OARD1;N6AMT1;GTF3C5;SNX5;NUBP2;UBIAD1;NFS1;AP4B1;MAD1L1;TEX264;TAF6L;DNMT3A;COX11;DDX49;DUSP10	Protein Binding	766	11966	675.5842243072224	1.1338334621201294	3.7027613093822795
GO:0004526	0.00020659152363532054	2.2918962018562296e-07	POP7;RPP14;POP4;RPP38;RPP30;POP5;RPP21	Ribonuclease P Activity	7	10	0.5645865153829369	12.398454106280195	3.684887501373638
GO:0033204	0.00017215960302943378	2.2918962018562296e-07	POP7;RPP14;POP4;RPP38;RPP30;POP5;RPP21	Ribonuclease P Rna Binding	7	10	0.5645865153829369	12.398454106280195	3.7640687474212626
GO:0051537	0.0007459892711892349	1.1586254489293641e-06	NDUFV2;SDHB;FECH;NDUFS1;FXN;CIAPIN1;GLRX5;ISCU;ISCA2	2 Iron, 2 Sulfur Cluster Binding	9	21	1.1856316823041675	7.5908902691511395	3.127267418501619
GO:0009055	0.004576531337173919	8.123419280539461e-06	SDHD;AKR7A2;IDH3B;NDUFS2;NDUFS6;NDUFS3;ETFA;NDUFV2;SDHB;NDUFS1;ETFB;CIAPIN1;SDHC;COX11	Electron Transfer Activity	14	61	3.4439777438359154	4.0650669200918665	2.33946355951952
GO:0008757	0.0386164085012331	7.711286365899666e-05	RRP8;SUV39H1;CARNMT1;ARMT1;PRMT7;N6AMT1	S-adenosylmethionine-dependent Methyltransferase Activity	6	14	0.7904211215361117	7.5908902691511395	1.4132281200083767
GO:0000049	0.04213087899786775	9.347876413993288e-05	IARS1;EEFSEC;DALRD3;TRMT1L;DTD2;THUMPD3;XPO5;FARSA;CTU1;NAT10;ELP5	Trna Binding	11	49	2.766473925376391	3.976180617174406	1.3753994798728844
