	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0003128	7.889669981140995e-21	8.798561370738256e-25	BCKDHA;BCKDHB;SUCLG1;SUCLG1;BCS1L;BCS1L;COX10;ATPAF2;DBT;DLAT;DLD;DLD;NDUFAF1;FH;LARS1;LIPT1;COQ2;NFU1;LIAS;SLC25A19;MICOS13;NDUFA11;NDUFA11;UQCC3;NDUFA10;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFS6;NDUFS8;NDUFV2;NDUFV2;SFXN4;PCCA;PCCB;PDHB;PDHB;NAXE;SDHD;FOXRED1;FOXRED1;SURF1;ISCU;COQ9;PDHX;PDHX	Lactic Acidosis	52	166	9.372136155356753	5.5483615621907925	20.102941162616556
HP:0002151	2.1218094722995591e-19	4.732484604214473e-23	SUCLG1;BCS1L;C1QBP;NFS1;TXN2;TXN2;COX10;COX15;ATPAF2;PET117;HIBCH;DLD;NDUFAF1;LIPT1;LIPT1;COQ2;LIAS;MICOS13;NDUFA11;UQCC3;NDUFA9;NDUFA9;NDUFA10;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;SFXN4;NAXE;PNPO;PNPO;SCO1;SDHB;FOXRED1;SURF1;SURF1;SURF1;SURF1;ISCU;COQ9;PDSS2;PDSS2;PDHX	Increased Serum Lactate	48	152	8.581715033820641	5.593287566742944	18.673293616119828
HP:0001263	2.1887105438872635e-18	7.322551167237416e-22	ABCB7;ACADM;DHX37;PEX3;PEX3;CRADD;AUH;AUH;SUCLG1;SUCLG1;BCS1L;CAD;CCND2;FIBP;FIBP;CDK6;LARGE1;LARGE1;LARGE1;LARGE1;SLC25A46;TMEM67;TMEM67;TMEM67;TMEM67;TMEM67;TRIP13;TRIP13;SNAP29;SNAP29;TXN2;COG4;COG4;PIGB;POLR1C;POLR1C;COX15;MMACHC;CSNK2A1;HS2ST1;CEP57;ATPAF2;PTDSS1;ZBTB24;HIBCH;DHFR;DLAT;DLAT;DLD;RFT1;RFT1;DNMT3A;EXOSC1;FARSB;HUWE1;GMNN;NDUFAF1;NDUFAF1;COQ7;EPRS1;ERCC2;ERCC2;ERCC2;CWC27;CWC27;TRAIP;RXYLT1;FANCF;FANCG;FARSA;MBTPS2;MBTPS2;FKTN;FKTN;FKTN;TRAPPC4;POLR1B;HAX1;FH;COQ5;LARS1;UQCC2;LIPT1;LIPT1;OTUD6B;OTUD6B;PTRH2;PTRH2;AP4B1;AP4B1;FZD2;CPSF3;GON7;NFU1;KPTN;ERLIN2;HTT;HELLS;HELLS;B4GALT7;MICOS13;GTF2H5;GTF2H5;HSPA9;IARS1;COL27A1;NDUFA11;LETM1;LETM1;MGAT2;UQCC3;MYO7A;NDUFA9;NDUFA10;NDUFA10;NDUFS1;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFS8;NDUFV2;NDUFV2;PCCA;PCCA;PCCB;PCCB;PDHB;PEX6;PEX6;PEX10;PEX10;PEX12;PEX12;PEX13;PEX13;SPATA5L1;PRMT7;PRMT7;PSPH;PSPH;NCAPG2;MKS1;MKS1;MKS1;MKS1;PEX2;PEX2;PEX2;RAD51C;WRAP53;DALRD3;PNPO;PNPO;SMG8;SUGCT;HPS6;ELP2;UBA5;SDHB;SDHC;SDHD;SDHD;COG2;FOXRED1;FOXRED1;FOXRED1;NAA15;TTI2;TTI2;POMGNT1;POMGNT1;POLR3B;POLR3B;SLC16A1;SMS;ERMARD;ERMARD;KDM4B;MCCC2;SUOX;SURF1;SURF1;SURF1;HYLS1;TBCD;TBCD;MMAB;PIGN;UMPS;UMPS;VARS1;VRK1;TMEM199;EXOSC5;MCCC1;LMAN2L;LMAN2L;COQ9;UBE3B;PDHX;PDHX;AAAS	Global Developmental Delay	215	2271	128.21759764346498	1.6768369081274714	17.65981166990975
HP:0000007	1.4746866309909952e-17	6.5782831760499395e-21	ACADM;ISCA2;ADA;DHX37;PEX3;PEX3;ATIC;ATR;CRADD;AUH;FADD;BCKDHA;BCKDHB;SUCLG1;BCS1L;BCS1L;BCS1L;EIF2B2;C1QBP;CAD;NFS1;FIBP;CDK6;LARGE1;LARGE1;LARGE1;SLC25A46;SLC25A46;TMEM67;TMEM67;TMEM67;TMEM67;TMEM67;TMEM67;TRIP13;TRIP13;SNAP29;TXN2;COG4;PIGB;RTTN;POLR1C;POLR1C;COX10;COX15;CPT2;CPT2;CPT2;CPT2;MMACHC;HS2ST1;CEP57;ATPAF2;DBT;ZBTB24;PET117;LRIG2;HIBCH;DHFR;DLAT;DLD;RFT1;COQ6;EXOSC1;FARSB;NDUFAF1;SPRTN;COQ7;EPRS1;GLRX5;GLRX5;ERCC2;ERCC2;ERCC2;COX16;CWC27;TRAIP;ETFA;ETFB;RXYLT1;FANCF;FARSA;FKTN;FKTN;FKTN;FKTN;FKTN;SLC7A6OS;FECH;EMG1;TRAPPC4;HAX1;FH;MIEF2;TMEM126A;COQ5;LARS1;UQCC2;TXNRD2;FXN;LIPT1;ACAD8;OTUD6B;PPIL1;PTRH2;AP4B1;CPSF3;MCM8;GON7;CDIN1;GCNT2;PDE10A;COQ2;COQ2;NFU1;GLE1;GLE1;RRP7A;LIAS;RTN4IP1;GSS;GSS;KPTN;ERLIN2;SLC25A19;SLC25A19;HTT;HELLS;B4GALT7;MICOS13;GTF2H5;HSPA9;IARS1;COL27A1;IDH3B;NDUFA11;PIGS;MEOX1;MGAT2;MLH1;MPI;LAMTOR2;MSH5;UQCC3;MYO7A;MYO7A;NDUFA9;NDUFA10;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFS8;NDUFV2;SFXN4;DPY19L2;NUP88;NANS;PCCA;PCCB;PDHB;PEX6;PEX6;PEX6;PEX7;PEX7;PEX7;PEX10;PEX10;PEX12;PEX12;PEX13;PEX13;NUP37;SPATA5L1;SPATA5L1;ALG8;PRMT7;NAXE;PRLR;MASP1;APTX;PSPH;NCAPG2;MKS1;MKS1;MKS1;DNAAF5;PEX2;PEX2;RAD51C;RBM28;WRAP53;DALRD3;MSTO1;PNPO;SMG8;SUGCT;P3H2;ZNF408;HPS6;ELP2;UBA5;UBA5;SLC29A3;SCO1;SDHB;SDHD;COG2;FOXRED1;TTI2;DOLK;POMGNT1;POMGNT1;POMGNT1;POMGNT1;OPA3;POLR3B;POLR3B;SLC16A1;BLOC1S5;FLAD1;NAXD;MCCC2;SLC52A3;SLC52A3;CDAN1;SUOX;KLHL7;SURF1;SURF1;HYLS1;TBCD;TSEN2;EXOSC2;ISCU;MMAB;NNT;PIGN;NUP62;UMPS;VARS1;VRK1;ZBTB42;TMEM199;EXOSC5;MCCC1;LMAN2L;COQ9;COA7;PDSS2;AIMP2;DYNC2I2;UBE3B;PDHX;AAAS	Autosomal Recessive Inheritance	258	3192	180.21601571023348	1.431615270059206	16.831300256899603
HP:0002490	5.477593474483959e-16	3.0543066100613136e-19	SUCLG1;SUCLG1;TXN2;TXN2;COX10;COX15;PET117;NDUFAF1;LIPT1;SLC25A19;NDUFA11;NDUFA9;NDUFA10;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NAXE;FOXRED1;FOXRED1;SURF1;SURF1;SURF1;PDHX	Increased Csf Lactate	37	108	6.097534366135719	6.068026480586868	15.261410202520118
HP:0000648	6.579742709884458e-16	4.402638146459992e-19	ISCA2;PEX3;PEX3;PEX3;ATIC;AUH;EIF2B2;PRPF4;LARGE1;LARGE1;LARGE1;LARGE1;SLC25A46;SLC25A46;TMEM67;SNAP29;TXN2;COX15;MMACHC;PRPF31;HUWE1;EPRS1;GLRX5;GLRX5;ERCC2;ERCC2;ERCC2;RXYLT1;FKTN;FKTN;FKTN;FKTN;FKTN;FH;TMEM126A;FXN;FXN;LIPT1;SLC25A19;MICOS13;IDH3B;NDUFA11;LETM1;NDUFA9;NDUFA10;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;NDUFV2;PEX6;PEX6;PEX6;PEX6;PEX6;PEX10;PEX10;PEX10;PEX12;PEX12;PEX12;PEX13;PEX13;PEX13;ALG8;MKS1;PEX2;PEX2;PEX2;DALRD3;ZNF408;RP9;UBA5;SLC29A3;FOXRED1;FOXRED1;POMGNT1;POMGNT1;POMGNT1;POMGNT1;POMGNT1;POMGNT1;OPA3;OPA3;OPA3;OPA3;POLR3B;POLR3B;KLHL7;SURF1;SURF1;SURF1;TBCD;TBCD;NUP62;NUP62;EXOSC5;UBE3B;PDHX;AAAS;AAAS;IFT88	Optic Atrophy	109	791	44.65879336679031	2.4407287296090683	15.181791088431956
HP:0002415	7.638055440956733e-16	5.962572553440073e-19	ISCA2;POLR1C;COX15;NDUFAF1;EPRS1;GLRX5;GLRX5;LIPT1;LIAS;NDUFA11;NDUFA9;NDUFA10;NDUFS1;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;ALG8;SDHB;FOXRED1;FOXRED1;POLR3B;POLR3B;SURF1;SURF1;EXOSC5;AIMP2	Leukodystrophy	40	129	7.283166048439886	5.492116990600307	15.117017193617297
HP:0001943	4.5103621181016185e-14	4.02396531111999e-17	ACADM;ACADM;AUH;BCKDHA;BCKDHB;SUCLG1;SUCLG1;SUCLG1;BCS1L;NFS1;CPT2;MMACHC;DBT;DLD;DLD;FARSB;NDUFAF1;COX16;ETFA;ETFB;MICOS13;NDUFA11;UQCC3;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFV2;PCCA;PCCA;PCCB;PCCB;PNPO;PNPO;SCO1;FOXRED1;FOXRED1;MCCC2;MCCC2;NNT;MCCC1;MCCC1	Hypoglycemia	46	188	10.614226489199215	4.333806146572104	13.345788589035553
HP:0001250	4.519484595664292e-13	4.53611702475506e-16	ACADM;AKT2;PEX3;PEX3;PEX3;PEX3;ATIC;ATIC;ATR;CRADD;AUH;FADD;FADD;BCKDHA;BCKDHB;SUCLG1;BCS1L;EIF2B2;NFS1;CCND2;XPR1;XPR1;LARGE1;LARGE1;LARGE1;TMEM67;TMEM67;TMEM67;TRIP13;TRIP13;SNAP29;TXN2;COG4;PIGB;RTTN;RTTN;COX15;CPT2;CPT2;CPT2;CPT2;CPT2;CPT2;MMACHC;HS2ST1;CEP57;DBT;HIBCH;DLD;DLD;RFT1;RFT1;DNMT3A;DNMT3A;COQ6;FARSB;HUWE1;HUWE1;EPRS1;GLRX5;ERCC2;ERCC2;BCKDK;RXYLT1;F8;MBTPS2;MBTPS2;MBTPS2;FKTN;FKTN;FKTN;FKTN;FKTN;EMG1;TRAPPC4;TRAPPC4;HAX1;LARS1;UQCC2;LIPT1;NPRL2;OTUD6B;OTUD6B;PTRH2;AP4B1;AP4B1;CPSF3;PDE10A;COQ2;GLE1;LIAS;GSS;KPTN;KPTN;ERLIN2;ERLIN2;HTT;HTT;HTT;HTT;HTT;IARS1;IARS1;NDUFA11;KCNJ2;KIF22;LETM1;LETM1;MGAT2;MLH1;NDUFA9;NDUFA10;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NANS;PCCA;PCCB;PDHB;PEX6;PEX6;PEX6;PEX6;PEX6;PEX7;PEX10;PEX10;PEX10;PEX10;PEX12;PEX12;PEX12;PEX12;PEX13;PEX13;PEX13;PEX13;ALG8;PRMT7;PRMT7;NAXE;PMS1;PSPH;MKS1;MKS1;PEX2;PEX2;PEX2;PEX2;PNPO;TMLHE;UBA5;SDHB;SDHC;SDHD;SDHD;COG2;FOXRED1;FOXRED1;NAA15;DOLK;POMGNT1;POMGNT1;POMGNT1;POMGNT1;NAXD;SMS;ERMARD;ERMARD;KDM4B;MCCC2;SURF1;SURF1;SURF1;HYLS1;TSEN2;NNT;PIGN;PIGN;PIGN;VARS1;MCCC1;LMAN2L;COQ9;AIMP2;PDHX;PDHX;AAAS	Seizure	197	2157	121.7813113680995	1.6176537909379416	12.344911089529706
HP:0001252	1.460737819710412e-11	1.6290150771834637e-14	ABCB7;ACADM;ACADM;PEX3;PEX3;AR;ATIC;BCKDHA;BCKDHB;BCS1L;EIF2B2;NFS1;LARGE1;LARGE1;LARGE1;LARGE1;TMEM67;TMEM67;TMEM67;TMEM67;TRIP13;SNAP29;COX15;CPT2;MMACHC;MMACHC;HS2ST1;HS2ST1;CEP57;CEP57;ATPAF2;PTDSS1;PTDSS1;DBT;HIBCH;RFT1;EXOSC1;HUWE1;NDUFAF1;COQ7;ERCC2;ETFA;ETFB;RXYLT1;MBTPS2;FKTN;FKTN;FKTN;FKTN;FKTN;FKTN;FKTN;GTF2IRD2;TRAPPC4;FH;LIPT1;ACAD8;ACAD8;PPIL1;KPTN;SLC25A19;HTT;B4GALT7;B4GALT7;IARS1;NDUFA11;KIF22;LETM1;MLH1;MPI;NDUFA9;NDUFA10;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NANS;PDHB;PEX6;PEX6;PEX7;PEX10;PEX10;PEX12;PEX12;PEX12;PEX13;PEX13;PEX13;SPATA5L1;ALG8;DGCR8;PMS1;MKS1;MKS1;PEX2;PEX2;SDHD;FOXRED1;FOXRED1;DOLK;POMGNT1;POMGNT1;SMS;KDM4B;MCCC2;MCCC2;SLC52A3;SURF1;SURF1;HYLS1;TBCD;MMAB;TRPS1;TRPS1;VRK1;BUD23;MCCC1;MCCC1;AAAS	Hypotonia	132	1213	68.48434431595025	1.9274478177234549	10.835427726345513
