	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP111	2.6758644740875555e-13	3.5678192987834074e-16	NDUFS8;NDUFV2;NDUFS2;ATP5PB;ATP5MC2;NDUFS3;NDUFV1;NDUFS4;NDUFS6;COX6C;UQCR10;NDUFV3;DMAC2L;COX15;COX11;ATP5MG;SDHC;SDHB;SDHD;COX17;SURF1;COX7A2L;NDUFA10;NDUFB2;NDUFA7;NDUFA9;SCO1;NDUFS1;NDUFB4;NDUFB5;ATP5F1C	Electron Transport Chain: Oxphos System In Mitochondria	31	101	5.702323805367663	5.436380159755106	12.572535886287778
WP4324	1.124528188020259e-09	2.998741834720691e-12	NDUFV2;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS6;DMAC1;FOXRED1;ECSIT;NDUFV3;NDUFA10;NDUFB2;COA1;TMEM186;NDUFAF1;NDUFA7;NDUFAF7;NDUFS1;NDUFB4;NDUFB5	Mitochondrial Complex I Assembly Model Oxphos System	20	56	3.1616844861444466	6.325741890959283	8.949029653835977
WP623	3.2793749943417285e-09	1.3117499977366914e-11	NDUFS8;NDUFV2;NDUFA11;ATP5PB;NDUFS2;ATP5MC2;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFV3;DMAC2L;NDUFA10;NDUFB2;NDUFA7;NDUFA9;ATP5MG;NDUFS1;NDUFB4;NDUFB5	Oxidative Phosphorylation	20	60	3.3875190922976217	5.90402576489533	8.484208919206923
WP4686	6.862726394360764e-08	3.6601207436590743e-10	PCCB;MCCC2;BCKDHA;PCCA;BCKDHB;HIBCH;ACAD8;AUH;DBT;HIBADH;MCCC1;DLD	Leucine, Isoleucine And Valine Metabolism	12	23	1.298548985380755	9.241083805923125	7.163503315372478
WP4922	3.075172822173352e-07	2.0501152147822346e-09	COX16;PET117;COX15;COX11;COX19;COX18;COX17;COX10;COX6C;TMEM177;SMIM20;SURF1;CMC1	Mitochondrial Complex Iv Assembly	13	31	1.7502181976871045	7.427645317126383	6.512130472211438
WP4396	4.6032933549096054e-07	3.6826346839276842e-09	NDUFS8;NDUFV2;NDUFA11;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS6;COX6C;UQCR10;NDUFV3;PRKAG1;PPARA;SDHC;SDHB;SDHD;UQCRHL;AKT2;COX7A2L;NDUFA10;NDUFB2;BAK1;NDUFA7;NDUFA9;EIF2S1;NDUFS1;NDUFB4;NDUFB5	Nonalcoholic Fatty Liver Disease	28	149	8.41233907920576	3.3284440553772336	6.3369313478609905
WP78	1.104622669052153e-05	1.0309811577820095e-07	IDH3B;SDHC;SDHB;FH;SDHD;DLST;SUCLG1;SUCLG2;DLD	Tca Cycle (aka Krebs Or Citric Acid Cycle)	9	18	1.0162557276892865	8.856038647342995	4.956786048435138
WP5037	1.3192746162637963e-05	1.4072262573480494e-07	FLAD1;ETFA;COQ9;PDSS2;COQ7;COQ2;APTX;COQ6	Riboflavin And Coq Disorders	8	14	0.7904211215361117	10.121187025534852	4.879664793601251
WP3925	6.533769961766705e-05	7.840523954120046e-07	PDHX;FH;CAD;HIBCH;SUCLG1;FARSB;DLD;IARS1;DLST;HIBADH;VARS1;ACADM;ACSS1;EPRS1;SMS;AUH;GSS;MCCC1	Amino Acid Metabolism	18	89	5.024819986908138	3.582217879824133	4.184836160049443
WP4236	0.000613840931069936	8.184545747599147e-06	DLST;SUCLG1;PDHX;SUCLG2;FH	Krebs Cycle Disorders	5	7	0.39521056076805583	12.651483781918566	3.211944156071776
WP4920	0.0014227574509304507	2.0867109280313275e-05	SDHAF3;SDHAF2;SDHC;SDHB;SDHD	Mitochondrial Complex Ii Assembly	5	8	0.45166921230634954	11.070048309178745	2.84686913132884
WP5031	0.02964742982175575	0.000474358877148092	MCCC2;PCCB;MCCC1;PCCA	Biotin Metabolism, Including Imds	4	8	0.45166921230634954	8.856038647342995	1.5280129502798432
WP4921	0.0329134553867384	0.0005704998933701322	UQCC1;UQCR10;UQCC2;BCS1L;UQCC3	Mitochondrial Complex Iii Assembly	5	14	0.7904211215361117	6.325741890959283	1.4826265213331513
