	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0032981	4.199751786174035e-25	3.3533629720329247e-29	NDUFAF8;NDUFS8;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFS2;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB2;NDUFA10;NDUFS1;NDUFA6;NDUFA9;NDUFAF5;NDUFAF7;NDUFA11;TMEM186;FOXRED1;DMAC1;ECSIT;COA1;ACAD9;DMAC2;NDUFA12;BCS1L;NDUFAF1;TMEM126A	Mitochondrial Respiratory Chain Complex I Assembly	30	57	1.9060113462797295	15.739675452906328	24.37677637652601
GO:0009060	3.4841003192207404e-23	5.563877865251901e-27	NDUFS8;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB2;NDUFA7;NDUFA10;UQCRH;NDUFV2;NDUFS1;MDH2;NDUFV1;NDUFV3;NDUFA6;COX10;MTFR1;NDUFA9;ME3;NDUFA11;SIRT3;NDUFA12;MTFR1L;SDHB	Aerobic Respiration	30	65	2.173521710669867	13.802484627933241	22.457909348653825
GO:0042776	1.032422814065404e-22	2.473066466141977e-26	NDUFS8;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFS2;NDUFS6;NDUFB1;NDUFS3;ATP5MG;NDUFB6;NDUFB4;NDUFB2;NDUFA7;NDUFA10;ATP5PF;NDUFV2;SDHB;ATP5PB;NDUFS1;SDHA;ATP5F1C;NDUFV1;ATP5MF;NDUFV3;NDUFA6;NDUFA9;NDUFA11;NDUFA12	Proton Motive Force-driven Mitochondrial Atp Synthesis	29	62	2.0732053240235655	13.98800189443772	21.986142407156798
GO:0006120	4.432332928828991e-19	1.415628530446819e-22	NDUFS8;NDUFS4;NDUFB5;NDUFB3;NDUFC1;COQ9;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB2;NDUFA7;NDUFA10;DLD;NDUFV2;NDUFS1;NDUFV1;NDUFV3;NDUFA6;NDUFA9;NDUFAF1	Mitochondrial Electron Transport, Nadh To Ubiquinone	23	44	1.471307004145756	15.632359483909239	18.353367625598477
GO:0016226	3.3050749784182675e-10	1.3194965579759931e-13	ABCB7;CIAO1;HSPA9;NUBP1;FXN;BOLA3;GLRX5;ISCU;CIAO2A;NFU1;BOLA1;NFS1;ISCA2;CIAPIN1	Iron-sulfur Cluster Assembly	14	29	0.9697250709142483	14.437081622320976	9.480818683729337
GO:0006364	2.3769942901550103e-07	1.1387708193013464e-10	PES1;RRP8;RRP9;POP7;NOP14;RPP38;EXOSC7;EXOSC6;WDR74;WDR75;IMP4;EXOSC5;POP5;WDR18;DDX54;MDN1;UTP15;IMP3;RPF1;ESF1;BYSL	Rrna Processing	21	109	3.644828714815623	5.761587619917087	6.623971861501584
GO:0033617	4.6773465636739506e-07	2.614294629967874e-10	SCO1;COX17;SMIM20;COX18;COA1;COA4;COX16;BCS1L;COX19	Mitochondrial Cytochrome C Oxidase Assembly	9	15	0.5015819332315078	17.943230016313212	6.330000450250762
GO:0000387	5.430574416783413e-07	3.4689073246780027e-10	PRMT5;GEMIN2;SNRPC;SNRPE;SNRPG;SNRPD2;SNRPD3;TGS1;WDR77;GEMIN7;LSM4	Spliceosomal Snrnp Assembly	11	26	0.8694086842679468	12.65227757560547	6.265154230660637
GO:0006099	3.011322051062781e-06	2.1639970025203633e-09	IDH3B;CS;FH;DLAT;PDHB;SDHB;SDHA;DLST;NNT;MDH2;SDHAF2	Tricarboxylic Acid Cycle	11	30	1.0031638664630156	10.965307232191407	5.5212427956263515
GO:0007007	5.807384044174572e-06	4.637004187300041e-09	CIBAR1;OPA1;HSPA9;IMMT;MICOS10;MICOS13;GHITM;CHCHD3	Inner Mitochondrial Membrane Organization	8	14	0.4681431376827406	17.08879049172687	5.236019452983238
GO:0042273	1.8151233699163228e-05	1.5942476101149433e-08	PES1;WDR74;GTF3A;WDR12;RPF2;PAK1IP1;RPL26L1;ZNF622;NOP16;GTPBP4	Ribosomal Large Subunit Biogenesis	10	28	0.9362862753654811	10.680494057329293	4.741093851590385
GO:0042775	0.0003127424473244653	2.996574072096442e-07	NDUFS2;NDUFB6;NDUFV1;NDUFV3;COA6;NDUFA12	Mitochondrial Atp Synthesis Coupled Electron Transport	6	10	0.33438795548767186	17.943230016313212	3.504813169643862
GO:0015986	0.0005543638940886342	5.754336173069502e-07	ATP5MG;ATP5MC1;ATP5PF;ATP5PB;ATP5F1C;ATP5MC3;ATP5MF;ATP5MC2	Proton Motive Force-driven Atp Synthesis	8	23	0.7690922976216452	10.401872473225051	3.2562050632243533
