	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0005739	3.978325178946366e-64	2.171574879337536e-67	NDUFAF8;HAX1;NDUFS8;PDHX;BCKDK;UQCRQ;BCAT2;NDUFS4;NDUFB5;TRIAP1;LIAS;SLC25A20;IDH3B;OPA1;ABCB7;COQ9;NDUFS2;CS;NME6;NDUFB1;NDUFS3;ECI2;GCAT;SCO1;ATP5MG;NDUFB6;NDUFB4;NDUFA7;LETM1;NDUFA10;MPC2;ATP5MC1;UQCRH;FH;CYC1;DLD;PARP1;DLAT;PDHB;DBT;ACADM;MTHFD1;BCKDHA;ETFA;ATP5PF;NDUFV2;SDHB;CPT2;ATP5PB;AK4;NDUFS1;PRDX3;PPIF;SDHA;HSPA4;PHB1;ATP5F1C;PPP1CC;DLST;ETFB;HSPA9;MDH2;PNPLA4;ECI1;NDUFV1;ATP5MF;NDUFV3;STX17;ABCE1;C1QBP;COX10;NNT;AUH;MTFR1;FXN;BAK1;DECR1;ME3;HADH;IMMT;COX19;BOLA3;COA6;SLC25A30;THEM4;NDUFAF5;MICOS10;MICOS13;CIAPIN1;XAF1;SFXN4;FAHD1;UQCC3;HSDL2;COX15;NDUFAF7;GLRX5;NDUFA11;MCAT;MICU2;CLYBL;METTL13;CREB3L4;FAM162A;TMEM143;TMEM186;COA7;MIEF2;FOXRED1;FMC1;MCCC1;TXN2;ECSIT;UQCC2;DHRS4;TMEM70;MECR;HINT2;BCO2;COA1;TMEM126A;ISCU;GHITM;OPA3;DCTPP1;PTGES2;ACAD9;RSAD1;MCCC2;MRS2;TXNRD2;TIMMDC1;GLRX2;SIRT3;ABCB8;OXSM;SDHAF2;CHCHD3;SIRT5;COA4;COQ3;CWC15;NDUFA12;ATP5IF1;AK3;NFU1;BCS1L;COQ6;NDUFAF1;BOLA1;PTRH2;NFS1;SUOX;ACSS1;ATPAF2;PCCB;HIBADH;MIX23;MTFR1L;AK2;ECH1;FECH;ISCA2;HDHD5;NDUFA9;GATD3;COQ10A;NAXE	Mitochondrion	168	1073	35.87982762382719	4.682296742374371	63.40029972155089
GO:0005743	1.3185196993864431e-49	1.4394319862297413e-52	CIBAR1;NDUFS8;UQCRQ;NDUFS4;NDUFB5;NDUFB3;NDUFC1;SLC25A20;OPA1;ABCB7;COQ9;NDUFS2;NDUFS6;NDUFB1;NDUFS3;GCAT;ATP5MG;NDUFB6;NDUFB4;NDUFB2;NDUFA7;LETM1;NDUFA10;MPC2;ATP5MC1;UQCRH;CYC1;ATP5PF;NDUFV2;SDHB;FECH;CPT2;ATP5PB;NDUFS1;SDHA;PHB1;ATP5F1C;HSPA9;ATP5MC3;NDUFV1;ATP5MF;NDUFV3;NDUFA6;ATP5MC2;COX10;NNT;NDUFA9;IMMT;COQ5;SLC25A30;THEM4;NDUFAF5;MICOS10;MICOS13;SLC25A34;COX15;NDUFA11;MICU2;SMIM20;TMEM186;FOXRED1;CCDC51;DMAC1;COQ2;COQ10A;ECSIT;UQCC2;TMEM70;COA1;TMEM126A;ACAD9;MRS2;TIMMDC1;ABCB8;CHCHD3;COQ3;TMEM14C;UQCR10;NDUFA12;COQ6;NDUFAF1;ADCK1;BCS1L	Mitochondrial Inner Membrane	83	297	9.931322277983854	8.357396696711541	48.87991337723125
GO:0005759	3.649563196428295e-42	5.976358946116203e-45	NDUFS8;PDHX;BCKDK;BCAT2;LIAS;IDH3B;NDUFS2;CS;NDUFS3;NDUFA10;PCCB;FH;DLD;DLAT;PDHB;DBT;ACADM;BCKDHA;ETFA;FECH;ATP5PB;AK4;NDUFS1;PRDX3;PPIF;HIBADH;ATP5F1C;DLST;ETFB;HSPA9;MDH2;ECI1;SUOX;ABCE1;C1QBP;COASY;AUH;ETFDH;FXN;DECR1;NDUFA9;ME3;HADH;COQ5;THEM4;FAHD1;NDUFAF7;GLRX5;ISCA2;PARG;MCAT;NAXD;NAXE;FLAD1;MCCC1;TXN2;UQCC2;MECR;BCO2;ISCU;MCCC2;TXNRD2;ACOT13;GLRX2;SIRT3;ACSS1;SDHAF2;SIRT5;COQ3;AK3;ACAD8;NDUFAF1;NFS1;BOLA3	Mitochondrial Matrix	74	280	9.362862753654811	7.903565602423678	41.43775911163469
GO:0005747	2.8741495643735087e-20	6.275435730073162e-23	NDUFS8;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB2;NDUFA7;NDUFA10;NDUFV2;NDUFS1;NDUFV1;NDUFV3;NDUFA6;NDUFA9;NDUFA11;FOXRED1;NDUFA12;NDUFAF1	Mitochondrial Respiratory Chain Complex I	24	48	1.6050621863408248	14.952691680261012	19.541490635891417
GO:0005654	2.4376299194283358e-14	6.652920085776027e-17	TAF4;RTCA;PES1;PRMT5;GEMIN2;AURKA;SOX12;HDAC3;BCAT2;NUP42;RRP8;ZNHIT1;LYRM1;MED7;NDUFB5;TRIAP1;RRP9;ZNF500;OPA1;RAD1;NDUFS2;MED24;GMNN;GCAT;POP7;KDM4B;NDUFB6;SNUPN;NDUFB4;CPSF4;ZBED1;GPI;SNRPB2;SNRPC;PARP1;MYB;PDHB;ESRRA;GTF2F2;UCHL3;GCFC2;SDHB;MCC;CPT2;PSMA1;PSMA2;PSMA3;PSMA4;GTF2E1;AKT2;PHB1;RFC4;PSMC2;DLST;MLH1;IARS1;NOP2;MASP1;POLD2;PRIM1;CCT8;PPP5C;RARS1;PRKAG1;DRG2;MFAP1;FOXA1;PEX3;ANAPC15;MAGOH;SNRPE;SNRPG;LSM3;SNRPD2;SNRPD3;PSMC6;SUMO1;CSNK2A1;NOP14;RPP38;GLO1;CSTF1;PPARA;PPID;SKP2;MTA1;BYSL;PSMD6;EXOSC7;EFTUD2;TAF11;HMGN3;DDB1;DECR1;HADH;LARP7;COA6;EXOSC6;MICOS13;CIAPIN1;XAF1;THOC7;PWWP2B;MZT2B;TATDN1;SFXN4;MZT2A;FAHD1;ATAD2;WDR74;UQCC3;COX15;PARG;ZC3HC1;CARM1;P3H2;WDR75;ZBTB8OS;DHX37;RBIS;REXO1;SIRT6;ABCF1;NUP35;SETD6;DDX54;UTP15;CREB3L4;ZNF480;PRPF31;GTF3A;SYMPK;RAD50;UFD1;COPS5;GTF3C6;POP5;ZNF622;COA7;ANAPC16;MCRS1;IMP4;SNF8;CENPN;RBM18;TONSL;RITA1;PRMT6;CEP20;TGS1;LYSMD1;PSMB7;PSMD1;MAPKAP1;GRWD1;ECSIT;WDR77;VPS25;NUDT22;COPS4;TMEM70;WDR18;NTMT1;MLST8;GON7;NIFK;GTPBP4;WDR12;LSG1;NAT10;CUEDC2;ESF1;CIAO2A;TUT1;CCDC86;DHX33;DCTPP1;RPF2;GEMIN7;NOL11;NHEJ1;VTA1;FANCF;TIMMDC1;EXOSC5;SMYD2;PHPT1;GLRX2;SIRT3;MDN1;ABCB8;IMP3;INTS9;NLE1;TXNL4B;GAR1;RRN3;CWC15;IBTK;RNF7;MLX;DBR1;NFU1;WDR3;GINS2;RUVBL1;NOP16;AK6;ZNF330;LSM5;LSM4;OARD1;UCHL5;NFS1	Nucleoplasm	214	3719	124.35888064586516	1.7208260390297696	13.613032228229555
GO:0005730	1.9157126999780543e-11	6.274168231369173e-14	IPO5;PES1;GEMIN2;RRP8;RRP9;POP7;METTL18;PARP1;GCFC2;CPT2;SDHA;PPP1CC;HSPA9;NOP2;RARS1;SUMO1;NOP14;RPP38;C1QBP;PPID;COX10;SKP2;BYSL;CKAP5;EXOSC7;ZNF146;KNOP1;EXOSC6;RPL7L1;CIAPIN1;WDR74;WDR75;DHX37;RBIS;SIRT6;DDX54;UTP15;POP5;ZNF622;MCRS1;IMP4;PRMT6;TGS1;TXN2;GRWD1;WDR18;GON7;NIFK;GTPBP4;WDR12;NAT10;ESF1;TUT1;CCDC86;DHX33;RPF2;NOL11;RPF1;EXOSC5;SLX9;MDN1;ABCB8;IMP3;NLE1;PAK1IP1;SDHAF2;RRN3;WDR3;NOP16;AK6;ZNF330;OARD1;UCHL5;NOP9;GPATCH4	Nucleolus	75	860	28.75736417193978	2.6080276186501763	10.71766962165091
GO:0005758	2.7940227145545155e-10	1.0675850983559829e-12	HAX1;TRIAP1;OPA1;NDUFS1;SUOX;AK2;COX17;IMMT;COX19;MIX23;COA6;THEM4;CIAPIN1;MICU2;COA7;UQCC2;SIRT5;COA4	Mitochondrial Intermembrane Space	18	61	2.0397665284747983	8.824539352285186	9.553770067525493
GO:0031305	1.45461259316962e-07	6.352020057509258e-10	SCO1;ETFDH;TMEM177;UQCC3;COX18;CCDC51;COQ2;COA1;GHITM;COX16;SFXN4;MPC2	Integral Component Of Mitochondrial Inner Membrane	12	34	1.1369190486580842	10.554841186066596	6.837252656885304
GO:0000276	2.451737113444479e-05	1.2044560055131175e-07	ATP5PF;ATP5MC2;ATP5MC3;ATP5MC1;ATP5PB;ATP5MG	Mitochondrial Proton-transporting Atp Synthase Complex, Coupling Factor F(o)	6	9	0.30094915993890464	19.936922240348014	4.610526098713629
GO:0005753	2.875944978408469e-05	1.5698389620133565e-07	ATP5MG;ATP5MC1;ATP5PF;ATP5PB;ATP5F1C;ATP5MC3;ATP5MF;ATP5MC2	Mitochondrial Proton-transporting Atp Synthase Complex	8	20	0.6687759109753437	11.962153344208808	4.541219426982537
