	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0008137	9.654941381837803e-17	2.1422102023159093e-20	NDUFS8;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB2;NDUFA7;NDUFA10;NDUFV2;NDUFS1;NDUFV1;NDUFV3;NDUFA6;NDUFA9;NDUFA12	Nadh Dehydrogenase (ubiquinone) Activity	21	41	1.3709906174994546	15.317391477340546	16.015250358613915
GO:0051539	2.7457140786045926e-09	1.2184220450874607e-12	NDUFS8;LIAS;NDUFS2;SDHB;NDUFV1;NUBP1;ABCE1;ETFDH;CIAPIN1;DPH2;TYW1;NFU1;RSAD1;NDUFS1;ISCA2	4 Iron, 4 Sulfur Cluster Binding	15	39	1.3041130264019203	11.5020705232777	8.561344689440638
GO:0003723	1.4968613120258054e-08	9.96357651670161e-12	IPO5;RTCA;PES1;LSM1;NUP42;RRP8;RRP9;EIF4E2;CS;POP7;CPSF4;SNRPC;PARP1;APEH;PSMA1;ATP5F1C;PPP1CC;HSPA9;CCT6A;MDH2;NOP2;PPP5C;DRG2;MFAP1;NDUFV3;MAGOH;SNRPE;SNRPG;LSM3;SNRPD2;SNRPD3;SUMO1;NOP14;CSTF1;BYSL;EXOSC7;EFTUD2;IMMT;KNOP1;LARP7;COA6;EXOSC6;GPATCH4;UBAP2;LARP1B;RPL7L1;THOC7;NOP9;METTL16;MCAT;WDR75;RPUSD2;SELENOH;RPP25L;FAM98A;ABCF1;DDX54;UTP15;PRPF31;ZNF622;DUS3L;GRWD1;NUDT16L1;NIFK;PUS3;GTPBP4;PAIP1;NAT10;ESF1;TUT1;CCDC86;DHX33;RPF2;NOL11;RPF1;FBRSL1;EXOSC5;FARSB;IMP3;GAR1;CWC15;DBR1;MCTS1;WDR3;NOP16;LSM4;UCHL5;DHX37;RBM18;LSM5;RPL26L1	Rna Binding	91	1256	41.99912720925158	2.1667116925218983	7.824818436271583
GO:0051537	6.522619824799468e-07	5.788879365253577e-10	NDUFV2;SDHB;FECH;NDUFS1;FXN;CIAPIN1;GLRX5;GLRX2;ISCU;ISCA2	2 Iron, 2 Sulfur Cluster Binding	10	21	0.7022147065241109	14.240658743105724	6.185577933880298
GO:0030515	4.142070627716207e-06	4.595152682179063e-09	NUDT7;NOP14;NUDT16L1;NUDT4;IMP4;BYSL;RRP9;WDR3;IMP3	Snorna Binding	9	19	0.6353371154265766	14.165707907615694	5.382782500091068
GO:0009055	1.1626302740993048e-05	1.5477660627015374e-08	AKR7A2;IDH3B;NDUFS2;NDUFS6;NDUFS3;ETFA;NDUFV2;SDHB;NDUFS1;ETFB;ETFDH;CIAPIN1;GLRX2;SDHA	Electron Transfer Activity	14	61	2.0397665284747983	6.8635306073329225	4.934558372500317
GO:0005515	0.0005560907286942318	8.636865100642605e-07	ILVBL;NDUFAF8;CIBAR1;SAC3D1;HAX1;NDUFS8;TAF4;PDHX;IPO5;PES1;ACOT8;PDCD5;PRMT5;SLC30A4;BCKDK;GEMIN2;AURKA;LSM1;HDAC3;NUP42;TTI1;RRP8;NDUFS4;ZNHIT1;EMC8;AKR7A2;MED7;DENR;NDUFB5;TRIAP1;SGTA;SLC25A20;RRP9;ZNRD2;HS6ST1;ZNF500;OPA1;TBC1D4;EIF4E2;RAD1;DPM1;ABCB7;COQ9;NDUFS2;ENTPD5;SPAG7;NME6;MED24;NDUFS3;GMNN;ECI2;LYPLA1;TIPRL;POP7;SCO1;ATP5MG;CIAO1;KLHL18;NDUFB6;SNUPN;NDUFA7;LETM1;MPC2;METTL18;CPSF4;ZBED1;APBA3;PCCB;ATP5MC1;GPI;EPRS1;UQCRH;FH;HMBS;CYC1;SNRPB2;SNRPC;DLD;PARP1;MYB;DLAT;PDHB;ESRRA;MTHFD1;BCKDHA;APEH;ETFA;GTF2F2;UCHL3;GCFC2;PRLR;ATP5PF;NDUFV2;SRM;SDHB;FECH;MCC;CPT2;ATP5PB;ACP1;PSMA1;PSMA2;PSMA3;PSMA4;AK4;PEX2;NDUFS1;GTF2E1;IL12A;PRDX3;PPIF;HMOX2;SDHA;AKT2;HIBADH;HSPA4;PHB1;RFC4;PSMC2;ATP5F1C;PPP1CC;DLST;ETFB;HSPA9;CCT6A;MLH1;IARS1;ACTR1B;NOP2;ATP5MC3;MASP1;POLD2;PRIM1;NDUFV1;SEPHS1;CCT8;SUOX;PPP5C;NUBP1;SLC16A1;RARS1;PRKAG1;AK2;DRG2;MFAP1;FOXA1;NDUFV3;PEX3;STX17;ANAPC15;SEC61G;ABCE1;MAGOH;SNRPE;SNRPG;LSM3;SNRPD2;SNRPD3;PSMC6;SUMO1;CSNK2A1;RPP38;IRX4;GLO1;CSTF1;SLC18A2;ATP5MC2;PPP2R3A;C1QBP;PPARA;PPID;IFRD2;AIMP1;ECH1;COASY;CHAF1A;EIF2B5;AIMP2;SKP2;MTA1;TMED1;AAMP;ARFRP1;BYSL;CKAP5;COX17;MLEC;SMCO1;KIF22;NAA25;PSMD6;EXOSC7;EFTUD2;ZNF146;MTFR1;PPP1R7;TAF11;HMGN3;ETFDH;DDB1;FXN;BAK1;NDUFA9;IMMT;KNOP1;LSM12;ADCK5;COX19;C2CD3;LARP7;BOLA3;TMEM177;COQ5;COA6;SLC25A30;TMEM69;THEM4;ARMH3;GPATCH4;UBAP2;NDUFAF5;MICOS10;MICOS13;LARP1B;ZNF776;NCBP2AS2;RPL7L1;CIAPIN1;SMYD5;XAF1;THOC7;PWWP2B;CDPF1;MZT2B;TATDN1;METTL2B;MZT2A;C16orf87;DCUN1D2;FBXO46;WDR59;ATAD2;WDR74;COX15;EIF3M;MIGA2;NDUFAF7;COMMD6;CEACAM19;RABEPK;GLRX5;DPP9;ISCA2;COMMD7;PARG;PPFIBP1;ZC3HC1;CARM1;VRK2;NDUFA11;NAXD;ZBTB8OS;DHX37;MICU2;LSMEM2;LYG1;FAM43A;PHETA1;CARNMT1;TMEM199;SMIM20;RPP25L;ATPAF2;JAGN1;FITM2;METTL13;SIRT6;COX18;FAM98A;NAXE;ABCF1;FLAD1;NUP35;SETD6;UTP15;IPO4;CREB3L4;ZNF480;TNFAIP8L1;PRPF31;POMGNT1;SYMPK;RAD50;UFD1;COPS5;GTF3C6;POP5;ZNF622;TMEM203;FAM162A;TMEM143;TMEM186;COA7;MIEF2;ANAPC16;SPDL1;KTI12;CCDC51;SMIM12;DYNC2I2;MCRS1;DTD2;IMP4;DUS3L;SLC35A4;SNF8;ZNF764;TONSL;NTAQ1;FMC1;PPP1R16A;TMEM101;METTL2A;RITA1;PRMT6;CCDC43;CEP20;GUCD1;MCCC1;TGS1;LYSMD1;PSMB7;PSMD1;DDO;TXN2;RNF5;ARPC5L;MAPKAP1;GRWD1;ECSIT;WDR77;DPH2;VPS25;NUDT16L1;NUDT22;UQCC2;PRADC1;COPS4;DCUN1D5;URM1;TMEM70;MED18;MCRIP2;WDR18;EMC6;NTMT1;MLST8;ALG8;TMEM147;C1QTNF6;GON7;DGCR6L;NIFK;GTPBP4;WDR12;COA1;MTFR1L;PAIP1;NAT10;WWP1;ISCU;GHITM;CUEDC2;RABEP2;CIAO2A;ASB7;TUT1;CCDC86;DHX33;DCTPP1;RPF2;PTGES2;GEMIN7;ACAD9;NOL11;ARMT1;ZNF408;NHEJ1;RPF1;C17orf75;ZNF286A;MCCC2;TXNRD2;VTA1;CCNB1IP1;CD320;FANCF;ACOT13;TIMMDC1;AVEN;EXOSC5;STARD7;SMYD2;PHPT1;GLRX2;FARSB;SLX9;SIRT3;MDN1;ACSS1;TMEM14B;BLOC1S4;ABCF3;ABCB8;IMP3;NUDT15;INTS9;PLEKHJ1;PAK1IP1;TXNL4B;SDHAF2;CHCHD3;PAQR5;GAR1;COQ3;NUDT4;CWC15;COX16;TMEM14C;LARS1;RNF7;COMMD3;MLX;NDUFA12;ATP5IF1;AK3;CNOT11;DNPEP;MCTS1;NFU1;RPL26L1;GINS2;RUVBL1;BCS1L;LAMTOR2;CDIN1;COQ6;NDUFAF1;EMC9;TPRKB;AK6;BOLA1;PTRH2;ZNF330;TELO2;MMACHC;LSM5;LSM4;OARD1;UCHL5;IER3IP1;NFS1;BZW2;EPN1;MAP3K4	Protein Binding	465	11966	400.12862753654815	1.1621262963933428	3.2548543455461894
GO:0034604	0.011415227798670819	2.0262219300946648e-05	PDHX;DLD;DLAT;PDHB	Pyruvate Dehydrogenase (nad+) Activity	4	6	0.2006327732926031	19.936922240348014	1.942515417444128
GO:0050660	0.011517388773505298	2.2999001322730792e-05	ACADM;ETFA;ETFDH;DUS3L;ACAD9;TXNRD2;ACAD8;DLD;SDHA;ILVBL	Flavin Adenine Dinucleotide Binding	10	57	1.9060113462797295	5.246558484302109	1.938645973152655
GO:0008168	0.04437016912498781	9.84472356889013e-05	PRMT5;NDUFAF5;CIAPIN1;NDUFAF7;METTL13;COQ5;COQ3;NTMT1	Methyltransferase Activity	8	43	1.437868208596989	5.5637922531203765	1.3529089158877052
