	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0003128	4.9102759596932036e-40	5.475940626400361e-44	BCKDHA;BCS1L;BCS1L;COX10;ATPAF2;CYC1;DBT;DLAT;DLD;DLD;NDUFAF1;TIMMDC1;FH;LARS1;COQ2;NFU1;LIAS;HADH;MICOS13;NDUFA11;NDUFA11;COA6;BOLA3;ACAD9;ACAD9;UQCC3;NDUFA6;NDUFA10;NDUFB3;NDUFB3;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFS6;NDUFS8;NDUFV2;NDUFV2;SFXN4;PCCB;PDHB;PDHB;NAXE;NDUFAF5;NDUFAF5;NDUFAF8;NDUFAF8;TMEM70;FOXRED1;FOXRED1;ISCU;COQ9;PDHX;PDHX	Lactic Acidosis	59	166	5.550840061095353	10.629021796812044	39.30889409964808
HP:0002415	4.754147089458397e-29	1.0603651364912227e-32	ISCA2;AIMP1;COX15;NDUFAF1;EPRS1;GLRX5;GLRX5;TIMMDC1;LIAS;NDUFA11;BOLA3;NDUFA6;NDUFA9;NDUFA10;NDUFB3;NDUFS1;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;ALG8;NDUFAF5;NDUFAF5;NDUFAF8;RARS1;SDHA;SDHB;FOXRED1;FOXRED1;NDUFA12;EXOSC5;AIMP2	Leukodystrophy	45	129	4.313604625790967	10.432110474600703	28.322927385680636
HP:0001639	1.3903892573001857e-28	4.651687043493428e-32	BCS1L;NFS1;COX15;ATPAF2;DLD;NDUFAF1;NDUFAF1;TIMMDC1;FANCF;TMEM126A;TXNRD2;FXN;COQ2;LIAS;HADH;HADH;MICOS13;NDUFA11;NDUFA11;COA6;BOLA3;ACAD9;ACAD9;NDUFA6;NDUFA9;NDUFA10;NDUFA10;NDUFB3;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NDUFV2;OPA1;NDUFAF5;NDUFAF5;NDUFAF8;TMEM70;TMEM70;SDHA;SDHA;SDHA;SDHB;FOXRED1;FOXRED1;FOXRED1;NDUFA12;MLX;NNT	Hypertrophic Cardiomyopathy	63	297	9.931322277983854	6.343566167383459	27.85686359641416
HP:0002151	8.54825051101103e-26	3.813204198064472e-29	BCS1L;C1QBP;NFS1;TXN2;TXN2;COX10;COX15;ATPAF2;CYC1;DLD;NDUFAF1;UQCRQ;COQ2;LIAS;MICOS13;NDUFA11;MDH2;ACAD9;UQCC3;NDUFA9;NDUFA9;NDUFA10;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;SFXN4;NAXE;NDUFAF5;TMEM70;RARS1;SCO1;SDHA;SDHA;SDHB;FOXRED1;NDUFA12;ISCU;COQ9;PDHX	Increased Serum Lactate	45	152	5.0826969234126125	8.853567442259807	25.068122759091548
HP:0002490	1.1089069316129816e-25	6.183266039996552e-29	TXN2;TXN2;COX10;COX15;NDUFAF1;TIMMDC1;NDUFA11;MDH2;NDUFA6;NDUFA9;NDUFA10;NDUFB3;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NAXE;NDUFAF5;NDUFAF5;NDUFAF5;NDUFAF8;SDHA;FOXRED1;FOXRED1;NDUFA12;PDHX	Increased Csf Lactate	39	108	3.611389919266856	10.799166213521842	24.955104901806674
HP:0001943	1.148378378965326e-23	7.684030638777692e-27	ACADM;ACADM;AUH;BCKDHA;BCS1L;SLC25A20;NFS1;CPT2;MMACHC;DBT;DLD;DLD;FARSB;NDUFAF1;COX16;ETFA;ETFB;ETFDH;TIMMDC1;MICOS13;NDUFA11;ACAD9;UQCC3;NDUFA6;NDUFA6;NDUFB3;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFV2;PCCB;PCCB;NDUFAF5;NDUFAF8;SCO1;FOXRED1;FOXRED1;MCCC2;MCCC2;NNT;MCCC1;MCCC1	Hypoglycemia	47	188	6.28649356316823	7.476345840130506	22.939914992755508
HP:0011923	9.449873176692279e-21	7.376950176965088e-24	TXN2;TXN2;NDUFAF1;TIMMDC1;TIMMDC1;MIEF2;NDUFA11;ACAD9;NDUFA6;NDUFB3;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFV2;NDUFAF5;NDUFAF5;NDUFAF8;NDUFAF8;FOXRED1;ISCU	Decreased Activity Of Mitochondrial Complex I	25	47	1.5716233907920576	15.90711880878831	20.024574019959765
HP:0002928	2.1875818445285033e-16	1.9516733306822824e-19	COX15;DLAT;GLRX5;GLRX5;NDUFA9;NDUFA10;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;PDHB;NDUFAF5;SDHA;FOXRED1;NDUFA12;PDHX;PDHX	Decreased Activity Of The Pyruvate Dehydrogenase Complex	20	37	1.2372354353043857	16.16507208676866	15.660035689637226
HP:0001298	5.157906486517837e-16	5.176888410690368e-19	DPM1;SLC25A20;COX15;CPT2;MMACHC;CYC1;DLD;NDUFAF1;NDUFAF1;COX16;TIMMDC1;COQ5;COQ2;LIAS;NDUFA11;NDUFA11;ACAD9;ACAD9;NDUFA6;NDUFA6;NDUFB3;NDUFB3;NDUFS1;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFS6;NDUFS8;NDUFV2;NDUFV2;NAXE;NDUFAF5;NDUFAF8;TMEM70;FOXRED1;NAXD;COQ9	Encephalopathy	40	199	6.65432031420467	6.011132333773271	15.287526535939346
HP:0003542	6.294564976180325e-16	7.019699984588297e-19	BCS1L;COX10;NDUFAF1;COX16;TIMMDC1;NDUFA11;NDUFA6;NDUFB3;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFS8;NDUFV2;NDUFAF5;NDUFAF8;SDHB;FOXRED1;PDHX	Increased Serum Pyruvate	21	44	1.471307004145756	14.273023876612783	15.20103427905457
