	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP111	5.557655517317016e-26	7.410207356422687e-29	NDUFS8;NDUFV2;UQCRQ;NDUFA12;NDUFS2;ATP5PB;ATP5MC1;ATP5MC2;NDUFS3;NDUFV1;ATP5MC3;NDUFS4;NDUFS6;ATP5PF;UQCR10;NDUFV3;ATP5IF1;COX15;ATP5MG;SDHA;SDHB;ATP5MF;COX17;UQCRH;NDUFA10;NDUFB1;NDUFB2;NDUFB3;NDUFA6;NDUFA7;NDUFA9;SCO1;NDUFC1;NDUFS1;NDUFB4;NDUFB5;NDUFB6;ATP5F1C	Electron Transport Chain: Oxphos System In Mitochondria	38	101	3.377318350425486	11.25153037326571	25.25510837579629
WP4324	4.3742088845098697e-26	1.1664557025359652e-28	ACAD9;NDUFV2;NDUFA12;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS6;DMAC1;FOXRED1;ECSIT;NDUFV3;TMEM70;NDUFA10;DMAC2;NDUFB1;NDUFB2;NDUFB3;COA1;TMEM186;TIMMDC1;NDUFAF1;NDUFA6;NDUFA7;NDUFAF7;NDUFC1;NDUFS1;NDUFB4;NDUFB5;NDUFB6	Mitochondrial Complex I Assembly Model Oxphos System	30	56	1.8725725507309623	16.02074108599394	25.359100481649566
WP623	7.681657416817908e-21	3.0726629667271635e-23	NDUFS8;NDUFV2;NDUFA11;ATP5PB;NDUFS2;ATP5MC1;ATP5MC2;NDUFS3;ATP5MC3;NDUFV1;NDUFS4;NDUFS6;ATP5MF;ATP5PF;NDUFV3;NDUFA10;NDUFB1;NDUFB2;NDUFA6;NDUFA7;NDUFA9;ATP5MG;NDUFC1;NDUFS1;NDUFB4;NDUFB5;NDUFB6	Oxidative Phosphorylation	27	60	2.006327732926031	13.45742251223491	20.114545065213434
WP4396	9.820698038069138e-16	5.2377056203035405e-18	NDUFS8;NDUFV2;NDUFA11;UQCRQ;NDUFA12;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS6;UQCR10;NDUFV3;PRKAG1;SDHA;PPARA;SDHB;MLX;CYC1;UQCRHL;AKT2;UQCRH;NDUFA10;NDUFB1;NDUFB2;NDUFB3;BAK1;NDUFA6;NDUFA7;NDUFA9;NDUFC1;NDUFS1;NDUFB4;NDUFB5;NDUFB6	Nonalcoholic Fatty Liver Disease	34	149	4.9823805367663105	6.824047209783548	15.00785764222247
WP4686	5.543667229318173e-07	3.695778152878782e-09	PCCB;MCCC2;BCKDHA;BCAT2;ACAD8;AUH;DBT;HIBADH;MCCC1;DLD	Leucine, Isoleucine And Valine Metabolism	10	23	0.7690922976216452	13.002340591531315	6.256202847084624
WP3925	4.70490551942417e-07	3.763924415539336e-09	PDHX;FH;FARSB;DLD;IARS1;DLST;HIBADH;MDH2;RARS1;CS;SRM;ACADM;SDHA;HADH;ACSS1;EPRS1;AUH;MCCC1	Amino Acid Metabolism	18	89	2.9760528038402794	6.048279780779735	6.327449093342935
WP78	1.2558624655507996e-05	1.1721383011807463e-07	SDHA;IDH3B;SDHB;FH;MDH2;DLST;CS;DLD	Tca Cycle (aka Krebs Or Citric Acid Cycle)	8	18	0.6018983198778093	13.291281493565343	4.901057919295398
WP4921	2.5925448344154252e-05	2.765381156709787e-07	UQCRH;UQCRQ;UQCR10;UQCC2;BCS1L;UQCC3;CYC1	Mitochondrial Complex Iii Assembly	7	14	0.4681431376827406	14.952691680261012	4.586273724361929
WP4922	0.00011033185451048757	1.3239822541258508e-06	COX16;COX15;COX19;COX18;COX17;COX10;COA6;TMEM177;SMIM20	Mitochondrial Complex Iv Assembly	9	31	1.0366026620117827	8.682208072409619	3.957299081931005
WP5220	0.00018850044855514225	2.5133393140685633e-06	PDHB;PDHX;BCKDHA;GPI;CS;DLD;CARM1;DLAT;SLC16A1;BCAT2	Metabolic Reprogramming In Pancreatic Cancer	10	42	1.4044294130482218	7.120329371552862	3.7246876120110195
WP5037	0.00043415142380652126	6.367554215828978e-06	FLAD1;ETFDH;ETFA;COQ9;COQ2;COQ6	Riboflavin And Coq Disorders	6	14	0.4681431376827406	12.816592868795153	3.362358770363284
WP2453	0.0009954195397751844	1.592671263640295e-05	SDHA;FH;DLST;CS;DLD;DLAT	Tca Cycle And Deficiency Of Pyruvate Dehydrogenase Complex (pdhc)	6	16	0.535020728780275	11.214518760195759	3.00199383844306
WP183	0.004072204959676265	7.058488596772193e-05	PSMD6;PSMC6;PSMD1;PSMC2;PSMA1;PSMA2;PSMA3;UCHL3;PSMA4;PSMB7	Proteasome Degradation	10	60	2.006327732926031	4.984230560087004	2.390170371482617
WP4317	0.011079980703539726	0.00020682630646607486	OXSM;MECR;MCAT	Mitochondrial Fatty Acid Synthesis Pathway	3	4	0.13375518219506874	22.429037520391518	1.9554609959571843
WP143	0.011313031319375175	0.00022626062638750352	ECI1;CPT2;DLD;ACADM;HADH;DECR1;SLC25A20	Fatty Acid Beta-oxidation	7	34	1.1369190486580842	6.156990691872181	1.9464210105576496
WP368	0.014739692269210214	0.0003144467684098179	ACADM;HADH;ECI1;CPT2;SLC25A20	Mitochondrial Long Chain Fatty Acid Beta-oxidation	5	17	0.5684595243290421	8.79570098838883	1.8315115834497635
WP5183	0.01468337021303428	0.0003328230581621104	PHB1;ACAD9;NDUFAF1;SIRT6;BCS1L;ECSIT	Sars-cov-2 Mitochondrial Chronic Oxidative Stress And Endothelial Dysfunction	6	26	0.8694086842679468	6.901242313966621	1.8331742511681564
