	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0006412	3.2578318492600145e-54	2.6012710390131067e-58	MRPS14;RPLP1;RPLP2;RPLP0;RPSA;RPS2;RPL35A;RPL7;RPL17;EIF2AK2;RPS4Y1;WARS1;RPS3;RPS12;RPL13;RPL10;RPL12;RPL9;RPL22;RPL4;RPS19;RPL3;RPL13A;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;SARS1;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPL7A;RPS4X;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL39;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;RPL38;RPS21;RPL24;RPL36A;RPL19;RPL18A;RPL6;EIF4G1;RPL18;MRPL28;AIMP2;PABPC4;CPEB4;MRPL51;MRPL55;MRPL10;MRPL52;MRPL41;GUF1;MRPL43;COPS5;RPL36AL;PAIP2;MRPL34;MRPL13;MRPL18;FARSB;MRPS18A;MRPL35;MRPL27;MRPS33;MRPS17;YARS2;MRPS18C;RPL36;MRPL42;EEF1A2;EEF1A1;MRRF;MRPL24;MRPS5;MRPS11;MRPL12	Translation	116	167	23.124878627683675	5.016242544128728	53.48707133525866
GO:0002181	5.288231114574544e-53	8.444955468819139e-57	RPLP1;RPLP2;RPLP0;RPSA;RPS2;RPL35A;RPL7;RPL17;RPS3;RPS12;RPL13;RPL10;RPL12;RPL9;RPL22;RPL4;RPS19;RPL3;RPL13A;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPL7A;RPS4X;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL39;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;UBA52;RPL38;RPS21;RACK1;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;RPL36	Cytoplasmic Translation	79	87	12.047092458733411	6.557598878784216	52.2766895728887
GO:0042776	8.015633398962606e-36	1.920065490010206e-39	NDUFS8;SDHD;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS6;NDUFB1;NDUFS3;ATP5PD;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;MT-ATP6;MT-ND1;MT-ND2;MT-ND3;MT-ND4L;MT-ND4;MT-ND5;MT-ND6;MT-ATP8;ATP5F1B;NDUFB7;ATP5PF;NDUFV2;SDHB;ATP5PB;ATP5F1A;NDUFS1;ATP5F1D;SDHA;ATP5F1C;ATP5PO;NDUFV1;NDUFA8;ATP5MF;NDUFV3;ATP5F1E;NDUFA6;NDUFA5;NDUFA11;NDUFB11;NDUFA13;STOML2;NDUFB9	Proton Motive Force-driven Mitochondrial Atp Synthesis	55	61	8.446811953824575	6.5113323583694696	35.09606215380822
GO:0009060	3.673793803192052e-29	1.1733611635873689e-32	NDUFS8;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;MT-ND1;MT-ND2;MT-ND3;MT-ND4L;MT-ND4;MT-ND5;MT-ND6;UQCRH;UQCRB;NDUFB7;NDUFV2;UQCRC2;NDUFS1;ATP5F1D;UQCRC1;MDH2;NDUFV1;NDUFA8;NDUFV3;NDUFA6;BLOC1S1;COX10;OXA1L;NDUFA5;ME3;NDUFA11;SIRT3;NDUFB11;NDUFA13;NDUFB9;SDHB;MT-CO3;MT-CO1	Aerobic Respiration	53	66	9.139173589383967	5.799211436531266	28.434885222730507
GO:0006120	1.0310587187924618e-26	4.116331518654031e-30	NDUFS8;NDUFA4;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;COQ9;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;MT-ND1;MT-ND2;MT-ND3;MT-ND4L;MT-ND4;MT-ND5;MT-ND6;DLD;NDUFB7;NDUFV2;NDUFS1;NDUFV1;NDUFA8;NDUFV3;NDUFA6;NDUFA5;NDUFAF1;DNAJC15;NDUFB9	Mitochondrial Electron Transport, Nadh To Ubiquinone	41	45	6.231254720034523	6.57973423364931	25.986716600942103
GO:0032543	1.2246259677606517e-23	5.866940120220306e-27	GATC;MRPS14;MRPL33;GATB;NDUFA7;DAP3;MRPL12;MRPS22;MRPS5;MRPS11;MRPS34;MRPL28;MRPL58;MRPL51;MRPL54;MRPL21;MRPL55;MRPL10;MRPL52;MRPL41;MRPL50;MRPL43;GADD45GIP1;MRPS31;GFM2;MRPL24;MRPL38;MRPS24;PTCD3;MRPL48;MRPL34;MRPL57;MRPL20;MRPL13;MRPL1;MRPS26;MRPL18;MRPL46;MRPL44;MRPL47;MRPS30;MRPL40;MRPL17;MRPS18A;AURKAIP1;MRPL22;MRPL16;MRPL39;FASTKD2;MRPL35;MRPL27;MRPS33;MRPS28;MRPS17;MRPS2;MRPS18C;MRPS23;MRPL42;LARS2	Mitochondrial Translation	59	93	12.87792642140468	4.581482924295547	22.911996535741714
GO:0032981	1.8246377391806026e-20	1.0198390429786184e-23	NDUFAF8;NDUFS8;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFC2;NDUFB10;MT-ND1;MT-ND2;MT-ND4;MT-ND5;MT-ND6;NDUFB7;NDUFS1;NDUFA8;NDUFA6;OXA1L;NDUFA5;NDUFA11;TMEM186;FOXRED1;DMAC1;ECSIT;TIMM21;DMAC2;NDUFB11;NDUFAF4;NDUFA13;NDUFAF1;NDUFB9;TMEM126A	Mitochondrial Respiratory Chain Complex I Assembly	43	59	8.169867299600819	5.263243382435475	19.738823346819373
GO:0045333	2.0177068268078255e-12	1.2888577622534818e-15	NDUFA4;UQCRQ;NDUFS4;MT-CYB;MT-CO1;MT-CO2;MT-CO3;UQCRH;CYC1;COX6C;COX8A;COX5B;COX6A1;COX4I1;COX7A2;COX6B1;UQCRB;COX7C;COX5A;UQCRC2;COX7B;NDUFS1;UQCRC1;LYRM7;SDHAF4;COX15;MTLN;UQCR10	Cellular Respiration	28	39	5.400420757363253	5.184781197247111	11.695141936587325
GO:1902600	9.592910872180252e-11	6.893660000768306e-14	COX7A2L;ATP6V0E1;ATP6V1G1;ATP6AP2;ATP5PD;MT-CYB;CYB5A;MT-CO2;MT-CO3;MT-ATP6;MT-ATP8;ATP1A1;ATP1B1;SLC25A5;ATP5MC1;ATP5F1B;UQCRH;CYC1;COX8A;COX5B;COX6A1;SLC25A4;COX4I1;COX6B1;ATP5PF;COX5A;ATP6V1B2;COX7A1;COX7B;ATP5PB;ATP5F1A;ATP6V0C;UQCRC1;ATP6V1E1;UQCRFS1;ATP5PO;ATP5MC3;ATP5MF;ATP6V0D1;SLC25A3;COX6A2;ATP5MC2;ATP6V1F;RNASEK;COX15;SLC9B2;ATP6V0E2;MFSD3;ATP6V0B;DMAC2L;UQCR10;ATP1A2	Proton Transmembrane Transport	52	122	16.89362390764915	3.07808438759284	10.018049590545154
GO:0050821	1.437313111035872e-10	1.1476470065760714e-13	PLPP3;DVL1;PFDN6;TYROBP;HIP1R;CRTAP;FLOT1;URI1;CRYAB;APOA1;APOA2;GAPDH;ATP1B1;NPM1;PFN1;HSP90AA1;HSPA1A;HSPA1B;HSPD1;CLU;LAMP1;IFI30;ATP1B2;TCP1;POLR2E;FLNA;PPIB;MT3;CALR;GRN;PFN2;PHB1;CCT6A;PEX19;BAG6;RPL5;CCT3;CCT8;CCT4;ATP1B3;STXBP1;RPS7;RPL23;RPL11;UBE2B;SUMO1;CCT2;STK4;PIN1;PTGES3;RABL3;GOLGA7;NCLN;TRIM44;COA8;PFDN5;PHB2;CCT7;PDCD10;RPAP3;RTN4;PFDN4;TREX1;PDRG1;NOP53;UXT;PFDN2;MAPK8IP3;RUVBL1;CDC37;HSP90AB1	Protein Stabilization	71	199	27.55599309526378	2.576571991237841	9.842448612810447
