	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0002151	1.2053032957734578e-37	1.3441544505112722e-41	DNAJC19;SLC25A4;SLC25A4;MRPS34;RNASEH1;LYRM7;SLC25A26;C1QBP;NFS1;COX5A;TXN2;TXN2;COX4I1;RRM2B;COX6A2;COX6B1;COX8A;COX10;COX15;PNPLA8;ATPAF2;CYC1;COX20;EARS2;PET100;PET100;PET117;HIBCH;DLD;ECHS1;ECHS1;TSFM;YARS2;NDUFA13;NDUFA13;LRPPRC;LRPPRC;NDUFAF1;COQ4;TACO1;GFM2;GFM2;TIMM50;TIMM50;MPC1;UQCRQ;GTPBP3;GOT2;LIAS;HSD17B10;COX14;NDUFA11;LDHA;MDH2;MIPEP;MRPS28;MT-ATP6;MT-CO1;MT-CO2;MT-CO3;UQCC3;MT-ND1;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4;MT-ND5;MT-ND5;MT-ND6;MT-ND6;NDUFA1;NDUFA2;NDUFA4;NDUFA8;NDUFB8;NDUFB8;NDUFB9;NDUFC2;NDUFS1;NDUFS3;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;SFXN4;OGDH;SLC25A3;PNPT1;PNPT1;NAXE;TRMT10C;TMEM70;CARS2;CARS2;NARS2;DARS2;PNPO;PNPO;TANGO2;TANGO2;MRPL12;FDX2;SCO1;SDHA;SDHA;SDHB;FOXRED1;FASTKD2;MRPS14;PUS1;NGLY1;SOD1;ISCU;TUFM;UQCRB;UQCRC2;MRPL44;MRPS22;COQ9;PDSS2;PDSS2;ISCA1;PDHX	Increased Serum Lactate	125	220	30.463911964613224	4.103215639055141	36.91890365590504
HP:0003128	3.3459843555866986e-35	7.462884700762125e-39	ALDOB;SLC25A4;SLC25A4;MRPS34;ALDH7A1;LYRM7;ATP5F1D;ATP5F1E;BCKDHB;RRM2B;RRM2B;COX6B1;COX8A;COX10;PNPLA8;ATPAF2;CYC1;EARS2;PET100;DBT;DLAT;DLD;DLD;TSFM;YARS2;YARS2;LRPPRC;LRPPRC;NDUFAF1;TIMMDC1;FH;COA8;MPC1;GFER;NFU1;GTPBP3;GTPBP3;LIAS;HSD17B10;HSD17B10;HSD17B10;HADHA;HADHB;NDUFA11;NDUFA11;BOLA3;MIPEP;NDUFAF4;MT-CO1;MT-CO1;MT-CO2;MT-CO2;MT-CO3;MT-CO3;MT-CYB;MT-CYB;UQCC3;MT-ND1;MT-ND1;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND5;MT-ND5;MT-ND6;MT-ND6;NDUFA1;NDUFA4;NDUFA6;NDUFA8;NDUFB3;NDUFB3;NDUFB9;NDUFB10;NDUFB10;NDUFS1;NDUFS1;NDUFS3;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFS6;NDUFS8;NDUFV2;NDUFV2;SFXN4;GATC;PCCA;PCCB;PDHB;PDHB;GATB;SLC25A3;SLC25A3;NAXE;NDUFB11;NDUFAF8;NDUFAF8;TRMT10C;TMEM70;TANGO2;TANGO2;SDHD;FOXRED1;FOXRED1;MRPS14;PUS1;PUS1;PMPCA;LARS2;ISCU;TUFM;COQ9;PDHX;PDHX	Lactic Acidosis	117	206	28.525299385046928	4.101622157253566	34.475476093946924
HP:0002490	5.297582165472171e-32	1.7723593728578692e-35	SLC25A4;MRPS34;TXN2;TXN2;COX4I1;COX6B1;COX8A;COX10;COX15;COX20;PET100;PET100;PET117;ECHS1;ECHS1;NDUFA13;LRPPRC;LRPPRC;NDUFAF1;TACO1;TIMMDC1;COA8;GFM2;GFM2;TIMM50;HSD17B10;COX14;NDUFA11;MDH2;NDUFAF4;MT-ATP6;MT-CO1;MT-CO2;MT-CO3;MT-ND1;MT-ND1;MT-ND1;MT-ND2;MT-ND2;MT-ND3;MT-ND3;MT-ND4;MT-ND4;MT-ND5;MT-ND5;MT-ND6;MT-ND6;NDUFA1;NDUFA2;NDUFA4;NDUFA4;NDUFA6;NDUFA8;NDUFB3;NDUFB8;NDUFB8;NDUFB9;NDUFB10;NDUFS1;NDUFS1;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;PNPT1;PNPT1;NAXE;NDUFB11;NDUFAF8;TRMT10C;NARS2;DARS2;SDHA;FOXRED1;FOXRED1;SLC13A3;PDHX	Increased Csf Lactate	85	128	17.72445787032042	4.795633278145695	31.275922298659747
HP:0001639	1.183255519344449e-31	5.278267065214449e-35	ACADVL;ACTC1;ADAR;SLC25A4;SLC25A4;SLC25A4;ATP5F1E;CAV1;AIP;AIP;NFS1;BCL7B;COX6B1;COX7B;COX15;CRYAB;ATPAF2;PET100;DES;DLD;ECHS1;YARS2;NDUFA13;LRPPRC;NDUFAF1;NDUFAF1;COQ4;BSCL2;BSCL2;EMD;TACO1;TIMMDC1;FHL1;FHL1;TMEM126A;FLNC;FOS;TXNRD2;COA8;PPA2;GLA;GTPBP3;LIAS;ATP5MK;HSD17B10;HSD17B10;HSD17B10;HADHA;HCCS;COX14;TREX1;HLA-B;NDUFA11;NDUFA11;BOLA3;LMNA;LMNA;LMNA;MIPEP;NDUFAF4;NDUFAF4;MT-ATP6;UBE2T;MT-ND1;MT-ND1;MT-ND2;MT-ND2;MT-ND3;MT-ND3;MT-ND4;MT-ND5;MT-ND6;MYBPC3;MYH6;MYH7;MYL2;MYL3;NDUFA1;NDUFA2;NDUFA2;NDUFA4;NDUFA6;NDUFB3;NDUFB8;NDUFB9;NDUFB10;NDUFS1;NDUFS1;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NDUFV2;SLC25A3;SLC25A3;NDUFB11;NDUFB11;GNPTAB;PPP1CB;CAVIN1;MAP2K2;MAP2K2;NDUFAF8;PTPN11;PTPN11;PTPN11;TMEM70;TMEM70;PYGM;RAD51C;RAF1;RAF1;RAF1;RFC2;TANGO2;SDHA;SDHA;SDHA;SDHB;SDHD;FOXRED1;FOXRED1;FOXRED1;MRAS;FASTKD2;MRPS14;STAR;TNNC1;TNNI3;TNNT2;TNNT2;TPI1;TPM1;TTR;UQCRFS1;VCL;EIF4H;MRPL44;MRPS22	Hypertrophic Cardiomyopathy	147	318	44.0342000215773	3.3383143086048617	30.92692146107062
HP:0001635	4.541226063979193e-17	2.5321880584248873e-20	DNAJC19;ACTC1;ACTC1;ACTN2;SLC25A11;ATP5F1A;SLC25A26;CAV1;CAV1;BCL7B;COL1A1;COL1A2;CCN2;DES;DES;DLST;LRPPRC;NDUFAF1;BSCL2;ENG;EPAS1;COX16;CITED2;CITED2;FH;FLNA;FLNC;FOS;PPA2;GJA1;GLA;GLA;GNA11;GTPBP3;GTPBP3;HADHA;HADHA;HADHB;HADHB;HBA1;HBA2;HLA-DRB1;HNRNPA1;HNRNPA2B1;IDS;JUP;JUP;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;MDH2;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-CYB;MT-ND1;MT-ND5;MT-ND6;MYH6;MYH6;MYH7;MYH7;MYH7;MYH7;MYH7;MYL3;NDUFB8;NPPA;PLN;NDUFB11;GNPTAB;PRKAR1A;PRKAR1A;PRKAR1A;CAVIN1;TRPM4;SDHAF2;TMEM70;RFC2;RPS19;SCO1;SDHA;SDHA;SDHB;SDHB;SDHB;SDHD;SDHD;SDHD;TUBB;SPTBN1;TF;SF3B1;TNNI3;TNNT2;TPI1;TPM1;TTR;VCL;VCP;EIF4H;PNPLA2	Congestive Heart Failure	108	264	36.55669435753587	2.9543152601197016	16.342826878214645
HP:0003198	1.125723968493334e-16	7.532445423173865e-20	ACADM;ACTA1;ACTA1;ACTC1;ACTN2;ALDOA;SLC25A4;TCAP;C1QBP;LARGE1;BCL7B;COL6A1;COL6A2;RRM2B;CPT2;CRYAB;DES;HNRNPDL;YARS2;NDUFAF1;BSCL2;EMD;KLHL41;FHL1;FLNC;CISD2;TXNRD2;ANKRD1;MGME1;GFER;HADHA;HADHB;HNRNPA1;HNRNPA2B1;TRAPPC11;TRAPPC11;NDUFA11;LAMB2;LMNA;LMNA;LMNA;LMNA;LMNA;NDUFAF4;MT-ATP6;MT-ATP6;MT-ATP6;MT-CO1;MT-CO1;MT-CO1;MT-CO2;MT-CO2;MT-CO3;MT-CO3;MT-CO3;MT-CO3;MT-CYB;MT-CYB;MT-CYB;MT-ND1;MT-ND1;MT-ND1;MT-ND1;MT-ND2;MT-ND2;MT-ND4;MT-ND4;MT-ND4;MT-ND4L;MT-ND4L;MT-ND5;MT-ND5;MT-ND5;MT-ND5;MT-ND5;MT-ND6;MT-ND6;MT-ND6;MT-ND6;MYBPC3;MYBPC3;MYH6;MYH7;NDUFB3;NEFH;PGK1;PGK1;SLC25A3;PLN;RAF1;RFC2;NARS2;SDHA;SDHD;FLAD1;PUS1;VMA21;ISCU;TNNC1;TNNI3;TNNT1;TNNT2;TPI1;TPM1;TPM2;UBA1;VCL;VCP;EIF4H;PNPLA2;PNPLA2;PABPN1	Myopathy	112	282	39.04919624554968	2.8681768325196786	15.948568086976989
HP:0003737	9.464784932780563e-16	7.388590892100361e-19	SLC25A4;RRM2B;PNPLA8;YARS2;NDUFAF1;TIMMDC1;NDUFA11;NDUFAF4;MT-ATP6;MT-ATP6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ND1;MT-ND1;MT-ND1;MT-ND2;MT-ND2;MT-ND3;MT-ND3;MT-ND4;MT-ND5;MT-ND5;MT-ND6;MT-ND6;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS1;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFS8;NDUFV2;NDUFB11;NDUFAF8;FDX2;FOXRED1;PUS1;ISCU	Mitochondrial Myopathy	44	66	9.139173589383967	4.814439683158032	15.023889250011628
HP:0008316	1.916025008451416e-15	1.7094011450441985e-18	NDUFAF1;TIMMDC1;AFG3L2;NDUFA11;NDUFAF4;MT-CO1;MT-CO2;MT-CO3;MT-ND1;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND5;MT-ND6;MYH7;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS1;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFS8;NDUFV2;NDUFB11;NDUFAF8;SDHA;FOXRED1	Abnormal Mitochondria In Muscle Tissue	32	39	5.400420757363253	5.92546422542527	14.717598826697156
HP:0002415	6.7837765739673036e-15	6.808741961158218e-18	ISCA2;ADAR;ADAR;PEX16;COX6B1;COX15;TMEM63A;PET100;ECHS1;NDUFA13;NDUFAF1;TACO1;GLRX5;GLRX5;TIMMDC1;TUBB4A;GTPBP3;LIAS;TREX1;HSPD1;SP110;NDUFA11;BOLA3;NDUFAF4;MT-ND1;MT-ND2;MT-ND3;NDUFA1;NDUFA2;NDUFA4;NDUFA6;NDUFB3;NDUFB8;NDUFB9;NDUFB10;NDUFS1;NDUFS1;NDUFS1;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;PNPT1;ALG8;PYCR2;NDUFB11;PSAP;PSAP;PSAP;NDUFAF8;SDHA;SDHB;FOXRED1;FOXRED1;SPTBN1;TUFM;EXOSC5;ISCA1;AIMP2	Leukodystrophy	67	136	18.832236487215447	3.557729324686634	14.168528464155086
HP:0011923	6.813759424848501e-15	7.598705726383964e-18	SLC25A26;TXN2;TXN2;EARS2;TSFM;NDUFAF1;TIMMDC1;TIMMDC1;MRPS23;GTPBP3;NDUFA11;NDUFAF4;MT-ND1;MT-ND2;MT-ND3;NDUFA1;NDUFA6;NDUFA8;NDUFB3;NDUFB9;NDUFB10;NDUFB10;NDUFC2;NDUFS1;NDUFS3;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFV2;GATC;MRM2;NDUFB11;NDUFAF8;NDUFAF8;CARS2;PTCD3;MRPL12;FOXRED1;ISCU	Decreased Activity Of Mitochondrial Complex I	41	61	8.446811953824575	4.853902303511787	14.166613204244106
