	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP111	2.7761751207310346e-46	3.701566827641379e-49	NDUFA1;NDUFA2;NDUFA3;COX6B1;COX6A1;NDUFS8;NDUFV2;UQCRQ;ATP5F1D;ATP5F1E;ATP5PB;ATP5MC1;ATP5MC2;NDUFS3;NDUFV1;ATP5MC3;NDUFS4;NDUFS5;NDUFS6;COX6A2;COX8A;COX7C;COX7B;COX7A2;COX7A1;COX6C;ATP5PF;UQCR10;NDUFA4;NDUFA5;NDUFV3;ATP5IF1;DMAC2L;MT-ATP6;MT-ATP8;ATP5F1A;COX15;COX11;ATP5PO;ATP5PD;COX5A;SDHA;MT-CYB;MT-CO1;MT-CO2;MT-CO3;SDHB;SDHD;ATP5MF;MT-ND5;MT-ND6;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;UQCRC2;UQCRC1;UQCRFS1;COX7A2L;UQCRH;SLC25A4;SLC25A5;SLC25A6;UQCRB;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;NDUFA6;NDUFA7;NDUFA8;SCO1;COX4I1;NDUFB10;NDUFC1;NDUFC2;NDUFS1;NDUFB4;ATP5F1B;NDUFB5;NDUFB6;NDUFB7;COX5B;ATP5F1C;NDUFB8;NDUFB9	Electron Transport Chain: Oxphos System In Mitochondria	87	101	13.985705038299708	6.2206374123972585	45.556553142119064
WP477	3.760085901720916e-45	1.0026895737922444e-47	RPS25;RPL24;RPL27;RPS27;RPL26;RPS26;RPL27A;RPS28;RPL23;RPS27A;RPL30;RPL29;RPL28;RPS29;RPS4X;FAU;RPL13A;RPS5;RPS4Y1;RPS6;RPS21;RPS24;RPS23;RPL35;RPL34;RPL3;RPL35A;RPL37A;RPL4;RPS7;RPL37;RPS9;RPL38;RPS8;RPL5;RPL36;RPL31;RPL32;RPSA;RPL10A;RPLP0;RPL7A;RPL9;RPL14;RPS15A;RPL8;RPLP1;RPL11;RPL10;RPL13;RPL12;RPL41;RPL39;RPL36A;RPL6;RPS11;RPS10;RPS13;RPL7;RPS12;RPS15;RPS14;RPL18A;RPL18;RPL21;RPS3;RPL19;RPS2;RPL22;RPS19;UBA52;RPS3A;RPS18;RPL23A;RPS20;RPLP2;RPL17;RPL15;RPS16	Cytoplasmic Ribosomal Proteins	79	88	12.18556478584529	6.483080709707122	44.42480223320605
WP623	1.061892612518045e-27	4.2475704500721804e-30	NDUFA2;NDUFA3;NDUFS8;NDUFV2;NDUFA11;ATP5F1D;ATP5F1E;ATP5PB;ATP5MC1;ATP5MC2;NDUFS3;ATP5MC3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;ATP5MF;MT-ND5;MT-ND6;ATP5PF;NDUFA4;NDUFV3;NDUFA5;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;DMAC2L;MT-ATP6;NDUFAB1;NDUFB1;NDUFB2;ATP5F1A;ATP5PO;NDUFA6;NDUFA7;NDUFA8;ATP5PD;ATP6AP2;NDUFB10;NDUFC1;NDUFC2;NDUFS1;NDUFB4;NDUFB5;ATP5F1B;NDUFB6;NDUFB7;NDUFB8;NDUFB9	Oxidative Phosphorylation	51	58	8.031394972488942	6.350079926923955	26.973919400532292
WP4324	4.658552575110291e-21	2.4845613733921553e-23	NDUFA1;NDUFA2;NDUFA3;NDUFV2;NDUFS3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;DMAC1;MT-ND5;MT-ND6;NDUFAF4;FOXRED1;ECSIT;NDUFA5;NDUFV3;MT-ND1;MT-ND2;MT-ND4;TMEM70;MT-ND4L;NDUFAB1;DMAC2;NDUFB1;NDUFB2;NDUFB3;TMEM186;TIMMDC1;NDUFAF1;NDUFA6;NDUFA7;NDUFA8;NDUFB11;NDUFB10;NDUFC1;NDUFC2;NDUFS1;NDUFA13;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9	Mitochondrial Complex I Assembly Model Oxphos System	45	56	7.754450318265184	5.803119260949414	20.331748998822373
WP4396	4.0851290225642834e-15	2.7234193483761886e-17	NDUFA1;NDUFA2;NDUFA3;COX6B1;NDUFS8;COX6A1;NDUFV2;NDUFA11;UQCRQ;CDC42;NDUFS3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;COX6A2;COX8A;COX7C;ADIPOR1;COX7B;COX7A2;COX7A1;COX6C;UQCR10;NDUFA4;NDUFV3;NDUFA5;PRKAB1;NDUFB11;COX5A;PRKAG1;SDHA;MT-CYB;MT-CO1;MT-CO2;MT-CO3;TNF;SDHB;SDHD;CYC1;XBP1;UQCRHL;JUN;UQCRC2;UQCRC1;UQCRFS1;COX7A2L;UQCRH;UQCRB;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;NDUFA6;NDUFA7;RAC1;NDUFA8;NDUFB10;COX4I1;EIF2S1;NDUFC1;NDUFC2;NDUFS1;ATF4;NDUFA13;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;COX5B;NDUFB9	Nonalcoholic Fatty Liver Disease	72	145	20.078487431222353	3.5859274881452925	14.388794222386688
WP4922	2.2126937749263718e-13	1.7701550199410974e-15	COX6B1;COX20;COA3;COX6A1;COX14;COX16;PET117;COX15;COX11;TACO1;COX19;COX5A;COX18;HIGD1A;COX10;COX8A;COX7C;COX7B;COX4I1;COX7A2;COX6C;SMIM20;NDUFA4;MT-CO1;PET100;MT-CO2;MT-CO3;COX5B	Mitochondrial Complex Iv Assembly	28	34	4.708059121803862	5.947249020371687	12.655078685965176
WP3888	7.973680857105929e-11	7.442102133298867e-13	CLTC;FLII;CSRP1;RPL10A;GIPC1;MYH11;CALR;PSMD4;ELOC;MYH9;IDH2;CTNNA1;CCN2;HSPA1A;FN1;GJA1;DNAJA1;MYL2;MAP2K2;HSP90AA1;HSPB1;CTNNB1;CAPZB;FGA;EIF2A;CNP;GAPDH;ITGB1;RAB4A;NFKBIA;NAP1L1;EWSR1;PBXIP1;FGB;CRIP2;CAV1;FOXO4;PTMA;RAC1;PTPN1;RAF1;ENG;AP2S1;COPG1;MMP2;SRPK1;STIP1;NCL;PTPN11;FGG;CDC42;MMP14;HTRA1;CFL1;CCN1;CLIC1;IGFBP7;ATP6V1E1;STAT3;MLST8;SARS1;EPS15;ANXA1;HMGB1;STAT6;SET;HBD;NR4A1;RPL13A;PRKCA;PFN1;CCT7;PGK1;YWHAE;BSG;HERPUD1;VEGFA;ALB;RPS11;VCL;EZR;SLC25A11;PPP1CA;ATF4;ALDOA;FADD;NAPA;ADAMTS1;P4HB;EIF3D;RPL5;FBXW11;MAPKAPK5;EPN1;MDM2;ARF4;RPL7;RPL18A;SDCBP;TMSB4X;RHOA;RHOC;RPL27;PRDX2;RPL26;BIN1;PAK2;FARSB;ABCF2;AP2A1;TFCP2;TFAM;ACTG1;NDRG1;EGR1;GRSF1;RACK1;PABPC1;RPLP2;RBM39;USP10;PRDX6;RPS6;APOLD1;ATP6V0D1;TPM3;TXN;TXNDC5;EIF4G2;EIF4G1;LDHA;CCDC124;MAPKAPK2;TKT;GLUD1;JUN;TMSB10;TPP1;SH3BGRL3	Vegfa-vegfr2 Signaling Pathway	139	421	58.29684971410076	2.384348394153087	10.098341150761854
WP183	1.1154850018677712e-09	1.189850668658956e-11	UBE2B;UBE2D3;UBE2D2;UBC;PSMB10;UBA1;HLA-E;PSMD2;PSMD3;PSMC3;PSMC4;PSMC5;PSMA2;UCHL1;PSMA5;PSMD13;H2AZ1;PSMD4;PSMD8;PSMD9;RPN2;PSMB4;PSMB5;PSMB6;PSMB7;UBB;RPN1;HLA-C;HLA-B;HLA-A;PSME1;PSMA6;PSMA7;PSME2;PSMB1	Proteasome Degradation	35	60	8.308339626712698	4.212634722763278	8.952536264600093
WP383	2.640950759898771e-09	3.169140911878525e-11	ACTN2;TPM2;TNNC2;TCAP;TPM1;MYBPC3;DES;ACTC1;TNNT2;ACTG1;MYL9;MYH6;MYBPC1;TNNC1;VIM;ACTA1;ACTA2;TNNI2;TNNT1;TNNI3;TPM3;TPM4;ACTN4;MYL1;MYL2;MYL3	Striated Muscle Contraction Pathway	26	38	5.261948430251375	4.94113546429377	8.578239696068202
WP411	2.0082555307190557e-06	2.677674040958741e-08	RBM39;NCBP2;CSTF2T;NONO;SNRNP70;SNRPB2;SNRPB;CLK3;CLK1;SF3B1;SNRPD2;SNRPG;TXNL4A;YBX1;PRPF8;SF3B2;SRSF9;SFPQ;U2AF2;PTBP1;SRSF5;SRSF6;SF3A2;SUPT5H;DDX1;SNU13;CPSF2;SRSF2;SRSF1;TMED10;SRSF4;SRSF3;PABPN1;HNRNPA1;LSM7;CPSF3;HNRNPA2B1;HNRNPM;HNRNPH2;HNRNPH1;HNRNPD;HNRNPC;HNRNPAB;FUS;HNRNPU;HNRNPL;HNRNPK;PCBP2;SF3B5;SRPK1	Mrna Processing	50	125	17.309040888984786	2.8886638098948194	5.6971810283195135
