	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0002181	7.182914737118794e-54	5.735319975342377e-58	RPLP1;RPLP2;RPSA;RPL35A;RPL7;RPL17;RPS3;RPL13;RPL12;RPL9;RPL22;RPL4;RPS19;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS29;RPS13;RPS11;RPL7A;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL41;RPS27A;UBA52;RPL38;RPS21;RACK1;RPL24;RPL19;RPL18A;RPL6;RPL18;RPL36;DRG1	Cytoplasmic Translation	69	87	6.762703635775164	10.203019933475318	53.14369928871338
GO:0006412	1.5908746594826972e-46	2.5405216535974086e-50	RPLP1;RPLP2;RPSA;RPL35A;RPL7;RPL17;RPS3;RPL13;RPL12;RPL9;RPL22;RPL4;RPS19;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS29;RPS13;RPS11;RPL7A;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL41;RPS27A;RPL38;RPS21;MRPS15;RPL24;RPL19;RPL18A;RPL6;EIF4G1;RPL18;AIMP1;MRPL28;PABPC4;MRPL51;MRPL10;MRPL52;MRPL41;GUF1;RPL36AL;PAIP2;MRPL18;RMND1;MRPL35;MRPL36;MRPS33;MRPS18C;RPL36;EEF1A2;HBS1L;MRPL12;MRPS7	Translation	88	167	12.981281691660373	6.77899163505051	45.79836403584012
GO:0042776	4.710521085663955e-32	1.1283586120242627e-35	NDUFS8;SDHD;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;ATP5PD;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;ATP5F1B;NDUFB7;ATP5PF;NDUFV2;ATP5PB;ATP5F1A;NDUFS1;ATP5F1D;SDHA;ATP5F1C;ATP5PO;NDUFV1;NDUFA8;ATP5MF;ATP5F1E;NDUFA6;NDUFA9;NDUFB11;NDUFA13;NDUFA12;STOML2;NDUFB9	Proton Motive Force-driven Mitochondrial Atp Synthesis	45	61	4.741665767612472	9.490335718592508	31.326931047836943
GO:0009060	1.0247924846974239e-25	3.273051691783532e-29	NDUFS8;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;UQCRH;UQCRB;NDUFB7;NDUFV2;UQCRC2;NDUFS1;ATP5F1D;UQCRC1;MDH2;NDUFV1;NDUFA8;NDUFA6;BLOC1S1;OXA1L;SURF1;NDUFA9;NDUFB11;NDUFA13;NDUFA12;NDUFB9;MTFR1L	Aerobic Respiration	42	66	5.130326896105298	8.18661283199798	24.98936406814472
GO:0006120	1.7328693233317625e-21	6.918194360155551e-25	NDUFS8;NDUFA4;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFA2;NDUFS5;COQ9;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;NDUFB7;NDUFV2;NDUFS1;NDUFV1;NDUFA8;NDUFA6;NDUFA9;NDUFAF1;NDUFB9	Mitochondrial Electron Transport, Nadh To Ubiquinone	32	45	3.49795015643543	9.148214974169173	20.76123418644692
GO:0032981	9.524083333192094e-20	4.562799425036136e-23	NDUFS8;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFC2;NDUFB10;NDUFB7;NDUFS1;NDUFA8;NDUFA6;OXA1L;NDUFA9;TMEM186;DMAC1;ECSIT;NDUFAF3;NDUFB11;NDUFA13;NDUFA12;NDUFAF1;NDUFB9;TMEM126A	Mitochondrial Respiratory Chain Complex I Assembly	35	59	4.586201316215342	7.631588233218456	19.021176813289507
GO:1902600	2.854788061367615e-11	1.5956177283274757e-14	ATP6V0E1;ATP6V1G1;SLC25A12;ATP5PD;ATP6V1G2;ATP1A1;ATP1B1;ATP5MC1;ATP5F1B;UQCRH;CYC1;COX8A;COX5B;COX6A1;SLC25A4;COX4I1;COX6B1;ATP5PF;COX5A;ATP6V1B2;ATP5PB;ATP5F1A;ATP6V0C;UQCRC1;ATP6V1E1;UQCRFS1;ATP5PO;ATP5MC3;ATP5MF;ATP6V0D1;SLC25A3;COX6A2;ATP5MC2;SURF1;ATP6V1F;ATP6V0E2;ATP6V0B;UQCR10;ATP1A2;ATP1A3	Proton Transmembrane Transport	40	122	9.483331535224943	4.217926986041115	10.544426128116948
GO:0021762	8.701301003541049e-11	5.5581609731977315e-14	NDUFS3;GLUD1;MBP;CNP;CALM1;CALM2;CALM3;HSPA5;CKB;COX6B1;ATP5PF;ATP5PB;YWHAQ;PLP1;ACTB;CDC42;RHOA;YWHAE;DYNLL1;BASP1;YWHAH;SIRT2;NDRG2	Substantia Nigra Development	23	44	3.420217930736865	6.7247176834269125	10.060415807563404
GO:0015986	1.0843909626106584e-10	7.792653036965767e-14	ATP5PD;ATP5MC1;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP6V0C;ATP5F1D;ATP5F1C;ATP5PO;ATP5MC3;ATP5MF;ATP5MJ;ATP5F1E;ATP5MC2;ATP5MK	Proton Motive Force-driven Atp Synthesis	16	21	1.6323767396698674	9.801658900895541	9.964814110516743
GO:0032543	3.1442076688699603e-10	2.510545886992942e-13	MRPL33;GATB;NDUFA7;MRPL12;MRPS35;MRPS15;MRPL28;MRPL51;MRPL21;MRPL10;MRPL52;MRPL41;GADD45GIP1;MRPL30;GFM2;MRPL20;MRPL1;MRPL18;MRPL44;MRPS30;AURKAIP1;MRPL22;MRPL16;MRPL39;MRPL35;MRPL15;MRPL36;MRPS33;MRPS28;MRPS7;MRPS18C;MRPS23;LARS2	Mitochondrial Translation	33	93	7.229096989966555	4.564885496183206	9.50248877736997
GO:0045333	3.6722152943239605e-10	3.2253567739990075e-13	NDUFA4;UQCRQ;UQCR11;NDUFS4;UQCRH;CYC1;COX6C;COX8A;COX5B;COX6A1;COX4I1;COX7A2;COX6B1;UQCRB;COX7C;COX5A;UQCRC2;NDUFS1;UQCRC1;SDHAF4;UQCR10	Cellular Respiration	21	39	3.0315568022440393	6.9271339347675225	9.435071864944668
GO:0006413	5.696165814818965e-10	5.457840129178184e-13	EIF3D;EIF3H;EIF4E2;EIF1B;EIF3G;RPS3;EIF1;RPS5;EIF3B;EIF6;EIF4A1;RPS3A;EIF4G2;EIF4G1;EIF3I;EIF3A;EIF4A2;EIF1AD;PAIP1;DHX33;EIF3K;EIF3L;EIF5B;MTIF2	Translational Initiation	24	52	4.042075736325386	5.937543372657876	9.24441737691812
GO:0000398	2.5950223854394163e-09	2.693651470034527e-12	SF3B1;SNRNP200;BCAS2;SLU7;HNRNPC;SNRNP70;SNRPC;HNRNPA1;HSPA8;SNRPB;DDX5;HNRNPA2B1;U2AF2;HNRNPH1;HNRNPM;SNU13;HNRNPK;SNRPD2;HNRNPU;SRSF1;IK;SF3B2;DDX39B;SF1;SMU1;PRPF8;CWC27;SNRNP40;ZMAT2;RBM42;SF3B5;PPIL3;PNN;GEMIN7;RALY;PRPF19;SRRM2;SF3B6;PPIL1;SRSF3;CWF19L1;SRSF6;SRSF4;SRSF5;UBL5;SRSF2;SRSF9	Mrna Splicing, Via Spliceosome	47	184	14.30272952853598	3.2860860513532266	8.585858891445241
