	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0003723	1.3417090456622377e-72	2.9769448539210953e-76	SUPT5H;IPO5;SAP18;HNRNPDL;EIF3D;EIF3H;TPD52L2;ACTN4;KIF1C;EIF4E2;EIF1B;EIF5B;EDF1;CS;SF3B1;CSDE1;SNRNP200;EIF3G;NSA2;TRUB2;GOT2;ALDOA;HLA-A;HSPB1;HMGN2;ENO1;NPM1;H1-0;DCN;PFN1;HSP90AA1;HNRNPC;HSP90AB1;SNRNP70;RPSA;SNRPC;LGALS1;CNP;HNRNPA1;PARP1;UBC;RO60;TXN;HSPD1;HSPA8;IMPDH2;XRCC5;EEF2;TPT1;PKM;HSP90B1;SNRPB;HNRNPL;EZR;H1-2;YBX3;DDX5;LGALS3;RPL35A;RPL7;RPL17;NCL;ANXA7;BTF3;CSRP1;FLNA;HNRNPA2B1;SFPQ;PPIB;RPS3;EIF4B;ATP5F1A;U2AF2;RPL13;HMGB2;PTBP1;ZFP36;APEX1;CALR;MAP4;CANX;GRN;RPL12;PEBP1;PDIA3;HNRNPH1;STIP1;RPL9;CTNNA1;RPL22;MYH9;ADD1;FUS;ATP5F1C;RPL4;SRP14;HSPA9;RPS19;CCT6A;MDH2;EIF1;RPS27;LRPPRC;RPL35;CDKN2A;MATR3;MTIF2;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;PRRC2A;RPL34;CCT3;TUFM;SRP9;RPL14;CCT4;HDGF;HNRNPM;MRPL12;SUCLG1;PSMD4;VCP;HADHB;NAP1L1;ADAR;SNU13;EIF3B;SEC61B;EIF4A1;RPS20;PSMA6;RPS3A;RPL26;RPL15;RPL27;RPL37A;HSPE1;STXBP1;RPL37;SUMO2;HNRNPK;YWHAG;RPS7;RPS8;RPS15A;RPS16;YWHAE;RPS14;RPS23;RPS13;RPS11;SNRPD2;TMSB4X;RPL7A;ETF1;CNBP;RPL23A;RPS6;RAN;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;PPIA;RPL41;RPS27A;YWHAZ;SUMO1;RPL38;RPS21;EIF5A;RACK1;YBX1;EIF4G2;MRPS35;MRPS15;SARNP;RPL24;ARF1;ERH;RPL19;SRSF3;HDLBP;CLTC;FKBP3;HNRNPU;SPTBN1;SRSF2;EWSR1;RPL18A;FKBP4;RPL6;SLC25A11;EIF4G1;PRDX1;SRSF1;SRSF4;SSRP1;BST2;ILF2;MRPL28;TARDBP;SRSF9;SRSF5;SRSF6;TRIM28;PABPC4;SF3B2;PDAP1;DDX39B;BYSL;CIRBP;EIF3A;EIF4A2;RBM39;GANAB;EXOSC7;EIF4H;PCBP1;PCBP2;SAFB;SF1;MAPRE1;ZYX;FSCN1;HNRNPUL2;UBAP2;ARL6IP4;THOC7;CAVIN1;PRPF8;ALKBH5;TRMT10C;FASTKD5;MRPL21;MRPL10;NOP9;PABPN1;KTN1;RPS19BP1;MCAT;MRPL41;SUPV3L1;CPSF7;EIF1AD;FAM98A;KMT2C;UHMK1;PNPT1;DDX1;H1-10;DDX17;ZNF622;CCDC124;SNRNP40;GFM1;SRPK1;HNRNPAB;NAP1L4;TRIR;CMSS1;LLPH;RBM42;SF3B5;NUSAP1;MRPL20;MRPL1;DDX24;PAIP1;NSRP1;CSTF2T;NUCKS1;PNN;HEATR1;ZNF768;DHX33;MRPL44;APOBEC3G;MRPS30;NGRN;NOP10;RTN4;MRPL22;NHP2;MRPL39;MRPL15;RBM27;EIF3K;PUF60;TRMT6;RALY;MCTS1;SRRM2;PA2G4;RTRAF;EIF3L;MRPS28;MRPS7;THRAP3;WBP11;SBDS;SF3B6;MRPS23;STRAP;RPL36;AICDA;RPL18;EIF3I	Rna Binding	322	1353	105.1717013701586	3.06166008351144	71.87234165224689
GO:0003735	3.908435195103801e-58	1.7343843776808523e-61	MRPL33;NDUFA7;RPLP1;RPLP2;RPSA;RPL35A;RPL7;RPL17;RPS3;RPL13;RPL12;RPL9;RPL22;RPL4;RPS19;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS29;RPS13;RPS11;RPL7A;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL41;RPS27A;UBA52;RPL38;RPS21;MRPS15;RPL24;RPL19;RPL18A;RPL6;RPL18;MRPL28;MRPL51;MRPL10;MRPL52;MRPL41;MRPL30;RPL36AL;MRPL1;MRPL18;MRPS30;MRPL35;MRPL36;MRPS33;MRPS7;MRPS18C;MRPS23;RPL36;MRPL20;MRPS35;MRPL21;MRPL22;MRPL16;MRPL15;MRPL44;MRPL12	Structural Constituent Of Ribosome	94	157	12.203959434674722	7.702418260496736	57.40799708458754
GO:0005515	2.2112803726323056e-47	1.4718972970705384e-50	VWA8;PSD;TBKBP1;UMAD1;KIF2A;PDLIM1;HAX1;AIP;APBB1;NDUFS8;SUPT5H;DFFA;CLIC1;PDHX;IPO5;SAP18;EXOC5;NDUFA4;BIN1;SDCBP;KPNA4;UBE2C;SCD;PLPP1;BHLHE40;SDHD;NDUFAB1;COPE;CTDSP2;AP3D1;DVL1;GOSR2;STX16;CDIPT;PDCD5;PSMA7;MGST3;TAX1BP3;MYL12B;HNRNPDL;ARPC3;SURF4;TCAP;ATP6V0E1;EIF3D;EIF3H;ARPC5;TAPBP;PJA2;NDUFS4;PSMD3;GPAA1;TPD52L2;RAD51C;LAMTOR5;AKAP10;TIMM44;CHMP2A;NDUFB5;ACTN4;SGTA;ENSA;NARS1;SSNA1;KIF1C;NDUFS5;PRPSAP2;GNG7;ZNF500;NUPR1;SNX3;EIF4E2;SELENOF;EIF1B;EIF5B;EDF1;CUTA;RAMP1;PFDN1;FKTN;PEX11A;COQ9;NDUFS7;NDUFS2;ATP6V1G1;PTP4A3;NDUFS3;ECI2;BANF1;SF3B1;CSDE1;SNRNP200;SLC25A12;EIF3G;GATB;ARL6IP5;BCAS2;ATP5PD;FLOT1;SNCG;ZFAND5;CDK14;CLSTN1;NDUFB6;GABARAP;NDUFA3;NDUFA7;VAMP5;OAZ2;RTN3;NDUFC2;SLU7;BRI3;AHSA1;CTDNEP1;ATP6V1G2;BAG3;GPANK1;CBX7;FAM107A;NDUFB10;CLPTM1;LDHA;GLUD1;CYB5R3;SOD1;CA1;A2M;CST3;HLA-DRB1;CRYAB;APOE;MBP;PMP2;FTL;FTH1;MT2A;RAF1;ALDOA;PRNP;OAT;CD74;S100B;TUBB4A;GAPDH;HLA-A;CAPNS1;HSPB1;GNAI2;ATP1A1;ATP1B1;APP;APOD;PCCA;HMGN2;RPLP1;RPLP2;SCG5;FABP3;ATP5MC1;PTMA;CDK1;ATP5F1B;S100A6;ENO1;GPI;NPM1;TPM3;LDHB;H1-0;CTSD;TUBB;DCN;PSAP;CTSL;PFN1;HSP90AA1;HNRNPC;UQCRH;FH;RNASE1;ANXA6;RHOC;PFKM;HSP90AB1;PDHA1;CYC1;MELTF;SNRNP70;VIM;ANXA5;RPSA;CD63;ENO2;GSTP1;SNRPC;LGALS1;SPARC;TPM1;CLTA;CLTB;CNP;HNRNPA1;COX6C;PARP1;POLA1;IFI6;UCHL1;ALDOC;H2AZ1;OST4;UBB;UBC;CALM1;CALM2;CALM3;SRGN;COX8A;HLA-C;SPP1;TXN;COX5B;PRKAR1A;HSPD1;THRA;CLU;HSPA5;HSPA8;PDHB;PYGB;LAMP1;UBL4A;ESRRA;COX6A1;COL6A2;SLC25A4;SLC25A6;IMPDH2;CKB;XRCC5;COX4I1;IFITM1;RNH1;ATP1A3;EEF2;TPT1;HLA-E;ETFA;CD59;GFAP;PRKCSH;COX7A2;ATP1B2;PKM;HSP90B1;SNRPB;HNRNPL;UQCRB;GLUL;EZR;COX7C;TIMP2;H1-2;ATP2A2;CPE;PLCG2;YBX3;RHOQ;GJA1;JUND;NDUFB7;PRKACA;DES;GAP43;DDX5;PFKL;XBP1;LGALS3;PSMC3;RPL35A;ARF4;RPL7;EGR1;RPL17;PGAM1;ATF4;ATP5PF;MYL12A;NCL;POLR2E;NDUFV2;TNNI3;SRM;ANXA7;BTF3;RAB4A;RAB5A;RAB6A;PSMB1;COX5A;PTN;ATP6V1B2;CSRP1;FLNA;PCMT1;GPX3;NME2;HNRNPA2B1;IGFBP4;UQCRC2;SFPQ;PPIB;HRC;RPS3;JAK1;CFL1;EIF4B;CPT2;KDELR1;EEF1B2;ATP5PB;IGFBP5;GRK2;BRD2;DNAJB2;ATP5F1A;MT3;PSMA3;PSMA4;NFKBIA;U2AF2;RPL13;HMGB2;PTBP1;EEF1G;ZFP36;PLN;STOM;YWHAQ;MAPK3;ATP6V0C;APEX1;CALR;MAP4;CANX;ITPKB;PSMB4;PSMB6;PSMB5;NDUFS1;POLD1;MSX1;DUSP1;GRN;AQP1;ERP29;PRDX6;PRDX5;PRDX3;ATP5F1D;RPL12;ECHS1;PEBP1;PDIA3;PPP2R1A;SRI;SDHA;GDI1;MAT2A;HOXC9;DNAJA1;UQCRC1;HNRNPH1;YWHAB;STIP1;PRDX2;RPL9;KIF5B;MCM4;GPC1;PFN2;CTNNA1;CTNNB1;PHB1;NF2;RPL22;MYH9;ACTN2;ADD1;BSG;TIMP3;FUS;MAP2K2;ATP5F1C;ATP6V1E1;RPL4;POLR2I;DLST;GPX4;SRP14;AVPR1A;TAGLN2;TALDO1;HSPA9;RPS19;DDOST;FEN1;CCT6A;PEX19;MDH1;HADHA;ID1;RGS2;PTGDS;NBL1;EIF1;ACTR1B;TMPO;RPS27;LRPPRC;CDKN2A;SLC1A3;SLC1A2;MATR3;VDAC2;USP5;BAG6;CDKN1B;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;CAPZB;UQCRFS1;ATP5PO;KCNJ6;ATP5MC3;CD151;PCP4;PSMD8;PRRC2A;MARCKSL1;MAPKAPK2;RPL34;CCT3;TUFM;CDC34;SRP9;ACADVL;TMED10;CLK1;VEGFB;HINT1;NDUFV1;IDH3A;CSRP3;ST13;PPT1;RPL14;CCT8;CCT4;ATP1A2;RAB5C;RAB7A;RAB9A;DUSP3;BCAP31;PSMD7;GPM6A;APLP1;CNN1;CCNG1;NDUFA8;MYOM1;HNRNPM;POLR2J;ARHGDIA;HK2;MRPL12;CRIP2;SUCLG1;AP2S1;HCCS;PTTG1IP;PLAAT3;ATN1;MYOM2;OAZ1;PRKAG1;HSPA2;RAD23A;NAPA;SLC12A2;PSMD4;TMBIM6;VCP;HADHB;NAP1L1;ADAR;SEC13;SNU13;SUMO3;EIF3B;ARPP19;ATP5F1E;EIF6;SESN2;SMIM11;ARPC4;CD81;SEC61G;TPI1;PLP1;SEC61B;GABARAPL2;ROMO1;MYL6;ACTB;EIF4A1;RPS20;SNAP25;PSMA6;CDC42;DSTN;RAB10;UBE2D3;UBE2M;ACTR2;ACTR1A;ARF3;RPS3A;RPL26;RPL15;RPL27;ATP6V0D1;RPL37A;RHOA;HSPE1;VBP1;STXBP1;B2M;SUMO2;HNRNPK;YWHAG;RPS7;PPP1CA;PPP1CB;NCS1;PSMC5;RPS8;RPS15A;RPS16;YWHAE;RPS14;RPS23;RPS13;RPS11;SNRPD2;BTG1;TMSB4X;RPL7A;ETF1;CNBP;YPEL5;PPP2CB;RHOB;RPL23A;RPS6;RAB1A;RAN;RPL23;RPS15;RPS25;RPS26;RPS28;GNB1;POLR2L;RBX1;GNB2;RPL30;RPL31;RPL10A;RPL11;PPIA;FKBP1A;RPL41;RPS27A;UBA52;RAC1;VAMP2;GNAI1;PPP3R1;YWHAZ;SUMO1;DYNLL1;RPL38;GNG5;RPS21;EIF5A;RACK1;ACTG1;TMSB10;TNNC1;PPP2CA;YBX1;SEC11A;CSNK2B;TUBA1B;TUBA4A;TUBB4B;EIF4G2;CCT2;GSTO1;BLOC1S1;BTG2;MT1X;BASP1;SARNP;RPL24;ARF1;ARF5;ERH;RPL19;SRSF3;HDLBP;CDC42EP1;CLTC;HSF1;FKBP3;REEP5;HNRNPU;BEX3;SPTBN1;SET;SRSF2;CAP1;IFITM3;SATB1;EWSR1;SLC6A3;OGDH;RPL18A;FKBP4;NUCB1;RPL6;SLC25A11;PTS;UBXN1;EIF4G1;GLO1;CD164;YWHAH;EEF1A2;CALD1;ATP5MC2;PTPN11;PSME1;APLP2;RING1;PRDX1;RPL18;C1QBP;KLC1;SRSF1;TLE5;SRSF4;LGALS3BP;DMTN;PUDP;PPID;SSRP1;DMPK;LAMTOR4;BST2;PMPCA;SCRN1;PNRC1;KIF5A;AIMP1;ILF2;TAF10;PTP4A2;ECH1;FLII;MRPL28;DUSP4;IK;TARDBP;FADD;PSMD2;GPS2;NME3;SRSF9;SRSF5;SRSF6;TRIM28;SLAMF1;PABPC4;EIF3I;UBE2V1;DYNC1I2;ILK;SNTA1;SF3B2;OS9;PDAP1;PICALM;PIN1;SERINC3;DCTN2;FHL1;AAMP;SPTAN1;DDX39B;BYSL;CIRBP;COX17;CCNI;SCARB2;EIF3A;DCTN1;EIF4A2;CTTN;BECN1;NFE2L1;RBM39;SPARCL1;GANAB;MYBPC3;DRAP1;EMC2;PSMD6;HERPUD1;LAPTM4A;MAD2L1BP;SEPTIN2;EXOSC7;SNX17;DAZAP2;ARL6IP1;EIF4H;OXA1L;PEA15;PMVK;PTGES3;PCBP1;PCBP2;ELOB;TOMM20;SAFB;SURF1;TAF7;SLC9A3R2;SF1;HMGN3;NFKBIB;MAPRE1;TSC22D1;CCDC85B;VAMP3;USF2;RAB11B;ZYX;SEPTIN7;PKN1;DPYSL2;MEA1;FSCN1;GUK1;NDUFA9;RTN1;UGP2;ATP6V1F;PFKFB3;RFX7;SMU1;CTU2;LRRK1;C5orf22;MRPL51;PDLIM3;LACTB2;PYCR3;COQ5;EMC4;GNAS;WDR45B;COX20;SLC25A30;LRIF1;ARHGAP21;UBAP2;RNF187;ATPAF1;STRIP1;SDHAF4;FOCAD;LYPLAL1;TNS2;ARL6IP4;ZFYVE26;CWF19L1;CIAPIN1;THOC7;LAMTOR1;MZT2B;CAVIN1;METTL2B;PRPF8;MZT2A;TMEM65;ATAD2;CPLX2;PAQR6;ATRAID;DPP8;CLEC17A;TUBA1A;TRMT10C;RRAGA;COPS6;FASTKD5;APTX;GRINA;FAM220A;MRPL10;GLRX5;SETD3;PABPN1;KTN1;NLRX1;CCDC25;RPS19BP1;TMEM219;VRK2;PDSS2;TRAPPC5;PLD3;PLEKHM2;TP53INP2;SIRT2;MRPL41;SUPV3L1;PIAS4;SVBP;AGGF1;MTURN;BBS5;PPM1K;SYNPO;CHCHD4;CBR4;RNF10;CPSF7;METTL13;PAF1;EIF1AD;FAM98A;PNMA1;KMT2C;NUP37;TDRD7;PPTC7;GADD45GIP1;ERMN;UHMK1;IFI44;PNPT1;BLOC1S5;RNASEH2C;RHBDD1;TRPC4AP;SMCR8;HASPIN;SLC22A17;PTPMT1;BRK1;UBE2Q2;PCNP;SELENOM;PPM1E;THAP4;CHCHD10;LZIC;DDX1;SLC39A7;PSMF1;RGP1;AP3S1;NDRG1;HSPH1;PTPRU;HTRA1;DDX17;KIFAP3;STMN2;GTF3C6;LSM10;IGSF8;RPL36AL;PPP2R3C;ZNF622;GFM2;WBP2;FBXW5;ST6GALNAC6;KIAA1191;PNPLA2;PBXIP1;VPS33A;TMEM186;MOAP1;SARAF;ARMC5;ISOC1;AP2M1;DNAJC19;SHISA4;SNRNP40;CLIP3;SMIM19;KIFBP;REX1BD;MCRS1;SAT2;DYNLL2;OTUB1;DPH3;BSCL2;PLPPR2;ATXN7L3B;CDKN2AIPNL;MRFAP1L1;DDRGK1;COX14;TMEM141;CDK5RAP3;HSH2D;CEP63;CCDC43;ZMAT2;LENG8;NACC1;GFM1;MCCC1;FNBP1;WDR24;UBL7;CCNL2;MYADM;PPP1R9B;SRPK1;TBCB;PSMB7;ATP6V0B;PFDN5;S100A13;C12orf57;PHB2;FEZ1;SEPTIN5;HNRNPAB;LITAF;NAP1L4;TXN2;CIB1;CPNE1;CCT7;RNF5;AKAP9;PAIP2;TRIR;TCF25;CMSS1;KLHDC3;ECSIT;BCL7B;DBNDD2;NAA38;SDF4;MIEN1;LLPH;ANAPC13;TIMM29;TACO1;UBAC1;NDFIP1;COPS4;SYT11;RBM42;DCUN1D5;LMF2;NDUFAF3;BBLN;EMC6;NTMT1;TUBB2B;TMED9;TMEM147;CINP;TARS2;SF3B5;CDCA7;BTBD2;TMEM120A;TMEM59;NUSAP1;RTF2;CHMP4A;MRPL20;MRPL1;UBL5;PPP1R12C;TRIM8;UBXN6;YIPF3;ROGDI;MAP1LC3B;DDX24;AICDA;MTFR1L;MAF1;PAIP1;NSRP1;CSTF2T;GABARAPL1;RAB1B;MRPL18;ISCU;C1orf21;TSPYL2;PPIL3;MTIF3;KCNN2;PNN;TTYH1;MMADHC;CHMP4B;CUEDC2;MAP1LC3A;RGCC;HEATR1;ZNF768;ILRUN;DHX33;RNF167;PTGES2;GEMIN7;METTL7A;ACTR8;MRPL44;TBC1D17;WDR41;C17orf75;GRPEL1;MKNK2;TAF9B;APOBEC3G;NEK6;SYTL2;CSNK1G1;CHMP1A;VTA1;DYNLRB1;MID1IP1;NGRN;NOP10;ZDHHC4;TIMMDC1;TIGAR;RTN4;NPDC1;ITM2C;STARD7;SH3GLB2;ARHGEF3;STRN4;CDC42SE2;PHPT1;SERINC1;GLRX2;TOMM22;SLX9;TMEM14B;NUDT15;TMEM30A;UQCC1;ARL8B;PNPO;ARGLU1;BEX4;RMND1;PAK1IP1;AURKAIP1;CZIB;BABAM1;DDIT4;NDUFB11;NHP2;OCIAD1;CLDND1;TERF2IP;ANAPC11;ELOVL5;TECR;STMN3;GDE1;COQ3;MTCH1;MRPL15;NDUFA13;MRPL36;VAPA;RNF181;TMEM14C;CALCOCO1;STIM2;FNIP2;SUCLA2;NCDN;EPS15L1;ASH2L;DKK3;EIF3K;CTSZ;GABBR1;MORF4L1;COPS7A;HSPB7;PPP1R1B;VTI1B;PLEKHB1;PFDN2;PUF60;FEZ2;NDUFA12;RABAC1;ATP5IF1;LNPEP;TRMT6;MOSPD1;GNPTG;HSPB8;STOML2;FBXO2;VPS28;TLK1;RALY;PSME2;MCTS1;MRTFB;NDRG4;STAP1;NFU1;PRPF19;UBQLN1;NDRG2;VPS4A;STUB1;PACSIN2;STX8;FAF1;SMG5;MAPK8IP3;USP22;TRAK1;MAPRE3;SRRM2;PA2G4;MAPK8IP1;CAMK2A;RTRAF;POMP;EIF3L;NUDC;RASD1;VDAC3;CFL2;ITM2B;DRG1;COA3;POLDIP2;THRAP3;WBP11;NDUFAF1;SBDS;SF3B6;RNF11;PPIL1;UFC1;CIAO2B;MSRB2;MRPS23;STRAP;FBXO7;HBS1L;TLN1;TLN2;RAPGEF2;TELO2;AFG3L2;GTF3C3;TRAPPC1;MPC1;MRFAP1;COPG1;AUP1;SPCS1;EID1;SELENOK;BZW2;EPN1;WSB1;PXMP4;NDUFB9	Protein Binding	1218	12077	938.7720897615709	1.2974395098488147	46.655356188869774
GO:0008137	2.9576292328546645e-21	2.6249205527886973e-24	NDUFS8;NDUFA4;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;NDUFB7;NDUFV2;NDUFS1;NDUFV1;NDUFA8;NDUFA6;NDUFA9;NDUFA12;NDUFB9	Nadh Dehydrogenase (ubiquinone) Activity	30	41	3.1870212536411695	9.41317851762834	20.529056269898863
GO:0045296	9.731162907139429e-18	1.0795610058952106e-20	CLIC1;AHSA1;BAG3;LDHA;ALDOA;ENO1;PFN1;HSP90AB1;HSPA5;HSPA8;EEF2;PKM;EZR;FLNA;PCMT1;EEF1G;PSMB6;PRDX6;ATIC;YWHAB;KIF5B;CTNNA1;CTNNB1;MYH9;ADD1;BSG;TAGLN2;TMPO;CAPZB;RPL29;RPL34;RPL14;CCT8;RPL15;HNRNPK;YWHAE;RPL7A;RPL23A;RAB1A;RAN;RPS26;YWHAZ;RACK1;EIF4G2;RPL24;HDLBP;SPTBN1;RPL6;CALD1;PTPN11;PRDX1;PICALM;SPTAN1;CTTN;SEPTIN2;EIF4H;PCBP1;SLC9A3R2;MAPRE1;RAB11B;SEPTIN7;FSCN1;UBAP2;KTN1;H1-10;NDRG1;SCYL1;CHMP4B;RTN4;SH3GLB2;ARGLU1;VAPA;EPS15L1;PUF60;MRTFB;PACSIN2;NUDC;TLN1;BZW2	Cadherin Binding	79	306	23.786061063760926	3.3212728996294327	17.011835256959277
GO:0051082	4.2912430973376585e-15	5.712770930558232e-18	AIP;HSPB6;TAPBP;PFDN1;CRYAB;SCG5;NPM1;HSPD1;CLU;HSPA5;HSPA8;PPIB;DNAJB2;CALR;CANX;DNAJA1;HSPA9;HSPA2;HSPE1;VBP1;PPIA;TUBB4B;CCT2;PTGES3;TOMM20;PFDN5;NAP1L4;GRPEL1;PFDN2;NDUFAF1;AFG3L2;CCT7;HSPB1;CCT3;CCT6A;CCT8;HSP90AB1;NUDC;HSP90AA1;NACA;HSP90B1;CCT4	Unfolded Protein Binding	42	112	8.706009278239293	4.824253990284524	14.367416882148326
GO:0031625	9.253837051346881e-15	1.4372500412564494e-17	APBB1;EIF4E2;NDUFS2;GABARAP;GPI;TUBB;HSP90AA1;HSP90AB1;UCHL1;PRKAR1A;HSPD1;CLU;HSPA5;HSPA8;CKB;XRCC5;PRKACA;JAK1;PSMA3;NFKBIA;ATP6V0C;CALR;PRDX6;DNAJA1;UQCRC1;HSPA9;LRPPRC;BAG6;RPL5;TMBIM6;VCP;TPI1;GABARAPL2;SUMO2;YWHAE;RPL23;RBX1;RPL11;YWHAZ;SUMO1;ACTG1;TUBA1B;CCT2;UBXN1;TRIM28;BECN1;PCBP2;ELOB;RRAGA;PIAS4;MOAP1;OTUB1;SYT11;MAP1LC3B;AICDA;GABARAPL1;MAP1LC3A;NEK6;RTN4;STUB1;STX8;FAF1;SMG5;PA2G4;FBXO7;AUP1;UBB;UBC;RPS27A;UBA52	Ubiquitin Protein Ligase Binding	70	281	21.842755421296797	3.204723884412021	14.033678152158787
GO:0003743	1.0562165127449857e-09	1.8748018863900346e-12	EIF3D;EIF3H;EIF5B;EIF3G;EIF4B;EIF1;EIF3B;EIF6;EIF4G2;EIF4G1;EIF3I;EIF3A;EIF4H;EIF1AD;EIF3K;MCTS1;EIF3L;EIF4A2;EIF4E2;EIF1B;MTIF2;EIF4A1;MTIF3	Translation Initiation Factor Activity	23	51	3.9643435106268208	5.8017172170741995	8.976247047093718
GO:0003729	1.2186535536835237e-08	2.4335216292770608e-11	DHFR;HSP90AA1;SNRPC;PKM;RPL7;RPS3;ZFP36;CALR;RPS5;EIF4A1;RPS13;RPS26;YBX1;EIF4G1;C1QBP;SRSF1;PCBP1;TDRD7;NUDT16;HNRNPAB;PAIP2;TACO1;NSRP1;DHX33;SF3B6;STRAP;MRPS7;CNBP;RPL35;PCBP2;SRRM2;SRSF4;SNRNP70;CSTF2T;HNRNPL;SF3B1;SUPT5H;PTBP1;HNRNPK;CPSF7;HNRNPM;SRSF6;MRPL12;RPL24;EIF3A;SRSF5;EIF4G2;SF1;HDLBP	Mrna Binding	49	213	16.55696407379437	2.9594797561682844	7.914119740737895
GO:0051087	9.271807435919704e-08	2.0572015611093198e-10	BIN1;HSPB6;AHSA1;BAG3;SOD1;PRNP;ATP1A1;HSPD1;CLU;HSPA5;HSPA8;UBL4A;ATP1A3;DNAJB2;CALR;GRN;ERP29;DNAJA1;ATP1A2;HSPA2;SLC12A2;HSPE1;OGDH;SCARB2;GRPEL1;FNIP2;STUB1;PTGES3;CDKN1B;TIMM44	Chaperone Binding	30	100	7.773222569856511	3.8594031922276195	7.032835596715073
