	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0002490	1.0685073608360167e-33	1.1915995994602618e-37	SLC25A4;SUCLG1;SUCLG1;TXN2;TXN2;COX4I1;NDUFAF3;NDUFAF3;COX6B1;COX8A;COX20;ECHS1;ECHS1;NDUFA13;LRPPRC;LRPPRC;NDUFAF1;TACO1;TIMMDC1;GFM2;GFM2;COX14;GFM1;MDH2;NDUFA1;NDUFA2;NDUFA4;NDUFA4;NDUFA6;NDUFA8;NDUFA9;NDUFB3;NDUFB8;NDUFB8;NDUFB9;NDUFB10;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;PDHA1;PDHA1;PDHA1;PNPT1;PNPT1;NDUFB11;NDUFS7;NDUFS7;TRMT10C;RMND1;SDHA;NDUFA12;SURF1;SURF1;SURF1;PDHX	Increased Csf Lactate	69	128	9.949724889416334	6.9348651110340045	32.971222481680115
HP:0002151	1.6892764927106928e-30	3.7677628921839915e-34	DNAJC19;SLC25A4;SLC25A4;SUCLG1;C1QBP;COX5A;TXN2;TXN2;COX4I1;COX6A2;NDUFAF3;COX6B1;COX8A;CYC1;COX20;ECHS1;ECHS1;NDUFA13;NDUFA13;LRPPRC;LRPPRC;NDUFAF1;TACO1;GFM2;GFM2;MPC1;UQCRQ;GOT2;COX14;GFM1;LDHA;MDH2;MIPEP;MRPS28;NDUFA1;NDUFA2;NDUFA4;NDUFA8;NDUFA9;NDUFA9;NDUFB8;NDUFB8;NDUFB9;NDUFC2;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;OGDH;PDHA1;PDHA1;PDHA1;SLC25A3;PNPT1;PNPT1;NDUFS7;TRMT10C;RMND1;PNPO;PNPO;MRPL12;SDHA;SDHA;TARS2;SOD1;NDUFA12;SURF1;SURF1;SURF1;SURF1;ISCU;TUFM;UQCRB;UQCRC2;CHCHD10;CHCHD10;MRPL44;COQ9;PDSS2;PDSS2;ISCA1;PDHX	Increased Serum Lactate	87	220	17.101089653684323	5.0873951170273175	29.772299261363862
HP:0001639	8.003287922936872e-27	2.6775804359106297e-30	ACADVL;ACTC1;ADAR;SLC25A4;SLC25A4;SLC25A4;ATP5F1E;SUCLG1;AIP;AIP;BCL7B;BAG3;NDUFAF3;NDUFAF3;COX6B1;CRYAB;DES;ECHS1;NDUFA13;LRPPRC;NDUFAF1;NDUFAF1;BSCL2;BSCL2;TACO1;TIMMDC1;RNASEH2C;FHL1;FHL1;TMEM126A;ATP5MK;HADHA;HCCS;COX14;MIPEP;MYBPC3;MYL3;NDUFA1;NDUFA2;NDUFA2;NDUFA4;NDUFA6;NDUFA9;NDUFB3;NDUFB8;NDUFB9;NDUFB10;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NDUFV2;PDHA1;SLC25A3;SLC25A3;NDUFB11;NDUFB11;PPP1CB;CAVIN1;MAP2K2;MAP2K2;NDUFS7;NDUFS7;PTPN11;PTPN11;PTPN11;RAD51C;RAF1;RAF1;RAF1;SDHA;SDHA;SDHA;SDHD;NDUFA12;SURF1;SURF1;SURF1;TNNC1;TNNI3;TPI1;TPM1;UQCRFS1;EIF4H;MRPL44;VPS33A;VPS33A	Hypertrophic Cardiomyopathy	101	318	24.718847772143704	4.085950968710583	26.09673155882847
HP:0002415	2.1409832010448947e-21	9.550499391300969e-25	ADAR;ADAR;AIMP1;NDUFAF3;NDUFAF3;COX6B1;ECHS1;NDUFA13;NDUFAF1;TACO1;GLRX5;GLRX5;TIMMDC1;TUBB4A;RNASEH2C;HSPD1;NDUFA1;NDUFA2;NDUFA4;NDUFA6;NDUFA9;NDUFB3;NDUFB8;NDUFB9;NDUFB10;NDUFS1;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;PDHA1;PNPT1;NDUFB11;NDUFS7;NDUFS7;PSAP;PSAP;PSAP;SDHA;SPTBN1;NDUFA12;SURF1;SURF1;TUFM;ISCA1	Leukodystrophy	58	136	10.571582695004855	5.48640649875495	20.669386740329163
HP:0030270	7.211650512423318e-17	4.0212169691219576e-20	RPL35;RPL5;RPL11;RPL15;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS19;RPS20;RPS24;RPS24;RPS26;RPS27;RPS28;RPS29;RPS29	Elevated Red Cell Adenosine Deaminase Level	23	27	2.098770093861258	10.958799187806822	16.141965328012272
HP:0012133	7.522134903773611e-17	5.033211712126873e-20	RPL35;RPL35;RPL5;RPL11;RPL15;RPL18;RPL18;RPL26;RPL27;RPL31;RPL35A;RPL35A;RPS7;RPS10;RPS14;RPS14;RPS15A;RPS15A;RPS19;RPS20;RPS24;RPS26;RPS27;RPS28;RPS29	Erythroid Hypoplasia	25	32	2.4874312223540835	10.050529146426094	16.12365888210225
HP:0003128	2.0729227570955574e-15	1.6182066800121445e-18	SLC25A4;SLC25A4;ATP5F1D;ATP5F1E;SUCLG1;SUCLG1;SUCLA2;NDUFAF3;NDUFAF3;COX6B1;COX8A;CYC1;MRPS7;LRPPRC;LRPPRC;NDUFAF1;TIMMDC1;FH;MPC1;NFU1;HADHA;HADHB;MIPEP;NDUFA1;NDUFA4;NDUFA6;NDUFA8;NDUFB3;NDUFB3;NDUFB9;NDUFB10;NDUFB10;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFS6;NDUFS8;NDUFV2;NDUFV2;PCCA;PDHB;PDHB;GATB;SLC25A3;SLC25A3;NDUFB11;NDUFS7;TRMT10C;RMND1;SDHD;PMPCA;SURF1;LARS2;ISCU;TUFM;COQ9;PDHX;PDHX	Lactic Acidosis	64	206	16.01283849390441	3.996792949879736	14.683416880632704
HP:0001895	5.1847666295097963e-14	4.625642136286202e-17	ALDOA;RPL35;RPL5;RPL11;RPL15;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS20;RPS24;RPS26;RPS27;RPS28;RPS29;SRSF2;SF3B1;TPI1;UQCRFS1	Normochromic Anemia	25	38	2.953824576545474	8.463603491727236	13.285270786776783
HP:0000712	1.1199938560041822e-13	1.1241156132527757e-16	ATP1A2;ATP1A3;ATP1A3;ATP1A3;CTSF;AIP;MATR3;DCTN1;ECHS1;NDUFA13;TACO1;FTL;FTL;FUS;GNAS;GNAS;HLA-DRB1;HNRNPA1;NDUFA2;NDUFA4;NDUFA9;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;NF2;PDHA1;PFN1;PON2;PRKACA;PRKACA;PRKAR1A;PRKAR1A;PRNP;PRNP;PRNP;NDUFS7;HTRA1;PSAP;PSAP;PSAP;ARMC5;SDHA;SLC1A3;SOD1;SPTBN1;NDUFA12;SURF1;TARDBP;TARDBP;VCP;VCP;CHCHD10	Emotional Lability	56	177	13.758603948646025	4.070180391049844	12.950784359750175
HP:0002928	1.0524939927430634e-13	1.1737414885057026e-16	ECHS1;ECHS1;NDUFA13;TACO1;GLRX5;GLRX5;NDUFA2;NDUFA4;NDUFA9;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;PDHA1;PDHA1;PDHB;NDUFS7;SDHA;NDUFA12;SURF1;PDHX;PDHX	Decreased Activity Of The Pyruvate Dehydrogenase Complex	25	39	3.0315568022440393	8.246588017580384	12.977780374281828
HP:0011923	2.0520546644979669e-13	2.51729690080045e-16	SUCLG1;SUCLG1;TXN2;TXN2;NDUFAF3;NDUFAF1;TIMMDC1;TIMMDC1;MRPS23;GFM1;NDUFA1;NDUFA6;NDUFA8;NDUFB3;NDUFB9;NDUFB10;NDUFB10;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFV2;NDUFB11;NDUFS7;MRPL12;ISCU	Decreased Activity Of Mitochondrial Complex I	31	61	4.741665767612472	6.5377868283637275	12.687811074274837
HP:0020118	1.8322339226369398e-13	2.6562998766901102e-16	RPL35;RPL5;RPL11;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS20;RPS24;RPS26;RPS27;RPS28;RPS29	Radial Artery Aplasia	19	23	1.7878411910669976	10.62734212352533	12.73701908043617
