	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP477	2.3914441305363235e-42	3.188592174048431e-45	RPS25;RPL24;RPL27;RPS27;RPL26;RPS26;RPL27A;RPS28;RPL23;RPS27A;RPL30;RPL29;RPL28;RPS29;FAU;RPS5;RPS6;RPS21;RPS24;RPS23;RPL35;RPL34;RPL35A;RPL37A;RPL4;RPS7;RPL37;RPS9;RPL38;RPS8;RPL5;RPL36;RPL31;RPL32;RPSA;RPL10A;RPL7A;RPL9;RPL14;RPS15A;RPLP1;RPL11;RPL13;RPL12;RPL41;RPL6;RPS11;RPS10;RPS13;RPL7;RPS15;RPS14;RPL18A;RPL18;RPL21;RPS3;RPL19;RPL22;RPS19;UBA52;RPS3A;RPL23A;RPS20;RPLP2;RPL17;RPL15;RPS16	Cytoplasmic Ribosomal Proteins	67	88	6.84043586147373	9.794697495426156	41.62133976076032
WP111	8.569661762506497e-39	2.285243136668399e-41	NDUFA1;NDUFA2;NDUFA3;COX6B1;COX6A1;NDUFS8;NDUFV2;UQCRQ;ATP5F1D;ATP5F1E;NDUFA12;NDUFS2;ATP5PB;ATP5MC1;ATP5MC2;NDUFS3;NDUFV1;ATP5MC3;NDUFS4;NDUFS5;NDUFS6;COX6A2;COX8A;COX7C;COX7A2;COX6C;ATP5PF;UQCR10;NDUFA4;ATP5IF1;ATP5F1A;ATP5PO;NDUFS7;ATP5PD;COX5A;SDHA;SDHD;UQCR11;ATP5MF;COX17;SURF1;UQCRC2;UQCRC1;UQCRFS1;UQCRH;SLC25A4;SLC25A6;UQCRB;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;NDUFA6;NDUFA7;NDUFA8;NDUFA9;COX4I1;NDUFB10;NDUFC2;NDUFS1;NDUFB4;ATP5F1B;NDUFB5;NDUFB6;NDUFB7;COX5B;ATP5F1C;NDUFB8;NDUFB9	Electron Transport Chain: Oxphos System In Mitochondria	69	101	7.850954795555076	8.78873994269656	38.06703631898414
WP623	3.2564077447326715e-22	1.3025630978930685e-24	NDUFA2;NDUFA3;NDUFS8;NDUFV2;ATP5F1D;ATP5F1E;ATP5PB;NDUFS2;ATP5MC1;ATP5MC2;NDUFS3;ATP5MC3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;ATP5MF;ATP5PF;NDUFA4;NDUFAB1;NDUFB1;NDUFB2;ATP5F1A;ATP5PO;NDUFA6;NDUFS7;NDUFA7;NDUFA8;ATP5PD;NDUFA9;NDUFB10;NDUFC2;NDUFS1;NDUFB4;NDUFB5;ATP5F1B;NDUFB6;NDUFB7;NDUFB8;NDUFB9	Oxidative Phosphorylation	40	58	4.508469090516776	8.872191246500275	21.48726122104312
WP4324	2.853859656024956e-17	1.52205848321331e-19	NDUFA1;NDUFA2;NDUFA3;NDUFV2;NDUFA12;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;DMAC1;NDUFAF3;ECSIT;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;TMEM186;TIMMDC1;NDUFAF1;NDUFA6;NDUFA7;NDUFA8;NDUFB11;NDUFB10;NDUFC2;NDUFS1;NDUFA13;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9	Mitochondrial Complex I Assembly Model Oxphos System	35	56	4.353004639119646	8.040423317140874	16.544567387953183
WP4396	3.159348931309885e-17	2.1062326208732567e-19	NDUFA1;NDUFA2;NDUFA3;COX6B1;NDUFS8;COX6A1;NDUFV2;UQCRQ;CDC42;NDUFA12;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;COX6A2;COX8A;COX7C;COX7A2;COX6C;UQCR10;NDUFA4;NDUFS7;NDUFB11;COX5A;PRKAG1;SDHA;SDHD;UQCR11;CYC1;XBP1;UQCRC2;UQCRC1;UQCRFS1;UQCRH;UQCRB;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;NDUFA6;NDUFA7;RAC1;NDUFA8;NDUFA9;NDUFB10;COX4I1;NDUFC2;NDUFS1;ATF4;NDUFA13;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;COX5B;NDUFB9	Nonalcoholic Fatty Liver Disease	59	145	11.27117272629194	5.234592835435163	16.500402406201893
WP183	1.714394793938719e-09	1.3715158351509754e-11	PSMD6;UBE2D3;UBC;HLA-E;PSMD2;PSMD3;PSMC3;PSMC5;UCHL1;PSMA3;PSMA4;PSMD13;H2AZ1;PSMD4;PSMD7;PSMD8;PSMB4;PSMB5;PSMB6;PSMB7;UBB;HLA-C;HLA-A;PSME1;PSMA6;PSMA7;PSME2;PSMB1	Proteasome Degradation	28	60	4.663933541913907	6.003516076798519	8.765889160775794
WP3888	1.7703559684803842e-07	1.6523322372483585e-09	CLTC;FLII;CSRP1;RPL10A;CALR;PSMD4;MYH9;IDH2;CTNNA1;GJA1;DNAJA1;MAP2K2;HSP90AA1;HSPB1;CTNNB1;CAPZB;CNP;GAPDH;RAB4A;RAB5A;NFKBIA;NAP1L1;EWSR1;PBXIP1;CRIP2;PPP2CA;PTMA;RAC1;RAF1;AP2S1;COPG1;SRPK1;STIP1;NCL;PTPN11;CDC42;HTRA1;FSCN1;CFL1;CLIC1;ATP6V1E1;SET;PFN1;CCT7;MAPK3;YWHAE;BSG;HERPUD1;RPS11;EZR;SLC25A11;PPP1CA;ATF4;ALDOA;FADD;NAPA;EIF3H;EIF3D;RPL5;EPN1;ARF4;RPL7;RPL18A;SDCBP;TMSB4X;RHOA;RHOC;RPL27;PRDX2;RPL26;BIN1;FAF1;ACTG1;NDRG1;EGR1;RACK1;RPLP2;GPC1;RBM39;PRDX6;RPS6;ATP6V0D1;TPM3;TXN;EIF4G2;EIF4G1;LDHA;CCDC124;MAPKAPK2;GLUD1;TMSB10	Vegfa-vegfr2 Signaling Pathway	91	421	32.72526701909591	2.7807259738140413	6.751939400528947
WP78	3.2277962192668886e-07	3.4429826338846812e-09	SDHA;IDH3B;FH;MDH2;SDHD;DLST;CS;SUCLG1;SUCLA2;ACO2;IDH3A;OGDH;IDH2	Tca Cycle (aka Krebs Or Citric Acid Cycle)	13	18	1.399180062574172	9.291155833140566	6.491093891434947
WP411	3.0376410774413336e-07	3.6451692929296e-09	RBM39;CSTF2T;SNRNP70;SNRPB;CLK1;SF3B1;SNRPD2;YBX1;PRPF8;SF3B2;SNRNP40;SRSF9;SFPQ;U2AF2;PTBP1;SRSF5;SRSF6;SUPT5H;DDX1;SNU13;SRSF2;SRSF1;TMED10;SRSF4;SRSF3;PABPN1;HNRNPA1;HNRNPA2B1;HNRNPM;HNRNPH1;HNRNPC;HNRNPAB;FUS;HNRNPU;HNRNPL;HNRNPK;PCBP2;SF3B5;SRPK1	Mrna Processing	39	125	9.71652821232064	4.013779319916724	6.517463542947045
WP534	1.5669618145093698e-06	2.0892824193458263e-08	TPI1;PGAM1;MDH1;MDH2;PDHA1;ALDOC;GPI;LDHA;MPC1;ENO2;PKM;GOT2;GOT1;PFKL;PFKM;ENO1;HK2;ALDOA;GAPDH;LDHB	Glycolysis And Gluconeogenesis	20	44	3.420217930736865	5.847580594284272	5.804941586779613
WP4922	2.827917058105927e-06	4.147611685222026e-08	COX6B1;COX20;COA3;COX6A1;COX14;TACO1;COX5A;COX17;HIGD1A;COX8A;COX7C;COX4I1;COX7A2;COX6C;NDUFA4;SURF1;COX5B	Mitochondrial Complex Iv Assembly	17	34	2.6428956737512137	6.4323386537127	5.548533332405249
WP107	3.2010653631775084e-06	5.121704581084013e-08	EIF4B;ETF1;EIF4A2;EIF4A1;EEF2;EEF1G;EEF1B2;EIF3B;EIF3A;EIF3G;EIF6;EIF3H;EIF3D;EIF5A;EIF4G1;EIF5B;EIF4H;EEF1A2;EIF3I;EIF1;PAIP1	Translation Factors	21	50	3.8866112849282555	5.403164469118668	5.494705457821662
