	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0032543	2.773946377567654e-41	2.2149044854420743e-45	MRPS12;MRPL33;GATB;NDUFA7;MRPL19;MRPL12;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS11;MRPS34;MRPS9;MRPL49;MRPL58;MRPL23;MRPL2;MRPL54;MRPL21;MRPL55;MRPL41;MRPL50;MRPS27;MRPS31;MRPL24;CHCHD1;MRPL38;MRPS24;PTCD3;MRPL34;MRPL32;MRPL13;MRPL4;MRPL1;MRPS26;MRPL37;QRSL1;MRPL44;MRPL47;MRPS30;MRPL40;MRPL17;MRPL22;MRPL16;MRPL39;FASTKD2;MRPL35;MRPL15;MRPL36;MRPL27;MRPS28;MRPS17;MRPS7;MRPS2;MRPL11;MRPS16;MRPS18C;MRPS23;MRPS18B;MTG1;LARS2;IARS2	Mitochondrial Translation	63	93	7.669257483049446	8.21461531826807	40.556901938414704
GO:0042776	3.6873833145471966e-23	5.888507369126791e-27	NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS6;NDUFB1;NDUFS3;ATP5MG;NDUFB6;NDUFA3;NDUFB4;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP5F1D;ATP5F1C;ATP5PO;ATP5MF;NDUFV3;ATP5F1E;NDUFA6;NDUFA5;NDUFA9;NDUFA11;NDUFB11;NDUFA12;STOML2;NDUFB9	Proton Motive Force-driven Mitochondrial Atp Synthesis	36	52	4.288186979769582	8.395156314273962	22.433281713834138
GO:0009060	9.631529116379354e-20	2.3071372843451022e-23	NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;UQCRH;UQCRC2;ATP5F1D;UQCRC1;NDUFV3;NDUFA6;OXA1L;MTFR1;SURF1;NDUFA5;NDUFA9;NDUFA11;NDUFB11;NDUFA12;NDUFB9;MTFR1L	Aerobic Respiration	33	51	4.205721845543244	7.8464532871972335	19.01630475814159
GO:0032981	4.424663171780614e-19	1.413178911459794e-22	NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB2;NDUFC2;NDUFA10;NDUFB10;NDUFA6;OXA1L;NDUFA5;NDUFA9;NDUFAF5;NDUFA11;TMEM186;FOXRED1;DMAC1;ECSIT;TIMM21;DMAC2;NDUFB11;NDUFA12;BCS1L;NDUFAF1;NDUFB9;TMEM126A	Mitochondrial Respiratory Chain Complex I Assembly	33	53	4.370652113995921	7.550360710321865	18.354119784447462
GO:0006120	4.30674098838464e-13	1.7193951566530823e-16	NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFAF1;NDUFB9	Mitochondrial Electron Transport, Nadh To Ubiquinone	23	36	2.9687448321481726	7.747381907308378	12.365851246346939
GO:0006805	7.371185798783851e-12	3.5313889166961915e-15	CES2;ABCC3;NR1I2;SLCO2B1;CYP1A2;EPHX1;CYP3A4;CYP2D6;NAT2;CBR1;POR;CYP2B6;AADAC;CYP3A7;CYP2C18;HNF4A;SULT1A1;RORC;TPMT;CYP2J2;UGT2B15;CYP4F2;AKR1C1;AOX1;SULT2A1;NCEH1;CES3;CMBL;SLC22A7;GSTA3;GSTA2;CYP2A7;GSTA1	Xenobiotic Metabolic Process	33	81	6.679675872333388	4.940359477124183	11.132462641795833
GO:0045333	1.721820756525815e-10	9.623718696647001e-14	UQCRQ;UQCR11;NDUFS4;CYP1A2;UQCRH;COX6C;COX5B;COX6B1;COX7C;COX5A;UQCRC2;COX7B;UQCRC1;LYRM7;SDHAF4;MTLN;PPARGC1A;UQCR10;CHCHD5	Cellular Respiration	19	30	2.473954026790144	7.680013368983957	9.764012061072528
GO:0033617	3.2573784488961186e-08	2.080727211048303e-11	FASTKD3;SURF1;SMIM20;COX18;COX14;TACO1;TIMM21;COA4;COX16;BCS1L;COA3;PET117;PET100	Mitochondrial Cytochrome C Oxidase Assembly	13	17	1.401907281847748	9.27308115759673	7.48713178128187
GO:0015986	3.06123813834612e-08	2.1998677135990962e-11	ATP5MG;ATP5MC1;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP5F1D;ATP5F1C;ATP6V1A;ATP5PO;ATP5MC3;ATP5MF;ATP5MJ;ATP5F1E;ATP5MK	Proton Motive Force-driven Atp Synthesis	15	23	1.8966980872057768	7.9084805859102545	7.514102884663736
GO:0006629	1.9664017818572982e-07	1.5701068203906883e-10	PITPNM1;CIDEA;SC5D;ATP5F1B;CYP3A4;AKR1A1;UGT2B7;FAH;SDS;ABCB4;AADAC;ATP5F1A;CTH;UGT2B10;SREBF1;HNF4A;TTPA;RIDA;SLC16A1;APOC4;HMGCS1;AOX1;APOF;PDE3A;ACOX1;PLCL1;GSTA3;TRPV1;ATG4A;LPIN2;THRSP;OMA1;PAFAH2;MGLL;MGST2;APOL2;ACAT2;PLCL2;FADS2;PLA2G15	Lipid Metabolic Process	40	156	12.864560939308747	3.1093171534348008	6.706327740920985
GO:0008202	4.538108141713708e-06	3.9858822707482265e-09	NR1I2;CYP17A1;CYP3A4;CYP21A2;CYP2D6;CYP2B6;CYP3A7;G6PC1;AKR1C3;AKR1C2;UGT2B15;SULT2A1;MSMO1;RDH5;AKR1D1;DHCR24;AKR1C4;AKR1C1	Steroid Metabolic Process	18	43	3.5460007717325395	5.076141027235418	5.343125159224565
GO:0007031	1.34466450192005e-05	1.2884041858064995e-08	PEX7;PEX10;PEX11A;PEX14;PEX2;PEX19;PEX3;PEX6;TMEM135;SEC16B;PEX16	Peroxisome Organization	11	17	1.401907281847748	7.846453287197233	4.871386060003749
GO:0070328	1.257737298537854e-05	1.3055401533848691e-08	APOE;APOC2;LPL;LIPC;HNF4A;APOC4;SESN2;GCKR;ANGPTL8;MTLN;SCARB1;ABCG8;MLXIPL;ANGPTL3	Triglyceride Homeostasis	14	28	2.3090237583374673	6.063168449197862	4.900410059772658
GO:0042407	1.2952345410341103e-05	1.4478827510761373e-08	LETM1;IMMT;MICOS10;UQCC3;OMA1;APOO;CHCHD3;AFG3L2;SAMM50;DNAJC11	Cristae Formation	10	14	1.1545118791687337	8.661669213139803	4.887651582429103
GO:0006122	1.9219229060478278e-05	2.3018878625612758e-08	UQCRQ;UQCR11;UQCRH;UQCRC2;UQCRC1;UQCC3;UQCR10;UQCRHL	Mitochondrial Electron Transport, Ubiquinol To Cytochrome C	8	9	0.7421862080370432	10.778966131907309	4.716264037140693
GO:0070131	3.1385877201029634e-05	4.009693669885613e-08	TRUB2;C1QBP;FASTKD3;MPV17L2;TRMT10C;MRPS27;RPUSD4;RMND1;FASTKD2;COA3	Positive Regulation Of Mitochondrial Translation	10	15	1.236977013395072	8.084224598930481	4.503265728786637
