	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0008137	2.661115807460025e-13	5.904406051608665e-17	NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFA12;NDUFB9	Nadh Dehydrogenase (ubiquinone) Activity	23	35	2.886279697921834	7.9687356760886185	12.574936225243249
GO:0003735	6.338280562833189e-11	2.8126383682419298e-14	MRPS12;MRPL33;NDUFA7;MRPS22;MRPS11;MRPS34;MRPL55;MRPL41;MRPS31;MRPL24;MRPS24;MRPL34;MRPL32;MRPL13;MRPL1;MRPL37;MRPS30;MRPL35;MRPL36;MRPL27;MRPS17;MRPS7;MRPS2;MRPL11;MRPS16;MRPS18C;MRPS23;MRPS18B;MRPS35;MRPL21;MRPL4;MRPL19;MRPL22;MRPS25;MRPL16;MRPL2;MRPL15;MRPL47;MRPL44;MRPL12;MRPS5;MRPL49;MRPL23;MRPL17;MRPL54;MRPS9	Structural Constituent Of Ribosome	46	157	12.947026073535085	3.5529394734153072	10.198028540754194
GO:0016491	3.1506694612916197e-06	2.097184021272434e-09	DHRS12;F8;CYP1A2;CYP3A4;CYP2D6;NQO2;GSTO1;GFOD2;NDUFAF5;HSDL2;DHRSX;RTN4IP1;HTATIP2;ADI1;SLC27A5;MMACHC;FOXRED1;HSD11B1;RDH5;RETSAT;POR;XDH;BDH2;PTGR3;MSMO1;CBR1;CYB561A3;AOX1;SC5D;CRYL1;SRD5A1	Oxidoreductase Activity	31	112	9.23609503334987	3.3563968200916734	5.501597156542554
GO:0046933	5.20159757523069e-06	4.6164611273403065e-09	ATP5MG;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP5F1D;ATP5F1C;ATP6V1A;ATP5PO;ATP5MF;ATP5F1E	Proton-transporting Atp Synthase Activity, Rotational Mechanism	11	16	1.31944214762141	8.33685661764706	5.283863250297998
GO:0016597	0.0020694978750831583	2.2958707289584627e-06	ASS1;TH;TAT;DDC;GCHFR;TDO2;SCLY;DDAH1	Amino Acid Binding	8	13	1.0720467449423956	7.462361168243522	2.6841350151874215
GO:0004032	0.002232671560207283	2.9722718795748165e-06	AKR1B1;AKR1C3;AKR1C2;AKR1C1;AKR1D1;AKR1A1;AKR1C4	Alditol:nadp+ 1-oxidoreductase Activity	7	10	0.8246513422633812	8.488435828877007	2.651175159633749
GO:0047086	0.002458267101250094	4.363465012203406e-06	AKR1C3;AKR1C2;AKR1C1;AKR1D1;AKR1C4	Ketosteroid Monooxygenase Activity	5	5	0.4123256711316906	12.126336898395722	2.6093709309301114
GO:0016655	0.002809448115714393	4.363465012203406e-06	CBR1;AKR1C4;AKR1C3;AKR1C2;AKR1C1	Oxidoreductase Activity, Acting On Nad(p)h, Quinone Or Similar Compound As Acceptor	5	5	0.4123256711316906	12.126336898395722	2.5513789839524246
GO:0097177	0.0021851263122223056	4.363465012203406e-06	C1QBP;OXA1L;MRPS27;TACO1;GUF1	Mitochondrial Ribosome Binding	5	5	0.4123256711316906	12.126336898395722	2.660523453377493
GO:0019843	0.002576699302963267	5.717105176310776e-06	ERAL1;FASTKD5;MRPS27;PTCD3;TACO1;DDX28;IMP3;FASTKD2;MRPS17;EMG1;MRPL16;MRPS7;RPF2	Rrna Binding	13	37	3.0512099663745107	4.260604856193091	2.5889362600223875
GO:0004497	0.0038732236700436463	9.453175143217242e-06	CYP1A2;CYP3A4;CYP2D6;CYP2B6;CYP3A7;CYP2C18;CYP2J2;CYP4F2;CYP4A11;CYP4F3;CYP4V2;CYP4F11;FMO3;FMO4	Monooxygenase Activity	14	44	3.6284659059588775	3.858379922216821	2.4119274227503236
GO:0016229	0.0036921708900919375	9.83049715578062e-06	HSD17B11;AKR1D1;AKR1C2;HSD17B13;AKR1C3;AKR1C1;RDH5;AKR1C4	Steroid Dehydrogenase Activity	8	15	1.236977013395072	6.467379679144385	2.4327182061005197
GO:0005506	0.003926800877595319	1.1326472466993376e-05	SC5D;BBOX1;PAH;CYP17A1;CYP1A2;CYP3A4;CYP21A2;CYP2D6;CYP2B6;CYP2A7;CYP3A7;CYP2C18;XDH;CYP2J2;CYP4F2;CYP4A11;AOX1;CYP4F3;MSMO1;CYP4A22;CYP4V2;ADI1;CYP4F11;CYP8B1	Iron Ion Binding	24	109	8.988699630670856	2.6700191335917185	2.4059611206175675
GO:0009055	0.00777894647272777	2.4163579014463897e-05	UQCR11;NDUFS6;NDUFS3;CYP1A2;AKR1B1;NQO2;POR;AKR1C4;SRD5A1;COX5A;HAAO;ME1	Electron Transfer Activity	12	36	2.9687448321481726	4.0421122994652405	2.109079216900103
GO:0042803	0.007379129064467154	2.455889415731247e-05	PGRMC1;PEX7;DNPH1;CIDEA;PEX11A;GGCT;IDH1;GLCE;VAPB;APOE;LPL;SERPINF2;GHR;CEACAM1;ST6GAL1;NQO2;SDS;ENPP1;S100A1;PON1;HSD11B1;IMPA1;SHMT1;CBS;HNF4A;XDH;GSS;FXR2;NR0B1;TPD52;TIMM10;PSPH;HMGCS1;GSTM4;AOX1;BNIP3;CAMK2D;ENDOG;GALE;ACOX1;OXA1L;PON3;NR0B2;BAK1;AMHR2;TPD52L1;MYOM3;DARS2;MIGA2;SLC51A;KLHL7;TMEM192;SUPV3L1;CISD2;SIRT6;SPPL2A;PANK1;THRSP;RDH5;GALM;NUDT16;SNF8;SCLY;RCHY1;ACOX2;MAP3K5;MGLL;EIF2AK1;VPS25;NUDT16L1;TARS2;QTRT1;UBA5;PANK3;PPCS;CLTRN;MLXIPL;TENM2;UPB1;MLX;NPC1L1;ATP5IF1;TPCN1;CRYL1;MMACHC	Protein Homodimerization Activity	85	643	53.025081307535416	1.6030149865686414	2.1319948935721507
