	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0003128	9.541904959028575e-28	1.0641134112890125e-31	MRPS34;LYRM7;ATP5F1D;ATP5F1E;BCS1L;BCS1L;RRM2B;RRM2B;COX6B1;TKFC;TKFC;ATPAF2;EARS2;PET100;MRPS16;TSFM;MRPS7;NDUFAF1;TIMMDC1;WARS2;WARS2;FARS2;G6PC1;SLC37A4;SLC37A4;SLC37A4;GFER;NDUFA11;NDUFA11;COA6;UQCC3;NDUFA1;NDUFA6;NDUFA10;NDUFB3;NDUFB3;NDUFB9;NDUFB10;NDUFB10;NDUFS3;NDUFS3;NDUFS4;NDUFS6;NDUFS6;GATB;PHKA2;PHKB;NDUFB11;NDUFAF5;NDUFAF5;TRMT10C;TMEM70;RMND1;TANGO2;TANGO2;QRSL1;FOXRED1;FOXRED1;TRMU;PUS1;PUS1;PMPCA;SURF1;LARS2;TUFM	Lactic Acidosis	65	128	10.55553718097128	6.157905456216578	27.02036491349235
HP:0002151	2.3124848136946652e-26	5.157766953707294e-30	ACAT2;DNAJC19;MRPS34;LYRM7;BCS1L;C1QBP;AIFM1;AIFM1;LONP1;COX5A;PMPCB;RRM2B;COX6B1;ATPAF2;EARS2;PET100;PET100;PET117;MRPS16;TSFM;NDUFAF1;TACO1;WARS2;WARS2;FARS2;UQCRQ;ADAMTS13;COX14;NDUFA11;GFM1;MRPS28;UQCC3;NDUFA1;NDUFA2;NDUFA9;NDUFA9;NDUFA10;NDUFB9;NDUFC2;NDUFS3;NDUFS3;NDUFS4;NDUFAF5;TRMT10C;TMEM70;RMND1;NARS2;DARS2;ATAD3A;ATAD3A;TANGO2;TANGO2;MRPL12;FOXRED1;FASTKD2;TARS2;TRMU;PUS1;NDUFA12;SURF1;SURF1;SURF1;SURF1;SLC19A3;TUFM;UQCRC2;CHCHD10;CHCHD10;MRPL44;MRPS22	Increased Serum Lactate	70	155	12.78209580508241	5.476410212178713	25.635921110632285
HP:0002490	6.993699618383116e-16	2.3398125186962584e-19	MRPS34;AIFM1;AIFM1;LONP1;COX6B1;PET100;PET100;PET117;NDUFAF1;TACO1;TIMMDC1;COX14;NDUFA11;GFM1;NDUFA1;NDUFA2;NDUFA6;NDUFA9;NDUFA10;NDUFB3;NDUFB9;NDUFB10;NDUFS3;NDUFS3;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFB11;NDUFAF5;NDUFAF5;NDUFAF5;TRMT10C;RMND1;NARS2;DARS2;FOXRED1;FOXRED1;NDUFA12;SURF1;SURF1;SURF1;SLC19A3	Increased Csf Lactate	43	92	7.586792348823107	5.667744419902348	15.155293024711955
HP:0000007	2.0333745007041282e-14	9.070478424017523e-18	CLPP;MKKS;MKKS;ABCA1;DNAJC19;ACOX1;ACP2;ACY1;ADCY1;ADCY6;ACOX2;MYORG;TBC1D24;TBC1D24;TBC1D24;TBC1D24;TBC1D24;ADK;AGL;AGT;AGTR1;ALAD;NR0B2;AMHR2;ANK1;PEX3;PEX3;ELP1;ELP1;APOB;APOC2;APOE;GBA2;CDK10;ABCC6;ABCC6;ASL;ASS1;MRPS34;SERPINC1;ATP5F1A;ATP5F1A;DGAT1;LYRM7;ATP5F1D;ATP5F1E;ATP6V1A;CRADD;BAAT;BBS2;BBS2;UROC1;BCS1L;BCS1L;BCS1L;FCSK;BTD;SLC5A6;EIF2B3;C1QBP;C4A;C5;C6;TMPRSS6;SERPINA6;CBS;CLDN10;LARGE1;LARGE1;LARGE1;AKR1C4;LONP1;AP1S1;COX5A;CLCNKB;PEX16;PEX16;PMPCB;RRM2B;MPDU1;COX6B1;ACBD5;CPN1;MINPP1;GOSR2;SLC22A12;MMACHC;CRYAA;TKFC;ATP6V0A4;LPIN2;CTH;ATPAF2;PUS3;CYP2D6;EARS2;PET100;CYP17A1;CYP21A2;TMEM251;DBH;CUL7;DDC;AKR1C2;PET117;ERAL1;C19orf12;C19orf12;DHCR7;DHCR24;MFN2;NR1H4;ESPN;ESPN;DPAGT1;DPAGT1;DPYS;GNE;ABCC9;MRPS16;PAM16;TSFM;MRPS7;SEPSECS;NDUFAF1;MEGF8;MRPS2;SAR1B;PRG4;TACO1;COX16;RXYLT1;TIMMDC1;F5;F5;F7;WARS2;WARS2;F13B;FAH;FARSA;EMG1;ELMOD3;SEC23B;MIEF2;FOXI1;FOXI1;TMEM126A;CIB1;FMO3;CISD2;TDP2;ERLIN1;MTX2;FARS2;FARS2;PPIL1;MRPS23;UQCRQ;G6PC1;SLC37A4;SLC37A4;MASP2;POLR3K;UPB1;GALE;GALK1;GALT;GAMT;GON7;JAGN1;CDIN1;GAS8;GBE1;GBE1;GCGR;FTCD;GFER;GFPT1;GFPT1;GGCX;GGCX;CFHR3;GHR;GHR;AFG3L2;ANGPTL3;RRP7A;GPI;RTN4IP1;IL17RC;ADAMTS13;ATP5MK;GSS;GSS;SPPL2A;GYS1;HPS5;COX14;CHP1;HGD;B4GALT7;GUF1;HSD3B2;HSPD1;HYAL1;CFI;ALG2;ALG2;NDUFA11;SELENOI;GFM1;IMPA1;ITPR2;COA6;KCNJ1;KCNJ16;KLKB1;LIPC;LMAN1;LPL;MAT1A;MC2R;MDH1;MET;SLC51A;KLHDC8B;MOCS2;MPI;LAMTOR2;MRPS28;COA3;DCPS;METTL5;UQCC3;MTHFD1;MTHFD1;MVK;MVK;MYO6;NDUFA2;NDUFA6;NDUFA9;NDUFA10;NDUFB3;NDUFB9;NDUFB10;NDUFC2;NDUFS3;NDUFS4;NDUFS6;PNP;NPHS1;OPA1;OPA1;SLC22A18;PRKN;PCBD1;SDHAF1;ENPP1;ENPP1;ENPP1;PEPD;GATB;PEX6;PEX6;PEX6;PEX7;PEX7;PEX7;PEX10;PEX10;PEX14;CARD10;PGM1;ABCB4;ABCB4;ABCB4;PHKB;SNX10;PKLR;ALG8;SERPINF2;TMCO1;GMPPA;NDUFAF5;POR;POR;CTSA;FITM2;CC2D1A;PSPH;TTC19;TRMT10C;PTS;TMEM70;PEX19;PEX2;PEX2;RMND1;MOCOS;PTCD3;TMEM53;RDH5;RDX;REN;PPCS;TMEM38B;NARS2;NARS2;DARS2;ATAD3A;ATAD3A;RORC;TANGO2;QRSL1;UBA5;UBA5;MRPL12;SLC35C1;DHDDS;MSMO1;SC5D;SCN5A;SCN5A;FOXRED1;POMGNT1;POMGNT1;POMGNT1;POMGNT1;OPA3;FASTKD2;TARS2;SLC1A1;SLC2A2;SLC6A3;TRMU;HSD3B7;IARS2;SLC10A1;SLC12A1;SLC12A3;SLC16A1;SLC22A5;PUS1;SMO;SPG7;AKR1D1;SLC46A1;SLC35D1;NDUFA12;PMPCA;KLHL7;SURF1;SURF1;EXOC6B;TARS1;ABCG8;TAT;CYP4V2;SLC19A3;LARS2;LARS2;TFAM;TH;ABCA5;MRPS25;MRAP;TGDS;HAAO;SLC39A14;TPMT;ANO5;ANO5;TTPA;TUFM;UGDH;UGP2;DNAJC12;UMPS;UQCRC2;UROD;XDH;GALM;TPRN;MRPL44;EXOSC5;MRPS22;MRPS22;NPHS2;LMAN2L;TRAPPC6B;COA7;AIMP2;TUSC3;VARS2	Autosomal Recessive Inheritance	396	3085	254.40493908825312	1.5565735532462581	13.69178262696415
HP:0011923	4.996513400654995e-14	2.786056317974236e-17	EARS2;TSFM;NDUFAF1;TIMMDC1;TIMMDC1;MIEF2;MRPS23;NDUFA11;GFM1;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFB10;NDUFC2;NDUFS3;NDUFS4;NDUFS4;NDUFS6;NDUFB11;NDUFAF5;NDUFAF5;PTCD3;QRSL1;MRPL12;FOXRED1;TRMU	Decreased Activity Of Mitochondrial Complex I	28	45	3.7109310401852156	7.545276292335116	13.301332943473254
HP:0001943	7.449248956015378e-14	4.9844422589597705e-17	AGL;AGL;ATP5F1D;BCS1L;MMACHC;CYP21A2;DBH;NR1H4;MRPS7;NDUFAF1;MRPS2;COX16;TIMMDC1;WARS2;FAH;G6PC1;SLC37A4;SLC37A4;GALK1;GALT;GHR;GHR;GK;HNF4A;NDUFA11;IGF2;MRPS28;UQCC3;NDUFA1;NDUFA6;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS3;NDUFS4;NDUFS4;NDUFS6;GATB;PGM1;PGM1;PHKA2;NDUFB11;NDUFAF5;TANGO2;QRSL1;FOXRED1;FOXRED1;SLC22A5;TFAM;UQCRC2	Hypoglycemia	51	140	11.545118791687337	4.417451298701299	13.127887511238326
HP:0001639	1.3173532617875402e-10	1.0283788148224359e-13	ATP5F1E;ATP6V1A;BCS1L;COX6B1;COX7B;TKFC;ATPAF2;PET100;ABCC9;MLXIPL;NDUFAF1;NDUFAF1;TACO1;TIMMDC1;FAH;TMEM126A;GATA4;ATP5MK;COX14;NDUFA11;NDUFA11;COA6;KCNJ8;MC2R;NDUFA1;NDUFA2;NDUFA2;NDUFA6;NDUFA9;NDUFA10;NDUFA10;NDUFB3;NDUFB9;NDUFB10;NDUFS3;NDUFS3;NDUFS4;NDUFS4;NDUFS6;OPA1;SDHAF1;NDUFB11;NDUFB11;NDUFAF5;NDUFAF5;TMEM70;TMEM70;ATAD3A;ATAD3A;ATAD3A;TANGO2;QRSL1;FOXRED1;FOXRED1;FOXRED1;FASTKD2;SLC22A5;NDUFA12;SURF1;SURF1;SURF1;SYNE2;MLX;SLC19A3;MRAP;TTPA;MRPL44;MRPS22	Hypertrophic Cardiomyopathy	68	262	21.60586516730059	3.147293546148508	9.880297748901063
HP:0002415	8.139188622971715e-10	7.261459683703994e-13	ACOX1;PEX16;COX6B1;PET100;NDUFAF1;TACO1;TIMMDC1;HSPD1;NDUFA11;NDUFA1;NDUFA2;NDUFA6;NDUFA9;NDUFA10;NDUFB3;NDUFB9;NDUFB10;NDUFS3;NDUFS3;NDUFS4;NDUFS4;NDUFS4;NDUFS6;ALG8;NDUFB11;NDUFAF5;NDUFAF5;FOXRED1;FOXRED1;SLC16A2;NDUFA12;SURF1;SURF1;SLC19A3;TUFM;EXOSC5;AIMP2	Leukodystrophy	37	100	8.246513422633813	4.486744652406418	9.089418886772881
HP:0002240	1.3169226575111565e-09	1.3217691443738606e-12	ABCA1;ACOX1;ACOX1;MYORG;AGL;ANK1;PEX3;PEX3;PEX3;APOC2;APOE;APOE;ASL;ASS1;BAAT;BTD;C1QBP;CBS;XPR1;COX5A;PEX16;PEX16;PEX16;TKFC;LPIN2;ATPAF2;EARS2;MFN2;DPAGT1;GNE;TSFM;MRPS7;NDUFAF1;NDUFAF1;MAGT1;TIMMDC1;F5;FAH;FAH;MTX2;G6PC1;SLC37A4;SLC37A4;SLC37A4;SLC37A4;GALE;GALT;GALT;CDIN1;COX14;HNF4A;HNF4A;ALG2;ALG2;NDUFA11;IGF2;GFM1;MET;MPI;MPI;MRPS28;MVK;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS3;NDUFS4;NDUFS4;NDUFS6;PEPD;PEPD;PEX6;PEX6;PEX6;PEX6;PEX10;PEX10;PEX10;PEX14;PEX14;PEX14;PGM1;ABCB4;PHKA2;PHKA2;PHKB;PHKB;SNX10;SNX10;ALG8;NDUFB11;NDUFAF5;TMEM70;PEX19;PEX19;PEX2;PEX2;RMND1;AGGF1;ATAD3A;STEAP3;SLC35C1;DHDDS;SC5D;FOXRED1;SLC2A2;TRMU;TRMU;HSD3B7;HSD3B7;SLC22A5;SLC22A5;AKR1D1;AKR1D1;SURF1;HNF1A;TUFM;GALM	Hepatomegaly	120	634	52.28289509949837	2.2952057220938276	8.880439730279257
HP:0003542	1.6426831400420606e-09	1.831920530882191e-12	ACAT2;BCS1L;AIFM1;AIFM1;LONP1;NDUFAF1;COX16;TIMMDC1;NDUFA11;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS3;NDUFS4;NDUFS6;NDUFB11;NDUFAF5;FOXRED1;UQCRC2	Increased Serum Pyruvate	21	36	2.9687448321481726	7.073696524064171	8.784446200291281
