	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP111	4.2017687135769226e-30	5.60235828476923e-33	NDUFA1;NDUFA2;NDUFA3;COX6B1;UQCRQ;ATP5F1D;ATP5F1E;NDUFA12;ATP5PB;ATP5MC1;NDUFS3;ATP5MC3;NDUFS4;NDUFS6;COX7C;COX7B;COX6C;ATP5PF;UQCR10;NDUFA5;NDUFV3;ATP5IF1;ATP5F1A;ATP5PO;ATP5MG;COX5A;UQCR11;ATP5MF;SURF1;UQCRC2;UQCRC1;COX7A2L;UQCRH;NDUFA10;NDUFB1;NDUFB2;NDUFB3;NDUFA6;NDUFA7;NDUFA9;NDUFB10;NDUFC1;NDUFC2;NDUFB4;ATP5F1B;NDUFB5;NDUFB6;COX5B;ATP5F1C;NDUFB9	Electron Transport Chain: Oxphos System In Mitochondria	50	77	6.349815335428036	7.8742447392180015	29.37656785701854
WP623	1.7448726806649763e-17	4.6529938151066035e-20	NDUFA2;NDUFA3;NDUFA11;ATP5F1D;ATP5F1E;ATP5PB;ATP5MC1;NDUFS3;ATP5MC3;NDUFS4;NDUFS6;ATP5MF;ATP5PF;NDUFV3;NDUFA5;NDUFA10;NDUFB1;NDUFB2;ATP5F1A;ATP5PO;NDUFA6;NDUFA7;NDUFA9;ATP5MG;NDUFB10;NDUFC1;NDUFC2;NDUFB4;NDUFB5;ATP5F1B;NDUFB6;NDUFB9	Oxidative Phosphorylation	32	53	4.370652113995921	7.321561900918172	16.758236257015366
WP4324	1.467621781105964e-17	5.870487124423856e-20	NDUFA1;NDUFA2;NDUFA3;NDUFA12;NDUFS3;NDUFS4;NDUFS6;DMAC1;FOXRED1;ECSIT;NDUFA5;NDUFV3;TMEM70;NDUFA10;DMAC2;NDUFB1;NDUFB2;NDUFB3;TMEM186;TIMMDC1;NDUFAF1;NDUFA6;NDUFA7;NDUFB11;NDUFB10;NDUFC1;NDUFC2;NDUFB4;NDUFB5;NDUFB6;NDUFB9	Mitochondrial Complex I Assembly Model Oxphos System	31	50	4.123256711316906	7.518328877005348	16.833385851465057
WP4396	1.2963317093150953e-16	6.913769116347175e-19	NDUFA1;NDUFA2;NDUFA3;COX6B1;MLXIPL;NDUFA11;UQCRQ;NDUFA12;BID;NDUFS3;NDUFS4;NDUFS6;COX7C;COX7B;COX6C;UQCR10;NDUFV3;NDUFA5;MAP3K5;RXRA;PRKAA2;PKLR;NDUFB11;COX5A;PPARA;UQCR11;MLX;SREBF1;UQCRHL;ADIPOR2;UQCRC2;UQCRC1;COX7A2L;UQCRH;NDUFA10;NDUFB1;NDUFB2;NDUFB3;BAK1;NDUFA6;NDUFA7;NDUFA9;NR1H4;NDUFB10;NDUFC1;NDUFC2;NDUFB4;NDUFB5;NDUFB6;COX5B;NDUFB9	Nonalcoholic Fatty Liver Disease	51	137	11.297723389008324	4.514183808891838	15.887283855647235
WP4922	2.5866574515722947e-10	1.7244383010481967e-12	COX6B1;COA3;COX14;COX16;PET117;TACO1;COX5A;COX18;HIGD1A;COX7C;PNKD;COX7B;COX6C;COA6;SMIM20;SURF1;PET100;COX5B	Mitochondrial Complex Iv Assembly	18	28	2.3090237583374673	7.795502291825822	9.587261080654166
WP702	1.1063934752018511e-09	8.851147801614809e-12	CYP4F3;CYP8B1;AKR1B1;CYP3A4;GSTA3;CYP2J2;GSTM4;CYP4F2;NAT2;CYP4V2;GLYATL1;TPMT;CYP21A2;CYP17A1;CHST7;AKR1C4;EPHX1;FMO3;FMO4;AKR1C2;AKR1C1;SULT1A1;UGT2B4;UGT2B7;UGT2B15;SULT2A1;HS6ST1;CHST13;AKR1D1;CYP4F11;CYP1A2;MGST2;CYP2A7;GSTO1;BAAT;CYP2B6;CYP3A7;AKR1C3;AKR1A1;CYP2D6;CYP2C18;GSTA2;GSTA1;GSS	Metapathway Biotransformation Phase I And Ii	44	154	12.699630670856072	3.4646676852559204	8.956090394081128
WP2879	7.91425352828565e-08	7.386636626399941e-10	NR1H4;UGT2B4;NR0B2;RXRA;ABCB4;SLC10A1;CYP8B1;BAAT;SLC27A5;CYP3A4;SLCO2B1;PPARGC1A;SULT2A1	Farnesoid X Receptor Pathway	13	19	1.5668375503004244	8.296967351533915	7.101590041488255
WP4545	5.006263338623446e-07	5.340014227865009e-09	RORC;CYP8B1;BAAT;INSIG1;SLC27A5;CYP3A4;SLC27A2;DHCR7;ACOX2;ACOT1;ACOT12;AKR1D1;HSD3B7;EBP;NR1I2;AKR1C4;ACOT8	Oxysterols Derived From Cholesterol	17	36	2.9687448321481726	5.726325757575758	6.300486309441531
WP4921	1.04021328003833e-06	1.248255936045996e-08	UQCRC2;UQCRC1;UQCRH;UQCR11;UQCRQ;UQCR10;LYRM7;BCS1L;UQCC3;TTC19	Mitochondrial Complex Iii Assembly	10	13	1.0720467449423956	9.327951460304401	5.982877606040373
WP3925	9.482687452660104e-07	1.2643583270213471e-08	CBS;BHMT;TH;DBH;ASS1;ADH1C;TDO2;MDH1;IDH1;GOT1;SDS;HAL;FAH;CTH;DDC;LARS2;TAT;SMS;GSS;FTCD	Amino Acid Metabolism	20	51	4.205721845543244	4.75542623466499	6.023068563457627
WP5176	1.0174651112942827e-06	1.4922821632316147e-08	ABCB4;CYP8B1;BAAT;SLC27A5;AKR1D1;SLCO1B3;HSD3B7;SLC27A2;ACOX2;AKR1C4;SLCO1B1	Disorders Of Bile Acid Synthesis And Biliary Transport	11	16	1.31944214762141	8.33685661764706	5.9924804737313915
WP2289	2.416221825186737e-06	3.8659549202987795e-08	NR1H4;NR1I3;ABCB1;SLC10A1;SLC51A;BAAT;CYP3A4;ABCC3;SULT2A1;NR1I2;SLCO1B1	Drug Induction Of Bile Acid Pathway	11	17	1.401907281847748	7.846453287197233	5.616863197107113
WP4718	1.540945670195711e-05	2.6709724950058994e-07	HMGCS1;DHCR24;SOAT1;DHCR7;MSMO1;SC5D;PMVK;NSDHL;FADS2;SREBF1;ACAT2;ABCA1;EBP;HSD17B7;MVK;TM7SF2	Cholesterol Metabolism With Bloch And Kandutsch-russell Pathways	16	40	3.298605369053525	4.850534759358289	4.812212673124639
WP5173	1.6331807548725817e-05	3.0486040757621527e-07	GALK1;GALE;GALT;AKR1B1;GYS1;GYG2;GBE1;PGM1;SLC2A2	Disorders Of Galactose Metabolism 	9	13	1.0720467449423956	8.395156314273962	4.786965746372042
WP5064	2.9742968584327012e-05	5.948593716865402e-07	BAAT;SLC27A5;SLC27A2;DHCR7;ACOX2;HSD11B1;ACOT1;ACOT12;EBP;ACOT8	7-oxo-c And 7-beta-hc Pathways	10	17	1.401907281847748	7.133139351997484	4.526615687614604
WP299	3.507715004579234e-05	7.483125343102367e-07	ABCB1;ABCB4;PPARA;CYP8B1;CYP4A11;CYP2B6;CYP3A4;NR1H4;NR1I3;ABCA1;CYP1A2;ABCC3;NR1I2	Nuclear Receptors In Lipid Metabolism And Toxicity	13	29	2.391488892563806	5.435944126867048	4.454975699504
WP696	8.646464758875171e-05	2.075151542130041e-06	AKR1C2;AKR1A1;AKR1C1;CYP3A4;AKR1C3;EPHX1;AKR1C4	Benzo(a)pyrene Metabolism	7	9	0.7421862080370432	9.431595365418895	4.063161424274242
WP1604	9.155080332926651e-05	2.075151542130041e-06	UGT2B4;UGT2B7;ABCB1;CYP3A4;CYP2D6;ABCC3;SLCO1B1	Codeine And Morphine Metabolism	7	9	0.7421862080370432	9.431595365418895	4.038337840549211
WP5193	0.00014788203487929043	3.7463448836086905e-06	HSD3B2;HMGCS1;EBP;MVK;DHCR24;DHCR7;MSMO1;PMVK;SC5D	Cholesterol Synthesis Disorders	9	16	1.31944214762141	6.821064505347594	3.830084582099695
WP43	0.0001593365024389673	4.248973398372461e-06	CYP4F3;CYP8B1;CYP4A11;CYP3A4;CYP2J2;CYP4F2;CYP4V2;CYP4F11;CYP1A2;CYP17A1;CYP2A7;CYP2B6;CYP3A7;CYP2D6;CYP2C18;POR;CYP4A22	Oxidation By Cytochrome P450	17	53	4.370652113995921	3.889579759862779	3.797684720169873
WP2882	0.00023466214035113852	6.570539929831878e-06	CYP8B1;CYP4A11;CYP3A4;PPARGC1A;SRXN1;SLC39A9;NR0B2;RXRA;ME1;SLC27A5;ETNK2;SULT1A1;UGT2B4;UGT2B7;SULT2A1;ACOX1;SREBF1;CES3;CPEB4;SLC2A11;PTGR1;GSTA2;GSTA1;CBR1;GSTA3;GSTM4;SLC2A2;SLC6A3;CES2;SLCO1B1;SLC6A1;SLC6A13;ABCC3;SLC6A11;PPARA;SLC10A1;SLCO2B1;ABCG8;CYP1A2;EPB41L4B;MGST2;NR1I2;ABCB1;ABCB4;BAAT;CYP2B6;CYP3A7;NR1H4;SLC39A14;NR1I3;SLC5A6	Nuclear Receptors Meta-pathway	51	287	23.66749352295904	2.1548542920494143	3.6295569724503434
WP2875	0.0002323439009604363	6.815421094839464e-06	RXRA;ABCB1;CYP4A11;CYP2B6;CYP3A4;PPARGC1A;SULT2A1;NR1I3;SULT1A1;ABCC3;GSTA2	Constitutive Androstane Receptor Pathway	11	25	2.061628355658453	5.335588235294118	3.6338687232883724
WP4504	0.000522542650776399	1.6024641290476235e-05	MAT1A;CTH;CDO1;CBS;BHMT;GSS;GOT1	Cysteine And Methionine Catabolism	7	11	0.9071164764897194	7.716759844433642	3.2818782559520665
WP4583	0.0005364608903839797	1.7166748492287347e-05	GPT;ASS1;ASL;F7;GAMT;GOT1	Biomarkers For Urea Cycle Disorders	6	8	0.659721073810705	9.094752673796792	3.2704619339208523
WP2876	0.0007542645063480165	2.514215021160055e-05	RXRA;ABCB1;CYP2B6;CYP3A4;CYP3A7;PPARGC1A;SULT2A1;SLCO1B1;ABCC3;GSTA2;NR1I2	Pregnane X Receptor Pathway	11	28	2.3090237583374673	4.763918067226891	3.122476328529423
WP558	0.001910731640049394	6.623869685504566e-05	SERPINF2;F7;F5;LMAN1;F13B;SERPIND1;MASP2;F8;C4B;C6;CPB2;KLKB1;C8G;SERPINC1;CFI;KNG1	Complement And Coagulation Cascades	16	58	4.782977785127612	3.345196385764337	2.71880030479731
WP197	0.001950877574281888	7.023159267414797e-05	NSDHL;HMGCS1;MVK;DHCR7;MSMO1;PMVK;SC5D	Cholesterol Biosynthesis Pathway	7	13	1.0720467449423956	6.529566022213081	2.7097699835434965
WP4920	0.0020997088639248644	8.118874273842809e-05	SDHAF4;SDHAF3;SDHAF2;SDHAF1	Mitochondrial Complex Ii Assembly	4	4	0.3298605369053525	12.126336898395722	2.6778409183880916
WP4661	0.0021746984662078953	8.118874273842809e-05	AMDHD1;HAL;UROC1;FTCD	Amino Acid Metabolism Pathway Excerpt: Histidine Catabolism Extension	4	4	0.3298605369053525	12.126336898395722	2.662600951831355
WP691	0.0029589351686128895	0.00011835740674451557	UGT2B7;UGT2B15;FMO3;SULT1A1;CYP1A2;CYP2D6;CYP3A4;SULT2A1	Tamoxifen Metabolism	8	18	1.4843724160740863	5.389483065953654	2.5288645502912517
WP4804	0.0033126695920821566	0.00013692367647272915	NSDHL;EBP;DHCR24;DHCR7;SC5D	Cholesterol Biosynthesis With Skeletal Dysplasias	5	7	0.5772559395843668	8.661669213139803	2.479821878784919
WP430	0.0035593282005208105	0.0001518646698888879	DGAT1;APOB;SOAT1;ABCG8;LPL;LIPC;ABCA1;APOC2;APOE;SCARB1	Statin Inhibition Of Cholesterol Production	10	28	2.3090237583374673	4.330834606569901	2.4486319644818413
WP5066	0.0042619336886594444	0.00018752508230101555	SREBF1;MLXIPL;SLC27A5;APOB;ABCC3;GSTA2;GSTA1;SLCO1B1	Foxa2 Pathway	8	19	1.5668375503004244	5.10582606248241	2.3703933117483604
WP497	0.004719542558380359	0.00022024531939108337	PYCR3;GAMT;ASS1;ASL;SMS;ACY1	Urea Cycle And Metabolism Of Amino Groups	6	11	0.9071164764897194	6.614365580943121	2.3261000933147815
WP4292	0.004858352633626839	0.00022024531939108337	ADK;MAT1A;CDO1;CBS;BHMT;CTH	Methionine Metabolism Leading To Sulfur Amino Acids And Related Disorders	6	11	0.9071164764897194	6.614365580943121	2.313510966006761
WP4524	0.007010803259100792	0.000336518556436838	AKR1C2;CYP17A1;POR;HSD3B2;AKR1C4	Alternative Pathway Of Fetal Androgen Synthesis	5	8	0.659721073810705	7.578960561497326	2.1542322201204254
WP4720	0.006821322089935906	0.000336518556436838	CYP4A11;PPARA;CYP2C18;CYP4A22;CYP4F2	Eicosanoid Metabolism Via Cytochrome P450 Monooxygenases Pathway	5	8	0.659721073810705	7.578960561497326	2.166131443420133
WP698	0.007157268671224448	0.00036263494600870537	UGT2B4;UGT2B10;UGT2B7;UGT2B15;UGP2;PGM1;UGDH	Glucuronidation	7	16	1.31944214762141	5.305272393048129	2.145252679832282
