	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0032543	5.786354081170845e-46	4.620212457019199e-50	MRPS12;MRPL33;NDUFA7;MRPL19;MRPL12;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS11;MRPS34;MRPS9;MRPL28;MRPL49;MRPL58;MRPL23;MRPL51;MRPL2;MRPL54;MRPL14;MRPL55;MRPL41;MRPL50;GADD45GIP1;MRPS27;MRPS31;GFM2;MRPL24;MRPS24;MRPL34;MRPL57;MRPL32;MRPL13;MRPL4;MRPL1;MRPS26;MRPL37;MRPL46;MRPL44;MRPS30;MRPL40;MRPL17;MRPS18A;AURKAIP1;MRPL22;MRPL16;MRPL39;FASTKD2;MRPL35;MRPL15;MRPL27;MRPS33;MRPS28;MRPS17;MRPS7;MRPS2;MRPL11;MRPS16;MRPS18C;MRPS23;MRPS18B;MRPL42;LARS2;IARS2	Mitochondrial Translation	65	93	7.161733090788821	9.076015424758122	45.23759499433242
GO:0042776	1.12358650039801e-40	1.7942933573906262e-44	NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS6;NDUFB1;NDUFS3;ATP5PD;ATP5MG;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;MT-ATP6;MT-ND1;MT-ND2;MT-ND4L;MT-ND4;ATP5F1B;NDUFB7;ATP5PF;ATP5PB;ATP5F1A;ATP5F1D;ATP5F1C;ATP5PO;NDUFA8;ATP5MF;NDUFV3;ATP5F1E;ATP5ME;NDUFA6;NDUFA5;NDUFA9;NDUFA11;NDUFB11;NDUFA13;STOML2;NDUFB9	Proton Motive Force-driven Mitochondrial Atp Synthesis	46	52	4.004409900226007	11.487335499146523	39.949393487375296
GO:0009060	1.2453423584412963e-32	2.9830941195495763e-36	NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;MT-ND1;MT-ND2;MT-ND4L;MT-ND4;UQCRH;UQCRB;NDUFB7;UQCRC2;ATP5F1D;UQCRC1;NDUFA8;NDUFV3;NDUFA6;OXA1L;SURF1;NDUFA5;NDUFA9;NDUFA11;NDUFB11;NDUFA13;NDUFB9;MTFR1L;MT-CO3	Aerobic Respiration	41	51	3.9274020175293534	10.439471135626764	31.904711239779072
GO:0032981	6.623026376588673e-27	2.115307050970512e-30	NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFC2;NDUFA10;NDUFB10;MT-ND1;MT-ND2;MT-ND4;NDUFB7;NDUFA8;NDUFA6;OXA1L;NDUFA5;NDUFA9;NDUFA11;TMEM186;FOXRED1;DMAC1;ECSIT;TIMM21;DMAC2;NDUFB11;NDUFAF4;NDUFA13;BCS1L;NDUFAF1;NDUFB9	Mitochondrial Respiratory Chain Complex I Assembly	38	53	4.081417782922661	9.310490133844763	26.178943515346575
GO:0006120	4.069049277373642e-26	1.6245006696637024e-29	NDUFA4;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;MT-ND1;MT-ND2;MT-ND4L;MT-ND4;NDUFB7;NDUFA8;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFAF1;NDUFB9	Mitochondrial Electron Transport, Nadh To Ubiquinone	31	36	2.7722837770795437	11.182116439990455	25.390507050682015
GO:0045333	3.798493391736254e-15	1.8197828449710573e-18	NDUFA4;UQCRQ;UQCR11;NDUFS4;MT-CO2;MT-CO3;CYP1A2;UQCRH;COX8A;COX5B;COX4I1;COX7A2;COX6B1;UQCRB;COX7C;COX5A;UQCRC2;COX7B;UQCRC1;MTLN;PPARGC1A;UQCR10	Cellular Respiration	22	30	2.3102364808996194	9.522834645669292	14.420388624803984
GO:0015986	6.208142584071657e-13	3.469897643604407e-16	ATP5PD;ATP5MG;MT-ATP6;ATP5MC1;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP5F1D;ATP5F1C;ATP5PO;ATP5MC3;ATP5MF;ATP5MJ;ATP5F1E;ATP5ME;ATP5MC2;ATP5MK	Proton Motive Force-driven Atp Synthesis	18	23	1.7711813020230416	10.16270891039806	12.207038317077766
GO:1902600	1.3717738285721764e-08	8.762528448241306e-12	COX7A2L;ATP5PD;ATP5MG;LETM1;SLC2A10;MT-CO2;MT-CO3;MT-ATP6;ATP1B1;ATP5MC1;ATP5F1B;UQCRH;COX8A;COX5B;COX4I1;COX6B1;ATP5PF;COX5A;COX7A1;COX7B;ATP5PB;ATP5F1A;UQCRC1;ATP6V1E1;ATP5PO;ATP5MC3;ATP5MF;ATP5ME;ATP5MC2;SURF1;MFSD3;UQCR10;SLC36A2	Proton Transmembrane Transport	33	109	8.393859213935285	3.9314454959185148	7.862717487098695
GO:0006953	4.7652775597202764e-08	3.424424947100167e-11	F8;F2;ASS1;SERPINA1;SERPINA3;APCS;ORM1;AHSG;SERPINF2;SAA2;MBL2;LBP;ORM2;SAA4;HAMP;ITIH4;APOL2;TFR2	Acute-phase Response	18	36	2.7722837770795437	6.492841803865426	7.321911798248264
GO:0006805	7.231194807146663e-08	5.773870015287978e-11	CES2;ABCC3;CYP1A2;CYP2E1;EPHX1;CYP3A4;CYP2D6;NAT2;CYP2A6;CYP2C9;POR;CYP2B6;CYP3A5;AADAC;HNF4A;SULT1A1;TPMT;CYP2J2;UGT2B15;AOX1;SULT2A1;CES3;CMBL;VKORC1;SLC22A7;CYP2A7;GSTA1	Xenobiotic Metabolic Process	27	81	6.237638498428972	4.328561202576951	7.140789938489741
