	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0005743	4.9281300325873574e-121	2.690027310364278e-124	NDUFA4;COX7A2L;UQCRQ;UQCR11;MRPS12;NDUFA1;NDUFS4;TIMM44;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;OPA1;NDUFS6;MRPL33;NDUFB1;NDUFS3;ERAL1;ATP5PD;ATP5MG;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;LETM1;NDUFC2;NDUFA10;AIFM1;NDUFB10;MT-CO2;MT-CO3;MT-ATP6;AMBP;MT-ND1;MT-ND2;MT-ND4L;MT-ND4;CYP2E1;ATP5MC1;ATP5F1B;UQCRH;COX8A;COX5B;HSPD1;COX4I1;COX6B1;UQCRB;COX7C;NDUFB7;ATP5PF;COX5A;UQCRC2;COX7B;ATP5PB;ATP5F1A;HSD3B2;ATP5F1D;UQCRC1;PHB1;ATP5F1C;ATP5PO;ATP5MC3;MRPL19;NDUFA8;MRPL12;ATP5MF;NDUFV3;ATP5MJ;ATP5F1E;ATP5ME;NDUFA6;TIMM10;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS11;MRPS34;MRPS9;ATP5MC2;PMPCA;MRPL28;MRPL49;MRPL58;MRPL23;NDUFA5;NDUFA9;MRPL51;MPV17L2;MRPL2;MICOS13;TTC19;MRPL54;MRPL14;TMEM65;MRPL55;NDUFA11;MRPL41;SMIM20;MRPL50;MTLN;GADD45GIP1;MAIP1;MRPS27;MRPS31;MRPL24;TMEM186;FOXRED1;DNAJC19;OMA1;MRPS24;DMAC1;ATP5MK;DNAJC30;IMMP2L;TIMM17A;MRPL34;ECSIT;MRPL57;UQCC2;TMEM70;APOO;TIMM21;HIGD2A;PINK1;MRPL32;MRPL13;MRPL4;MRPL1;MRPS26;MRPL37;MRPL46;MRPL44;MRPS30;TIMMDC1;MRPL40;MRPL17;ATAD3A;MRPS18A;AURKAIP1;MRPL22;NDUFB11;MRPL16;CHCHD3;MRPL39;MRPL35;MRPL15;NDUFAF4;NDUFA13;MRPL27;TMEM14C;UQCR10;MTFP1;STOML2;HIGD1A;MRPS33;MRPS28;MRPS17;MRPS7;NDUFAF1;MRPS2;MRPL11;MRPS16;MRPS18C;PAM16;MRPS23;AFG3L2;TIMM8B;TIMM13;MRPS18B;MRPL42;NDUFB9;ADCK1;BCS1L;SLC27A1	Mitochondrial Inner Membrane	178	284	21.87023868584973	8.138914373859478	120.30731784149093
GO:0005739	2.0841318049763916e-81	2.275253062201301e-84	TMEM223;VWA8;HAX1;NDUFA4;COX7A2L;UQCRQ;RAB29;NDUFA1;NDUFS4;GPAA1;TIMM44;NDUFB5;NDUFS5;OPA1;CPNE3;NIPSNAP2;MRPL33;NDUFB1;NDUFS3;ERAL1;TRMU;ATP5PD;ATP5MG;TOMM70;NDUFB6;MFN2;NDUFB4;NDUFB8;NDUFA7;LETM1;NDUFC2;NDUFA10;AIFM1;TRUB2;MT-CO2;ATP5MC1;ATP5F1B;TH;UQCRH;UBB;HSPA1B;COX5B;CYP2D6;HSPD1;GHR;MTHFD1;COX4I1;COX6B1;COX7C;POR;NDUFB7;ATP5PF;SDS;ACO1;UQCRC2;S100A1;COX7A1;ATP5PB;ATP5F1A;PLN;ATP5F1D;PPP2R1A;PPIF;UQCRC1;PHB1;BSG;ATP5F1C;LONP1;TSFM;MTIF2;ATP5PO;MRPL19;TUFM;NDUFA8;MRPL12;NUDT6;MYOM2;GFER;ATP5MF;NDUFV3;ATP5ME;HSPE1;TIMM10;MRPS22;MRPS25;MRPS5;MRPS11;MRPS34;MRPS9;TFAM;PLIN5;PTS;C1QBP;PMPCA;BNIP3;MRPL28;MRPL49;ALKBH1;MRPL58;FASTKD3;OXA1L;PON2;KCNJ8;MRPL23;BAK1;CLPP;MRPL51;FASTKD1;COA6;VARS2;MRPL2;MICOS13;TTC19;XAF1;GRAMD4;MRPL54;MRPL14;DARS2;METAP1D;UQCC3;HSDL2;TRMT10C;ENOSF1;FASTKD5;MAVS;MRPL55;CMC1;NDUFA11;MRPL41;RBFA;TTC5;PNKD;MRPL50;MTLN;TRPV1;GADD45GIP1;PTCD2;CHCHD10;MRPS27;MRPS31;GLYATL1;MUL1;TBRG4;FAM162A;MRPL24;TMEM143;TMEM186;COA7;DCPS;FOXRED1;DNAJC19;ECHDC3;LGALS12;MTERF3;MALSU1;DNAJA3;COX14;NARS2;ATP5MK;PARK7;TIMM17A;NIPSNAP1;MRPL34;ECSIT;MRPL57;UQCC2;TACO1;TMEM70;APOO;BDH2;FUNDC2;C1orf43;BCL2L13;PINK1;PECR;MRPL32;MRPL13;MRPL4;MRPS26;MRPL37;SLIRP;GABARAPL1;MTIF3;MRPL46;GHITM;TFB2M;OPA3;DCTPP1;MRPL44;PDF;SARS2;MRPS30;TIMMDC1;MRPL40;XPNPEP3;MRPL17;C19orf12;DNAJC11;ATAD3A;MRPS18A;RMND1;AURKAIP1;MRPL22;NDUFB11;SDHAF2;MRPL16;CHCHD3;COA4;MRPL39;FASTKD2;MRPL35;MRPL15;NDUFAF4;NDUFA13;MRPL27;PEMT;ATP5IF1;HIGD1A;BCS1L;MRPS28;COA3;POLDIP2;TMX2;NDUFAF1;MRPS2;MRPL11;MRPS16;FIS1;MRPS23;PTRH2;AFG3L2;SAMM50;TIMM13;MRPS18B;MRPL42;CHCHD2;NDUFB9;GLRX;PXMP2;MRPS33;GFM1;ECHDC2;RTN4IP1;NIPSNAP3B;MRPS10;IDH1;RMDN2;MPV17L2;SURF1;MIX23;MTFR1L;PCK1;TMEM65;MTFP1;ATPAF1;COX8A;HIGD2A;STOML2;MT-CO3;PARS2;HDHD5;RIDA;NDUFA9;GATD3;LARS2;AARS1;IARS2;RPP14;COX7B	Mitochondrion	269	943	72.6184333829447	3.704293627231813	80.68107481878718
GO:0005747	4.04356742722396e-30	6.621562380825262e-33	NDUFA4;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;MT-ND1;MT-ND2;MT-ND4L;MT-ND4;NDUFB7;NDUFA8;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFA11;FOXRED1;NDUFB11;NDUFA13;NDUFAF1;NDUFB9	Mitochondrial Respiratory Chain Complex I	35	41	3.1573231905628134	11.085339665136093	29.39323531055333
GO:0005762	9.104709168480539e-27	1.9879277660437857e-29	MRPL33;MRPL19;MRPL12;MRPL28;MRPL49;MRPL58;MRPL23;MRPL51;MPV17L2;MRPL2;MRPL54;MRPL14;MRPL55;MRPL41;MRPL50;GADD45GIP1;MRPL24;MRPL34;MRPL57;MRPL32;MRPL13;MRPL4;MRPL1;MRPL37;MRPL46;MRPL44;MRPS30;MRPL40;MRPL17;MRPS18A;MRPL22;MRPL16;MRPL39;MRPL35;MRPL15;MRPL27;MRPL11;MRPL42	Mitochondrial Large Ribosomal Subunit	38	55	4.235433548315969	8.971926856250407	26.04073392230633
GO:0005759	2.277488306730653e-22	6.215852365531258e-25	TIMM44;NDUFS3;ERAL1;NDUFB8;NDUFA10;TRUB2;ATP5F1B;HSPD1;ATP5PB;ATP5F1A;ATP5F1D;PPIF;ATP5F1C;LONP1;BTD;RIDA;ATP5F1E;TFAM;C1QBP;MRPL58;LARS2;OXA1L;CLPP;NDUFA9;LACTB2;DARS2;TRMT10C;PARS2;TTC5;PYROXD2;GADD45GIP1;TFB1M;MAIP1;GFM2;TBRG4;DNAJA3;MARS2;NARS2;GFM1;PARK7;UQCC2;TARS2;TFB2M;SARS2;ACSS2;SDHAF3;IARS2;SDHAF2;PIN4;POLDIP2;NDUFAF1;PAM16;FASTKD3;FASTKD5;TSFM;FASTKD2;FASTKD1;FASTK;HSPE1	Mitochondrial Matrix	59	160	12.321261231464637	4.788470830350752	21.642543844139986
GO:0005763	3.930392102844757e-20	1.287246321892388e-22	MRPS12;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS11;MRPS34;MRPS9;MRPS27;MRPS31;MRPS24;MRPS26;MRPS18A;AURKAIP1;MRPS33;MRPS28;MRPS17;MRPS7;MRPS2;MRPS16;MRPS18C;MRPS23;MRPS18B;MRPL42	Mitochondrial Small Ribosomal Subunit	25	31	2.3872443635962735	10.472325490105526	19.405564121480193
GO:0005753	6.450537204175986e-16	2.4647249142593836e-18	ATP5PD;ATP5MG;MT-ATP6;ATP5MC1;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP5F1D;ATP5F1C;ATP5PO;ATP5MC3;ATP5MF;ATP5MJ;ATP5F1E;ATP5ME;ATP5MC2;ATP5MK	Mitochondrial Proton-transporting Atp Synthase Complex	18	20	1.5401576539330797	11.687115246957767	15.190404115582695
GO:0031966	5.372466864336929e-14	2.346055399273768e-16	NDUFA4;NDUFA1;NDUFA2;NDUFS3;NDUFB6;MT-CO2;MT-CO3;MT-ND1;ATP5F1B;COX8A;COX5B;COX4I1;COX7A2;COX6B1;COX7C;COX5A;COX7B;HSD3B2;PLN;NDUFA6;BNIP3;OXA1L;NDUFA9;GRAMD4;MAVS;FAM162A;OMA1;COX14;RNF5;BCL2L13;C19orf12;NDUFAF4;NDUFA13;PEMT;TMX2;TMEM14C;OPA1	Mitochondrial Membrane	37	99	7.623780386968744	4.853235287737793	13.269826254418186
GO:0005777	4.293710463952417e-11	2.1093555772692005e-13	VWA8;PEX7;SYT7;PEX10;PEX11A;IDH1;NUDT7;DAO;XDH;RIDA;PEX3;MVK;PEX6;ACOX1;PMVK;ACBD5;HSDL2;LONP2;PTGR3;MUL1;ISOC1;PEX11G;ACOX2;DDO;PECR;PIPOX;FIS1;DECR2;DHRS4L2;HAO1	Peroxisome	30	81	6.237638498428972	4.809512447307723	10.367167244517214
GO:0005761	1.5031507316250065e-09	8.204971242494577e-12	MRPS12;NDUFA7;MRPS22;MRPL28;MRPL49;MRPL51;MRPL34;MRPL57;MRPL32;MRPL13;MRPL37;MRPL40;MRPL39;MRPL35;MRPL11	Mitochondrial Ribosome	15	23	1.7711813020230416	8.468924091998382	8.822997467429916
