	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0008137	7.408247513802579e-25	1.6437203270030129e-28	NDUFA4;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;MT-ND1;MT-ND2;MT-ND4L;MT-ND4;NDUFB7;NDUFA8;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFB9	Nadh Dehydrogenase (ubiquinone) Activity	30	35	2.6952758943828896	11.130585949483587	24.13028451605575
GO:0003735	3.4342798248378267e-17	1.5239759595464062e-20	MRPS12;MRPL33;NDUFA7;MRPS22;MRPS11;MRPS34;MRPL28;MRPL51;MRPL14;MRPL55;MRPL41;MRPS31;MRPL24;MRPS24;MRPL34;MRPL57;MRPL32;MRPL13;MRPL1;MRPL37;MRPS30;MRPS18A;MRPL35;MRPL27;MRPS33;MRPS17;MRPS7;MRPS2;MRPL11;MRPS16;MRPS18C;MRPS23;MRPS18B;MRPL42;MRPS35;MRPL4;MRPL19;MRPL22;RPL22L1;MRPS25;MRPL16;MRPL2;MRPL15;RPS27L;MRPL44;MRPL12;MRPS5;MRPL49;MRPL23;MRPL17;MRPL46;MRPL54;MRPS9	Structural Constituent Of Ribosome	53	157	12.090237583374675	4.383702109616148	16.464164321454703
GO:0046933	3.2020634944744197e-09	2.131393495323554e-12	ATP5PD;ATP5MG;MT-ATP6;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP5F1D;ATP5F1C;ATP5PO;ATP5MF;ATP5F1E;ATP5ME	Proton-transporting Atp Synthase Activity, Rotational Mechanism	13	16	1.2321261231464637	10.550867931281317	8.49457006060333
GO:0016491	2.0784714101639343e-08	1.844660670214275e-11	HSD17B6;F8;AMBP;CYP1A2;CYP2E1;CYP3A4;CYP2D6;CYP2C9;COX7A2;NQO2;CYP3A5;GSTO1;HSDL2;PYROXD2;RTN4IP1;ADI1;SLC27A5;MMACHC;FOXRED1;HSD11B1;RDH5;RDH16;RETSAT;POR;XDH;BDH2;PTGR3;MSMO1;CP;CYB561A3;AOX1;SC5D;CRYL1	Oxidoreductase Activity	33	112	8.624882862025245	3.8261389201349836	7.682255944933776
GO:0004129	2.0812349129977693e-06	2.308891627465908e-09	COX7A2L;MT-CO2;MT-CO3;COX8A;COX5B;COX4I1;COX6B1;COX5A;COX7A1;COX7B;SURF1	Cytochrome-c Oxidase Activity	11	16	1.2321261231464637	8.927657480314961	5.681678897366093
GO:0009055	0.001457391271709108	1.940170319559496e-06	HSD17B6;UQCR11;NDUFS6;RDH16;NDUFS3;CYP1A2;AKR1B1;NQO2;POR;GPX2;COX5A;HAAO;MT-CO3	Electron Transfer Activity	13	36	2.7722837770795437	4.689274636125029	2.83642383578551
GO:0004745	0.00594734083705929	9.237050334904598e-06	HSD17B6;RDH16;ADH1B;AKR1A1;AKR1C3;RDH5;ADH1A;ADH6;ADH1C	Nad-retinol Dehydrogenase Activity	9	20	1.5401576539330797	5.843557623478883	2.225677171739088
GO:0005506	0.007030308129218486	1.2478913919180804e-05	SC5D;PAH;CYP17A1;CYP1A2;CYP2E1;CYP3A4;CYP21A2;CYP2D6;CYP2A6;CYP2C9;CYP2B6;CYP3A5;CYP2A7;XDH;CYP2J2;CYP4A11;AOX1;CYP4F3;MSMO1;CYP4A22;CYP4V2;ADI1;CYP4F11	Iron Ion Binding	23	109	8.393859213935285	2.7400983759432074	2.153025640003404
GO:0008395	0.011686482752862755	2.333666402834808e-05	CYP3A4;CYP21A2;CYP2C9;CYP2D6;CYP2A6;CYP3A5;CYP2J2;CYP2B6;CYP2A7;CYP2E1	Steroid Hydroxylase Activity	10	27	2.0792128328096577	4.809512447307723	1.9323161775350757
GO:0004497	0.01077298766922668	2.3902790479757446e-05	CYP1A2;CYP2E1;CYP3A4;CYP2D6;CYP2C9;CYP2B6;CYP3A5;CYP2J2;CYP4A11;CYP4F3;CYP4V2;CYP4F11;FMO4	Monooxygenase Activity	13	44	3.388346838652775	3.8366792477386613	1.967663837247913
GO:0016712	0.02177704144698902	5.315009006365192e-05	CYP1A2;CYP2D6;CYP2J2;CYP2B6;CYP2A6;CYP2E1;CYP2A7;CYP2C9	Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Flavin Or Flavoprotein As One Donor, And Incorporation Of One Atom Of Oxygen	8	19	1.4631497712364256	5.467656255886675	1.6620011223085733
GO:0070330	0.020168530538908245	5.3699215989993105e-05	CYP1A2;CYP2E1;CYP3A4;CYP2C9;CYP3A5;CYP2A7;CYP4A11;CYP4F3;CYP4F11	Aromatase Activity	9	24	1.8481891847196956	4.86963135289907	1.6953257429419955
GO:0003954	0.020001587494103617	5.769261979661572e-05	NDUFS3;AIFM1;NDUFA9;MT-ND4;MT-ND1	Nadh Dehydrogenase Activity	5	7	0.5390551788765778	9.275488291236325	1.698935533707586
GO:0071949	0.021458643802952808	6.665653721795857e-05	AIFM1;DAO;NQO2;XDH;AOX1;ACOX1;DHCR24;ACOX2;DDO;MMACHC	Fad Binding	10	30	2.3102364808996194	4.328561202576951	1.6683977291317533
GO:0008392	0.021553408471163212	7.173311006599694e-05	CYP2C9;CYP2J2;CYP4A11;CYP2A7;CYP2E1;CYP2B6;CYP2A6	Arachidonic Acid Epoxygenase Activity	7	15	1.1551182404498097	6.0599856836077315	1.666484040437567
GO:0016229	0.02020632044171551	7.173311006599694e-05	AKR1D1;AKR1C2;HSD17B13;HSD17B6;RDH16;AKR1C3;RDH5	Steroid Dehydrogenase Activity	7	15	1.1551182404498097	6.0599856836077315	1.6945127640378104
GO:0019843	0.025112310882513863	9.47213856229722e-05	ERAL1;ANG;FASTKD5;MRPS27;TACO1;IMP3;FASTKD2;MRPS17;EMG1;MRPL16;MRPS7	Rrna Binding	11	37	2.8492916597761972	3.8606086401361996	1.6001133208455829
GO:0047023	0.035989264290011425	0.00014373347175953088	HSD17B6;RDH16;AKR1C3;RDH5;AKR1C2	Androsterone Dehydrogenase Activity	5	8	0.6160630615732319	8.116052254831782	1.4438270313146946
GO:0047044	0.03409509248527398	0.00014373347175953088	HSD17B6;RDH16;AKR1C3;AKR1C2;RDH5	Androstan-3-alpha,17-beta-diol Dehydrogenase Activity	5	8	0.6160630615732319	8.116052254831782	1.4673081271642174
GO:0097177	0.04192788716714923	0.00018605674358619583	C1QBP;OXA1L;MRPS27;TACO1	Mitochondrial Ribosome Binding	4	5	0.3850394134832699	10.388546886184683	1.3774970220411624
GO:0008028	0.04037158468219278	0.00018810811589217849	SLC16A2;SLC6A12;SLC16A1;SLC6A13;SLC16A13;SLC16A12;SLC16A9	Monocarboxylic Acid Transmembrane Transporter Activity	7	17	1.3091340058431178	5.3470461914185865	1.393924203147907
GO:0005496	0.04344346629669355	0.00021206040792705972	SERPINA6;CYP3A4;CYP21A2;ESRRA;AKR1D1;ESRRG;PAQR9;PAQR5;HSD11B1	Steroid Binding	9	28	2.1562207155063113	4.173969731056346	1.3620755302546521
GO:0008233	0.04430047719765342	0.00022607299213357634	MASP2;HPN;CTSD;FURIN;UCHL3;PSMB5;HABP2;CLPP;LONP2;UNC5CL;MPND;COPS5;IMMP2L;PARK7;LAP3;CNDP2;SEC11C;PEPD;XPNPEP3	Peptidase Activity	19	98	7.546772504272091	2.5176325361927163	1.3535915956010511
