	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0002490	7.99322107625383e-33	8.914041570484921e-37	MRPS34;AIFM1;AIFM1;LONP1;COX4I1;COX6B1;COX8A;PET100;PET100;NDUFA13;NDUFAF1;TACO1;TIMMDC1;GFM2;GFM2;COX14;NDUFA11;GFM1;NDUFAF4;MT-ATP6;MT-CO2;MT-CO3;MT-ND1;MT-ND1;MT-ND1;MT-ND2;MT-ND2;MT-ND4;MT-ND4;NDUFA1;NDUFA2;NDUFA4;NDUFA4;NDUFA6;NDUFA8;NDUFA9;NDUFA10;NDUFB3;NDUFB8;NDUFB8;NDUFB9;NDUFB10;NDUFS3;NDUFS3;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFB11;TRMT10C;RMND1;NARS2;DARS2;FOXRED1;FOXRED1;SURF1;SURF1;SURF1;SLC13A3	Increased Csf Lactate	59	92	7.084725208092166	8.327775357131742	32.097278175161065
HP:0002151	2.3163658377558405e-29	5.166423191158337e-33	DNAJC19;MRPS34;BCS1L;C1QBP;AIFM1;AIFM1;LONP1;COX5A;COX4I1;COX6B1;COX8A;PET100;PET100;MRPS16;TSFM;NDUFA13;NDUFA13;NDUFAF1;TACO1;GFM2;GFM2;UQCRQ;COX14;MICOS13;NDUFA11;GFM1;MRPS28;MT-ATP6;MT-CO2;MT-CO3;UQCC3;MT-ND1;MT-ND1;MT-ND2;MT-ND4;MT-ND4;NDUFA1;NDUFA2;NDUFA4;NDUFA8;NDUFA9;NDUFA9;NDUFA10;NDUFB8;NDUFB8;NDUFB9;NDUFC2;NDUFS3;NDUFS3;NDUFS4;TRMT10C;TMEM70;RMND1;NARS2;DARS2;ATAD3A;ATAD3A;MRPL12;FOXRED1;FASTKD2;TARS2;TRMU;SURF1;SURF1;SURF1;SURF1;TUFM;UQCRB;UQCRC2;CHCHD10;CHCHD10;MRPL44;MRPS22	Increased Serum Lactate	73	155	11.936221817981368	6.115838086221627	28.635192848756592
HP:0003128	2.1399967635449118e-27	7.159574317647748e-31	ALDOB;MRPS34;ATP5F1D;ATP5F1E;BCS1L;BCS1L;COX6B1;COX8A;TKFC;TKFC;PET100;MRPS16;TSFM;MRPS7;NDUFAF1;TIMMDC1;SLC37A4;SLC37A4;SLC37A4;GFER;MICOS13;NDUFA11;NDUFA11;COA6;NDUFAF4;MT-CO2;MT-CO2;MT-CO3;MT-CO3;UQCC3;MT-ND1;MT-ND1;MT-ND1;MT-ND2;MT-ND4;NDUFA1;NDUFA4;NDUFA6;NDUFA8;NDUFA10;NDUFB3;NDUFB3;NDUFB9;NDUFB10;NDUFB10;NDUFS3;NDUFS3;NDUFS4;NDUFS6;NDUFS6;PCK1;PHKA2;NDUFB11;SLC13A5;TRMT10C;TMEM70;RMND1;FOXRED1;FOXRED1;TRMU;PMPCA;SURF1;LARS2;TUFM	Lactic Acidosis	64	128	9.85700898517171	6.492841803865426	26.66958688346186
HP:0001639	2.376839430471731e-16	1.0602607027865421e-19	ATP5F1E;BCS1L;BAG3;COX6B1;COX7B;TKFC;PET100;ABCC9;NDUFA13;MLXIPL;NDUFAF1;NDUFAF1;TACO1;TIMMDC1;FAH;FLNC;DNAJC30;AGPAT2;GATA4;ATP5MK;COX14;MICOS13;NDUFA11;NDUFA11;COA6;KCNJ8;NDUFAF4;NDUFAF4;MT-ATP6;MT-ND1;MT-ND1;MT-ND2;MT-ND2;MT-ND4;NDUFA1;NDUFA2;NDUFA2;NDUFA4;NDUFA6;NDUFA9;NDUFA10;NDUFA10;NDUFB3;NDUFB8;NDUFB9;NDUFB10;NDUFS3;NDUFS3;NDUFS4;NDUFS4;NDUFS6;NRAS;OPA1;PMM2;NDUFB11;NDUFB11;NEK8;TMEM70;TMEM70;ATAD3A;ATAD3A;ATAD3A;FOXRED1;FOXRED1;FOXRED1;FASTKD2;SLC22A5;SURF1;SURF1;SURF1;MLX;MRAP;TPI1;TTPA;TTR;SLC2A10;MRPL44;MRPS22	Hypertrophic Cardiomyopathy	78	262	20.176065266523345	3.865966875583994	15.624000156435692
HP:0001138	5.5971088217287904e-15	3.120948378347714e-18	APOB;BTD;TSFM;NDUFA13;NDUFAF1;TIMMDC1;CISD2;NDUFA11;NDUFAF4;MT-ATP6;MT-CO3;MT-ND1;MT-ND1;MT-ND2;MT-ND2;MT-ND4;MT-ND4L;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS3;NDUFS4;NDUFS4;NDUFS6;NDUFB11;TMEM53;FOXRED1;ABCG5	Optic Neuropathy	30	49	3.7733862521360453	7.9504185353454195	14.252036249245336
HP:0002240	3.2817327804039215e-14	2.1958733893636142e-17	ACOX1;ACOX1;MYORG;ALDOB;ALDOB;ANK1;PEX3;PEX3;PEX3;APOA1;APOC2;APOE;APOE;ARG1;ASL;ASS1;HAMP;BTD;C1QBP;CBS;XPR1;COX5A;TKFC;LPIN2;MFN2;GNE;TSFM;MRPS7;NDUFAF1;NDUFAF1;MAGT1;TIMMDC1;FAH;FAH;FBP1;FBP1;FLNC;AGPAT2;AGPAT2;PTRH2;PTRH2;SLC37A4;SLC37A4;SLC37A4;SLC37A4;GALT;GALT;CDIN1;GBA;GBA;GBA;GBA;GBA;GBA;GBA;GBA;COX14;HNF4A;HNF4A;ALG2;ALG2;NDUFA11;IGF2;GFM1;LIG4;LIG4;MPI;MPI;MRPS28;NDUFAF4;MT-ATP6;MT-ND1;MT-ND1;MT-ND2;MT-ND2;MT-ND4;MVK;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS3;NDUFS4;NDUFS4;NDUFS6;NRAS;NRAS;PCK1;PEPD;PEPD;PEX6;PEX6;PEX6;PEX6;PEX10;PEX10;PEX10;PHKA2;PHKA2;SERPINA1;SERPINA1;PMM2;NDUFB11;NEK8;PTEN;TMEM70;RMND1;ATAD3A;STEAP3;SLC35C1;DHDDS;SC5D;NOP10;FOXRED1;TRMU;TRMU;HSD3B7;HSD3B7;SLC22A5;SLC22A5;SMPD1;SMPD1;SMPD1;AKR1D1;AKR1D1;SURF1;HNF1A;TUFM;UQCRB;GALM	Hepatomegaly	131	634	48.822997629678625	2.6831617549096873	13.483896784867554
HP:0001943	4.798097366997957e-14	3.7455873278672575e-17	ALDOB;ATP5F1D;BCS1L;MMACHC;CYP21A2;DBH;NR1H4;MRPS7;NDUFAF1;MRPS2;COX16;TIMMDC1;FAH;FBP1;SLC37A4;SLC37A4;GALK1;GALT;GHR;GHR;MICOS13;HNF4A;NDUFA11;IGF1;IGF2;MRPS28;NDUFAF4;UQCC3;MT-ND1;MT-ND2;NDUFA1;NDUFA6;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS3;NDUFS4;NDUFS4;NDUFS6;PHKA2;NDUFB11;SLC13A5;PTEN;RNF125;FOXRED1;FOXRED1;SLC22A5;TFAM;UQCRB;UQCRC2	Hypoglycemia	51	140	10.781103577531558	4.730499028530525	13.318930943212523
HP:0001298	1.1880233364510363e-13	1.0599070694332877e-16	AARS1;ACOX1;ACY1;ATP5F1A;ATP5F1A;ATP5F1D;FADD;FADD;PARS2;MMACHC;TSFM;EEF1A2;NDUFAF1;NDUFAF1;COX16;TIMMDC1;GALT;GBA;GBA;NDUFA11;NDUFA11;MST1;NDUFAF4;NDUFAF4;MT-CO2;MT-CO2;MT-CO3;MT-CO3;MT-ND1;MT-ND1;MT-ND1;MT-ND2;MT-ND4;NDUFA1;NDUFA6;NDUFA6;NDUFB3;NDUFB3;NDUFB9;NDUFB10;NDUFS3;NDUFS3;NDUFS4;NDUFS6;NDUFS6;NDUFB11;SLC13A5;TMEM70;ATAD3A;UBA5;UBA5;DHDDS;FOXRED1;SLC22A5;TUFM	Encephalopathy	55	163	12.5522848795546	4.381672382976668	12.925175028384816
HP:0000114	1.7016437797312555e-13	1.7079061021056428e-16	ALDOB;CLCN5;CLCN5;CLCN5;CLCN5;NDUFAF1;TIMMDC1;NDUFA11;NDUFAF4;MT-CO2;MT-CO3;MT-ND1;MT-ND1;MT-ND2;MT-ND4;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS3;NDUFS4;NDUFS6;PMM2;NDUFB11;FOXRED1	Proximal Tubulopathy	26	41	3.1573231905628134	8.234823751243955	12.769131349473971
HP:0001942	3.9298993545948597e-13	4.3826244614641014e-16	ALDOB;BCS1L;C1QBP;COX6B1;COX6B1;MMACHC;MMACHC;PET100;NDUFAF1;FBP1;FBP1;SLC37A4;GALT;COX14;HNF4A;HPD;HPD;GFM1;COA6;MRPS28;NDUFAF4;NDUFA2;NDUFA6;NDUFA9;NDUFB8;NDUFB10;PRDX1;NDUFB11;TUFM;UQCRB;UQCRC2;MRPS22	Metabolic Acidosis	32	63	4.851496609889201	6.595902784879162	12.405618571839277
