	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP111	5.203963057223809e-57	6.938617409631745e-60	NDUFA1;NDUFA2;COX6B1;UQCRQ;ATP5F1D;ATP5F1E;ATP5PB;ATP5MC1;ATP5MC2;NDUFS3;ATP5MC3;NDUFS4;NDUFS5;NDUFS6;COX8A;COX7C;COX7B;COX7A2;COX7A1;ATP5ME;ATP5PF;UQCR10;NDUFA4;NDUFA5;NDUFV3;ATP5IF1;MT-ATP6;ATP5F1A;ATP5PO;ATP5PD;ATP5MG;COX5A;MT-CO2;MT-CO3;UQCR11;ATP5MF;SURF1;MT-ND1;MT-ND2;MT-ND4;MT-ND4L;UQCRC2;UQCRC1;COX7A2L;UQCRH;UQCRB;NDUFA10;NDUFB1;NDUFB2;NDUFB3;NDUFA6;NDUFA7;NDUFA8;NDUFA9;COX4I1;NDUFB10;NDUFC1;NDUFC2;NDUFB4;ATP5F1B;NDUFB5;NDUFB6;NDUFB7;COX5B;ATP5F1C;NDUFB8;NDUFB9	Electron Transport Chain: Oxphos System In Mitochondria	67	77	5.929606967642357	11.299231191142429	56.28366579514289
WP623	4.908411197576205e-35	1.308909652686988e-37	NDUFA2;NDUFA11;ATP5F1D;ATP5F1E;ATP5PB;ATP5MC1;ATP5MC2;NDUFS3;ATP5MC3;NDUFS4;NDUFS5;NDUFS6;ATP5MF;ATP5ME;ATP5PF;NDUFA4;NDUFV3;NDUFA5;MT-ND1;MT-ND2;MT-ND4;MT-ND4L;NDUFA10;MT-ATP6;NDUFB1;NDUFB2;ATP5F1A;ATP5PO;NDUFA6;NDUFA7;NDUFA8;ATP5PD;NDUFA9;ATP5MG;NDUFB10;NDUFC1;NDUFC2;NDUFB4;NDUFB5;ATP5F1B;NDUFB6;NDUFB7;NDUFB8;NDUFB9	Oxidative Phosphorylation	44	53	4.081417782922661	10.780567523399199	34.309059061805286
WP4324	4.7036632017649803e-29	1.8814652807059922e-31	NDUFA1;NDUFA2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;DMAC1;NDUFAF4;FOXRED1;ECSIT;NDUFA5;NDUFV3;MT-ND1;MT-ND2;MT-ND4;TMEM70;MT-ND4L;NDUFA10;DMAC2;NDUFB1;NDUFB2;NDUFB3;TMEM186;TIMMDC1;NDUFAF1;NDUFA6;NDUFA7;NDUFA8;NDUFB11;NDUFB10;NDUFC1;NDUFC2;NDUFA13;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9	Mitochondrial Complex I Assembly Model Oxphos System	39	50	3.8503941348326993	10.128833214030065	28.327563782776213
WP4396	4.129907836536068e-24	2.2026175128192366e-26	NDUFA1;NDUFA2;COX6B1;MLXIPL;NDUFA11;UQCRQ;NDUFS3;NDUFS4;NDUFS5;NDUFS6;COX8A;COX7C;COX7B;COX7A2;COX7A1;UQCR10;NDUFA4;NDUFV3;NDUFA5;MAP3K5;PRKAA2;PKLR;NDUFB11;COX5A;MT-CO2;MT-CO3;PPARA;UQCR11;MLX;SREBF1;UQCRHL;UQCRC2;UQCRC1;COX7A2L;UQCRH;UQCRB;NDUFA10;NDUFB1;NDUFB2;NDUFB3;BAK1;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NR1H4;CYP2E1;NDUFB10;COX4I1;NDUFC1;NDUFC2;NDUFA13;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;COX5B;NDUFB9	Nonalcoholic Fatty Liver Disease	59	137	10.550079929441596	5.5923746923804405	23.384059639997457
WP4922	3.8039220626834984e-16	2.5359480417889988e-18	COX6B1;COA3;COX14;COX16;TACO1;COX5A;HIGD1A;COX8A;COX7C;PNKD;COX7B;COX4I1;COX7A2;COA6;SMIM20;NDUFA4;SURF1;PET100;MT-CO2;CMC1;MT-CO3;COX5B	Mitochondrial Complex Iv Assembly	22	28	2.1562207155063113	10.203037120359957	15.419768389761236
WP558	7.0573791173590444e-09	5.6459032938872357e-11	PLG;SERPINA1;SERPINF2;F7;F2;C2;LMAN1;C3;F13B;F12;MASP2;F9;F8;C4B;SERPINA5;PROC;CPB2;KLKB1;C8G;C9;SERPINC1;CFI;KNG1;CFB	Complement And Coagulation Cascades	24	58	4.466457196405931	5.373386320440353	8.15135655195023
WP4921	2.596779890521579e-08	2.4236612311534737e-10	UQCRC2;UQCRC1;UQCRH;UQCRB;UQCR11;UQCRQ;UQCR10;UQCC2;BCS1L;UQCC3;TTC19	Mitochondrial Complex Iii Assembly	11	13	1.0011024750565019	10.987886129618413	7.585564860683789
WP206	9.724050530379171e-08	1.0372320565737782e-09	CYP2E1;ADH6;CYP4A11;ADH1A;CYP1A2;ADH1B;CYP3A4;CYP2D6;ADH1C;ALDH1A1;CYP2A6	Fatty Acid Omega-oxidation	11	14	1.0781103577531557	10.203037120359957	7.012152793040567
WP3925	5.917541569822869e-07	7.1010498837874415e-09	CBS;MARS2;BHMT;TH;DBH;ASS1;ADH1C;PCK1;MDH1;IDH1;ALDH1A1;GOT1;SDS;FAH;CTH;ARG1;GCLM;LARS2;GSS;FTCD	Amino Acid Metabolism	20	51	3.9274020175293534	5.092424944208177	6.2278586825359685
WP702	6.578258417167219e-07	8.771011222889626e-09	CYP4F3;AKR1B1;CYP3A5;CYP3A4;CYP2J2;NAT2;CYP4V2;GLYATL1;TPMT;CYP21A2;CYP17A1;CHST7;EPHX1;FMO4;AKR1C2;SULT1A1;UGT2B4;UGT2B7;UGT2B15;SULT2A1;CHST13;GPX2;AKR1D1;CYP4F11;CYP1A2;MGST2;CYP2A7;CYP2A6;GSTO1;CYP2B6;CYP2C9;AKR1C3;CYP2E1;AKR1A1;NNMT;CYP2D6;GSTA1;GSS	Metapathway Biotransformation Phase I And Ii	38	154	11.859213935284714	3.2042595915180025	6.181889069900895
WP2875	3.7598744355940766e-06	5.514482505537979e-08	ABCB1;CYP4A11;CYP3A5;CYP2B6;CYP3A4;PPARGC1A;SULT2A1;NCOA2;CYP2C9;NR1I3;SULT1A1;ABCC3;CYP2A6	Constitutive Androstane Receptor Pathway	13	25	1.9251970674163497	6.752555476020043	5.424826658487014
WP691	4.01056358336505e-06	6.41690173338408e-08	UGT2B7;UGT2B15;CYP2E1;SULT1A1;CYP3A5;CYP1A2;CYP2D6;CYP3A4;SULT2A1;CYP2A6;CYP2C9	Tamoxifen Metabolism	11	18	1.3861418885397718	7.935695538057742	5.3967945939765185
WP4583	2.2993160441816494e-05	3.985481143248192e-07	GPT;ASS1;ASL;F7;GAMT;GOT1;ARG1	Biomarkers For Urea Cycle Disorders	7	8	0.6160630615732319	11.362473156764496	4.638401330248483
WP4504	3.3854495713377774e-05	6.319505866497185e-07	MAT1A;AHCY;CTH;CDO1;CBS;BHMT;GSS;GOT1	Cysteine And Methionine Catabolism	8	11	0.8470867096631938	9.444133532895165	4.47038365094139
WP1604	8.253496273302064e-05	1.650699254660413e-06	UGT2B4;UGT2B7;ABCB1;CYP3A4;CYP2D6;ABCC3;SLCO1B1	Codeine And Morphine Metabolism	7	9	0.6930709442698859	10.099976139346218	4.0833620404744755
WP43	0.00012581696808976013	2.684095319248216e-06	CYP4F3;CYP4A11;CYP3A5;CYP3A4;CYP2J2;CYP4V2;CYP4F11;CYP1A2;CYP17A1;CYP2A7;CYP2A6;CYP2B6;CYP2C9;CYP2E1;CYP2D6;POR;CYP4A22	Oxidation By Cytochrome P450	17	53	4.081417782922661	4.1652192704042355	3.9002607845599453
WP299	0.00017504108675668167	3.9675979664847844e-06	ABCB1;PPARA;CYP4A11;CYP2B6;CYP3A4;CYP2C9;NR1H4;ABCG5;NR1I3;CYP2E1;CYP1A2;ABCC3	Nuclear Receptors In Lipid Metabolism And Toxicity	12	29	2.2332285982029654	5.373386320440353	3.756859998986032
WP5064	0.00023010025056600526	5.522406013584126e-06	SLC27A5;SLC27A2;DHCR7;ACOX2;HSD11B1;ACOT1;ACOT12;EBP;ACOT8	7-oxo-c And 7-beta-hc Pathways	9	17	1.3091340058431178	6.874773674681039	3.638082908409261
WP4545	0.00037150611129160095	9.411488152720557e-06	INSIG1;SLC27A5;CYP3A4;SLC27A2;DHCR7;ACOX2;ACOT1;ACOT12;AKR1D1;LBP;HSD3B7;EBP;ACOT8	Oxysterols Derived From Cholesterol	13	36	2.7722837770795437	4.689274636125029	3.4300340376816307
WP4292	0.0004808440166495853	1.2822507110655609e-05	ADK;MAT1A;CDO1;CBS;BHMT;AHCY;CTH	Methionine Metabolism Leading To Sulfur Amino Acids And Related Disorders	7	11	0.8470867096631938	8.26361684128327	3.317995783698644
WP2876	0.0006537115712366128	1.8303923994625158e-05	ABCB1;CYP2B6;CYP3A5;CYP3A4;PPARGC1A;SULT2A1;NCOA2;SLCO1B1;CYP2C9;ABCC3;CYP2A6	Pregnane X Receptor Pathway	11	28	2.1562207155063113	5.101518560179978	3.184613827593768
WP2882	0.0009063496945019335	2.658625770539005e-05	SERPINA1;CYP4A11;CYP3A5;CYP3A4;PPARGC1A;SLC39A9;NR0B2;SLC27A5;PRDX1;SULT1A1;UGT2B4;UGT2B7;SULT2A1;ACOX1;SREBF1;CES3;CPEB4;PTGR1;SLC27A1;GSTA1;CES1;IGFBP1;NCOA2;SLC39A12;CES2;SLC5A2;SLCO1B1;SLC6A1;SLC6A13;GCLM;ABCC3;PPARA;ABCG5;GPX2;CYP1A2;MGST2;PCK1;CYP2A6;ABCB1;CYP2B6;APOA1;APOA2;SLC2A10;CYP2C9;NR1H4;SLC39A14;NR1I3;SLC5A6	Nuclear Receptors Meta-pathway	48	287	22.101262333939694	2.1718216486797246	3.0427042073001216
WP5193	0.0010568100072492405	3.240884022231004e-05	HSD3B2;EBP;MVK;DHCR24;DHCR7;MSMO1;PMVK;SC5D	Cholesterol Synthesis Disorders	8	16	1.2321261231464637	6.492841803865426	2.976003082910044
WP4595	0.0012207219672545069	3.906310295214422e-05	MDH1;ARG1;GPT;ASS1;ASL;GOT1	Urea Cycle And Associated Pathways	6	9	0.6930709442698859	8.6571224051539	2.9133832400984914
WP176	0.001322725786617093	4.40908595539031e-05	PLG;F7;AHCY;SHMT1;F2;CBS;MTHFD1;SERPINA3;MAT1A;SAA2;GPX2;SAA4;APOA1;APOB;CTH;SCARB1	Folate Metabolism	16	58	4.466457196405931	3.5822575469602356	2.878530179774989
WP2453	0.0020485757801648923	7.101729371238293e-05	ACO1;MDH1;IDH1;PCK1	Tca Cycle And Deficiency Of Pyruvate Dehydrogenase Complex (pdhc)	4	4	0.30803153078661594	12.985683607730852	2.6885479661512934
WP3633	0.001972702603121748	7.101729371238293e-05	CYP1A2;XDH;NAT2;CYP2A6	Caffeine And Theobromine Metabolism	4	4	0.30803153078661594	12.985683607730852	2.7049383823394626
WP4507	0.0019022489387245428	7.101729371238293e-05	XDH;AOX1;GPHN;MOCS2	Molybdenum Cofactor (moco) Biosynthesis	4	4	0.30803153078661594	12.985683607730852	2.7207326495226947
WP545	0.001851059158220102	7.404236632880408e-05	MASP2;C4A;C8B;C4B;C8G;C9;C2;CFB;C3	Complement Activation	9	22	1.6941734193263875	5.312325112253531	2.7325797013562276
WP272	0.0019148887843656226	7.404236632880408e-05	PLG;SERPINF2;F7;F13B;F12;KLKB1;F9;F2;F8	Blood Clotting Cascade	9	22	1.6941734193263875	5.312325112253531	2.7178564445355216
WP1533	0.0019656370737269895	8.124633238071556e-05	PLG;F7;F2;CBS;SERPINA3;MAT1A;SAA2;SAA4;APOA1;APOB;CTH;APOE;SCARB1	Vitamin B12 Metabolism	13	43	3.3113389559561215	3.925904346523281	2.7064966652564983
WP430	0.0026870725588910077	0.00011464842917934967	DGAT1;APOA1;APOA2;APOB;ABCG5;LIPC;APOC1;APOC2;APOE;SCARB1	Statin Inhibition Of Cholesterol Production	10	28	2.1562207155063113	4.6377441456181625	2.570720606175497
WP497	0.004153317112249473	0.0001827459529389768	PYCR3;GAMT;ARG1;ASS1;ASL;ACY1	Urea Cycle And Metabolism Of Amino Groups	6	11	0.8470867096631938	7.083100149671375	2.381604908562074
WP4524	0.006331851148880965	0.0002870439187492704	AKR1C2;HSD17B6;CYP17A1;POR;HSD3B2	Alternative Pathway Of Fetal Androgen Synthesis	5	8	0.6160630615732319	8.116052254831782	2.1984693032189466
WP5176	0.006309447575203644	0.0002944408868428367	SLC27A5;AKR1D1;SLCO1B3;HSD3B7;SLC27A2;ACOX2;SLCO1B1	Disorders Of Bile Acid Synthesis And Biliary Transport	7	16	1.2321261231464637	5.681236578382248	2.200008663821368
WP2525	0.006919577953072773	0.00033213974174749314	AHCY;SHMT1;CBS;BHMT;MTHFD1;MAT1A;CTH;GCLM;GSS	Trans-sulfuration And One-carbon Metabolism	9	26	2.0022049501130037	4.495044325752987	2.159920393728399
WP15	0.006864152210175533	0.0003386315090353263	PLG;F7;F2;CBS;SERPINA3;SAA2;XDH;SEPHS2;GPX2;SAA4;SELENOH;APOA1;APOB;PRDX1;CTH;SCARB1	Selenium Micronutrient Network	16	68	5.236536023372471	3.0554549665249064	2.163413094724269
WP5183	0.009041245538644294	0.0004580897739579775	PHB1;NDUFAF1;SIRT6;BCS1L;MAVS;ACE2;AGT;ECSIT;TOMM70	Sars-cov-2 Mitochondrial Chronic Oxidative Stress And Endothelial Dysfunction	9	27	2.0792128328096577	4.32856120257695	2.0437717361951337
WP4522	0.008646262174390879	0.0004611339826341802	LIPC;APOC2;APOA1;APOA2;APOE;APOB;SCARB1	Metabolic Pathway Of Ldl, Hdl And Tg, Including Diseases	7	17	1.3091340058431178	5.3470461914185865	2.0631715998034106
WP2289	0.008867961204503465	0.0004611339826341802	NR1H4;NR1I3;ABCB1;CYP3A4;ABCC3;SULT2A1;SLCO1B1	Drug Induction Of Bile Acid Pathway	7	17	1.3091340058431178	5.3470461914185865	2.0521762155019476
WP3940	0.010204567719613884	0.000557849702005559	SHMT1;BHMT;PLD1;MAT1A;GPX2;BHMT2;CDO1;CTH;GCLM;GSS;PEMT	One-carbon Metabolism And Related Pathways	11	39	3.0033074251695053	3.6626287098728048	1.9912053879065266
WP697	0.01007612415251471	0.0005776977847441767	UGT2B7;SULT1A1;CYP1A2;CYP3A4;ARSL;GSTA1	Estrogen Metabolism	6	13	1.0011024750565019	5.993392434337316	1.9967064900008527
WP5178	0.010316031870431727	0.0005776977847441767	TPI1;GPI;FBP1;ALDH1A1;KHK;ALDOB	Disorders Of Fructose Metabolism	6	13	1.0011024750565019	5.993392434337316	1.9864873248191666
WP2333	0.010176476224437084	0.0005970199385003089	GCLM;CBS;AHCY;CTH;GOT1	Trans-sulfuration Pathway	5	9	0.6930709442698859	7.214268670961584	1.9924025777171017
WP696	0.009950332308338482	0.0005970199385003089	AKR1C2;AKR1A1;CYP3A4;AKR1C3;EPHX1	Benzo(a)pyrene Metabolism	5	9	0.6930709442698859	7.214268670961584	2.002162415006258
WP4313	0.010584444220690974	0.0006491792455357131	STEAP3;CBS;SAT2;CP;TF;SLC39A14;AKR1C3;LPCAT3;CTH;AKR1C2;GCLM;POR;GSS	Ferroptosis	13	52	4.004409900226007	3.246420901932713	1.9753319414446695
WP4571	0.012370924419291133	0.0007752445969422444	ASS1;ASL;ARG1	Urea Cycle And Related Diseases	3	3	0.23102364808996195	12.985683607730852	1.9075978464341965
WP183	0.01342068369719704	0.0008589237566206106	UBE2B;PSMD2;PSMD3;PSMA1;PSMA3;UCHL3;PSMA4;PSMA5;PSMD8;PSMB5;PSMB6;PSMB7;UBB;PSMA7	Proteasome Degradation	14	60	4.620472961799239	3.0299928418038657	1.8722253591031959
WP678	0.014009365905402419	0.0009152785724862914	COX5A;CYP2J2;COX8A;CYP2C9	Arachidonate Epoxygenase / Epoxide Hydrolase	4	6	0.4620472961799239	8.6571224051539	1.8535815213892344
