	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0032543	7.355711875685877e-69	5.873292778414147e-73	MRPS12;MRPS14;MRPL33;GATB;MRPL3;MRPL19;DAP3;MRPL12;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS11;MRPS15;MRPS34;MRPS9;MRPL28;MRPL49;MRPL58;MRPL23;MRPL51;MRPL2;MRPL54;MRPL21;MRPL55;MRPL10;MRPL52;MRPL41;MRPL50;MRPS27;MRPS31;GFM2;MRPL24;CHCHD1;MRPL38;MRPS24;PTCD3;MRPL34;MRPL57;MRPL32;MRPL20;MRPL13;MRPL4;MRPL1;MRPS26;MRPL37;MRPL46;MRPL44;MRPL47;MRPS30;MRPL40;MRPL17;MRPS18A;AURKAIP1;MRPL22;MRPL16;MRPL39;FASTKD2;MRPL35;MRPL15;MRPL36;MRPL27;MRPS33;MRPS28;MRPS17;MRPS7;MRPS2;MRPL11;MRPS16;MRPS18C;MRPS23;MRPS18B;MRPL42;MTG1;LARS2;IARS2	Mitochondrial Translation	77	92	6.496397295200088	11.85272336359293	68.13337529047942
GO:0006412	1.9374320091571795e-10	3.0939508290596925e-14	EEF1E1;MRPS14;MRPL3;MRPS15;MRPL28;AIMP2;EIF4EBP2;MRPL23;CPEB4;MRPL51;LARP4;RPS27L;MRPL55;MRPL10;MRPL52;MRPL41;COPS5;MRPL34;MRPL32;MRPL13;MRPL37;PDF;MRPS18A;RMND1;MRPL35;MRPL36;MRPL27;MRPS33;MRPS17;YARS2;MRPL11;MRPS16;MRPS18C;MRPS18B;MRPL42;MRPS12;HBS1L;MRRF;MRPL24;MRPS5;MRPS11;MRPL12;MRPS7;MTG1	Translation	44	167	11.792373351069726	3.7312251478205285	9.71277352937183
GO:0007007	1.0987421593844565e-06	2.6319278809911927e-10	CIBAR1;OPA1;MTX2;IMMT;MICOS10;MICOS13;APOO;GHITM;DNAJC11;CHCHD3;SAMM50;MAIP1	Inner Mitochondrial Membrane Organization	12	18	1.271034253408713	9.441130298273157	5.9591042110291745
GO:0006805	9.009736172979301e-07	2.877590601398691e-10	CES2;ABCC3;NR1I2;CYP1A2;EPHX1;NAT2;CBR1;POR;CYP2B6;AADAC;CYP2C18;HNF4A;SULT1A1;RORC;TPMT;CYP2J2;UGT2B15;CYP4F2;SULT2A1;NCEH1;CES3;ABCC2;CMBL;SLC22A7;GSTA3	Xenobiotic Metabolic Process	25	81	5.719654140339208	4.370893656607943	6.045287926035012
GO:0030150	2.304129164609443e-06	9.198854857112117e-10	TOMM70;PAM16;TOMM40;DNAJC15;ROMO1;TOMM40L;DNAJC19;TIMM17A;TIMM50;TIMM17B;TIMM44	Protein Import Into Mitochondrial Matrix	11	16	1.1298082252521893	9.736165620094193	5.637493178935973
GO:0042407	6.527592756332354e-06	3.127240221813648e-09	LETM1;IMMT;MICOS10;MICOS13;OMA1;APOO;CHCHD3;AFG3L2;SAMM50;DNAJC11	Cristae Formation	10	14	0.9885821970956656	10.115496748149809	5.185246948187195
GO:0006626	0.00014135656557917752	7.900798140005132e-08	TIMM44;TIMM17B;TOMM70;MFN2;TOMM40;TIMM10;TOMM5;MGARP;DNAJC19;TIMM17A;TIMM8B;TIMM13	Protein Targeting To Mitochondrion	12	26	1.8359383660348076	6.536167129573723	3.8496840150585294
GO:0006695	0.0001439749820978818	9.19674111133068e-08	INSIG1;TM7SF2;SREBF1;PRKAA2;HSD17B7;MVK;EBP;PMVK;NSDHL;MSMO1;ARV1;DHCR7;NPC1L1	Cholesterol Biosynthetic Process	13	31	2.1890034364261166	5.938775510204082	3.8417129667990397
GO:0006979	0.001110727689194868	7.981914087155711e-07	ATOX1;IDH1;MBL2;ALAD;GPX2;CHRNA4;GCLC;GCLM;GSS;RCAN1;PON2;NAPRT;RRM2B;PINK1;SRXN1;SGK2;C19orf12;SLC23A2;HAO1;SELENOK;HMOX2	Response To Oxidative Stress	21	87	6.143332224808779	3.418340280409246	2.954392401523391
GO:0070328	0.002498241728002895	1.994763436604036e-06	APOC2;LPL;HNF4A;SESN2;GCKR;ANGPTL8;MTLN;SCARB1;ABCG8;ABCG5;MLXIPL	Triglyceride Homeostasis	11	28	1.9771643941913313	5.563523211482395	2.6023655419191822
GO:0070125	0.002328432214100978	2.0450937683735834e-06	GFM2;GFM1;MRPL44;TUFM;TSFM	Mitochondrial Translational Elongation	5	5	0.35306507039130913	14.161695447409734	2.6329364008364293
GO:0042178	0.004378427806333548	4.544838828037059e-06	NR1I2;CYP1A2;CYP2B6;FMO4;TPMT;GSTO1;GSTM4;CRYZ;NUDT15	Xenobiotic Catabolic Process	9	20	1.4122602815652365	6.372762951334381	2.3586818067578235
GO:0007031	0.004743296790194677	4.544838828037059e-06	PEX7;PEX10;PEX11A;PEX14;ABCD3;PEX19;PEX3;LONP2;SEC16B	Peroxisome Organization	9	20	1.4122602815652365	6.372762951334381	2.3239197004986116
GO:0007005	0.004732669655099349	5.290432383534884e-06	HAX1;RAB29;OPA1;CLUH;NIPSNAP2;PARP1;PHB1;LONP1;CHCHD10;MIEF2;PINK1;PPARGC1A;STOML2;ADCK1;ATAD3A;MTX2;DNAJA3	Mitochondrion Organization	17	68	4.801684957321805	3.540423861852433	2.324893808647245
GO:0006629	0.005573108454442192	6.674914309855708e-06	PITPNM1;SC5D;AKR1A1;UGT2B7;FAH;SDS;ABCB4;AADAC;CTH;UGT2B10;SREBF1;HNF4A;TTPA;RIDA;SLC16A1;PDE3A;ACOX1;GSTA3;TRPV1;ATG4A;LPIN2;OMA1;MGLL;MGST2;ACAT2;PLCL2;MOGAT2;PLA2G15	Lipid Metabolic Process	28	155	10.945017182130584	2.558241758241758	2.2539025053544446
GO:0006635	0.008186416924120239	1.0458533278978267e-05	PEX7;SLC27A2;ABCD3;SESN2;MTLN;BDH2;ACAT2;ECHDC2	Fatty Acid Beta-oxidation	8	17	1.2004212393304512	6.664327269369286	2.086906141045021
GO:0008053	0.007704862987407283	1.0458533278978267e-05	OPA1;MFN2;BAK1;MIGA2;MIEF2;MIEF1;CHCHD3;AFG3L2	Mitochondrial Fusion	8	17	1.2004212393304512	6.664327269369286	2.11323507976737
GO:0070131	0.00869400194354713	1.2495371685072531e-05	TRUB2;C1QBP;MPV17L2;TRMT10C;MRPS27;RMND1;FASTKD2	Positive Regulation Of Mitochondrial Translation	7	13	0.9179691830174038	7.62552831783601	2.06078026705849
GO:0006631	0.00994138815795638	1.5081952651003771e-05	LYPLA2;LPL;TH;CYP2J2;MSMO1;ACOT12;ECHDC3;CYP4F11;CRYL1;ACBD5;BAAT;ACBD4;ACOT1;DECR2;PPARA	Fatty Acid Metabolic Process	15	59	4.166167830617448	3.600431045951627	2.002552968998269
GO:0014850	0.01103497548759101	1.762212629765412e-05	SRD5A1;PRKAA2;PERM1;RYR2;ABCG8;ABCG5;PPARGC1A;MTFP1	Response To Muscle Activity	8	18	1.271034253408713	6.294086865515437	1.9572286272160357
GO:0000038	0.013964329170296582	2.341511598341011e-05	ABCD3;CYP4F2;ACOX1;ACOT1;SLC27A6;SLC27A5;ACOX2	Very Long-chain Fatty Acid Metabolic Process	7	14	0.9885821970956656	7.080847723704867	1.8549799224503472
GO:0006520	0.0133295869352831	2.341511598341011e-05	PEPD;DDC;SLC16A2;GSS;ACY1;PTS;SCLY	Cellular Amino Acid Metabolic Process	7	14	0.9885821970956656	7.080847723704867	1.875183308538634
GO:0006054	0.015320553518713942	2.813579774276754e-05	ST6GAL1;ST3GAL1;CMAS;GNE	N-acetylneuraminate Metabolic Process	4	4	0.2824520563130473	14.161695447409734	1.8147255437255756
GO:0006534	0.01468219712210086	2.813579774276754e-05	CTH;GCLC;GCLM;CDO1	Cysteine Metabolic Process	4	4	0.2824520563130473	14.161695447409734	1.833208949419589
GO:0019439	0.014094909237216825	2.813579774276754e-05	EPHX1;PON1;PON2;PON3	Aromatic Compound Catabolic Process	4	4	0.2824520563130473	14.161695447409734	1.8509377163800205
GO:0015721	0.015338062325618212	3.18420329340525e-05	ABCC3;CEACAM1;AKR1C4;ABCD3;SLC10A1;SLC51A;ABCC2;SLCO1B3;SLC27A5;SLCO1B1	Bile Acid And Bile Salt Transport	10	30	2.1183904223478547	4.720565149136578	1.814229501824108
GO:0019432	0.01908210734460496	4.113836620124034e-05	DGAT1;LPL;MOGAT2;LPIN2;LPGAT1;PNPLA3;LPIN3	Triglyceride Biosynthetic Process	7	15	1.0591952111739273	6.60879120879121	1.7193736653973457
GO:0006699	0.019886741915316638	4.446093689147763e-05	ACOT8;SLC27A2;AKR1C4;OSBP;ABCD3;AKR1D1;BAAT;SLC27A5	Bile Acid Biosynthetic Process	8	20	1.4122602815652365	5.664678178963894	1.701436362380932
GO:0045039	0.02151488790407076	4.981888767311179e-05	TOMM70;TIMM10;TIMM22;TIMM8B;TIMM13;ROMO1	Protein Insertion Into Mitochondrial Inner Membrane	6	11	0.7767431548608801	7.724561153132583	1.6672609123176718
GO:0051560	0.02861070009240122	6.853409475982407e-05	LETM1;IMMT;MICU2;MAIP1;MICU1;C19orf12;AFG3L2	Mitochondrial Calcium Ion Homeostasis	7	16	1.1298082252521893	6.195741758241758	1.5434715150522453
GO:0006851	0.037766790419851815	9.34821545045837e-05	PMPCB;LETM1;MICU2;MCUR1;MICU1;STOML2	Mitochondrial Calcium Ion Transmembrane Transport	6	12	0.847356168939142	7.080847723704866	1.4228899217696622
GO:0009062	0.03717937632304325	9.49968095127263e-05	ACOX1;PLA2G15;LPIN2;LPIN3;ACOT8	Fatty Acid Catabolic Process	5	8	0.5649041126260946	8.851059654631083	1.4296978997102365
GO:0016126	0.04021934809268918	0.00010918698779554712	PMVK;DHCR7;EBP;TM7SF2;MSMO1;SC5D;INSIG1	Sterol Biosynthetic Process	7	17	1.2004212393304512	5.831286360698125	1.3955649730739936
GO:0015718	0.041438116216710064	0.00010918698779554712	SLC16A2;SLC6A12;SLC6A11;SLC16A1;SLC6A13;SLC16A9;SLC16A4	Monocarboxylic Acid Transport	7	17	1.2004212393304512	5.831286360698125	1.3825999959096258
GO:0033108	0.04609479547893607	0.0001324986136411449	TFAM;CHCHD4;OMA1;SAMM50	Mitochondrial Respiratory Chain Complex Assembly	4	5	0.35306507039130913	11.329356357927788	1.3363481076337382
GO:0006782	0.047411789635477104	0.0001324986136411449	UROD;HMBS;UROS;ALAD	Protoporphyrinogen Ix Biosynthetic Process	4	5	0.35306507039130913	11.329356357927788	1.3241136512167266
