	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0005739	2.8424663119539185e-90	1.5515645807608726e-93	TMEM223;VWA8;HAX1;RAB29;PRORP;TRIM24;TIMM44;OPA1;MRPS14;NOL3;NIPSNAP2;MRPL33;MTX2;PMPCB;ERAL1;GATB;CLPX;TOMM70;MFN2;LETM1;FARS2;TRUB2;TOMM40;TH;MRPL3;PARP1;UROS;HSPD1;GHR;MTHFD1;POR;RXRA;SDS;ACO1;VDAC1;S100A1;ABCD3;PPIF;PHB1;BSG;LONP1;MPV17;PNPLA4;LRPPRC;TSFM;VDAC2;MTIF2;GCLC;MRPL19;TUFM;DAP3;MRPL12;MYOM2;GFER;SYNJ2BP;SESN2;ROMO1;HSPE1;TIMM10;MRPS22;MRPS25;MRPS5;MRPS11;MRPS15;MRPS34;MRPS9;TFAM;PLIN5;PTS;SSBP1;C1QBP;PMPCA;GRSF1;TRAP1;MRPL28;MRPL49;TUSC3;MRPL58;ENDOG;OXA1L;PON2;KCNJ8;MRPL23;BAK1;CLPP;IMMT;TIMM50;MRPL51;FASTKD1;LRRC10;EARS2;MRPL2;MICOS10;MICOS13;XAF1;GRAMD4;TANGO2;MRPL54;SFXN4;DARS2;HSDL2;TRMT10C;ENOSF1;FASTKD5;RRM2B;MRPL21;MAVS;MRPL55;MRPL10;MRPL52;MRPL41;SUPV3L1;MICU2;RBFA;TCAIM;TOMM5;CHCHD4;MRPL50;MTLN;TRPV1;MGARP;CHCHD10;MRPS27;MRPS31;GLYATL1;MUL1;TBRG4;FAM162A;MRPL24;TMEM143;CHCHD1;MIEF2;DCPS;DNAJC19;ECHDC3;MRPL38;MTERF3;MALSU1;KIFBP;DNAJA3;PTCD3;PGAM5;NARS2;ATP5MK;FAM210A;TIMM17A;MIPEP;NIPSNAP1;MICU1;MRPL34;ELAC2;MRPL57;APOO;BDH2;TRMT61B;FUNDC2;C1orf43;BCL2L13;PINK1;PECR;MRPL32;MRPL20;MRPL13;MRPL4;MRPS26;MRPL37;SLIRP;CCDC90B;GABARAPL1;MTIF3;MRPL46;GHITM;TFB2M;OPA3;DCTPP1;MRPL44;PDF;MRM3;GLOD4;MRS2;MRPL47;SARS2;MRPS30;ENY2;MRPL40;MIEF1;MRPL17;C19orf12;DDX28;ABCB8;DNAJC11;ATAD3A;MRPS18A;RMND1;AURKAIP1;MRPL22;MRPL16;CHCHD3;MRPL39;FASTKD2;MRPL35;MRPL15;MRPL36;MRPL27;MTRES1;PEMT;APEX2;MTUS1;NDRG4;NOL7;TRAK1;SPG7;MRPS28;POLDIP2;YARS2;MRPS2;MRPL11;MRPS16;MRPS23;AFG3L2;SAMM50;TIMM13;MRPS18B;MRPL42;PXMP2;MRPS33;GFM1;PPTC7;HIGD1B;MCUR1;TUSC2;ECHDC2;TRUB1;NIPSNAP3B;MRPS10;NIPSNAP3A;IDH1;MRRF;MPV17L2;MIX23;MTFR1L;TMEM65;MTFP1;MTG2;UNG;GCKR;MTG1;ACAT2;STOML2;MTCH2;ME1;HDHD5;RIDA;GATD3;LARS2;BBOX1;IARS2	Mitochondrion	257	873	61.64516129032258	4.1690214547357405	89.54630467373582
GO:0005743	4.5749873409323525e-87	4.994527664773311e-90	CIBAR1;MRPS12;TIMM44;OPA1;MRPS14;TIMM17B;MRPL33;PMPCB;ERAL1;CLPX;LETM1;CDS2;TOMM40;MRPL3;HSPD1;HSD3B2;PHB1;MPV17;MRPL19;DAP3;MRPL12;ATP5MJ;ROMO1;TIMM10;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS11;MRPS15;MRPS34;MRPS9;PMPCA;TRAP1;MRPL28;MRPL49;MRPL58;MRPL23;IMMT;TIMM50;MRPL51;MPV17L2;MRPL2;MICOS10;MICOS13;MRPL54;TMEM65;MRPL21;MRPL55;MRPL10;MRPL52;MRPL41;MICU2;MRPL50;MTLN;MGARP;MAIP1;MRPS27;MRPS31;MRPL24;CHCHD1;DNAJC19;MRPL38;OMA1;MRPS24;CCDC51;PTCD3;ATP5MK;DNAJC30;TIMM17A;MICU1;MRPL34;MRPL57;MTG1;APOO;PINK1;MRPL32;MRPL20;MRPL13;MRPL4;MRPL1;MRPS26;MRPL37;SLC25A18;MRPL46;MTG2;MRPL44;MRS2;MRPL47;MRPS30;MRPL40;MRPL17;ABCB8;ATAD3A;MRPS18A;AURKAIP1;MRPL22;MRPL16;CHCHD3;MRPL39;MRPL35;MRPL15;MRPL36;MRPL27;MTFP1;STOML2;SPG7;MRPS33;MRPS28;MRPS17;MRPS7;MRPS2;MRPL11;MRPS16;MRPS18C;PAM16;MRPS23;AFG3L2;TIMM22;TIMM8B;TIMM13;DNAJC15;MRPS18B;MRPL42;ENDOG;ADCK1	Mitochondrial Inner Membrane	127	212	14.969958984591507	8.483657178401115	86.33961010329608
GO:0005762	1.073158380522708e-37	1.757355426620155e-40	MRPL33;MRPL3;MRPL19;MRPL12;MRPL28;MRPL49;MRPL58;MRPL23;MRPL51;MPV17L2;MRPL2;MRPL54;MRPL21;MRPL55;MRPL10;MRPL52;MRPL41;MRPL50;MRPL24;MRPL38;MRPL34;MRPL57;MRPL32;MRPL20;MRPL13;MRPL4;MRPL1;MRPL37;MRPL46;MRPL44;MRPL47;MRPS30;MRPL40;MRPL17;MRPS18A;MRPL22;MRPL16;MRPL39;MRPL35;MRPL15;MRPL36;MRPL27;MRPL11;MRPL42	Mitochondrial Large Ribosomal Subunit	44	55	3.8837157743044006	11.329356357927788	36.96933617858286
GO:0005763	5.804600128763147e-31	1.2673799407779796e-33	MRPS12;MRPS14;DAP3;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS11;MRPS15;MRPS34;MRPS9;MRPS27;MRPS31;CHCHD1;MRPS24;PTCD3;MRPS26;MRPS18A;AURKAIP1;MRPS33;MRPS28;MRPS17;MRPS7;MRPS2;MRPS16;MRPS18C;MRPS23;MRPS18B;MRPL42	Mitochondrial Small Ribosomal Subunit	30	31	2.1890034364261166	13.704866562009421	30.236227692868244
GO:0005759	5.959957400387778e-23	1.626625928053433e-25	PRORP;TIMM44;ERAL1;CLPX;FARS2;TRUB2;HSPD1;PPIF;LONP1;BTD;RIDA;BLOC1S1;TFAM;SSBP1;C1QBP;TRAP1;MRPL58;LARS2;OXA1L;CLPP;LACTB2;EARS2;DARS2;TRMT10C;SUPV3L1;PPTC7;TFB1M;MAIP1;GFM2;TBRG4;MRRF;DNAJA3;NARS2;GFM1;MIPEP;ELAC2;MTG1;TRMT61B;TARS2;MTG2;TFB2M;MRM3;SARS2;ACSS2;IARS2;MTRES1;POLDIP2;YARS2;PAM16;FASTKD5;TSFM;FASTKD2;FASTKD1;HSPE1	Mitochondrial Matrix	54	143	10.097661013191441	5.3477731060148646	22.22475684442799
GO:0005761	4.4537632361433295e-15	1.4586560817063305e-17	MRPS12;MRPS14;MRPS22;MRPL28;MRPL49;MRPL51;MRPL34;MRPL57;MTG1;MRPL32;MRPL20;MRPL13;MRPL37;MTG2;MRPL40;MRPL39;MRPL35;MRPL11	Mitochondrial Ribosome	18	22	1.5534863097217602	11.586841729698873	14.351272873958813
GO:0005777	4.7233527744692165e-15	1.804774531729504e-17	VWA8;PEX7;SYT7;PEX10;PEX11A;PEX14;IDH1;NUDT7;ABCD3;MPV17;PEX19;XDH;RIDA;PEX3;MVK;BAAT;ACOX1;PMVK;ACBD5;HSDL2;LONP2;MUL1;MIEF2;ISOC1;PEX11G;ACOX2;DDO;NUDT12;PECR;MIEF1;PIPOX;DECR2;DHRS4L2;HAO1	Peroxisome	34	85	6.002106196652256	5.664678178963893	14.325749616929366
GO:0042645	2.989825319982366e-13	1.3056005764115136e-15	PRORP;CLPX;VDAC1;LONP1;LRPPRC;VDAC2;TUFM;TFAM;SSBP1;GRSF1;TRMT10C;FASTKD5;SUPV3L1;TFB1M;ELAC2;TFB2M;DDX28;ATAD3A;FASTKD2;POLDIP2	Mitochondrial Nucleoid	20	32	2.2596164505043785	8.851059654631083	12.524354184512976
GO:0005758	5.80697482604792e-08	2.852771475678563e-10	STMP1;HAX1;OPA1;HSD3B2;GFER;TIMM10;BLOC1S1;TRAP1;IMMT;MIX23;MICU2;CHCHD4;CHCHD10;MICU1;PINK1;STOML2;TIMM8B;TIMM13;THOP1	Mitochondrial Intermembrane Space	19	48	3.389424675756568	5.605671114599686	7.236050056682738
GO:0005744	9.077235162539167e-08	4.954822686975527e-10	TIMM44;TIMM17B;ROMO1;TIMM10;TIMM50;DNAJC19;TIMM17A;PAM16;DNAJC15	Tim23 Mitochondrial Import Inner Membrane Translocase Complex	9	10	0.7061301407826183	12.745525902668762	7.042046413208317
