	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0002151	6.168582653809514e-19	6.879204476201086e-23	ACAT2;DNAJC19;MRPS34;C1QBP;LONP1;PMPCB;RRM2B;EARS2;MRPS16;TSFM;YARS2;LRPPRC;LRPPRC;GFM2;GFM2;FARS2;TIMM50;TIMM50;GYS2;MRPL3;MICOS13;GFM1;MIPEP;MRPS28;SFXN4;TIMM22;TRMT10C;RMND1;NARS2;DARS2;ATAD3A;ATAD3A;TANGO2;TANGO2;MRPL12;FASTKD2;TARS2;MRPS14;TUFM;CHCHD10;CHCHD10;MRPL44;MRPS22	Increased Serum Lactate	43	92	6.496397295200088	6.619053306941506	18.209814611710772
HP:0003128	8.329259625397106e-16	1.8577583640899088e-19	MRPS34;RRM2B;RRM2B;TKFC;TKFC;EARS2;MRPS16;TSFM;YARS2;YARS2;MRPS7;LRPPRC;LRPPRC;FARS2;SLC37A4;SLC37A4;SLC37A4;GFER;MICOS13;ELAC2;MIPEP;MPV17;SFXN4;GATB;PHKA2;PHKB;TRMT10C;RMND1;TANGO2;TANGO2;MRPS14;PMPCA;LARS2;TUFM	Lactic Acidosis	34	68	4.801684957321805	7.080847723704866	15.079393600621396
HP:0000007	1.9341933587788802e-07	6.471038336496755e-11	CLPP;MKKS;MKKS;DNAJC19;ACOX1;ACP2;ACY1;ADCY6;ACOX2;MYORG;ADK;ALAD;AMHR2;PEX3;PEX3;APOC2;TCAP;CDK10;ABCC6;ABCC6;ASL;ASS1;MRPS34;ATIC;SLC41A1;DGAT1;BAAT;UROC1;BTD;SLC5A6;EIF2B3;C1QBP;C4A;C5;TMPRSS6;CBS;LRBA;LARGE1;LARGE1;LARGE1;AKR1C4;LONP1;CRIPT;ABCC2;PMPCB;RRM2B;MPDU1;ACBD5;CPN1;MINPP1;MMACHC;CRYAA;TKFC;LPIN2;CTH;KIFBP;PUS3;EARS2;CYP21A2;TMEM251;DBH;DDC;AKR1C2;ERAL1;C19orf12;C19orf12;DHCR7;MFN2;NR1H4;DPAGT1;DPAGT1;DPYS;GNE;ABCC9;MRPS16;PAM16;TSFM;YARS2;MRPS7;LRPPRC;MEGF8;RDH11;MRPS2;SAR1B;GPHN;GPHN;SIGMAR1;SIGMAR1;RXYLT1;F7;F11;F13B;MICU1;FAH;EMG1;HAX1;SLC30A9;MIEF2;OPLAH;CIB1;CISD2;DNAJC30;TDP2;GFM2;ERLIN1;LARP7;MTX2;FARS2;FARS2;PPIL1;TIMM50;MRPS23;SLC37A4;SLC37A4;MASP2;POLR3K;UPB1;GALE;GALT;GAMT;GON7;JAGN1;CDIN1;GAS8;GBE1;GBE1;GCGR;GCH1;GCH1;FTCD;GFER;CFHR3;GHR;GHR;TXNL4A;GCLC;AFG3L2;RRP7A;GPI;IL17RC;ATP5MK;GSS;GSS;GYS1;GYS2;MRPL3;HPS5;CHP1;MICOS13;ELAC2;HSD3B2;HSPD1;HYAL1;GFM1;IMPA1;KCNJ1;KLKB1;LIG4;LPL;MDH1;CLIC5;MIPEP;MLH1;SLC51A;KLHDC8B;MOCS2;MPI;MPV17;MPV17;LAMTOR2;MRPS28;DCPS;METTL5;UBE2T;MTHFD1;MTHFD1;MVK;MVK;MYO7A;MYO7A;NEFH;SFXN4;DPY19L2;OPA1;OPA1;NANS;PCBD1;PEPD;GATB;PEX7;PEX7;PEX7;PEX10;PEX10;PEX14;CARD10;PGM1;ABCB4;ABCB4;ABCB4;PHKB;RETREG1;RETREG1;PKLR;PLD1;GMPPA;TIMM22;POR;POR;FITM2;PSPH;PTH1R;PTH1R;TRMT10C;SARS2;PTS;PEX19;ABCD3;PCYT2;RMND1;MOCOS;PTCD3;TMEM53;FANCL;PPCS;TMEM38B;NARS2;NARS2;DARS2;ATAD3A;ATAD3A;RORC;TANGO2;UBA5;UBA5;MRPL12;SLC35C1;MSMO1;SC5D;CIBAR1;SCN5A;SCN5A;SGCG;POMGNT1;POMGNT1;POMGNT1;POMGNT1;OPA3;FASTKD2;TARS2;SLC1A1;SLC2A2;TRAK1;SLC6A3;IARS2;SLC10A1;SLC12A1;SLC12A3;SLC16A1;SLC22A5;MRPS14;SMPD1;SMPD1;SORD;SPG7;AKR1D1;SLC46A1;SLC35D1;PMPCA;KLHL7;EXOC6B;ABCG5;TARS1;ABCG8;CYP4V2;LMBR1;LARS2;LARS2;TFAM;TH;GZF1;MRPS25;MRAP;TGDS;HAAO;TPMT;TTPA;TUFM;UGDH;UGP2;DNAJC12;UNG;UROD;UROS;VLDLR;ARV1;NMNAT1;NMNAT1;XDH;SLC13A3;PINK1;GALM;MRPL44;EXOSC5;MRPS22;MRPS22;FAM20C;LMAN2L;AIMP2;TUSC3	Autosomal Recessive Inheritance	310	3029	213.88681964305508	1.4493646710785797	6.713500112231746
HP:0002490	1.621768408546866e-06	7.234385674347568e-10	MRPS34;LONP1;LRPPRC;LRPPRC;GFM2;GFM2;TIMM50;GFM1;MPV17;TRMT10C;RMND1;NARS2;DARS2;SLC13A3	Increased Csf Lactate	14	24	1.694712337878284	8.260989010989011	5.790011163732282
HP:0002910	7.239153308506303e-06	4.036552530671519e-09	DNAJC19;ACOX1;ADK;C1QBP;CBS;RRM2B;RRM2B;NR1H4;DPAGT1;DPAGT1;GNE;MRPS16;YARS2;SAR1B;MICU1;FAH;FLT1;MTX2;SLC37A4;GALT;GYS2;MICOS13;HNF4A;HNF4A;SLC51A;MPV17;MPV17;MRPS28;MST1;MVK;ABCB4;ABCB4;ABCB4;ABCB4;PHKA2;PHKA2;PHKB;TRMT10C;PEX19;ABCD3;STEAP3;TANGO2;TANGO2;SC5D;SLC22A5;SLC22A5;AKR1D1;AKR1D1;RABL3;TFAM;SLC35A2;MRPL44	Elevated Hepatic Transaminase	52	267	18.85367475889591	2.7580830084842924	5.140312225922554
HP:0008347	0.0006151303569866458	4.1159609032227895e-07	EARS2;TSFM;LRPPRC;MIEF2;MRPS23;GFM1;TIMM22;MRPL12;MRPS14;MRPS25	Decreased Activity Of Mitochondrial Complex Iv	10	18	1.271034253408713	7.867608581894297	3.2110328398003998
HP:0003535	0.0011842927089933896	9.245064082696248e-07	DNAJC19;TIMM50;TIMM50;MICOS13;MICOS13;ATAD3A;OPA3;OPA3	3-methylglutaconic Aciduria	8	12	0.847356168939142	9.441130298273155	2.926540944412376
HP:0002240	0.0015584762375614447	1.3904103825684798e-06	ACOX1;ACOX1;MYORG;PEX3;PEX3;PEX3;APOC2;ASL;ASS1;BAAT;BTD;C1QBP;CBS;XPR1;ABCC2;TKFC;LPIN2;EARS2;MFN2;DPAGT1;GNE;TSFM;YARS2;MRPS7;MAGT1;MICU1;FAH;FAH;MTX2;SLC37A4;SLC37A4;SLC37A4;SLC37A4;GALE;GALT;GALT;CDIN1;GCLC;MRPL3;HNF4A;HNF4A;IGF2;GFM1;LIG4;LIG4;MPI;MPI;MPV17;MRPS28;MVK;PEPD;PEPD;PEX10;PEX10;PEX10;PEX14;PEX14;PEX14;PGM1;ABCB4;PHKA2;PHKA2;PHKB;PHKB;PEX19;PEX19;ABCD3;RMND1;ATAD3A;STEAP3;SLC35C1;SC5D;MRAS;SLC2A2;SLC22A5;SLC22A5;SMPD1;SMPD1;SMPD1;AKR1D1;AKR1D1;TUFM;GALM	Hepatomegaly	83	599	42.29719543287884	1.962305045300514	2.807299815122538
HP:0001943	0.002267003201828897	2.2753461376670092e-06	MMACHC;CYP21A2;DBH;NR1H4;MRPS7;LRPPRC;MRPS2;FAH;SLC37A4;SLC37A4;GALT;GHR;GHR;MICOS13;HNF4A;IGF2;MPV17;MRPS28;GATB;PGM1;PGM1;PHKA2;TANGO2;SLC22A5;TFAM	Hypoglycemia	25	108	7.626205520452277	3.278170242455957	2.64454786649208
HP:0001987	0.003106588896489588	3.464468491680147e-06	ASL;ASL;ASS1;BTD;BTD;MMACHC;NR1H4;TANGO2;TANGO2;SLC22A5;TUFM	Hyperammonemia	11	26	1.8359383660348076	5.991486535442579	2.507716214333982
