	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP2289	2.4481940002737775e-06	3.2642586670317034e-09	NR1H4;NR1I3;ABCB1;SLC10A1;SLC51A;BAAT;ABCC2;ABCC3;SULT2A1;NR1I2;SLCO1B1	Drug Induction Of Bile Acid Pathway	11	17	1.2004212393304512	9.163449995382768	5.6111541707135295
WP702	2.6005615224591703e-06	6.934830726557787e-09	CYP4F3;AKR1B1;GSTA3;CYP2J2;GSTM4;CYP4F2;NAT2;CYP4V2;GLYATL1;TPMT;CYP21A2;CHST7;AKR1C4;EPHX1;FMO4;AKR1C2;SULT1A1;UGT2B4;UGT2B7;UGT2B15;SULT2A1;HS6ST1;CHST13;GPX2;AKR1D1;CYP4F11;CYP1A2;MGST2;GSTO1;BAAT;CYP2B6;AKR1A1;CYP2C18;GSS	Metapathway Biotransformation Phase I And Ii	34	154	10.874404168052322	3.126608085791759	5.584932867500194
WP5176	7.1576704855603475e-06	2.863068194224139e-08	ABCB4;BAAT;SLC27A5;AKR1D1;ABCC2;SLCO1B3;SLC27A2;ACOX2;AKR1C4;SLCO1B1	Disorders Of Bile Acid Synthesis And Biliary Transport	10	16	1.1298082252521893	8.851059654631083	5.145228298904502
WP2882	5.853190304300254e-06	3.121701495626802e-08	PPARGC1A;SLC2A12;SRXN1;SLC39A9;RXRA;ME1;SLC27A5;ETNK2;SULT1A1;ABCC2;ABHD2;UGT2B4;UGT2B7;DNAJC15;SULT2A1;ACOX1;SREBF1;CES3;CPEB4;SLC2A11;PTGR1;CBR1;GSTA3;GSTM4;SLC2A2;SLC6A3;CES2;GCLC;SLCO1B1;SLC6A13;GCLM;ABCC3;SLC6A8;SLC6A11;PPARA;SLC10A1;ABCG8;ABCG5;GPX2;CYP1A2;MGST2;NR1I2;ABCB1;ABCB4;BAAT;CYP2B6;NR1H4;NR1I3;SLC5A6	Nuclear Receptors Meta-pathway	49	287	20.265935040461144	2.4178504422406863	5.232607355475107
WP5064	9.730264421691059e-06	6.48684294779404e-08	BAAT;SLC27A5;SLC27A2;DHCR7;ACOX2;HSD11B1;ACOT1;ACOT12;EBP;ACOT8	7-oxo-c And 7-beta-hc Pathways	10	17	1.2004212393304512	8.330409086711608	5.011875357540389
WP3925	1.0348453509262177e-05	8.278762807409741e-08	CBS;TH;DBH;ASS1;ADH1C;MDH1;IDH1;GOT1;SDS;FAH;CTH;DDC;GCLM;LARS2;SMS;GSS;FTCD	Amino Acid Metabolism	17	51	3.6012637179913534	4.720565149136578	4.98512454707433
WP4545	1.3765970202963924e-05	1.2848238856099662e-07	RORC;BAAT;INSIG1;SLC27A5;SLC27A2;DHCR7;ACOX2;ACOT1;ACOT12;AKR1D1;EBP;NR1I2;AKR1C4;ACOT8	Oxysterols Derived From Cholesterol	14	36	2.542068506817426	5.507326007326008	4.8611931748304
WP5173	8.459646701919406e-05	9.023623148714033e-07	GALE;GALT;AKR1B1;GYS2;GYS1;GBE1;PGM1;SLC2A2	Disorders Of Galactose Metabolism 	8	13	0.9179691830174038	8.714889506098297	4.072647773912604
WP299	9.177059600603085e-05	1.1012471520723702e-06	ABCB1;ABCB4;PPARA;CYP2B6;NR1H4;ABCG5;NR1I3;CYP1A2;ABCC2;ABCC3;NR1I2;ABCD3	Nuclear Receptors In Lipid Metabolism And Toxicity	12	31	2.1890034364261166	5.4819466248037685	4.037296447752019
WP3940	0.00021282273210805996	2.837636428107466e-06	SHMT1;PLD1;GPX2;BHMT2;BAAT;CDO1;ETNK2;PCYT2;GCLC;CTH;GCLM;GSS;PEMT	One-carbon Metabolism And Related Pathways	13	39	2.753907549052211	4.720565149136578	3.6719819858608957
WP2879	0.00023165279524283686	3.397574330228274e-06	NR1H4;UGT2B4;RXRA;ABCB4;SLC10A1;BAAT;SLC27A5;PPARGC1A;SULT2A1	Farnesoid X Receptor Pathway	9	19	1.3416472674869748	6.7081715277204	3.635162455006626
WP4583	0.0002727609682106758	4.364175491370812e-06	GPT;ASS1;ASL;F7;GAMT;GOT1	Biomarkers For Urea Cycle Disorders	6	8	0.5649041126260946	10.6212715855573	3.564217776623769
WP2884	0.0003780228821038098	6.552396623132703e-06	GSTA3;CBR1;SLC2A12;GSTM4;SRXN1;SLC39A9;SLC2A2;RXRA;SLC6A3;ME1;CES2;GCLC;SLC6A13;GCLM;ABCC2;ABCC3;SLC6A8;SLC6A11;UGT2B7;GPX2;CES3;MGST2;SLC2A11;PTGR1;SLC5A6	Nrf2 Pathway	25	127	8.967852787939252	2.7877353242932545	3.4224819110869884
WP1604	0.000656699836711596	1.2258396951949792e-05	UGT2B4;UGT2B7;ABCB1;ABCC2;ABCC3;SLCO1B1	Codeine And Morphine Metabolism	6	9	0.6355171267043564	9.441130298273157	3.1826330916997083
WP4718	0.0011621804518750227	2.3243609037500456e-05	SOAT1;DHCR7;MSMO1;SC5D;PMVK;NSDHL;SREBF1;ACAT2;EBP;HSD17B7;MVK;TM7SF2	Cholesterol Metabolism With Bloch And Kandutsch-russell Pathways	12	40	2.824520563130473	4.248508634222921	2.9347264337623358
