	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0032543	1.1124352495391869e-07	8.882427735062176e-12	MRPL33;MRPL12;MRPS9;MRPL28;MRPL41;GADD45GIP1;MRPL34;MRPL20;MRPS26;MRPL37;AURKAIP1;MRPL16;MRPL15;MRPS23;MRPS18B	Mitochondrial Translation	15	92	1.3308945793149318	11.270614692653673	6.953725258177337
GO:0006446	3.7481410583138022e-06	5.985533469041524e-10	EIF1B;CSDE1;EIF1;EIF4G2;EIF4G1;EIF4A2;EIF4H;EIF3K;BZW2	Regulation Of Translational Initiation	9	31	0.4484536082474227	20.068965517241377	5.426184073148575
GO:0006096	3.4304586831621113e-06	8.217323578318695e-10	LDHA;ALDOA;GAPDH;ALDOB;GPI;PFKM;ALDOC;PKM;TPI1	Glycolytic Process	9	32	0.4629198536747589	19.441810344827587	5.464647806998629
GO:0007005	0.00024558388781451885	7.843624650735192e-08	HAX1;NIPSNAP2;PHB1;LONP1;CHCHD10;PARK7;PINK1;STOML2;CHCHD2;DNAJA3	Mitochondrion Organization	10	68	0.9837046890588627	10.165652467883705	3.6098001296431805
GO:0010881	0.0009810082347918114	3.9165132337584294e-07	CALM2;CALM3;PRKACA;HRC;ATP1A2;GSTO1	Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion	6	20	0.2893249085467243	20.737931034482756	3.0083273470444825
GO:0050821	0.0010856505143802618	5.201136287353538e-07	FLOT1;BAG3;CRYAB;GAPDH;ATP1B1;HSP90AA1;HSPD1;POLR2E;PHB1;PARK7;CHP1;CCT7;PINK1;PFDN2;HSP90AB1	Protein Stabilization	15	202	2.9221815763219157	5.133151246159098	2.964309957531245
GO:0006457	0.001982498197902649	1.1080714935578526e-06	BAG3;CRYAB;HSPA8;HSPE1;DNAJA3;CCT7;PFDN2;HSP90AB1;HSPD1;CANX;HSP90AA1;PPIF	Protein Folding	12	135	1.9529431326903892	6.1445721583652615	2.702787198785285
GO:0006986	0.0017702257656283837	1.1307734050644419e-06	TMEM129;MFN2;HSP90AA1;HSP90AB1;HSPD1;HSPA8;HSPE1;HSPB7	Response To Unfolded Protein	8	52	0.7522447622214832	10.634836427939877	2.751971342387333
GO:0010273	0.0020070691105329493	1.4423205042156296e-06	PARK7;MT1E;MT1G;MT1X;MT2A	Detoxification Of Copper Ion	5	14	0.20252743598270703	24.688013136288998	2.6974376729503096
GO:0045214	0.0019048922193982455	1.5209934680599212e-06	TCAP;LDB3;TPM1;ACTN2;MYOM2;ANKRD1;CSRP3	Sarcomere Organization	7	38	0.5497173262387762	12.733817301875376	2.720129592085374
GO:0071280	0.0024522979610391146	2.153886743167539e-06	APP;MT1G;MAP1LC3A;MT2A;MT1X;MT1E	Cellular Response To Copper Ion	6	26	0.3761223811107416	15.952254641909814	2.6104267629572977
GO:0030388	0.0066299061753596735	6.3525131031871675e-06	ALDOA;ALDOB;ALDOC;PFKM	Fructose 1,6-bisphosphate Metabolic Process	4	9	0.13019620884602595	30.722860791826307	2.17849261756987
GO:0002027	0.009125555998549997	9.472391247297186e-06	AGT;CALM2;CALM3;PRKACA;HRC;SNTA1	Regulation Of Heart Rate	6	33	0.4773860991020951	12.568443051201672	2.0397406655294548
GO:0010498	0.00847373057008214	9.472391247297186e-06	VCP;PSMA3;PSMA7;PSMB7;PSMB6;PSMB4	Proteasomal Protein Catabolic Process	6	33	0.4773860991020951	12.568443051201672	2.071925348900856
GO:0006413	0.00983571609285044	1.1780241248223939e-05	EIF1B;EIF1;EIF4G2;EIF4G1;EIF3I;EIF4A2;EIF3K	Translational Initiation	7	51	0.737778516794147	9.487942303358125	2.007194015627497
GO:1905913	0.010965055557664324	1.4008375033745543e-05	CALM2;CALM3;YWHAE	Negative Regulation Of Calcium Ion Export Across Plasma Membrane	3	4	0.05786498170934486	51.8448275862069	1.9599891635007385
GO:0046034	0.024570376857262516	3.3351677305450555e-05	AK1;ATP1B1;HSPA8;ATP1A2;VCP	Atp Metabolic Process	5	25	0.3616561356834054	13.825287356321839	1.609588182316239
GO:0006936	0.02742378769910048	3.941457829637565e-05	FXYD1;CRYAB;HRC;SNTA1;GAMT;TPM3;TPM1;MYOM2	Muscle Contraction	8	83	1.2006983704689058	6.662789087384019	1.5618725618290243
GO:0060048	0.026355929842599057	3.998424361301358e-05	TCAP;ATP1B1;MYL3;TPM1;CSRP3;ATP1A2	Cardiac Muscle Contraction	6	42	0.6075823079481211	9.875205254515599	1.5791216571805282
GO:0000045	0.02716203075679797	4.3375967353557924e-05	BAG3;CTSD;ATP2A2;RAB7A;MAP1LC3A;GABARAPL1;GABARAP	Autophagosome Assembly	7	62	0.8969072164948454	7.804597701149425	1.5660377633495086
GO:0034605	0.03563284153443606	5.974845674091004e-05	BAG3;PRKACA;VCP;YWHAE;HSP90AA1;HSP90AB1	Cellular Response To Heat	6	45	0.6509810442301297	9.216858237547893	1.4481495435339309
GO:0033138	0.03713342220308993	6.522958227946172e-05	HAX1;RAF1;APP;HSP90AA1;HSP90AB1;EIF4G1;PARK7;PINK1	Positive Regulation Of Peptidyl-serine Phosphorylation	8	89	1.2874958430329233	6.213612294976107	1.4302350245031719
GO:0015986	0.03728007071593724	6.846387946874453e-05	ATP6V0C;ATP5MJ;ATP5MK	Proton Motive Force-driven Atp Synthesis	3	6	0.08679747256401729	34.5632183908046	1.4285232725113985
