	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0005739	1.2618261550762742e-28	6.887697353036431e-32	HAX1;NIPSNAP2;MRPL33;MFN2;CRYAB;HSP90AA1;HSP90AB1;UBB;HSPD1;CKB;PKM;PRKACA;VDAC1;PSMB4;PPP2R1A;PPIF;PHB1;BSG;MAP2K2;LONP1;VDAC2;TUFM;RAB7A;MRPL12;MYOM2;ROMO1;HSPE1;MRPS9;C1QBP;MRPL28;OXA1L;IMMT;MICOS13;HSDL2;MRPL41;GADD45GIP1;CHCHD10;DNAJA3;ATP5MK;PARK7;MRPL34;C1orf43;PINK1;MRPL20;MRPS26;MRPL37;GABARAPL1;MTIF3;GHITM;NGRN;AURKAIP1;MRPL16;CHCHD3;MRPL15;TOMM7;PFDN2;NDRG4;VDAC3;POLDIP2;MRPS23;TIMM13;MRPS18B;CHCHD2;PXMP2;RAF1;IDH1;MTFR1L;STOML2;RIDA;GATD3	Mitochondrion	70	873	12.629032258064516	5.542784163473819	27.899000474800083
GO:0070062	5.033992778415162e-16	5.495625303946684e-19	PSMA7;AHCYL1;SNX3;IDH1;FLOT1;LDHA;AK1;AGT;CST3;CRYAB;APOE;ALDOA;GAPDH;ATP1B1;ALDOB;APP;FABP3;GPI;TPM3;CTSD;HSP90AA1;HSP90AB1;ALDOC;UBB;HSPD1;HSPA8;PYGB;CKB;ALAD;APEH;PKM;AKR1B1;RHOQ;GOT1;PRKACA;PAM;MYL12A;VDAC1;AHCY;PSMA3;ATP6V0C;CANX;PSMB4;PSMB6;PPP2R1A;PHB1;ACTN2;BSG;ATP6V1E1;MDH1;PTGDS;TUFM;RAB7A;RIDA;VCP;TPI1;PCBD1;HSPE1;HNRNPK;YWHAG;PPP1CA;PSMC5;YWHAE;GSTO1;ARF1;ACY1;PRDX1;EIF3I;ITIH4;PMVK;PPA1;SLC9A3R2;UGP2;AP2M1;SAT2;PARK7;CHP1;CCT7;GHITM;CHMP4B;PHPT1;CHCHD3;VDAC3	Extracellular Exosome	83	1966	28.440638510143	2.9183592334046606	15.29808741181044
GO:0005743	1.0397110786774838e-14	1.7025836441225172e-17	MRPL33;HSPD1;PHB1;MRPL12;ATP5MJ;ROMO1;MRPS9;MRPL28;IMMT;MICOS13;MRPL41;GADD45GIP1;ATP5MK;MRPL34;PINK1;MRPL20;MRPS26;MRPL37;AURKAIP1;MRPL16;CHCHD3;MRPL15;STOML2;MRPS23;TIMM8B;TIMM13;MRPS18B	Mitochondrial Inner Membrane	27	212	3.0668440305952775	8.803838646714379	13.983087328363345
GO:0005829	3.220275858320597e-08	7.031169996333181e-11	BIN1;PSMA7;TCAP;LAMTOR5;SNX3;EDF1;BANF1;CSDE1;IDH1;MFN2;GABARAP;BAG3;ADH1C;LDHA;AK1;AGT;CRYAB;MT2A;RAF1;ALDOA;GAPDH;ALDOB;APP;FABP3;GPI;TPM3;HSP90AA1;PFKM;HSP90AB1;MYL3;TPM1;ALDOC;UBB;HSPD1;HSPA8;CKB;ALAD;APEH;PKM;AKR1B1;GOT1;PRKACA;MYL12A;POLR2E;AHCY;PSMA3;PSMB4;PSMB6;PPP2R1A;ACTN2;MAP2K2;ATP6V1E1;LONP1;SRP14;MDH1;PSMD8;SRP9;CSRP3;RAB7A;RIDA;RAD23A;PSMD4;VCP;TPI1;UBE2M;PCBD1;YWHAG;PPP1CA;PSMC5;YWHAE;EIF5A;EIF4G2;GSTO1;ARF1;ACY1;EIF4G1;PRDX1;C1QBP;MRPL28;EIF3I;EIF4A2;GAMT;NFE2L1;ARL6IP1;EIF4H;PMVK;PPA1;ANKRD1;ELOB;HMGN3;MAPKAPK3;UGP2;MZT2B;MZT2A;COPS6;SYNPO;CCDC124;AP2M1;DNAJA3;PSMB7;PARK7;SEPHS2;CCT7;KLHDC3;ADI1;C1orf43;PINK1;GABARAPL1;CHMP4B;CUEDC2;MAP1LC3A;ILRUN;MLXIPL;PXMP2;PHPT1;EIF3K;PFDN2;HSPB8;NDRG4;SMG5;STARD10;SBDS;CIAO2B;STRAP;EPN1;SELENOW;AHCYL1	Cytosol	127	5126	74.15397406052544	1.7126526475349917	7.492106923765379
GO:1904813	1.2683844931994417e-07	3.461748070959175e-10	IDH1;CST3;ALDOA;GPI;CTSD;HSP90AA1;HSP90AB1;ALDOC;HSPA8;ALAD;APEH;PKM;SRP14;VCP;PSMB7	Ficolin-1-rich Granule Lumen	15	119	1.7214832058530096	8.713416401043176	6.896749076136498
GO:0000502	1.8050886324234175e-06	5.911862333264468e-09	PSMA7;PSMA3;PSMB4;PSMB6;PSMD8;RAD23A;PSMD4;VCP;PSMC5;PSMB7	Proteasome Complex	10	53	0.7667110076488194	13.04272392105834	5.7435014687570085
GO:0005762	2.2598937229547248e-06	8.634965098626132e-09	MRPL33;MRPL12;MRPL28;MRPL41;GADD45GIP1;MRPL34;MRPL20;MRPL37;MRPL16;MRPL15	Mitochondrial Large Ribosomal Subunit	10	55	0.7956434985034919	12.56844305120167	5.645911984135602
GO:0005758	8.420049314363749e-06	3.676877429853165e-08	HAX1;IMMT;CHCHD10;PARK7;PINK1;STOML2;TIMM8B;TIMM13;CHCHD2	Mitochondrial Intermembrane Space	9	48	0.6943797805121383	12.961206896551724	5.07468536492632
GO:0034774	2.4198459359214137e-05	1.1887889423194719e-07	IDH1;ALDOA;GPI;HSP90AA1;HSP90AB1;ALDOC;HSPA8;ALAD;PKM;SRP14;VCP;PSMB7	Secretory Granule Lumen	12	111	1.60575324243432	7.4731283007145075	4.616212283320848
GO:0042470	0.0004279168671037402	2.3357907592998918e-06	FLOT1;CTSD;HSP90AA1;HSP90AB1;HSPA8;AHCY;CANX;BSG;YWHAE;PRDX1	Melanosome	10	98	1.417692051878949	7.053718038939714	3.3686405946899196
