	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0005515	3.456977104697983e-10	7.670239859547333e-14	HAX1;BIN1;PSMA7;TCAP;INSIG1;LAMTOR5;AHCYL1;KIF1C;SNX3;EIF1B;EDF1;LDB3;NIPSNAP2;PTP4A3;SPAG7;BANF1;CSDE1;IDH1;FLOT1;CDK2AP2;MFN2;GABARAP;CTDNEP1;BAG3;LDHA;AGT;CST3;CRYAB;APOE;MT2A;RAF1;ALDOA;GAPDH;MT1E;ATP1B1;ALDOB;APP;FABP3;GPI;TPM3;CTSD;HSP90AA1;PFKM;HSP90AB1;TPM1;ALDOC;OST4;UBB;CALM2;CALM3;HSPD1;HSPA8;PYGB;ESRRA;CKB;MT1G;APEH;PKM;AKR1B1;H1-2;ATP2A2;RHOQ;PRKACA;PAM;MYL12A;POLR2E;VDAC1;HRC;AHCY;PSMA3;MST1;ATP6V0C;MAP4;CANX;PSMB4;PSMB6;PPP2R1A;PPIF;PHB1;ACTN2;BSG;MAP2K2;ATP6V1E1;LONP1;SRP14;MDH1;PTGDS;EIF1;VDAC2;PSMD8;TUFM;SRP9;CSRP3;ATP1A2;RAB7A;RIDA;MRPL12;MYOM2;RAD23A;PSMD4;VCP;SNU13;TPI1;ROMO1;UBE2M;PCBD1;HSPE1;HNRNPK;YWHAG;PPP1CA;PSMC5;YWHAE;BLCAP;EIF5A;TUBA1B;EIF4G2;GSTO1;MT1X;MRPS9;ARF1;FKBP3;ACY1;EIF4G1;EEF1A2;PRDX1;C1QBP;TLE5;MRPL28;EIF3I;SNTA1;MLEC;FHL2;EIF4A2;GAMT;NFE2L1;ITIH4;ARL6IP1;EIF4H;OXA1L;PMVK;ANKRD1;ELOB;SLC9A3R2;HMGN3;USF2;MAPKAPK3;UGP2;IMMT;MICOS13;MZT2B;MZT2A;TMEM205;COPS6;MRPL41;SYNPO;RNF10;GADD45GIP1;CHCHD10;PTP4A1;GTF3C6;SARAF;AP2M1;DNAJA3;SAT2;MRFAP1L1;TMEM141;GUCD1;PSMB7;PARK7;CHP1;CCT7;RNF5;MACROD1;KLHDC3;PRADC1;HDHD3;MCRIP2;ADI1;SF3B5;TMEM120A;PINK1;MRPL20;UBL5;MTFR1L;GABARAPL1;MTIF3;GHITM;CHMP4B;CUEDC2;MAP1LC3A;ILRUN;HHATL;PREB;NGRN;NOP10;PXMP2;PHPT1;SERINC1;AURKAIP1;OCIAD1;CHCHD3;MRPL15;TOMM7;DKK3;EIF3K;HSPB7;PFDN2;HSPB8;STOML2;NDRG4;SMG5;MGAT4B;VDAC3;LAMTOR2;POLDIP2;STARD10;SBDS;CIAO2B;MRPS23;STRAP;TIMM13;MRFAP1;MRPS18B;EID1;SELENOK;BZW2;CHCHD2;EPN1	Protein Binding	228	11804	170.75956102427668	1.335210740952804	9.461303496748092
GO:0003723	1.4047877922989876e-07	6.233804270241791e-11	AHCYL1;KIF1C;EIF1B;EDF1;CSDE1;ALDOA;HSP90AA1;HSP90AB1;HSPD1;HSPA8;APEH;PKM;H1-2;MAP4;CANX;SRP14;EIF1;TUFM;SRP9;RIDA;MRPL12;PSMD4;VCP;SNU13;HSPE1;HNRNPK;YWHAG;YWHAE;EIF5A;EIF4G2;MRPS9;ARF1;FKBP3;EIF4G1;PRDX1;MRPL28;EIF4A2;EIF4H;IMMT;MRPL41;CCDC124;SF3B5;MRPL20;MRPS26;MRPL37;NGRN;NOP10;MRPL15;EIF3K;SBDS;MRPS23;STRAP;EIF3I	Rna Binding	53	1330	19.24010641835717	2.7546625183648774	6.8523892754700215
GO:0031625	3.6665979274937164e-06	2.4406021261329375e-09	MFN2;GABARAP;GPI;HSP90AA1;HSP90AB1;HSPD1;HSPA8;CKB;PRKACA;PSMA3;ATP6V0C;VCP;TPI1;YWHAE;TUBA1B;ELOB;PINK1;GABARAPL1;MAP1LC3A;SMG5;UBB	Ubiquitin Protein Ligase Binding	21	283	4.093947455936149	5.129523577433898	5.435736711376892
GO:0044325	8.622551036736575e-06	7.652585788095474e-09	FXYD1;TCAP;HSP90AA1;HSP90AB1;CALM2;CALM3;ATP2A2;VDAC1;HRC;ACTN2;YWHAE;SNTA1;AP2M1;PHPT1	Transmembrane Transporter Binding	14	126	1.8227469238443632	7.680715197956577	5.064364226371128
GO:0003743	6.0169779392266545e-05	6.675147480837203e-08	EIF1;EIF4G2;EIF4G1;EIF3I;EIF4H;EIF3K;EIF4A2;EIF1B;MTIF3	Translation Initiation Factor Activity	9	51	0.737778516794147	12.198782961460447	4.220621580811767
GO:0042802	6.735235703769917e-05	8.966366590330487e-08	BIN1;PSMA7;AHCYL1;BANF1;IDH1;LDHA;CST3;CRYAB;APOE;RAF1;ALDOA;GAPDH;ALDOB;APP;HSP90AA1;PFKM;HSP90AB1;TPM1;ALAD;APEH;PAM;VDAC1;AHCY;ACTN2;LONP1;CSRP3;RIDA;PSMD4;VCP;PCBD1;HNRNPK;YWHAG;YWHAE;ACY1;EIF4G1;PRDX1;FHL2;NFE2L1;ARL6IP1;SLC9A3R2;UGP2;SAT2;MRFAP1L1;PARK7;RNF5;CHMP4B;HSPB8;SELENOK	Identical Protein Binding	48	1409	20.382939807116728	2.3549105504025842	4.171647201269065
GO:0008135	0.0004612713052055001	7.164187123227203e-07	EIF1;EIF4G2;EIF4G1;EEF1A2;EIF4H;MTIF3	Translation Factor Activity, Rna Binding	6	22	0.31825739940139675	18.852664576802507	3.3360435611700137
GO:0051082	0.000436092802433554	7.740719812443826e-07	CRYAB;HSPD1;HSPA8;CANX;HSPE1;DNAJA3;PFDN2;CCT7;HSP90AB1;HSP90AA1;NACA	Unfolded Protein Binding	11	108	1.5623545061523114	7.040655598126862	3.360421081153187
GO:0031432	0.00046012038449226654	9.188115066408695e-07	TCAP;CALM2;CALM3;ACTN2;ANKRD1	Titin Binding	5	13	0.1880611905553708	26.58709106984969	3.337128525969278
GO:0045296	0.00045749962876829003	1.0150868177685602e-06	IDH1;BAG3;LDHA;ALDOA;HSP90AB1;HSPA8;PKM;PSMB6;BSG;HNRNPK;YWHAE;EIF4G2;PRDX1;EIF4H;SLC9A3R2;PARK7;CHMP4B;BZW2	Cadherin Binding	18	304	4.39773860991021	4.093012704174228	3.339609253999606
GO:0023026	0.0006705141559639404	1.6364889539834357e-06	ATP1B1;HSP90AA1;HSP90AB1;HSPA8;PKM;YWHAE	Mhc Class Ii Protein Complex Binding	6	25	0.3616561356834054	16.590344827586208	3.1735920488457485
GO:0004332	0.0013125445979713319	3.494682754749497e-06	ALDOA;ALDOB;ALDOC	Fructose-bisphosphate Aldolase Activity	3	3	0.043398736282008646	69.1264367816092	2.881885931103877
GO:0003735	0.0016868268663049616	4.865486856437653e-06	MRPL33;MRPL28;MRPL41;MRPL34;MRPL37;MRPS23;MRPS18B;MRPL20;MRPL16;MRPL15;MRPL12;MRPS9	Structural Constituent Of Ribosome	12	156	2.2567342866644498	5.317418213969938	2.7729294905389175
GO:0097718	0.001657061287510115	5.147294880217797e-06	GAPDH;HSP90AA1;HSP90AB1;CALM2;CALM3;AP2M1	Disordered Domain Specific Binding	6	30	0.4339873628200865	13.825287356321839	2.780661428614323
GO:0008092	0.0019693079675435596	6.554164524773329e-06	LDB3;ALDOA;ALDOB;FABP3;TPM1;ALDOC;ACTN2	Cytoskeletal Protein Binding	7	47	0.6799135350848021	10.295426754707753	2.705686361999931
GO:0015288	0.009623095860888069	3.416231057781431e-05	VDAC1;VDAC2;VDAC3	Porin Activity	3	5	0.07233122713668108	41.47586206896551	2.016685187940961
GO:0008307	0.01034596631727532	3.9024057553512416e-05	TCAP;MYL3;TPM1;ACTN2;CSRP3;MYOM2	Structural Constituent Of Muscle	6	42	0.6075823079481211	9.875205254515599	1.985228939830404
GO:0070061	0.01522333664897205	6.755418970034191e-05	ALDOA;ALDOB;PFKM	Fructose Binding	3	6	0.08679747256401729	34.5632183908046	1.8174901485234276
