	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0003236	3.605920200158779e-08	4.0213228506287264e-12	ACTN2;ACTN2;AHCY;TCAP;TCAP;C1QBP;BAG3;BAG3;CRYAB;CRYAB;CRYAB;MLXIPL;FHL2;ANKRD1;LDB3;LDB3;LDHA;RAF1;SLC39A14;TPM1;VCP;VCP;VCP;VCP;VCP;EIF4H;CHCHD10;CHCHD10;CHCHD10;CSRP3	Elevated Circulating Creatine Kinase Concentration	30	368	5.323578317259727	5.635307346326837	7.4429838885437825
HP:0001644	6.730361488734861e-05	1.501140066629834e-08	ACTN2;ACTN2;TCAP;TCAP;BAG3;BAG3;CRYAB;CRYAB;FHL2;ANKRD1;LDB3;LDB3;RAF1;RAF1;TPM1;TPM1;TPM3;CSRP3;CSRP3	Dilated Cardiomyopathy	19	210	3.0379115397406053	6.254296661193213	4.171961609127182
HP:0000726	0.00018188917100620816	6.085285078829313e-08	ADH1C;APOE;APOE;APOE;APP;APP;APP;APP;APP;APP;ATP6V1E1;CST3;EIF4G1;PRDX1;VCP;VCP;PINK1	Dementia	17	182	2.6328566677751915	6.456864974106353	3.740193156418892
HP:0001874	0.00033985759154462697	1.5160369869281898e-07	ACTN2;TCAP;BAG3;CRYAB;FHL2;ANKRD1;LDB3;RAF1;NOP10;TPM1;CSRP3	Abnormality Of Neutrophils	11	74	1.07050216162288	10.275551413482447	3.4687030246114636
HP:0100578	0.0004140368981001072	2.308670113193416e-07	ACTN2;TCAP;BANF1;BAG3;CRYAB;FHL2;ANKRD1;LDB3;RAF1;TPM1;CSRP3	Lipoatrophy	11	77	1.1139008979048886	9.875205254515599	3.38296095374092
HP:0011970	0.0004891194399198265	3.2727965200389864e-07	APOE;APOE;APP;APP;CST3	Cerebral Amyloid Angiopathy	5	9	0.13019620884602595	38.40357598978288	3.3105850759189925
HP:0009027	0.00162681382225192	1.269956145395722e-06	ACTN2;TCAP;CRYAB;CRYAB;MFN2;MFN2;MFN2;LDB3;TPM3;VCP;VCP;RAB7A	Foot Dorsiflexor Weakness	12	110	1.5912869970069838	7.541065830721003	2.788662146261159
HP:0001300	0.0016212376835393993	1.4464036431710935e-06	ADH1C;APOE;APP;APP;EIF4G1;PCBD1;SLC39A14;SLC39A14;VCP;VCP;VCP;PINK1;CHCHD10;CHCHD10	Parkinsonism	14	154	2.227801795809777	6.284221525600836	2.7901533102085225
HP:0008997	0.004100286827754356	4.115376541740739e-06	BIN1;TCAP;LDB3;VCP;VCP;CHCHD10;CHCHD10	Proximal Muscle Weakness In Upper Limbs	7	35	0.5063185899567676	13.825287356321837	2.3871857619744294
HP:0003701	0.0036903297321029594	4.115456375714241e-06	ACTN2;ACTN2;BIN1;MFN2;MFN2;PRKACA;PRKACA;TPM3;TPM3;VCP;VCP;VCP;CHCHD10;CHCHD10	Proximal Muscle Weakness	14	168	2.4303292317924843	5.7605363984674325	2.4329348277609637
HP:0003198	0.005444980525953775	6.679467579512827e-06	ACTN2;ALDOA;TCAP;C1QBP;BAG3;CRYAB;MLXIPL;FHL2;ANKRD1;LDB3;RAF1;TPI1;TPM1;VCP;EIF4H;CSRP3	Myopathy	16	226	3.2693714665779847	4.893907028786492	2.2640036691654957
HP:0003736	0.007171461504677293	9.597138179561448e-06	ACTN2;CRYAB;CRYAB;LDB3	Autophagic Vacuoles	4	8	0.11572996341868973	34.5632183908046	2.1443923284694875
HP:0003458	0.007500133770733152	1.0873395675201402e-05	ALDOA;BIN1;BIN1;BAG3;CRYAB;CRYAB;LDB3;TPM3;TPM3;TPM3;VCP;VCP;CHCHD10	Emg: Myopathic Abnormalities	13	158	2.285666777519122	5.687618216208352	2.1249309905585463
HP:0002460	0.008148981425002286	1.2722843754882572e-05	ACTN2;ACTN2;BIN1;CRYAB;MFN2;MFN2;HSPB8;CHP1;VCP;VCP;VCP;CHCHD10;RAB7A;RAB7A	Distal Muscle Weakness	14	185	2.6762554040572	5.2311898105001555	2.0888966721368405
HP:0003457	0.008661694780320537	1.448928534680585e-05	ACTN2;TCAP;BAG3;CRYAB;FHL2;ANKRD1;LDB3;RAF1;TPM1;CSRP3	Emg Abnormality	10	95	1.3742933155969406	7.276467029643073	2.0623971239492858
HP:0002185	0.009563144042246702	1.706371190765554e-05	APOE;APOE;APOE;APOE;APP;APP	Neurofibrillary Tangles	6	29	0.4195211173927503	14.302021403091556	2.0193993027324297
HP:0001297	0.009208039962344346	1.7456973275326628e-05	APP;APP;APP;APP;APP;CST3;CST3;MLXIPL;MLXIPL;EIF4H	Stroke	10	97	1.403225806451613	7.126436781609195	2.0358328045620206
HP:0002380	0.009442458815428061	1.8954417160444418e-05	KIF1C;KIF1C;VCP;VCP;VCP;VCP;VCP;CHCHD10;CHCHD10	Fasciculations	9	78	1.1283671433322249	7.976127320954907	2.024914900730921
HP:0001639	0.009194560225883277	1.948217288856722e-05	BAG3;CRYAB;MLXIPL;ATP5MK;MICOS13;MYL3;MAP2K2;MAP2K2;RAF1;RAF1;RAF1;TPI1;TPM1;EIF4H	Hypertrophic Cardiomyopathy	14	192	2.7775191220485533	5.040469348659004	2.0364690381539785
HP:0002063	0.011696683037046244	2.6088286019953708e-05	ADH1C;ATP1A2;ATP1A2;CRYAB;CTSD;EEF1A2;EIF4G1;EIF4G1;PARK7;PARK7;LDHA;YWHAG;PINK1;PINK1	Rigidity	14	197	2.8498503491852345	4.912538654530603	1.9319372786763387
HP:0001337	0.014885411535337248	3.486044856050877e-05	ADH1C;ATP1A2;ATP1A2;AP2M1;AP2M1;MFN2;EEF1A2;MLXIPL;PARK7;PRDX1;PCBD1;PCBD1;MRPL12;SLC39A14;SLC39A14;TPI1;VCP;EIF4H;YWHAG;PINK1;CHCHD10;CHCHD10	Tremor	22	444	6.42301296973728	3.425183804494149	1.8272391539594517
HP:0002067	0.015167684638152134	3.7213010152709596e-05	ADH1C;EIF4G1;EIF4G1;CHCHD2;ATP5MK;PARK7;PARK7;SLC39A14;SLC39A14;TPM3;PINK1;PINK1	Bradykinesia	12	152	2.198869304955105	5.457350272232304	1.8190807096298311
HP:0000982	0.0162532946605303	4.1689057342722964e-05	ACTN2;TCAP;ATP2A2;BAG3;CRYAB;FHL2;ANKRD1;LDB3;MAP2K2;RAF1;NOP10;TPM1;CSRP3	Palmoplantar Keratoderma	13	179	2.5894579314931825	5.020355743915752	1.7890585911247294
HP:0012407	0.016147480247201598	4.321841484697651e-05	ARL6IP1;ARL6IP1;SLC39A14;SLC39A14	Scissor Gait	4	11	0.15912869970069837	25.136886102403345	1.7918952380457878
HP:0002145	0.017219718413708972	4.800858261879383e-05	VCP;VCP;VCP;VCP;VCP;CHCHD10;CHCHD10	Frontotemporal Dementia	7	50	0.7233122713668108	9.677701149425287	1.763973954646142
HP:0005184	0.018274213772602674	5.298645679576999e-05	CALM2;CALM2;CALM3;CALM3;SNTA1;SNTA1	Prolonged Qtc Interval	6	35	0.5063185899567676	11.850246305418718	1.7381612989974844
HP:0001003	0.01852033831773422	5.57654884107086e-05	MAP2K2;MAP2K2;RAF1;RAF1;RAF1	Multiple Lentigines	5	22	0.31825739940139675	15.71055381400209	1.7323510841668768
HP:0200016	0.023610075008970947	7.372388761583433e-05	ATP2A2;ATP2A2;ATP2A2	Acrokeratosis	3	5	0.07233122713668108	41.47586206896551	1.6269026331698784
HP:0003700	0.023103586204173483	7.471885802621065e-05	BIN1;BIN1;BAG3;MST1;TPM3;VCP;VCP;CHCHD10	Generalized Amyotrophy	8	72	1.0415696707682076	7.680715197956577	1.6363206024541797
HP:0003378	0.026272588515294786	9.082750574039683e-05	MFN2;MFN2;MFN2;RAB7A	Axonal Degeneration/regeneration	4	13	0.1880611905553708	21.269672855879755	1.5804971361013667
HP:0002511	0.027148341465804613	9.082750574039683e-05	APOE;APOE;APOE;APP	Alzheimer Disease	4	13	0.1880611905553708	21.269672855879755	1.5662566969867564
HP:0009053	0.02836109190013343	0.00010121054319217908	TCAP;MFN2;HSPB8;TPM3;VCP;CHCHD10;CHCHD10	Distal Lower Limb Muscle Weakness	7	56	0.8101097439308281	8.640804597701148	1.5472770528587112
HP:0000006	0.031903851319427176	0.00011741129625751051	ACTN2;ACTN2;ACTN2;ADH1C;APOE;APOE;APOE;APOE;APP;APP;TCAP;ARF1;ATP1A2;ATP1A2;ATP1A2;ATP2A2;ATP2A2;CALM2;CALM3;AP2M1;BAG3;BAG3;CRYAB;CRYAB;CRYAB;CST3;MFN2;MFN2;HSPB8;HSPB8;EEF1A2;EEF1A2;MLXIPL;EIF4G1;EIF5A;CHCHD2;PMVK;LDB3;LDB3;HNRNPK;HSPD1;IDH1;MYL3;PHB1;PPP2R1A;PRKACA;PRKACA;MAP2K2;RAF1;RAF1;RAF1;CHMP4B;SNTA1;SLC39A14;TPM1;TPM1;TPM3;TPM3;VCP;VCP;VCP;YWHAG;CHCHD10;CHCHD10;CHCHD10;MAPKAPK3;RAB7A;CSRP3;CSRP3	Autosomal Dominant Inheritance	69	2642	38.219820419022284	1.8053460022449033	1.4961568872934259
HP:0002747	0.03374687209739283	0.0001279573604674201	BIN1;BIN1;CRYAB;CRYAB;MFN2;TPI1;TPM3;TPM3;TPM3	Respiratory Insufficiency Due To Muscle Weakness	9	99	1.4321582973062854	6.284221525600835	1.4717664745009518
HP:0006685	0.0372328837527089	0.00014532741511595978	ACTN2;LDB3;MYL3	Endocardial Fibrosis	3	6	0.08679747256401729	34.5632183908046	1.429073325603064
HP:0008994	0.04973255075418653	0.00019966229810981545	BIN1;TCAP;VCP;CHCHD10;CHCHD10;CHCHD10	Proximal Muscle Weakness In Lower Limbs	6	44	0.6365147988027935	9.426332288401253	1.3033592654800463
