	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP534	3.028986019477783e-08	4.038648025970377e-11	TPI1;MDH1;ALDOC;GPI;LDHA;PKM;GOT1;PFKM;ALDOA;GAPDH;ALDOB	Glycolysis And Gluconeogenesis	11	34	0.49185234452943133	22.36443542934415	7.5187027311827155
WP4629	1.6696306081223997e-07	4.4523482883263995e-10	GPI;TPI1;LDHA;ALDOA;GAPDH;PFKM;PKM	Aerobic Glycolysis	7	11	0.15912869970069837	43.98955067920585	6.777379602265066
WP2059	1.1359590386961747e-05	4.5438361547846986e-08	APP;ATP2A2;CALM2;PSMC5;CALM3;PSMD4;PSMD8;MAP2K2;GAPDH;RAF1;TUBA1B;PSMA3;PSMB4;PSMB6;PSMB7;PSMA7;PPIF;VDAC2;VDAC1;VDAC3;APOE	Alzheimer's Disease And Mirna Effects	21	253	3.6599600931160627	5.737767479896415	4.9446373284744265
WP5124	8.51969279022131e-06	4.5438361547846986e-08	APP;ATP2A2;CALM2;PSMC5;CALM3;PSMD4;PSMD8;MAP2K2;GAPDH;RAF1;TUBA1B;PSMA3;PSMB4;PSMB6;PSMB7;PSMA7;PPIF;VDAC2;VDAC1;VDAC3;APOE	Alzheimer's Disease	21	253	3.6599600931160627	5.737767479896415	5.069576065082726
WP183	0.0005061784134054332	3.3745227560362213e-06	PSMC5;PSMA3;PSMD4;PSMD8;PSMB4;PSMB6;PSMB7;UBB;PSMA7	Proteasome Degradation	9	60	0.867974725640173	10.368965517241378	3.29569637979966
WP4018	0.00045824970125270134	3.665997610021611e-06	TPI1;ALDOC;GPI;GAPDH;MDH1;LDHA;PKM;PFKM;ALDOA;ALDOB	Clear Cell Renal Cell Carcinoma Pathways	10	77	1.1139008979048886	8.97745932228691	3.338897809495796
WP1946	0.0019591985145611846	1.8285852802571055e-05	TPI1;GPI;LDHA;GAPDH;ALDOA	Cori Cycle	5	17	0.24592617226471566	20.33130493576741	2.7079215571596413
WP5049	0.004939207063282156	5.2684875341676326e-05	LDHA;GAPDH;PKM;ALDOC	Glycolysis In Senescence	4	11	0.15912869970069837	25.136886102403345	2.3063427668014294
WP107	0.005697462083365395	6.836954500038473e-05	EIF4A2;EIF5A;EIF4G1;EIF4H;EEF1A2;EIF3I;EIF1	Translation Factors	7	50	0.7233122713668108	9.677701149425287	2.2443185563696098
WP4290	0.0053667103292369695	7.15561377231596e-05	GPI;LDHA;PKM;GAPDH;ALDOB	Metabolic Reprogramming In Colon Cancer	5	22	0.31825739940139675	15.71055381400209	2.2702918453332392
WP5220	0.013755347888523973	0.00020174510236501826	MDH1;GPI;LDHA;PKM;GOT1	Metabolic Reprogramming In Pancreatic Cancer	5	27	0.39058862653807785	12.801191996594294	1.8615284213298635
WP2456	0.028490447053978726	0.0004558471528636596	TPI1;LDHA;GAPDH	Hif1a And Pparg Regulation Of Glycolysis	3	8	0.11572996341868973	25.92241379310345	1.545300736034205
WP3925	0.03488790065522876	0.0006047236113572985	ADH1C;MDH1;IDH1;LDHA;PKM;GOT1	Amino Acid Metabolism	6	51	0.737778516794147	8.132521974306965	1.4573251630047568
WP3529	0.043428158905710786	0.0008106589662399347	MT1E;MT1G;MT1X;MT2A;SLC39A14	Zinc Homeostasis	5	36	0.5207848353841038	9.60089399744572	1.3622285817369852
WP3888	0.04490531008486784	0.0008981062016973568	PSMD4;MAP2K2;HSP90AA1;GAPDH;RAF1;FHL2;ATP6V1E1;CCT7;YWHAE;BSG;PPP1CA;ALDOA;EPN1;BIN1;TPM3;EIF4G2;EIF4G1;LDHA;CCDC124	Vegfa-vegfr2 Signaling Pathway	19	415	6.0034918523445295	3.164824816507409	1.3477023003285302
