	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0032543	2.514018396340956e-57	2.0073605847500447e-61	MRPS12;MRPL33;GATB;MRPL3;DAP3;MRPL12;MRPS25;MRPS10;MRPS35;MRPS5;MRPS11;MRPS15;MRPS34;MRPS9;MRPL58;MRPL51;MRPL2;MRPL54;MRPL21;MRPL10;MRPL52;MRPL41;GADD45GIP1;MRPS27;MRPL24;MRPL38;MRPS24;PTCD3;MRPL34;MRPL57;MRPL20;MRPL4;MRPL37;MRPL46;MRPL44;MRPL40;MRPL17;MRPS18A;AURKAIP1;MRPL16;MRPL39;MRPL35;MRPL15;MRPL36;MRPL27;MRPS33;MRPS28;MRPS7;MRPS2;MRPS16;MRPS23;MRPS18B;IARS2	Mitochondrial Translation	53	92	2.1258087315826675	24.93168797953964	56.5996315486866
GO:0006099	7.675391694743395e-20	1.2257093092851157e-23	IDH3B;CS;FH;PDHA1;DLAT;PDHB;DLST;IDH2;IDH3A;IDH3G;SUCLG1;MRPS36;NNT;ACO2;SUCLA2;OGDH;MDH2;MDH1	Tricarboxylic Acid Cycle	18	26	0.6007720328385799	29.961447963800904	19.114899452134168
GO:0006412	1.4629320442288367e-08	3.504308633572749e-12	MRPL3;RPS18;MRPS15;AIMP2;MRPL51;MRPL10;MRPL52;MRPL41;COPS5;MRPL34;MRPL37;MRPS18A;MRPL35;MRPL36;MRPL27;MRPS33;MRPS16;MRPS18B;MRPS12;MRPL24;MRPS5;MRPS11;MRPL12;MRPS7	Translation	24	166	3.8356983635078565	6.257009213323883	7.834775847150069
GO:0061732	2.932061138535783e-05	9.364615581398221e-09	PDHX;MPC2;PDHA1;DLD;PDHB	Mitochondrial Acetyl-coa Biosynthetic Process From Pyruvate	5	5	0.11553308323818845	43.277647058823526	4.532826978146908
GO:0007007	4.1810847997298244e-05	1.6692290002115234e-08	HSPA9;IMMT;MICOS10;MICOS13;APOO;GHITM;CHCHD3	Inner Mitochondrial Membrane Organization	7	14	0.32349263306692766	21.638823529411763	4.378711024106782
GO:0006086	0.00011487687163894752	5.5035230743666966e-08	PDHX;PDHA1;DLD;DLAT;PDHB	Acetyl-coa Biosynthetic Process From Pyruvate	5	6	0.13863969988582614	36.06470588235294	3.9397673997769282
GO:0006102	9.846588997624073e-05	5.5035230743666966e-08	IDH2;IDH3G;ACO2;IDH3B;IDH3A	Isocitrate Metabolic Process	5	6	0.13863969988582614	36.06470588235294	4.006714189407542
GO:0006103	0.0001387833011773824	8.865110263646273e-08	IDH3B;GOT2;GOT1;DLST;IDH2;MRPS36;OGDH	2-oxoglutarate Metabolic Process	7	17	0.39281248300984073	17.820207612456745	3.857662786350928
GO:0006635	0.00016794038006635875	1.206853577608774e-07	ECI2;ACADM;HADHA;ECI1;HADHB;ECH1;DECR1;HADH;MTLN;CPT1B	Fatty Acid Beta-oxidation	10	45	1.039797749143696	9.617254901960784	3.7748448682959865
GO:0042407	0.0026649030363683456	2.1278369820890654e-06	IMMT;MICOS10;MICOS13;APOO;CHCHD3	Cristae Formation	5	10	0.2310661664763769	21.638823529411763	2.574318588339575
GO:0045116	0.01394666624743574	1.2249547167182461e-05	RBX1;NEDD8;COPS5;COPS4;COPS3;DCUN1D2	Protein Neddylation	6	22	0.5083455662480292	11.802994652406417	1.855529591915154
GO:0045214	0.03820135707478958	3.660302498382905e-05	TCAP;LDB3;MYOM2;SYNPO2L;MYOZ2;FHOD3;MYH7	Sarcomere Organization	7	38	0.8780514326102322	7.97219814241486	1.4179212088258815
GO:0045454	0.035262791145959614	3.660302498382905e-05	DLD;BOLA3;GLRX5;PRDX5;TXN2;PRDX3;PRDX2	Cell Redox Homeostasis	7	38	0.8780514326102322	7.97219814241486	1.4526833150850935
GO:0006107	0.038729456830621546	4.329386742484044e-05	GOT2;GOT1;MDH2;MDH1	Oxaloacetate Metabolic Process	4	9	0.2079595498287392	19.23450980392157	1.4119585938251225
GO:0016226	0.03651074555242344	4.3728935107501725e-05	HSPA9;BOLA3;GLRX5;ISCU;CIAO2B;ISCA1	Iron-sulfur Cluster Assembly	6	27	0.6238786494862176	9.617254901960784	1.4375792986307288
GO:0106077	0.04715946045554836	6.024843239290753e-05	DLD;DLST;OGDH	Histone Succinylation	3	4	0.09242646659055076	32.45823529411764	1.3264311722478241
