	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0005739	2.729910903926863e-94	1.4901260392613883e-97	HAX1;PDHX;SLC25A20;IDH3B;COQ9;NIPSNAP2;CS;MRPL33;ECI2;ERAL1;SLC25A12;GATB;MFN2;MPC2;MLYCD;SOD1;GOT2;FH;HSP90AB1;PDHA1;MRPL3;DLD;PARP1;DLAT;PDHB;ACADM;SLC25A4;BCKDHA;ETFA;CKMT2;PRKACA;VDAC1;S100A1;MAOB;PRDX5;PRDX3;PPP2R1A;PPIF;HSPA4;PHB1;BSG;PPP1CC;DLST;ETFB;HSPA9;MDH2;HADHA;ECI1;LRPPRC;VDAC2;IDH2;TUFM;ACOT2;IDH3A;DAP3;IDH3G;MRPL12;SUCLG1;MYOM2;HADHB;OXCT1;MRPS25;MRPS5;MRPS36;MRPS11;MRPS15;MRPS34;MRPS9;SLC25A3;OGDH;SLC25A11;SSBP1;C1QBP;GRSF1;NNT;MRPL58;ENDOG;KARS1;PDK2;DECR1;HADH;IMMT;CRY2;MRPL51;BOLA3;SLC25A30;MRPL2;MICOS10;MICOS13;MRPL54;SFXN4;HSDL2;MRPL21;MRPL10;GLRX5;ATG4D;MRPL52;LDHD;MRPL41;MICU2;MTLN;GADD45GIP1;NUDT8;CHCHD10;DDX1;CPT1B;MRPS27;TBRG4;FAM162A;MRPL24;TMEM143;MRPL38;MALSU1;PTCD3;ATP5MK;TXN2;ACO2;MRPL34;MRPL57;APOO;FUNDC2;C1orf43;MRPL20;MRPL4;MRPL37;SLIRP;ISCU;MTIF3;MRPL46;GHITM;SMDT1;PTGES2;MRPL44;MRPL40;MRPL17;MRPS18A;AURKAIP1;MRPL16;CHCHD3;MRPL39;CISD1;MRPL35;CWC15;MRPL15;MRPL36;MRPL27;SUCLA2;AK3;NENF;TRAK1;VDAC3;MRPS28;POLDIP2;MRPS2;MSRB2;MRPS16;FIS1;MRPS23;MPC1;MRPS18B;CHCHD2;MRPS33;GFM1;PPTC7;MRPS10;HIBADH;MTFR1L;UNG;ECH1;MTCH2;ISCA1;HDHD5;GATD3;COQ10A;NAXE;IARS2	Mitochondrion	176	1146	26.480182678192794	6.646479827533107	93.56385152679233
GO:0005743	2.2250659200990646e-64	2.4291112664836948e-67	MRPS12;SLC25A20;COQ9;MRPL33;ERAL1;SLC25A12;MPC2;LDHB;MRPL3;SLC25A4;CKMT2;PHB1;HSPA9;HADHA;DAP3;MRPL12;HADHB;ATP5MJ;MRPS25;MRPS10;MRPS35;MRPS5;MRPS36;MRPS11;MRPS15;MRPS34;MRPS9;SLC25A3;SLC25A11;NNT;MRPL58;IMMT;MRPL51;SLC25A30;MRPL2;MICOS10;MICOS13;MRPL54;MRPL21;MRPL10;MRPL52;LDHD;MRPL41;MICU2;MTLN;GADD45GIP1;MRPS27;MRPL24;MRPL38;MRPS24;PTCD3;ATP5MK;COQ10A;MRPL34;MRPL57;APOO;MRPL20;MRPL4;MRPL37;MRPL46;SMDT1;MRPL44;MRPL40;MRPL17;MRPS18A;AURKAIP1;MRPL16;CHCHD3;MRPL39;MRPL35;MRPL15;MRPL36;MRPL27;MRPS33;MRPS28;MRPS7;MRPS2;MRPS16;MRPS23;MPC1;MRPS18B;ENDOG	Mitochondrial Inner Membrane	82	272	6.284999728157452	13.046937716262974	63.65265711802633
GO:0005762	1.3756797980612464e-31	2.2527507610173246e-34	MRPL33;MRPL3;MRPL12;MRPL58;MRPL51;MRPL2;MRPL54;MRPL21;MRPL10;MRPL52;MRPL41;GADD45GIP1;MRPL24;MRPL38;MRPL34;MRPL57;MRPL20;MRPL4;MRPL37;MRPL46;MRPL44;MRPL40;MRPL17;MRPS18A;MRPL16;MRPL39;MRPL35;MRPL15;MRPL36;MRPL27	Mitochondrial Large Ribosomal Subunit	30	55	1.270863915620073	23.605989304812834	30.861482640314026
GO:0005759	3.336415174077992e-30	7.284749288379896e-33	PDHX;IDH3B;CS;ERAL1;MLYCD;SOD1;GOT2;FH;PDHA1;DLD;DLAT;PDHB;ACADM;BCKDHA;ETFA;PRDX5;PRDX3;PPIF;HIBADH;DLST;ETFB;HSPA9;MDH2;ECI1;IDH2;ACOT2;IDH3A;IDH3G;SUCLG1;OXCT1;OGDH;SSBP1;C1QBP;MRPL58;KARS1;PDK2;ETFDH;DECR1;HADH;DGLUCY;GLRX5;ATG4D;NAXE;PPTC7;GADD45GIP1;TBRG4;GFM1;TXN2;ACO2;ISCA1;TARS2;ISCU;SMDT1;IARS2;SUCLA2;AK3;POLDIP2;BOLA3	Mitochondrial Matrix	58	335	7.740716576958626	7.492846356453029	29.47671991229325
GO:0005763	1.038472715213602e-26	2.834259593923586e-29	MRPS12;DAP3;MRPS25;MRPS10;MRPS35;MRPS5;MRPS11;MRPS15;MRPS34;MRPS9;MRPS27;MRPS24;PTCD3;MRPS18A;AURKAIP1;MRPS33;MRPS28;MRPS7;MRPS2;MRPS16;MRPS23;MRPS18B	Mitochondrial Small Ribosomal Subunit	22	31	0.7163051160767684	30.713168880455406	25.98360490961308
GO:0005761	3.082568901536213e-07	1.0095749677520348e-09	MRPS12;MRPL51;MRPL34;MRPL57;MRPL20;MRPL37;MRPL40;MRPL39;MRPL35	Mitochondrial Ribosome	9	22	0.5083455662480292	17.704491978609624	6.511087207279662
GO:0005967	3.542730341345154e-07	1.3536633400336287e-09	PDHX;PDHA1;DLD;DLAT;PDHB;PDK2	Mitochondrial Pyruvate Dehydrogenase Complex	6	7	0.16174631653346383	37.09512605042016	6.450661903191155
GO:0000502	8.883351060112894e-07	3.879192602669386e-09	PSMD3;PSMC3;PSMA3;PSMB6;PSMC2;PSMD8;PSMB2;PSMD7;PSMD4;PSMA6;PSMB7;SEM1	Proteasome Complex	12	53	1.2246506823247976	9.798712541620421	6.051423174719001
GO:0031305	7.911567020649207e-07	3.886686855122427e-09	ETFDH;MTLN;APOO;GHITM;SMDT1;SFXN4;MPC1;SLC25A3;MPC2	Integral Component Of Mitochondrial Inner Membrane	9	25	0.5776654161909422	15.579952941176469	6.10173748856055
GO:0061617	9.716228468770114e-07	5.303618159809014e-09	IMMT;MICOS10;MICOS13;CHCHD10;APOO;CHCHD3	Micos Complex	6	8	0.18485293318110152	32.45823529411764	6.012502281684983
