	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0002151	1.753651757383351e-24	1.9556727527415535e-28	SLC25A4;SLC25A4;MRPS34;SUCLG1;C1QBP;TXN2;TXN2;DLD;MRPS16;LRPPRC;LRPPRC;MPC1;GOT2;MRPL3;MICOS13;GFM1;KARS1;KARS1;MDH2;MRPS28;SFXN4;OGDH;PDHA1;PDHA1;PDHA1;SLC25A3;NAXE;MRPL12;TARS2;SOD1;ISCU;TUFM;CHCHD10;CHCHD10;MRPL44;COQ9;ISCA1;PDHX	Increased Serum Lactate	38	136	3.142499864078726	12.092283737024221	23.756056645213132
HP:0003128	1.604649181546252e-22	3.579010107162378e-26	SLC25A4;SLC25A4;MRPS34;BCKDHA;SUCLG1;SUCLG1;SUCLA2;DLAT;DLD;DLD;MRPS16;MRPS7;LRPPRC;LRPPRC;FH;MPC1;PLPBP;HADHA;HADHB;HADH;MICOS13;BOLA3;SFXN4;PDHB;PDHB;GATB;SLC25A3;SLC25A3;NAXE;MLYCD;ISCU;TUFM;COQ9;PDHX;PDHX	Lactic Acidosis	35	125	2.8883270809547112	12.117741176470588	21.794619901061093
HP:0002490	4.694100041203256e-10	1.5704583610582993e-13	SLC25A4;MRPS34;SUCLG1;SUCLG1;TXN2;TXN2;LRPPRC;LRPPRC;GFM1;MDH2;PDHA1;PDHA1;PDHA1;NAXE;PDHX	Increased Csf Lactate	15	41	0.9473712825531453	15.83328550932568	9.328447658904542
HP:0001943	2.1993110361007804e-07	9.810688239548479e-11	ACADM;ACADM;BCKDHA;SUCLG1;SUCLG1;SUCLG1;SLC25A20;DLD;DLD;MRPS7;LRPPRC;MRPS2;ETFA;ETFB;ETFDH;MPC1;PLPBP;HADHA;MICOS13;MRPS28;GATB;MLYCD;NNT	Hypoglycemia	23	159	3.6739520469743927	6.260288568257491	6.657713346487367
HP:0003236	1.8980422394185523e-07	1.0583485220355484e-10	ACADM;ACTA1;ACTA1;SLC25A4;SLC25A4;TCAP;TCAP;SUCLA2;SUCLA2;C1QBP;SLC25A20;DES;FHL2;LDB3;LDB3;HADHA;HADHB;HINT1;HINT1;MYH7;MYH7;MYH7;MYL2;GATB;SGCG;SGCG;POMGNT1;POMGNT1;POMGNT1;POMGNT1;POMGNT1;SLC16A1;ISCU;CHCHD10;CHCHD10;CHCHD10;ISCA1	Elevated Circulating Creatine Kinase Concentration	37	403	9.311966508997989	3.9733819880309444	6.7216941269233335
HP:0001644	4.856538179717503e-06	3.249607346749751e-09	ACTA1;ACTA1;SLC25A4;TCAP;TCAP;DES;DES;DES;FHL2;LDB3;LDB3;HADHA;HADHB;HADH;HADH;BOLA3;MYH7;MYH7;MYH7;MYH7;MYH7;MYH7;MYL2;RYR2;MLYCD	Dilated Cardiomyopathy	25	222	5.129668895775567	4.873608903020667	5.313673192704888
HP:0002928	6.076861976406429e-06	4.743842292276681e-09	DLAT;GLRX5;GLRX5;PDHA1;PDHA1;PDHB;PDHX;PDHX	Decreased Activity Of The Pyruvate Dehydrogenase Complex	8	16	0.36970586636220304	21.638823529411763	5.216320627658903
HP:0001942	5.6062613194043794e-06	5.001682898989075e-09	ACADM;ACADM;C1QBP;DLD;LRPPRC;FH;PLPBP;MRPL3;GFM1;MRPS28;OGDH;SLC25A3;SLC25A3;MLYCD;TUFM;PDHX	Metabolic Acidosis	16	91	2.10270211493503	7.609256625727213	5.251326662742286
HP:0011923	1.113940533688702e-05	1.1180400137390787e-08	SUCLG1;SUCLG1;TXN2;TXN2;MRPS23;GFM1;PTCD3;MRPL12;ISCU	Decreased Activity Of Mitochondrial Complex I	9	24	0.5545587995433046	16.22911764705882	4.9531379928069805
HP:0003201	2.2003635032595664e-05	2.453845771450392e-08	SUCLG1;SLC25A20;SLC25A20;HADHA;HADHA;HADHB;HADHB;PGK1;PGK1;ISCU	Rhabdomyolysis	10	34	0.7856249660196815	12.72871972318339	4.657505567169113
HP:0001985	5.39954862543117e-05	6.62373534958658e-08	SLC25A20;HADHA;HADHA;HADHA;HADHB;HADHB;HADH;HADH	Hypoketotic Hypoglycemia	8	21	0.4852389496003915	16.48672268907563	4.267642543450701
HP:0003324	5.7847972956823056e-05	7.741448371605628e-08	ACTA1;ACTA1;ACTA1;ACTA1;SLC25A4;HACD1;LDB3;HADHA;HADHA;HADHB;HADHB;MYH7;MYH7;MYL2;MYL2;POMGNT1;SOD1;CHCHD10	Generalized Muscle Weakness	18	139	3.211819714021639	5.604299619128226	4.2377118545011685
HP:0001639	6.0856475439380175e-05	8.822729794936347e-08	SLC25A4;SLC25A4;SLC25A4;SUCLG1;DES;DLD;LRPPRC;GATA4;ATP5MK;HADHA;MRPL3;HADH;HADH;MICOS13;BOLA3;MYH7;MYL2;PDHA1;SLC25A3;SLC25A3;NNT;TPI1;MRPL44	Hypertrophic Cardiomyopathy	23	224	5.1758821290708426	4.443686974789916	4.215693203827233
HP:0008347	6.503135748591099e-05	1.0153217406075094e-07	SLC25A4;SUCLG1;SUCLG1;LRPPRC;MRPS23;GFM1;MRPL12;MRPS25	Decreased Activity Of Mitochondrial Complex Iv	8	22	0.5083455662480292	15.737326203208555	4.186877180291853
HP:0009027	9.445975599936496e-05	1.5801230511770652e-07	ACTA1;ACTA1;ACTA1;TCAP;HACD1;DES;MFN2;MFN2;MFN2;LDB3;HINT1;HINT1;KARS1;MYH7;MYH7;MYL2	Foot Dorsiflexor Weakness	16	115	2.6572609144783343	6.021237851662404	4.024753180591484
HP:0003546	0.00011747282043868048	2.096091365026082e-07	ACTA1;SLC25A4;SLC25A4;SLC25A4;C1QBP;NKX2-5;GATA4;HADHA;HADHB;HINT1;PGK1;ISCU;CHCHD10;CHCHD10	Exercise Intolerance	14	89	2.0564888816397544	6.807719762062128	3.93006260402142
HP:0003348	0.0001681311712212643	3.187498506480978e-07	SLC25A4;MRPL3;MICOS13;KARS1;PDHA1;TARS2;COQ9;PDHX	Hyperalaninemia	8	25	0.5776654161909422	13.848847058823528	3.7743517616682123
HP:0001962	0.00046884241675476717	9.411356642785556e-07	SLC25A11;SLC25A4;CDH2;NKX2-5;DLST;FH;GATA4;MDH2;MYL2;PKP2;SLC4A3;ISCU;TECRL	Palpitations	13	86	1.9871690316968413	6.541969904240766	3.328973104052234
HP:0003215	0.001097181899796033	2.3247971558073636e-06	ACADM;SLC25A20;SLC25A20;HADH;HADH	Dicarboxylic Aciduria	5	9	0.2079595498287392	24.04313725490196	2.959721365562171
HP:0001712	0.0010743821023828566	2.396302224563079e-06	SLC25A4;SLC25A4;TCAP;C1QBP;NKX2-5;GLRX5;MYOZ2;LDB3;HADHA;HADHB;MYL2;COQ9	Left Ventricular Hypertrophy	12	79	1.8254227151633775	6.5738198064035736	2.968841234982962
HP:0001635	0.0013832609920470906	3.239487100812859e-06	SLC25A11;NKX2-5;NKX2-5;DES;DES;DLST;LRPPRC;FH;GATA4;LDB3;HADHA;HADHA;HADHB;HADHB;MDH2;MYH7;MYH7;MYH7;MYH7;MYH7;TPI1	Congestive Heart Failure	21	234	5.4069482955472195	3.883891402714932	2.85909586999042
HP:0012343	0.0014175670536672258	3.477916268615921e-06	FTL;FTL;FTL;FTL	Decreased Circulating Ferritin Concentration	4	5	0.11553308323818845	34.62211764705882	2.8484563889790304
HP:0011924	0.0014061212811168453	3.6066454182767304e-06	SUCLG1;SUCLG1;TXN2;TXN2;GFM1;ISCU	Decreased Activity Of Mitochondrial Complex Iii	6	16	0.36970586636220304	16.22911764705882	2.851977218826712
