	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP78	2.5302612868573694e-17	3.373681715809826e-20	IDH3B;FH;MDH2;DLST;CS;IDH3G;SUCLG1;SUCLA2;ACO2;DLD;IDH3A;OGDH;IDH2	Tca Cycle (aka Krebs Or Citric Acid Cycle)	13	14	0.32349263306692766	40.18638655462185	16.596834629187367
WP2453	9.698725061825083e-09	2.5863266831533554e-11	MDH1;FH;PDHA1;DLST;CS;DLD;DLAT;OGDH;IDH3A	Tca Cycle And Deficiency Of Pyruvate Dehydrogenase Complex (pdhc)	9	15	0.34659924971456535	25.966588235294115	8.013285351816801
WP534	1.5438841953709933e-08	6.175536781483973e-11	TPI1;MDH1;MDH2;PDHA1;GPI;MPC1;GOT2;GOT1;DLD;DLAT;PGK1;MPC2;LDHB	Glycolysis And Gluconeogenesis	13	44	1.0166911324960584	12.78657754010695	7.811385278610079
WP3925	2.9696820462749763e-08	1.5838304246799874e-10	PDHX;FH;SUCLG1;ACO2;DLD;OGDH;DLST;HIBADH;MDH1;MDH2;PDHA1;CS;GOT2;GOT1;ACADM;HADH;SMS	Amino Acid Metabolism	17	90	2.079595498287392	8.174666666666665	7.527290046622245
WP5220	8.027118973963877e-08	5.351412649309251e-10	PDHB;PDHX;MDH1;PDHA1;BCKDHA;GPI;CS;GOT2;GOT1;DLD;DLAT;SLC16A1	Metabolic Reprogramming In Pancreatic Cancer	12	42	0.970477899200783	12.365042016806722	7.095440300078779
WP4290	7.559987522668263e-07	6.0479900181346105e-09	PDHB;FH;MDH2;PDHA1;GPI;GOT2;ACO2;IDH3A;IDH2;PGK1;DLST	Metabolic Reprogramming In Colon Cancer	11	41	0.9473712825531453	11.611076040172165	6.121478921276676
WP143	1.2186230053943612e-06	1.1373814717014037e-08	TPI1;ECI1;CPT1B;DLD;ACADM;HADH;HADHB;HADHA;DECR1;SLC25A20	Fatty Acid Beta-oxidation	10	34	0.7856249660196815	12.72871972318339	5.914130627441225
WP4236	2.478116836541039e-05	2.643324625643775e-07	DLST;SUCLG1;SUCLA2;PDHX;FH	Krebs Cycle Disorders	5	7	0.16174631653346383	30.912605042016803	4.605878221660974
WP183	3.50240156053783e-05	4.2028818726453956e-07	PSMD3;PSMC2;PSMC3;PSMA3;PSMD4;PSMD7;PSMD8;PSMB2;PSMB6;PSMB7;PSMA6	Proteasome Degradation	11	60	1.3863969988582614	7.934235294117647	4.455634062270885
WP4595	0.00015728666284085558	2.0971555045447413e-06	MDH1;MDH2;FH;SLC25A12;GOT2;GOT1;LDHB	Urea Cycle And Associated Pathways	7	24	0.5545587995433046	12.622647058823528	3.803308101917028
WP2359	0.000888889628473824	1.3037047884282752e-05	TUBA3D;HSPA9;HSPA8;PSMD3;PSMC2;PSMC3;PSMD4;PSMD7;PSMD8;HSPA4	Parkin-ubiquitin Proteasomal System Pathway	10	69	1.5943565486870006	6.272122762148337	3.0511521611001684
WP2059	0.0008470316811206459	1.3552506897930336e-05	CSNK2A1;PSMD3;PSMC2;PSMC3;PSMD4;PSMD7;PSMD8;TUBA3D;SLC25A4;PSMA3;SEM1;PSMB2;PSMB6;PSMB7;PSMA6;PPIF;PPID;VDAC2;VDAC1;VDAC3	Alzheimer's Disease And Mirna Effects	20	254	5.869080628499973	3.407688744789254	3.0721003456568203
WP5124	0.0007818753979575194	1.3552506897930336e-05	CSNK2A1;PSMD3;PSMC2;PSMC3;PSMD4;PSMD7;PSMD8;TUBA3D;SLC25A4;PSMA3;SEM1;PSMB2;PSMB6;PSMB7;PSMA6;PPIF;PPID;VDAC2;VDAC1;VDAC3	Alzheimer's Disease	20	254	5.869080628499973	3.407688744789254	3.106862451916032
WP368	0.003350711065106554	6.254660654865567e-05	ACADM;HADH;HADHA;ECI1;SLC25A20	Mitochondrial Long Chain Fatty Acid Beta-oxidation	5	17	0.39281248300984073	12.72871972318339	2.4748630201623256
WP5050	0.004630646760341886	9.261293520683771e-05	MDH1;GOT1;FH;PDHA1	Tca Cycle In Senescence	4	10	0.2310661664763769	17.31105882352941	2.334358347031468
WP5046	0.013984754972830821	0.00029834143942039084	MDH1;MDH2;PARP1;GOT2;GOT1	Nad Metabolism In Oncogene-induced Senescence And Mitochondrial Dysfunction-associated Senescence	5	23	0.5314521828956669	9.408184143222506	1.8543451385080225
WP4742	0.040062208665364404	0.0009614930079687458	SLC16A1;SLC25A20;OXCT1	Ketogenesis And Ketolysis	3	8	0.18485293318110152	16.22911764705882	1.397265111339533
WP4860	0.03795367136718733	0.0009614930079687458	ELOC;RBX1;ELOB	Hijack Of Ubiquitination By Sars-cov-2	3	8	0.18485293318110152	16.22911764705882	1.4207462071890558
WP3300	0.04241880917509172	0.0009614930079687458	ELOC;RBX1;ELOB	Dual Hijack Model Of Vif In Hiv Infection	3	8	0.18485293318110152	16.22911764705882	1.3724415276145008
