	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0002181	1.3685511374978924e-64	1.0927428437383363e-68	RPLP1;RPLP2;RPSA;RPL35A;RPL17;RPS3;RPS12;RPL13;RPL12;RPL22;RPS19;RPL3;RPL35;RPL5;RPL21;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPL26;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS16;RPS23;RPS18;RPS13;RPS11;RPL7A;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;RPL38;RACK1;RPL24;RPL19;RPL18A;RPL6;RPL18;RPL36	Cytoplasmic Translation	59	87	2.4974718642961995	23.623889759665623	63.863738970034476
GO:0006412	4.6749115688177624e-48	7.465524702679276e-52	RPLP1;RPLP2;RPSA;RPL35A;RPL17;RPS3;RPS12;RPL13;RPL12;RPL22;RPS19;RPL3;RPL35;RPL5;RPL21;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPL26;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS16;RPS23;RPS18;RPS13;RPS11;RPL7A;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;RPL38;RPL24;RPL19;RPL18A;RPL6;RPL18;MRPL51;MRPL41;PAIP2;RPL36;EEF1A2;EEF1A1	Translation	63	166	4.76529114336976	13.220598302300111	47.330226599879744
GO:0045214	2.511197963166997e-07	6.01532568628313e-11	TCAP;TPM1;MYH6;ACTN2;ACTG1;FLNC;ANKRD1;MYOZ2;TNNT2;CSRP1;TNNT1;CSRP3;MYH7	Sarcomere Organization	13	38	1.0908497798075354	11.917314593301436	6.600119049564183
GO:0060048	7.917176240488327e-07	2.5286414054577856e-10	CASQ2;TCAP;MYL3;TPM1;MYH7;MYH6;TNNI3;TNNT2;CSRP3;ATP1A2;TNNC1;MYBPC3;MYL2	Cardiac Muscle Contraction	13	42	1.2056760724188549	10.782332251082252	6.101429687330131
GO:0002026	1.267652817507402e-06	5.060894352872093e-10	ATP1A1;MYL3;MYL2;MYH7;MYH6;ATP2A2;PLN;CSRP3;ATP1A2	Regulation Of The Force Of Heart Contraction	9	17	0.48801174359810795	18.442179144385026	5.896999673967272
GO:0042026	1.321272832398716e-06	6.329956079840543e-10	HSP90AA1;HSPA8;DNAJB2;B2M;FKBP1A;DNAJA1;HSPB6;CRYAB;HSPB1;HSPA9	Protein Refolding	10	23	0.6602511825150872	15.145750988142295	5.879007494746698
GO:0055010	1.8875991553496498e-06	1.0550298696460834e-09	MYL3;TPM1;MYL2;MYH7;MYH6;TNNI3;TNNT2;FKBP1A;TNNC1;MYBPC3	Ventricular Cardiac Muscle Tissue Morphogenesis	10	24	0.6889577556679172	14.51467803030303	5.724090225664259
GO:0010881	5.034222809316568e-06	3.2157283994356866e-09	CASQ2;CALM1;CALM2;CALM3;PRKACA;HRC;PLN;ATP1A2;GSTO1	Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion	9	20	0.5741314630565976	15.675852272727274	5.298067566953068
GO:1904667	2.6493293398146417e-05	1.9038617101829907e-08	RPL5;RPS20;RPL37;RPS7;RPL23;RPS15;RPL11	Negative Regulation Of Ubiquitin Protein Ligase Activity	7	12	0.3444788778339586	20.320549242424242	4.576864050923721
GO:0006446	2.4542755913712826e-05	1.9596579298716722e-08	EIF1B;CSDE1;HSPB1;EIF4B;EIF1;EIF4G2;EIF4A2;EIF4H;EIF3K;BZW2	Regulation Of Translational Initiation	10	31	0.8899037677377263	11.23717008797654	4.6100766718080095
