	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0070062	3.058814667997191e-73	1.669658661570519e-76	PSMA7;MYL12B;CHMP2A;AHCYL1;SNX3;CS;FLOT1;LDHA;ALDH1A1;SOD1;GOT2;AK1;CFD;A2M;CST3;HLA-B;MB;CRYAB;APOE;FTH1;SLPI;ALDOA;PRNP;CD74;GAPDH;HLA-A;AMY2A;HSPB1;GNAI2;ATP1A1;APP;APOD;ALDH2;S100A8;SERPING1;RPLP2;FABP3;REG1A;GSN;S100A9;ENO1;DBI;LDHB;CTSD;TUBB;PSAP;HSP90AA1;RNASE1;ANXA6;HSP90AB1;VIM;ANXA5;RPSA;CD63;GSTP1;LGALS1;ALDOC;H2AZ1;UBB;UBC;C7;CLU;HSPA8;PYGB;COL6A2;CKB;EEF2;TPT1;HLA-E;CD59;PKM;HSP90B1;HNRNPL;GLUL;EZR;CPE;GOT1;PRKACA;DES;DDX5;LGALS3;RPL35A;PAM;MYL12A;NCL;CEL;CSRP1;VDAC1;TGM2;PCMT1;GPX3;NME2;HNRNPA2B1;RPS3;PSMA1;PSMA3;EEF1G;STOM;YWHAQ;ATP6V0C;CALR;CANX;PSMB4;PSMB6;PRDX6;PRDX5;RPL12;PPP2R1A;SDC4;DNAJA1;S100A11;PRDX2;PFN2;RPL22;ACTN2;BSG;MYH11;ATP6V1E1;GPX4;TAGLN2;HSPA9;RPS19;RPL3;MDH1;MDH2;PTGDS;RPL5;RPS9;RPS5;CAPZB;REG1B;PRRC2A;IDH2;RPL34;TUFM;ST13;RPL14;CCT4;RAB7A;ARHGDIA;PTTG1IP;NAPA;LAMB2;TPI1;MYL6;ACTB;EIF4A1;RPS20;PSMA6;DSTN;RPL26;RPL27;RPL37A;RHOA;B2M;HNRNPK;YWHAG;PPP1CB;PSMC5;RPS8;RPS16;YWHAE;RPS18;RPS13;RPS11;ACTA2;RHOB;RPL23A;RAB1A;RAN;RPL23;RPS25;RPS26;RPS28;GNB1;GNB2;RPL30;RPL31;RPL10A;RPL11;PPIA;RPS27A;YWHAZ;GNG5;RACK1;ACTG1;ACTG2;YBX1;CSNK2B;ACTC1;EEF1A1;TUBB4B;HBB;GSTO1;RPL24;ARF1;SLC25A3;GLO1;YWHAH;APLP2;PRDX1;ECH1;ASAH1;SEPTIN2;PPA1;IGFBP7;ATP6V1F;GNAS;TOM1L2;TUBA1A;DCXR;PLD3;BRK1;HSPH1;HTRA1;ZG16B;CCT7;CYSTM1;GHITM;PHPT1;VPS4A;VDAC3;ITM2B;UFC1;AUP1	Extracellular Exosome	225	2019	57.95857119556353	3.8820832770498446	72.5144468358968
GO:0022626	2.0399799328655328e-64	2.2270523284558218e-67	APOD;RPLP1;RPSA;RPL35A;RPL17;RPS3;RPS12;RPL13;RPL12;RPL22;RPS19;RPL3;RPL35;RPL5;RPL21;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPL26;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS16;RPS23;RPS18;RPS13;RPS11;RPL7A;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;RPS27A;RPL38;RPL24;RPL19;RPL18A;RPL6;RPL18;RPL36	Cytosolic Ribosome	55	76	2.181699559615071	25.20970394736842	63.69037410467637
GO:0022625	8.98331817276831e-37	1.4710673863703565e-39	RPLP1;RPLP2;RPL35A;RPL17;RPL13;RPL12;RPL22;RPL3;RPL35;RPL5;RPL21;RPL29;RPL34;RPL14;RPL26;RPL27;RPL37A;RPL37;RPL7A;RPL23A;RPL23;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPL38;RPL24;RPL19;RPL18A;RPL6;RPL18;RPL36	Cytosolic Large Ribosomal Subunit	35	56	1.6075680965584733	21.772017045454547	36.04656321812699
GO:0005829	6.63546087958295e-36	1.4487905850617794e-38	AIP;HSPB6;PSMA7;MYL12B;TCAP;CHMP2A;SNX3;EDF1;BANF1;CSDE1;EIF3G;MFN2;GABARAP;LDHA;ALDH1A1;SOD1;AK1;FOS;MB;CRYAB;MBP;FTH1;MT2A;ALDOA;PRNP;GAPDH;HSPB1;GNAI2;APP;S100A8;RPLP1;RPLP2;FABP3;GSN;PTMA;S100A9;CKM;ENO1;LDHB;TUBB;HSP90AA1;TPM2;CELA2A;HSP90AB1;MYL3;VIM;ANXA5;RPSA;GSTP1;TPM1;CLTA;UCHL1;ALDOC;UBB;UBC;CALM1;CLU;MYL2;HSPA8;CKB;MYH6;EEF2;TPT1;TNNT1;GFAP;PKM;HSP90B1;HNRNPL;GLUL;EZR;YBX3;GOT1;PRKACA;DES;DDX5;LGALS3;RPL35A;RPL17;MYL12A;POLR2E;TNNI3;BTF3;RAB3A;TGM2;PCMT1;NME2;RPS3;EIF4B;EEF1B2;MYL9;RPS12;DNAJB2;MT3;PSMA1;PSMA3;RPL13;EEF1G;ZFP36;YWHAQ;CALR;PSMB4;PSMB6;PRDX6;PRDX5;PRDX3;RPL12;PPP2R1A;MAT2A;DNAJA1;PRDX2;KIF5B;RPL22;ACTN2;ADD1;MYH11;MAP2K2;ATP6V1E1;DLST;GPX4;SRP14;TAGLN2;RPS19;RPL3;MDH1;RPL35;TNNT2;RPL5;RPL21;RPS9;RPS5;RPS10;CAPZB;RPL29;PSMD8;PRRC2A;CSNK1D;IDH2;RPL34;CSRP3;ST13;RPL14;CCT4;RAB7A;ARHGDIA;OAZ1;NAPA;PSMD4;SEC61G;TPI1;GABARAPL2;MYL6;ACTB;EIF4A1;RPS20;SNAP25;PSMA6;RPL26;RPL27;RPL37A;RHOA;B2M;RPL37;YWHAG;RPS7;PPP1CB;PSMC5;RPS8;RPS16;YWHAE;RPS23;RPS18;RPS13;RPS11;RPL7A;CNBP;ACTA2;RHOB;RPL23A;RPS6;RAB1A;RAN;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;GNB1;GNB2;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;PPIA;FKBP1A;RPL41;RPS27A;YWHAZ;RPL38;RACK1;ACTG1;ACTG2;TNNC1;YBX1;CSNK2B;ACTC1;EEF1A1;TUBB4B;HBB;EIF4G2;GSTO1;RPL24;ARF1;RPL19;SERF2;HNRNPU;SET;MYL7;RPL18A;RPL6;GLO1;YWHAH;PRDX1;RPL18;MCL1;KLC1;KIF5A;ECH1;FLII;NME3;SRSF5;ILK;DGKZ;EIF4A2;FLNC;NFE2L1;MYBPC3;ARL6IP1;EIF4H;PEA15;PPA1;ANKRD1;ELOB;HMGN3;PKN1;GUK1;ATP6V1F;GNAS;MZT2B;CPLX2;TUBA1A;COPS6;SIRT2;SYNPO;FBXL16;BRK1;HSPH1;NRGN;HTRA1;STMN2;WBP2;FBXW5;PNPLA2;PBXIP1;PFDN5;CCT7;KLHDC3;PINK1;GABARAPL1;ISCU;CUEDC2;MAP1LC3A;NMRK2;PDLIM7;PHPT1;DDIT4;CALCOCO1;EIF3K;PFDN2;HSPB8;VPS4A;STUB1;PSMD13;RTRAF;EIF3L;NUDC;SBDS;CIAO2B;STRAP;RPL36;TRAPPC1;EPN1;WSB1;SELENOW;ACO2;AHCYL1	Cytosol	299	5240	150.42244332082856	1.98773529666898	35.178128906935434
GO:0005925	1.2591551074035322e-30	3.4365586992454485e-33	PDLIM1;FLOT1;HSPB1;RPLP1;RPLP2;GSN;ANXA6;VIM;ANXA5;HSPA8;CD59;HSP90B1;EZR;CSRP1;TGM2;NME2;RPS3;YWHAQ;ATP6V0C;CALR;RPL12;SDC4;RPL22;ACTN2;ADD1;BSG;MAP2K2;HSPA9;RPS19;RPL3;RPL5;RPS9;RPS5;RPS10;ACTB;RPL27;RPL37A;RHOA;B2M;HNRNPK;YWHAG;RPS7;PPP1CB;RPS8;RPS16;YWHAE;RPS18;RPS13;RPS11;RPL7A;RHOB;RPL23;RPS15;GNB2;RPL30;RPL31;RPL10A;RPL8;PPIA;YWHAZ;RPL38;ACTG1;ACTC1;ARF1;RPL19;RPL6;RPL18;FLII;ILK;FLNC;PDLIM7	Focal Adhesion	71	420	12.05676072418855	5.88881222943723	29.899920768589265
GO:0005737	1.45942865826625e-29	4.779788182094705e-32	PDLIM1;AIP;HSPB6;PSMA7;CASQ2;AHCYL1;NUPR1;SNX3;EDF1;PTP4A3;BANF1;EIF3G;CTDNEP1;ALDH1A1;SOD1;POMC;CRYAB;APOE;MT2A;PRNP;CD74;GAPDH;HSPB1;GNAI2;APP;RPLP1;RPLP2;GSN;S100A9;ENO1;LDHB;TUBB;HSP90AA1;HSP90AB1;VIM;ANXA5;RPSA;GSTP1;LGALS1;SPARC;UCHL1;CALM1;CALM2;CALM3;CLU;PYGB;EEF2;TPT1;GFAP;PKM;HNRNPL;EZR;YBX3;GOT1;PRKACA;LGALS3;RPL35A;RPL17;ATF4;CEL;BTF3;NME2;HNRNPA2B1;RPS3;EEF1B2;RPS12;MT3;PSMA1;PSMA3;RPL13;EEF1G;ZFP36;YWHAQ;CALR;PSMB4;PSMB6;DUSP1;PRDX6;PRDX5;PRDX3;RPL12;S100A11;PRDX2;RPL22;ADD1;FUS;SRP14;RPS19;RPL3;MDH1;EIF1;RPL35;RPL5;RPL21;RPS9;RPS5;RPS10;RPL29;RPL34;ST13;RPL14;ATP1A2;PTTG1IP;SMTN;GABARAPL2;ACTB;EIF4A1;RPS20;SNAP25;PSMA6;RPL26;RPL27;RPL37A;RPL37;HNRNPK;RPS7;PSMC5;RPS8;RPS16;YWHAE;RPS23;RPS18;RPS13;RPS11;RPL7A;ACTA2;RPL23A;RPS6;RAN;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;PPIA;FKBP1A;RPL41;RPS27A;RPL38;RACK1;ACTG2;YBX1;CSNK2B;ACTC1;EEF1A1;GSTO1;MT1X;RPL24;RPL19;SET;EWSR1;TAGLN;RPL18A;RPL6;GLO1;YWHAH;EEF1A2;PRDX1;RPL18;MCL1;SRSF1;IK;SNTA1;DGKZ;DDX39B;CIRBP;FLNC;SEPTIN2;DAZAP2;PPA1;ANKRD1;TAF7;PKN1;MEA1;MAP7D1;COPS6;PABPN1;SIRT2;MTURN;HSPH1;STMN2;WBP2;FBXW5;ST6GALNAC6;PNPLA2;PFDN5;CCT7;PAIP2;KLHDC3;DBNDD2;PRXL2A;MCRIP2;PINK1;UBL5;ISCU;RNF167;DDIT4;HSPB7;PFDN2;HSPB8;PRPF19;VPS4A;STUB1;MAPRE3;RTRAF;NUDC;SBDS;CIAO2B;STRAP;RPL36;TRAPPC1;BZW2;ANXA6;TPD52L2;PCMT1;MYL7;UBB;PPP1R12C;UBC;MDH2;CSRP1;SPRYD3;CST3;MYL2;MYH11;TUBA1A;GLUL;NMRK2;NACA;NNAT;GNB2;DNAJA1;YWHAG;CSNK1D;MYL9;HSPA8;GNB1;HSPA9;GAP43;PPP1CB;MYH6;CNBP;MYL12A;PPP2R1A;TUBA1B;CSDC2;ARF1;OAZ1;KLC1;TUBB4B;CSRP3;FLII;DES;MYL12B;TMSB10;APOD;MYH7;PKIG;YWHAZ;PFN2;FTH1;AK1;DSTN	Cytoplasm	271	4821	138.39438916979284	1.9581718711696934	28.835817129917878
GO:0016020	5.200877288535744e-29	1.987234771820426e-31	SCD;CHMP2A;ARL6IP5;FLOT1;LDHA;FOS;HLA-B;APOE;ALDOA;CD74;GAPDH;HLA-A;GNAI2;ATP1A1;RPLP2;ENO1;LDHB;HSP90AA1;ANXA6;HSP90AB1;ANXA5;RPSA;CLTA;CALM2;CLU;HSPA8;PYGB;SLC25A4;IFITM1;EEF2;CD59;HSP90B1;HNRNPL;EZR;ATP2A2;PRKACA;DDX5;LGALS3;RPL35A;PAM;NCL;VDAC1;HNRNPA2B1;RPS3;RPS12;RPL13;EEF1G;PLN;STOM;YWHAQ;ATP6V0C;CALR;CANX;PRDX6;RPL12;PPP2R1A;DNAJA1;KIF5B;BSG;DLST;RPS19;MDH2;RPL35;VDAC2;RPL5;RPL21;RPS9;RPS5;RPS10;CAPZB;RPL29;PRRC2A;TUFM;RPL14;ATP1A2;PTTG1IP;NAPA;SEC61G;MYL6;ACTB;EIF4A1;RPS20;SNAP25;RPL26;RPL27;B2M;DAD1;HNRNPK;YWHAG;RPS7;PSMC5;RPS8;RPS16;YWHAE;RPS23;RPS18;RPS13;RPS11;RPL7A;RPS6;RAN;RPL23;RPS15;RPS24;RPS26;GNB1;GNB2;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;PPIA;FKBP1A;RPS27A;GNG5;ACTG1;ACTC1;EEF1A1;EIF4G2;RPL24;RPL19;SLC25A3;HNRNPU;RPL18A;RPL6;APLP2;RPL18;MCL1;KLC1;KIF5A;ECH1;ILK;ARL6IP1;EIF4H;ATP6V1F;GNAS;STMN2;PINK1;DDX24;OCIAD1;EIF3K;RABAC1;TMEM59L;PRPF19;PSMD13;EIF3L;VDAC3;ITM2B;RPL36;AUP1;BZW2;ARHGDIA;PNPLA2;TOM1L2;ENTPD6;SERINC1;FAIM2;PBXIP1;GHITM;TMEM120A	Membrane	162	2098	60.226390474637086	2.6898507236328975	28.28392339301242
GO:0022627	9.364311610749927e-24	4.089219043995601e-26	RPSA;RPS3;RPS12;RPS19;RPS9;RPS5;RPS10;RPS20;RPS7;RPS8;RPS16;RPS23;RPS18;RPS13;RPS11;RPS6;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPS27A;RACK1	Cytosolic Small Ribosomal Subunit	24	42	1.2056760724188549	19.905844155844157	23.028524142970127
GO:0042788	1.920668554642852e-19	9.435598794642832e-22	RPS23;RPL7A;RPS26;RPS28;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPL38;RPL24;RPL19;RPL18A;RPL6;RPL18;RPL36;BTF3	Polysomal Ribosome	19	31	0.8899037677377263	21.350623167155426	18.716547573872855
GO:0030017	1.0149409875114691e-12	5.540070892529854e-15	MYL3;TPM1;CALM1;CALM2;CALM3;MYL2;MYH7;MYH6;TNNI3;TNNT2;CAPZB;PSMA6;ACTC1;ARF1;ILK;MYBPC3;MYOZ2	Sarcomere	17	45	1.2917957918773446	13.159974747474747	11.993559208532242
