	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0003735	8.368765879561098e-47	1.8568373373776566e-50	RPLP1;RPLP2;RPSA;RPL35A;RPL17;RPS3;RPS12;RPL13;RPL12;RPL22;RPS19;RPL3;RPL35;RPL5;RPL21;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPL26;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS16;RPS23;RPS18;RPS13;RPS11;RPL7A;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;RPL38;RPL24;RPL19;RPL18A;RPL6;RPL18;MRPL51;MRPL41;RPL36	Structural Constituent Of Ribosome	60	156	4.4782254118414615	13.398164335664335	46.07733858157829
GO:0003723	1.5265361072031597e-40	6.77406748259667e-44	TPD52L2;AHCYL1;KIF1C;EIF1B;EDF1;CS;CSDE1;EIF3G;NSA2;GOT2;ALDOA;HLA-A;HSPB1;ENO1;DCN;HSP90AA1;HSP90AB1;RPSA;LGALS1;UBC;HSPA8;EEF2;TPT1;PKM;HSP90B1;HNRNPL;EZR;YBX3;DDX5;LGALS3;RPL35A;RPL17;NCL;BTF3;CSRP1;HNRNPA2B1;RPS3;EIF4B;RPS12;PSMA1;RPL13;ZFP36;CALR;MAP4;CANX;RPL12;RPL22;ADD1;FUS;SRP14;HSPA9;RPS19;RPL3;MDH2;EIF1;RPL35;RPL5;RPL21;RPS9;RPS5;RPS10;RPL29;PRRC2A;RPL34;TUFM;RPL14;CCT4;PSMD4;HADHB;EIF4A1;RPS20;PSMA6;RPL26;RPL27;RPL37A;RPL37;SUMO2;HNRNPK;YWHAG;RPS7;RPS8;RPS16;YWHAE;RPS23;RPS18;RPS13;RPS11;RPL7A;CNBP;RPL23A;RPS6;RAN;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;PPIA;RPL41;RPS27A;YWHAZ;RPL38;RACK1;YBX1;EEF1A1;EIF4G2;RPL24;ARF1;RPL19;FKBP3;HNRNPU;EWSR1;RPL18A;RPL6;SLC25A11;PRDX1;SRSF1;SRSF9;SRSF5;DDX39B;CIRBP;EIF4A2;EIF4H;PABPN1;MRPL41;SF3B5;DDX24;NOP10;EIF3K;RTRAF;EIF3L;SBDS;STRAP;RPL36;FAM32A;CSDC2;RPL18	Rna Binding	145	1347	38.66775403686185	3.749894546804346	39.81629291886376
GO:0005515	3.3045911175578373e-22	2.19963908424085e-25	PDLIM1;HAX1;AIP;CCN1;SCD;PSMA7;MYL12B;CASQ2;TCAP;ATP6V0E1;TPD52L2;CHMP2A;AHCYL1;KIF1C;NUPR1;SNX3;EIF1B;EDF1;COQ9;NIPSNAP2;PTP4A3;BANF1;CSDE1;EIF3G;ARL6IP5;FLOT1;MFN2;GABARAP;RTN3;BRI3;CTDNEP1;LDHA;ALDH1A1;SOD1;A2M;CST3;FOS;POMC;HLA-B;COL3A1;CRYAB;APOE;MBP;FTH1;MT2A;SLPI;ALDOA;PRNP;CD74;GAPDH;HLA-A;HSPB1;GNAI2;ATP1A1;APP;APOD;S100A8;SERPING1;RPLP1;RPLP2;FABP3;GSN;PTMA;S100A9;CKM;ENO1;LDHB;CTSD;TUBB;DCN;PSAP;HSP90AA1;RNASE1;ANXA6;CELA2A;HSP90AB1;VIM;ANXA5;RPSA;CD63;CELA3A;GSTP1;LGALS1;SPARC;TPM1;CLTA;C1S;UCHL1;ALDOC;H2AZ1;UBB;UBC;CALM1;CALM2;CALM3;SRGN;CLU;MYL2;HSPA8;PDHB;PYGB;COL6A2;SLC25A4;CKB;MYH7;IFITM1;EEF2;TPT1;HLA-E;TNNT1;CD59;GFAP;PKM;HSP90B1;HNRNPL;CPA1;GLUL;EZR;ATP2A2;CPE;YBX3;PRKACA;DES;GAP43;DDX5;LGALS3;RPL35A;RPL17;ATF4;PAM;MYL12A;NCL;POLR2E;TNNI3;CEL;BTF3;RAB3A;PTN;CSRP1;VDAC1;TGM2;PCMT1;GPX3;NME2;HNRNPA2B1;IGFBP4;HRC;RPS3;EIF4B;EEF1B2;RPS12;DNAJB2;MT3;PSMA1;PSMA3;RPL13;EEF1G;ZFP36;PLN;STOM;YWHAQ;ATP6V0C;CALR;MAP4;CANX;PSMB4;PSMB6;DUSP1;PRDX6;PRDX5;PRDX3;RPL12;ECHS1;PPP2R1A;MAT2A;SDC4;DNAJA1;S100A11;PRDX2;KIF5B;PRSS3;PFN2;RPL22;ACTN2;ADD1;BSG;TIMP3;FUS;MYH11;MAP2K2;ATP6V1E1;DLST;GPX4;SRP14;TAGLN2;HSPA9;RPS19;RPL3;MDH1;HADHA;ID1;PTGDS;EIF1;TNNT2;VDAC2;RPL5;RPL21;RPS9;RPS5;RPS10;CAPZB;PSMD8;PRRC2A;CSNK1D;RPL34;TUFM;ACADVL;CSRP3;ST13;RPL14;CCT4;ATP1A2;RAB7A;ARHGDIA;PTTG1IP;OAZ1;NAPA;PSMD4;MFAP4;HADHB;LAMB2;SEC61G;TPI1;GABARAPL2;MYL6;ACTB;EIF4A1;RPS20;SNAP25;PSMA6;DSTN;RPL26;RPL27;RPL37A;RHOA;B2M;SUMO2;HNRNPK;YWHAG;RPS7;PPP1CB;PSMC5;RPS8;RPS16;YWHAE;RPS23;RPS18;RPS13;RPS11;RPL7A;CNBP;RHOB;RPL23A;RPS6;RAB1A;RAN;RPL23;RPS15;RPS25;RPS26;RPS28;GNB1;GNB2;RPL30;RPL31;RPL10A;RPL11;RPL8;PPIA;FKBP1A;RPL41;BLCAP;RPS27A;YWHAZ;RPL38;GNG5;RACK1;ACTG1;TMSB10;TNNC1;YBX1;CSNK2B;EEF1A1;TUBA1B;TUBB4B;HBB;EIF4G2;GSTO1;MT1X;RPL24;ARF1;RPL19;FKBP3;HNRNPU;SET;MYL7;IFITM3;EWSR1;TAGLN;RPL18A;RPL6;SLC25A11;GLO1;YWHAH;EEF1A2;APLP2;PRDX1;RPL18;MCL1;KLC1;SRSF1;TLE5;KIF5A;ECH1;FLII;IK;NME3;SRSF9;SRSF5;ILK;SNTA1;OS9;DGKZ;DDX39B;CIRBP;EIF4A2;FLNC;NFE2L1;SPARCL1;MYBPC3;DRAP1;SEPTIN2;DAZAP2;ARL6IP1;EIF4H;PEA15;ANKRD1;ELOB;TAF7;HMGN3;USF2;IGFBP7;PKN1;MEA1;GUK1;ATP6V1F;MRPL51;GNAS;MICOS13;MZT2B;CPLX2;TOM1L2;TUBA1A;COPS6;DCXR;PABPN1;PLD3;SIRT2;MRPL41;MTURN;SYNPO;FDCSP;GADD45GIP1;BRK1;HSPH1;HTRA1;STMN2;WBP2;FBXW5;ST6GALNAC6;PNPLA2;PBXIP1;SARAF;ZG16B;MRFAP1L1;TMEM141;BMERB1;LENG8;PFDN5;SEPTIN5;TXN2;CCT7;CTRC;PAIP2;KLHDC3;DBNDD2;NDFIP1;MCRIP2;SF3B5;FAIM2;TMEM120A;PINK1;UBL5;PPP1R12C;YIPF3;ROGDI;DDX24;GABARAPL1;CYSTM1;ISCU;GHITM;CUEDC2;MAP1LC3A;RNF167;MYOZ2;NOP10;NMRK2;STARD7;PDLIM7;PHPT1;SERINC1;AURKAIP1;DDIT4;OCIAD1;TMEM14C;CALCOCO1;DKK3;EIF3K;GABBR1;MORF4L1;HSPB7;PFDN2;RABAC1;HSPB8;PRPF19;VPS4A;STUB1;MAPRE3;RTRAF;EIF3L;NUDC;VDAC3;ITM2B;PKIG;POLDIP2;SBDS;UFC1;CIAO2B;STRAP;FAM32A;CSDC2;TRAPPC1;MPC1;MRFAP1;AUP1;EID1;BZW2;CHCHD2;EPN1;WSB1	Protein Binding	460	11985	344.04827923666613	1.3370216558577008	21.480882268817908
GO:0051082	1.5481837590917583e-10	1.3740259676873825e-13	AIP;HSPB6;CRYAB;CLU;HSPA8;DNAJB2;CALR;CANX;DNAJA1;HSPA9;PPIA;TUBB4B;PFDN5;PFDN2;CCT7;HSPB1;HSP90AB1;NUDC;HSP90AA1;NACA;HSP90B1;CCT4	Unfolded Protein Binding	22	98	2.813244168977328	7.82015306122449	9.810177492733766
GO:0045296	1.3706779746948906e-10	1.5206101338971498e-13	LDHA;ALDOA;ENO1;HSP90AB1;HSPA8;EEF2;PKM;EZR;PCMT1;EEF1G;PSMB6;PRDX6;KIF5B;ADD1;BSG;TAGLN2;CAPZB;RPL29;CSNK1D;RPL34;RPL14;HNRNPK;YWHAE;RPL7A;RPL23A;RAB1A;RAN;RPS26;YWHAZ;RACK1;EIF4G2;RPL24;RPL6;PRDX1;SEPTIN2;EIF4H;NUDC;BZW2	Cadherin Binding	38	306	8.784211384765943	4.325943256090316	9.863064565808804
GO:0031625	1.49134957969708e-09	1.9853777408880588e-12	MFN2;GABARAP;TUBB;HSP90AA1;HSP90AB1;UCHL1;CLU;HSPA8;CKB;PRKACA;PSMA3;ATP6V0C;CALR;PRDX6;DNAJA1;HSPA9;RPL5;TPI1;GABARAPL2;SUMO2;YWHAE;RPL23;RPL11;YWHAZ;ACTG1;TUBA1B;ELOB;PINK1;GABARAPL1;MAP1LC3A;STUB1;AUP1;UBB;UBC;RPS27A	Ubiquitin Protein Ligase Binding	35	285	8.181373348556516	4.278010366826156	8.826420543845265
GO:1990948	1.1488394229980268e-07	1.7843079567309046e-10	RPL5;RPS20;RPL37;RPS7;RPL23;RPS15;RPL11	Ubiquitin Ligase Inhibitor Activity	7	8	0.22965258522263904	30.480823863636363	6.939740669814224
GO:0008307	1.0333686701913463e-07	1.8342465856513803e-10	TCAP;TPM2;MYL3;TPM1;MYL2;MYL9;ACTN2;MYH11;CSRP3;SMTN;MYL6;MYBPC3;CSRP1	Structural Constituent Of Muscle	13	42	1.2056760724188549	10.782332251082252	6.985744709588571
GO:0042802	3.6989169738057027e-06	7.386344079044004e-09	PSMA7;AHCYL1;BANF1;BRI3;LDHA;SOD1;A2M;CST3;FOS;CRYAB;APOE;FTH1;ALDOA;PRNP;CD74;GAPDH;HSPB1;APP;DBI;LDHB;HSP90AA1;TPM2;ANXA6;HSP90AB1;VIM;TPM1;C1S;GFAP;GLUL;EZR;DES;ATF4;PAM;NCL;VDAC1;GPX3;PLN;STOM;YWHAQ;PRDX6;PRDX3;MAT2A;SDC4;KIF5B;RPL22;ACTN2;FUS;GPX4;RPS19;ID1;ACADVL;CSRP3;PSMD4;ACTB;B2M;HNRNPK;YWHAG;YWHAE;YWHAZ;ACTG1;CSNK2B;HNRNPU;EWSR1;YWHAH;APLP2;PRDX1;IK;DDX39B;NFE2L1;MYBPC3;DRAP1;DAZAP2;ARL6IP1;TUBA1A;DCXR;BRK1;HTRA1;MRFAP1L1;SEPTIN5;RABAC1;HSPB8;PRPF19;MAPRE3;RTRAF	Identical Protein Binding	84	1461	41.940303376284454	2.002846742579802	5.431925416784826
GO:0031432	1.5105962005294254e-05	3.351666741800367e-08	TCAP;CALM1;CALM2;CALM3;ACTN2;MYBPC3;ANKRD1	Titin Binding	7	13	0.37318545098678846	18.75743006993007	4.820851611980424
