	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0000006	0.0	0.0	ACTA2;ACTA2;ACTA2;ACTB;ACTB;ACTC1;ACTC1;ACTC1;ACTG1;ACTG1;ACTG2;ACTG2;ACTN2;ACTN2;ACTN2;SLC25A11;ALDH2;SLC25A4;SLC25A4;ANXA5;APOE;APOE;APOE;APOE;APP;APP;TCAP;ARF1;ATP1A1;ATP1A1;ATP1A2;ATP1A2;ATP1A2;ATP2A2;ATP2A2;B2M;SERPING1;SERPING1;SERPING1;C1S;CALM1;CALM1;CALM2;CALM3;CALR;CASQ2;AIP;AIP;CEL;ITM2B;ITM2B;ITM2B;COL3A1;COL6A2;COL6A2;CRYAB;CRYAB;CRYAB;CSNK1D;CSNK2B;CST3;DCN;DES;DES;DES;MFN2;MFN2;DLST;HSPB8;HSPB8;EEF1A2;EEF1A2;EEF2;CHCHD2;STUB1;TUBB4B;FLNC;FLNC;FLNC;FTH1;FUS;FUS;VPS4A;MYOZ2;GFAP;GNAI2;GNAS;GNAS;GNAS;GNAS;GNAS;GNB1;GNB2;GSN;RPL35;HBA2;HBA2;HBB;HBB;HBB;HBB;HBB;CTRC;HNRNPA2B1;HNRNPK;HNRNPU;HSPA9;HSPB1;HSPB1;IDH2;KIF5A;KIF5A;KIF5A;RPSA;MYBPC3;MYBPC3;MYH6;MYH6;MYH6;MYH7;MYH7;MYH7;MYH7;MYH7;MYH7;MYH11;MYH11;MYL2;MYL3;PLN;PLN;POMC;PPP1CB;PPP2R1A;PRKACA;PRKACA;MAP2K2;PRNP;PRNP;PRNP;PRNP;PRNP;PRSS1;HTRA1;PSAP;CELA2A;RPL5;RPL11;RPL13;RPL18;RPL21;RPL26;RPL27;RPL35A;RPS7;RPS10;RPS19;RPS23;RPS24;RPS26;RPS28;SET;TUBB;TUBB;SNAP25;SNTA1;SOD1;TIMP3;TNNC1;TNNC1;TNNI3;TNNI3;TNNT2;TNNT2;TNNT2;TPM1;TPM1;TPM2;TPM2;TPM2;PLD3;UCHL1;VIM;YWHAG;CNBP;STARD7;TUBA1A;RAB7A;CSRP3;CSRP3;PABPN1	Autosomal Dominant Inheritance	191	2673	76.73267003751427	2.4891613950957385	inf
HP:0011904	6.865485306126904e-21	1.5312780876830387e-24	SBDS;RPL35;HBB;HBB;HBB;HBB;HBB;HBB;HBB;RPL5;RPL5;RPL11;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS19;RPS20;RPS24;RPS24;RPS26;RPS28	Persistence Of Hemoglobin F	25	43	1.2343826455716849	20.25303911205074	20.16332875801594
HP:0001644	3.8325413009129454e-16	1.2822152227878707e-19	ACADVL;ACTC1;ACTC1;ACTN2;ACTN2;SLC25A4;TCAP;TCAP;CASQ2;CRYAB;CRYAB;DES;DES;DES;ANKRD1;HADHA;HADHB;HBB;HBB;MYBPC3;MYBPC3;MYH6;MYH6;MYH7;MYH7;MYH7;MYH7;MYH7;MYH7;MYL2;PLN;PLN;TNNC1;TNNC1;TNNI3;TNNI3;TNNI3;TNNT2;TNNT2;TPM1;TPM1;TPM2;CSRP3;CSRP3	Dilated Cardiomyopathy	44	222	6.372859239928233	6.90427927927928	15.416513156326962
HP:0005518	9.631066059441937e-15	4.296226635192121e-18	SBDS;RPL35;HBB;RPL5;RPL5;RPL11;RPL11;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS7;RPS10;RPS19;RPS20;RPS24;RPS24;RPS26;RPS28	Increased Mean Corpuscular Volume	21	45	1.2917957918773446	16.256439393939395	14.016325638305547
HP:0001896	8.76191011011716e-15	4.885641859104026e-18	SBDS;RPL35;RPL5;RPL11;RPL18;RPL26;RPL27;RPL31;RPL35A;RPL35A;RPS7;RPS10;RPS19;RPS19;RPS20;RPS24;RPS24;RPS26;RPS26;RPS28	Reticulocytopenia	20	40	1.1482629261131951	17.417613636363637	14.057401206633802
HP:0030270	1.2192280267841662e-14	8.158099878114194e-18	RPL35;RPL5;RPL11;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS19;RPS19;RPS20;RPS24;RPS24;RPS26;RPS28	Elevated Red Cell Adenosine Deaminase Level	17	27	0.7750774751264068	21.933291245791246	13.913915062623726
HP:0012133	1.9029350251047554e-14	1.485507435678966e-17	RPL35;RPL35;RPL5;RPL11;RPL18;RPL18;RPL26;RPL27;RPL31;RPL35A;RPL35A;RPS7;RPS10;RPS19;RPS20;RPS24;RPS26;RPS28	Erythroid Hypoplasia	18	32	0.9186103408905562	19.59481534090909	13.720576040257495
HP:0020118	3.5258003124407783e-13	3.5387758237946924e-16	RPL35;RPL5;RPL11;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS19;RPS20;RPS24;RPS26;RPS28	Radial Artery Aplasia	15	23	0.6602511825150872	22.71862648221344	12.452742288083453
HP:0001227	3.966525351495876e-13	3.5387758237946924e-16	RPL35;RPL5;RPL11;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS19;RPS20;RPS24;RPS26;RPS28	Abnormality Of The Thenar Eminence	15	23	0.6602511825150872	22.71862648221344	12.401589765636071
HP:0005532	8.160014967361159e-13	9.100050147609188e-16	RPL35;RPL5;RPL11;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS19;RPS20;RPS24;RPS26;RPS28	Macrocytic Dyserythropoietic Anemia	15	24	0.6889577556679172	21.772017045454543	12.088309044648542
