	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP477	3.59556127998916e-51	4.794081706652214e-54	RPS25;RPL24;RPL27;RPL26;RPS26;RPS28;RPL23;RPS27A;RPL30;RPL29;FAU;RPS5;RPS6;RPS24;RPS23;RPL35;RPL34;RPL3;RPL35A;RPL37A;RPS7;RPL37;RPS9;RPL38;RPS8;RPL5;RPL36;RPL31;RPL32;RPSA;RPL10A;RPL7A;RPL14;RPL8;RPLP1;RPL11;RPL13;RPL12;RPL41;RPL6;RPS11;RPS10;RPS13;RPS12;RPS15;RPL18A;RPL18;RPL21;RPS3;RPL19;RPL22;RPS19;RPS18;RPL23A;RPS20;RPLP2;RPL17;RPS16	Cytoplasmic Ribosomal Proteins	58	88	2.5261784374490293	22.95958161157025	50.44423330506548
WP383	2.8255291151318634e-11	7.534744307018303e-14	ACTN2;TPM2;TCAP;TPM1;MYBPC3;DES;ACTC1;TNNT2;ACTG1;MYL9;MYH6;TNNC1;VIM;ACTA2;TNNT1;TNNI3;MYL2;MYL3	Striated Muscle Contraction Pathway	18	38	1.0908497798075354	16.500897129186605	10.548900213237447
WP183	1.4235314065867224e-06	5.6941256263468894e-09	UBC;HLA-E;PSMC5;PSMA1;UCHL1;PSMA3;PSMD13;H2AZ1;PSMD4;PSMD8;PSMB4;PSMB6;UBB;HLA-B;HLA-A;PSMA6;PSMA7	Proteasome Degradation	17	60	1.7223943891697928	9.869981060606062	5.846632946812182
WP534	4.000527451840065e-05	2.1336146409813678e-07	TPI1;MDH1;MDH2;ALDOC;LDHA;MPC1;PKM;GOT2;GOT1;ENO1;ALDOA;GAPDH;LDHB	Glycolysis And Gluconeogenesis	13	44	1.2630892187245146	10.292226239669423	4.3978827450915245
WP289	5.734530156673559e-05	3.8230201044490396e-07	GNG5;GNB2;DGKZ;ATP2A2;IGFBP4;CALM1;CALM2;CALM3;PRKACA;MYL2;PKIG;FOS;YWHAQ;ACTA2;YWHAG;YWHAE;YWHAZ;YWHAH;ACTB;GSTO1;ACTC1;ACTG1;GNB1;GNAS;ATF4	Myometrial Relaxation And Contraction Pathways	25	155	4.449518838688632	5.618585043988269	4.24150215905704
WP3888	7.560003961711923e-05	6.048003169369539e-07	FLII;CSRP1;RPL10A;MYH11;CALR;PSMD4;IDH2;DNAJA1;MYL2;MAP2K2;HSP90AA1;HSPB1;CAPZB;GAPDH;EWSR1;PBXIP1;PTMA;NCL;HTRA1;CCN1;IGFBP7;ATP6V1E1;SET;CCT7;YWHAE;BSG;RPS11;EZR;SLC25A11;ATF4;ALDOA;NAPA;RPL5;EPN1;RPL18A;RHOA;RPL27;PRDX2;RPL26;ACTG1;RACK1;RPLP2;PRDX6;RPS6;EIF4G2;LDHA;TMSB10	Vegfa-vegfr2 Signaling Pathway	47	425	12.200293589952699	3.852366310160428	4.1214779769129235
WP2059	0.00030231837470363036	2.82163816390055e-06	CSNK2B;APP;ATP2A2;CALM1;CALM2;PSMC5;CALM3;PSMD13;PSMD4;PSMD8;MAP2K2;KIF5A;KIF5B;GAPDH;SLC25A4;TUBB;TUBA1B;TUBB4B;TUBA1A;PSMA1;PSMA3;PSMB4;PSMB6;PSMA6;PSMA7;KLC1;VDAC2;VDAC1;VDAC3;RTN3;ATF4;APOE	Alzheimer's Disease And Mirna Effects	32	254	7.29146958081879	4.388690050107373	3.519535455899001
WP5124	0.0002645285778656766	2.82163816390055e-06	CSNK2B;APP;ATP2A2;CALM1;CALM2;PSMC5;CALM3;PSMD13;PSMD4;PSMD8;MAP2K2;KIF5A;KIF5B;GAPDH;SLC25A4;TUBB;TUBA1B;TUBB4B;TUBA1A;PSMA1;PSMA3;PSMB4;PSMB6;PSMA6;PSMA7;KLC1;VDAC2;VDAC1;VDAC3;RTN3;ATF4;APOE	Alzheimer's Disease	32	254	7.29146958081879	4.388690050107373	3.5775274028766875
WP4629	0.0006096110168819097	7.315332202582917e-06	TPI1;LDHA;ALDOA;GAPDH;ENO1;PKM	Aerobic Glycolysis	6	11	0.31577230468112866	19.00103305785124	3.214947193033634
WP536	0.002137837294692178	2.8504497262562375e-05	GNG5;GNB2;FKBP1A;ATP2A2;CALM1;CALM2;CALM3;CALR;PRKACA;ANXA6;PKIG;YWHAQ;PLN;YWHAG;YWHAE;YWHAZ;YWHAH;CASQ2;GNAI2;GNB1;GNAS	Calcium Regulation In Cardiac Cells	21	149	4.277279399771652	4.909662904209884	2.670025350907525
