	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0002181	1.6723206718101156e-62	1.335292775319479e-66	RPLP1;RPLP2;RPLP0;RPSA;RPS2;RPL35A;RPL7;RPL17;RPS3;RPS12;RPL13;RPL10;RPL12;RPL9;RPL22;RPL4;RPS19;RPL3;RPL13A;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPL7A;RPS4X;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL39;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;UBA52;RPL38;RPS21;RACK1;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;RPL36	Cytoplasmic Translation	79	87	8.909213726019996	8.867224698996148	61.776680441822556
GO:0006412	5.515383124765466e-46	8.807702211378898e-50	RPLP1;RPLP2;RPLP0;RPSA;DARS1;RPS2;RPL35A;RPL7;RPL17;RPS4Y1;RPS3;RPS12;RPL13;RPL10;RPL12;RPL9;RPL22;RPL4;RPS19;RPL3;RPL13A;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;DHPS;SARS1;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPL7A;RPS4X;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL39;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;RPL38;RPS21;RPL24;RPL36A;RPL19;RPL18A;RPL6;EIF4G1;RPL18;MRPL28;PABPC4;TNIP1;MRPL51;MRPL41;CPEB3;RPL36AL;PAIP2;MRPL34;MRPL18;RPL36;MRPS18B;EEF1A2;EEF1A1;MRPS5;MRPL12	Translation	97	167	17.10159416373953	5.671985843616198	45.25842431401394
GO:0042776	4.926579816220731e-39	1.1801133382834712e-42	NDUFS8;SDHD;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;ATP5PD;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;MT-ATP6;MT-ND1;MT-ND2;MT-ND3;MT-ND4L;MT-ND4;MT-ND5;MT-ND6;MT-ATP8;ATP5F1B;NDUFB7;ATP5PF;NDUFV2;SDHB;ATP5PB;ATP5F1A;ATP5F1D;SDHA;ATP5F1C;ATP5PO;NDUFV1;NDUFA8;ATP5MF;ATP5F1E;NDUFA6;SDHC;NDUFB11;NDUFA13;STOML2;NDUFB9	Proton Motive Force-driven Mitochondrial Atp Synthesis	53	61	6.246690083761146	8.484493273930534	38.30745447675055
GO:0009060	8.58144922296749e-30	2.740801412637333e-33	NDUFS8;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;MT-ND1;MT-ND2;MT-ND3;MT-ND4L;MT-ND4;MT-ND5;MT-ND6;CAT;UQCRH;UQCRB;NDUFB7;NDUFV2;UQCRC2;ATP5F1D;UQCRC1;MDH2;NDUFV1;NDUFA8;NDUFA6;BLOC1S1;OXA1L;SDHC;NDUFB11;NDUFA13;NDUFB9;SDHB;MT-CO3;MT-CO1	Aerobic Respiration	49	66	6.758713861118617	7.2499000559686575	29.066439362921734
GO:0006120	2.1297023993737928e-23	8.502484826628046e-27	NDUFS8;NDUFA4;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;COQ9;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;MT-ND1;MT-ND2;MT-ND3;MT-ND4L;MT-ND4;MT-ND5;MT-ND6;NDUFB7;NDUFV2;NDUFV1;NDUFA8;NDUFA6;NDUFB9	Mitochondrial Electron Transport, Nadh To Ubiquinone	36	45	4.608213996217239	7.812137203166227	22.671681079819322
GO:1902600	1.3071001208829068e-14	6.262057429972405e-18	ATP6V0E1;ATP6V1G1;ATP6AP2;ATP5PD;ATP6V1G2;MT-CYB;CYB5A;MT-CO2;MT-CO3;MT-ATP6;MT-ATP8;ATP1A1;ATP1B1;ATP5MC1;ATP5F1B;UQCRH;CYC1;COX8A;COX5B;COX6A1;COX4I1;COX6B1;ATP5PF;COX5A;ATP6V1B2;COX7A1;COX7B;ATP5PB;ATP5F1A;ATP6V0C;UQCRC1;ATP6V1E1;ATP6V1A;UQCRFS1;ATP5PO;ATP5MC3;ATP5MF;ATP6V0D1;COX6A2;ATP5MC2;TCIRG1;ATP6AP1;ATP6V1F;ATP6V0E2;ATP6V0B;SLC17A7;UQCR10;ATP1A2;ATP1A3	Proton Transmembrane Transport	49	116	11.878951634693326	4.124943135292512	13.883691145180268
GO:0032981	8.002567506110964e-14	4.4728499315535573e-17	NDUFS8;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFC2;NDUFB10;MT-ND1;MT-ND2;MT-ND4;MT-ND5;MT-ND6;NDUFB7;NDUFA8;NDUFA6;OXA1L;NDUFAF3;DMAC2;NDUFB11;NDUFA13;NDUFB9	Mitochondrial Respiratory Chain Complex I Assembly	33	59	6.041880572818157	5.461875586959438	13.096770653652705
GO:0015986	1.6014956382573465e-13	1.0229930618060342e-16	ATP5PD;MT-ATP6;MT-ATP8;ATP5MC1;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP6V0C;ATP5F1D;ATP5F1C;ATP6V1A;ATP5PO;ATP5MC3;ATP5MF;ATP5MJ;ATP5F1E;ATP5MC2;ATP5MK	Proton Motive Force-driven Atp Synthesis	19	21	2.150499864901378	8.835155170247518	12.795474239818358
GO:0045333	1.1145236673737636e-11	8.009192755001495e-15	NDUFA4;UQCRQ;UQCR11;NDUFS4;MT-CYB;MT-CO1;MT-CO2;MT-CO3;UQCRH;CYC1;COX6C;COX8A;COX5B;COX6A1;COX4I1;COX7A2;COX6B1;UQCRB;COX7C;COX5A;UQCRC2;COX7B;UQCRC1;UQCR10	Cellular Respiration	24	37	3.788975952445285	6.334165299864508	10.952910704661814
GO:0050821	5.002858251840054e-11	3.9946169369530934e-14	PLPP3;DVL1;TYROBP;CTNND1;PFDN1;CRTAP;FLOT1;WFS1;BAG3;CRYAB;APOA1;APOA2;GAPDH;ATP1B1;NPM1;PFN1;HSP90AA1;HSPA1A;HSPA1B;HSPD1;CLU;LAMP1;IFI30;ATP1B2;TCP1;POLR2E;FLNA;PPIB;MT3;CALR;GRN;PFN2;PHB1;CCT6A;BAG6;RPL5;CCT5;CCT3;CCT8;CCT4;ATP1B3;STXBP1;RPS7;RPL23;RPL11;UBE2B;SUMO1;CCT2;PIN1;FLOT2;PTGES3;PFDN5;PHB2;CCT7;RTN4;NOP53;UXT;PFDN2;MAPK8IP3;CDC37;HSP90AB1	Protein Stabilization	61	199	20.378546338827345	2.993344028851381	10.30078180199682
