	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0000006	1.3468149326542106e-42	1.5019682532108962e-46	AARS1;AARS1;ACTA1;ACTA1;ACTA1;ACTA2;ACTA2;ACTA2;ACTB;ACTB;ACTC1;ACTC1;ACTC1;ACTG1;ACTG1;ACTG2;ACTG2;ACTN4;ACTN1;ACTN2;ACTN2;ACTN2;ADAR;PICALM;BAP1;SFTPA2;SLC25A11;ALDH2;ANXA5;APOA1;APOA2;APOE;APOE;APOE;APOE;APP;APP;TCAP;ARCN1;ARF1;ATP1A1;ATP1A1;ATP1A2;ATP1A2;ATP1A2;ATP1A3;ATP1A3;ATP1A3;ATP1A3;STX16;ATP2A2;ATP2A2;ATP5MC3;ATP6V1A;ATP6V1B2;ATP6V1B2;KIF1A;KIF1A;B2M;CD164;SQSTM1;SQSTM1;SQSTM1;SERPING1;SERPING1;SERPING1;C1R;C1S;C3;CALM1;CALM1;CALM2;CALM3;CALR;CAMK2A;CASQ2;CAV1;CAV1;AIP;AIP;CDC42;CDKN1B;RAB11B;CHD3;CHD4;CHN1;AP2M1;AP2S1;SLC9A3R1;CLTC;ITM2B;ITM2B;ITM2B;COL1A1;COL1A1;COL1A1;COL1A1;COL1A1;COL1A1;COL1A1;COL1A2;COL1A2;COL1A2;COL1A2;COL1A2;COL3A1;COL4A2;MAPK8IP1;COL6A1;COL6A1;COL6A2;COL6A2;COPA;KLF6;BAG3;BAG3;CRYAB;CRYAB;CRYAB;NSMF;CSF3R;CSNK1D;CSNK2B;CST3;CTNNA1;CTNNB1;CTNNB1;CTNNB1;CTNNB1;CTNNB1;CTNND1;CTSB;DCAF8;CYP11B1;MATR3;DCN;DCTN1;DCTN1;DCTN1;DES;DES;DES;DLG4;DLST;DNM1;DMPK;HSPB8;HSPB8;DYNC1H1;DYNC1H1;DYNC1H1;HNRNPDL;ATN1;ATN1;DSP;DSP;DSP;TOM1;DVL1;DVL1;DNAJB6;ECE1;EEF1A2;EEF1A2;EEF2;OPTN;OPTN;EIF4G1;EIF5A;BSCL2;BSCL2;ELN;ELN;ELN;ENG;EPAS1;STUB1;UBAP1;CITED2;CITED2;TUBB4A;TUBB4A;TUBB4B;FBLN1;EFEMP1;POMP;FGA;FGFR3;FGFR3;FGFR3;FGFR3;FGFR3;FGFR3;FGFR3;FGFR3;FGFR3;FGFR3;FGFR3;FH;FLNC;FLNC;FLNC;FN1;FN1;PRPF8;PIGT;PMVK;FTH1;CARD11;CARD11;FTL;FTL;FTL;FUS;FUS;GIPC1;WBP11;VPS4A;GARS1;GARS1;GARS1;CPLX1;SIK1;GFAP;GH1;GJA1;GJA1;GJA1;GJA1;GJA1;GLUD1;GNA11;GNA11;GNA11;GNAI2;GNAS;GNAS;GNAS;GNAS;GNAS;GNB1;GNB2;SF3B2;GRN;GSN;LDB3;LDB3;RPL35;HBA1;HBA1;HBA1;HBA2;HBA2;HBB;HBB;HBB;HBB;HBB;HK1;HK1;HLA-DRB1;HMGA1;HNRNPA1;HNRNPA1;HNRNPA2B1;HNRNPK;HNRNPU;HSPA9;HSPB1;HSPB1;HSPD1;IDH2;IFNGR1;TUBB2B;JAK1;JUP;KIF5A;KIF5A;KIF5A;KRT1;KRT1;KRT1;KRT1;KRT1;KRT1;KRT2;KRT4;KRT5;KRT5;KRT5;KRT5;KRT5;KRT5;KRT5;KRT6A;KRT10;KRT10;KRT10;KRT13;KRT14;KRT14;KRT14;KRT14;KRT14;RPSA;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;LORICRIN;LPL;LTBP3;LYZ;MUC7;MYBPC1;MYBPC1;MYBPC3;MYBPC3;MYH6;MYH6;MYH6;MYH7;MYH7;MYH7;MYH7;MYH7;MYH7;MYH9;MYH9;MYH11;MYH11;MYL2;MYL3;NARS1;NDN;NFE2L2;NFIX;NFIX;NFKBIA;NANOS1;NPM1;NPPA;P4HB;PAFAH1B1;SERPINE1;PAK1;PDGFRB;PDGFRB;PDGFRB;PDGFRB;PDGFRB;PDGFRB;PFN1;PHB1;MYLPF;PLA2G2A;PLEC;PLN;PLN;SEC61A1;PMP2;PMP22;PMP22;PMP22;PMP22;PMP22;PMP22;TNPO2;POMC;TMEM43;TMEM43;PPP1CB;PPP2CA;PPP2R1A;PRKAR1A;PRKAR1A;PRKAR1A;PRKAR1A;PRKCSH;MAP2K2;PRNP;PRNP;PRNP;PRNP;PRNP;PRSS1;HTRA1;PSAP;PTPN11;PTPN11;PTPN11;PTPN11;RAC1;RAD21;RAF1;RAF1;RAF1;RBP4;CHMP4B;RPL5;RPL11;RPL13;RPL15;RPL18;RPL21;RPL26;RPL27;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS23;RPS24;RPS26;RPS27;RPS28;RPS29;SCD5;SCN1B;SCN1B;SCN1B;SDHA;SDHA;SDHB;SDHB;SDHB;SDHC;SDHC;SDHD;SDHD;SET;PUF60;TUBB;TUBB;SLC1A2;SLC1A3;SMARCC2;DNAJC5;SNAP25;SNCB;SNRPB;SNRNP200;PALLD;SNTA1;SOD1;SON;SPTAN1;SPTBN1;PERP;SSBP1;NCDN;STAT3;STAT3;MAPK8IP3;GANAB;STXBP1;VAMP2;TGFBI;TGFBI;TGFBI;TGFBI;TGFBI;TGFBI;TGFBI;TGFBR2;TGFBR2;TARDBP;COL18A1;THRA;TIMP3;TNFRSF1A;TNNC1;TNNC1;TNNI2;TNNI3;TNNI3;TNNT2;TNNT2;TNNT2;TNNT3;TPM1;TPM1;TPM2;TPM2;TPM2;TPM3;TPM3;PLD3;TUBA4A;TUBB2A;UCHL1;UQCRC1;VCL;VCL;VCP;VCP;VCP;VIM;WFS1;WFS1;WFS1;WFS1;ELOVL1;YWHAG;CNBP;CHCHD10;CHCHD10;CHCHD10;STARD7;PRPF6;TUBA1A;TRIM8;RAB7A;SELENON;CSRP3;CSRP3;PABPN1	Autosomal Dominant Inheritance	522	2671	273.52310186436097	1.9084311213275789	41.8706920770676
HP:0001635	2.187956631497856e-26	4.8800192516958985e-30	ACTC1;ACTC1;ACTN2;SLC25A11;ATP5F1A;ATP6V1A;CAV1;CAV1;COL1A1;COL1A2;BAG3;NDUFAF3;CCN2;DES;DES;DLST;DSP;DSP;DSP;TOM1;BSCL2;ELN;ELN;ENG;EPAS1;CITED2;CITED2;FGFR3;FH;FLNA;FLNC;FOS;AGPAT2;GJA1;GNA11;LDB3;HADHA;HADHA;HADHB;HADHB;HBA1;HBA2;HLA-DRB1;HNRNPA1;HNRNPA2B1;IDS;JUP;JUP;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;MDH2;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-CYB;MT-ND1;MT-ND5;MT-ND6;MYH6;MYH6;MYH7;MYH7;MYH7;MYH7;MYH7;MYL3;NDUFB8;NDUFS2;NPPA;PLN;NDUFB11;TMEM43;PRKAR1A;PRKAR1A;PRKAR1A;CAVIN1;PSMB8;RPS19;SCN1B;SDHA;SDHA;SDHB;SDHB;SDHB;SDHC;SDHD;SDHD;SDHD;TUBB;SPTBN1;TF;SF3B1;TNNI3;TNNT2;TPI1;TPM1;VCL;VCP;EIF4H;PNPLA2;SELENON	Congestive Heart Failure	108	264	27.034855444474466	3.99484288798273	25.65996129060544
HP:0002490	7.384229900593765e-25	2.470468350817586e-28	MRPS34;SUCLG1;SUCLG1;TXN2;TXN2;COX4I1;NDUFAF3;NDUFAF3;COX6B1;COX8A;COX20;ECHS1;ECHS1;NDUFA13;TIMMDC1;HSD17B10;COX14;MDH2;MT-ATP6;MT-CO1;MT-CO2;MT-CO3;MT-ND1;MT-ND1;MT-ND1;MT-ND2;MT-ND2;MT-ND3;MT-ND3;MT-ND4;MT-ND4;MT-ND5;MT-ND5;MT-ND6;MT-ND6;NDUFA1;NDUFA2;NDUFA4;NDUFA4;NDUFA6;NDUFA8;NDUFB3;NDUFB8;NDUFB8;NDUFB9;NDUFB10;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;PDHA1;PDHA1;PDHA1;NAXE;NDUFB11;NDUFS7;NDUFS7;SDHA	Increased Csf Lactate	69	127	13.005403944879763	5.3054868801030475	24.131694790448428
HP:0001644	3.77925527031743e-23	1.685850460719273e-26	ACADVL;ACTA1;ACTA1;ACTC1;ACTC1;ACTN2;ACTN2;TCAP;TCAP;ATP5F1D;CASQ2;BAG3;BAG3;NDUFAF3;COX7B;CRYAB;CRYAB;DES;DES;DES;DSP;DSP;DSP;DSP;FHL1;RBCK1;ANKRD1;LDB3;LDB3;HADHA;HADHB;HBB;HBB;JUP;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;LMNA;MT-ATP6;MT-CO1;MT-CO2;MT-CO3;MT-ND1;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4;MT-ND5;MT-ND5;MT-ND6;MT-ND6;MYBPC3;MYBPC3;MYH6;MYH6;MYH7;MYH7;MYH7;MYH7;MYH7;MYH7;MYL2;NDUFB8;NDUFS2;PGM1;PLN;PLN;NDUFB11;NDUFB11;TMEM43;RAF1;RAF1;SDHA;SDHA;SDHA;SDHD;TNNC1;TNNC1;TNNI3;TNNI3;TNNI3;TNNT2;TNNT2;TPM1;TPM1;TPM2;TPM3;VCL;VCL;SELENON;CSRP3;CSRP3	Dilated Cardiomyopathy	100	252	25.805998378816536	3.8750680571261045	22.42259377261168
HP:0001639	2.86777715814266e-21	1.5990727992319951e-24	ACADVL;ACTC1;ADAR;ATP5F1E;ATP6V1A;SUCLG1;CAV1;AIP;AIP;BAG3;NDUFAF3;NDUFAF3;COX6B1;COX7B;CRYAB;DES;ECHS1;NDUFA13;BSCL2;BSCL2;ELN;EMD;TIMMDC1;FHL1;FHL1;FLNC;FOS;AGPAT2;ATP5MK;HSD17B10;HSD17B10;HSD17B10;HADHA;COX14;HLA-B;LMNA;LMNA;LMNA;MT-ATP6;MT-ND1;MT-ND1;MT-ND2;MT-ND2;MT-ND3;MT-ND3;MT-ND4;MT-ND5;MT-ND6;MYBPC3;MYH6;MYH7;MYL2;MYL3;NDUFA1;NDUFA2;NDUFA2;NDUFA4;NDUFA6;NDUFB3;NDUFB8;NDUFB9;NDUFB10;NDUFS2;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NDUFV2;PDHA1;NDUFB11;NDUFB11;TMEM43;PPP1CB;CAVIN1;MAP2K2;MAP2K2;NDUFS7;NDUFS7;PTPN11;PTPN11;PTPN11;PYGM;RAF1;RAF1;RAF1;SDHA;SDHA;SDHA;SDHB;SDHD;STAR;TNNC1;TNNI3;TNNT2;TNNT2;TPI1;TPM1;UQCRFS1;VCL;EIF4H	Hypertrophic Cardiomyopathy	111	313	32.052688462577684	3.463048041339661	20.542454598732622
HP:0003198	1.1042608238711497e-18	7.38883120689963e-22	ACTA1;ACTA1;ACTC1;ACTN2;ALDOA;TCAP;CFL2;COL6A1;COL6A2;BAG3;CRYAB;DES;HNRNPDL;DSP;BSCL2;ELN;EMD;KLHL41;FHL1;FLNC;ANKRD1;LDB3;HADHA;HADHB;HNRNPA1;HNRNPA2B1;ITGA7;LAMB2;LMNA;LMNA;LMNA;LMNA;LMNA;MT-ATP6;MT-ATP6;MT-ATP6;MT-CO1;MT-CO1;MT-CO1;MT-CO2;MT-CO2;MT-CO3;MT-CO3;MT-CO3;MT-CO3;MT-CYB;MT-CYB;MT-CYB;MT-ND1;MT-ND1;MT-ND1;MT-ND1;MT-ND2;MT-ND2;MT-ND4;MT-ND4;MT-ND4;MT-ND4L;MT-ND4L;MT-ND5;MT-ND5;MT-ND5;MT-ND5;MT-ND5;MT-ND6;MT-ND6;MT-ND6;MT-ND6;MYBPC3;MYBPC3;MYH6;MYH7;NDUFB3;NDUFS2;PGK1;PGK1;PLEC;PLN;RAF1;SDHA;SDHD;ISCU;TNNC1;TNNI3;TNNT1;TNNT2;TPI1;TPM1;TPM2;UBA1;VCL;VCP;EIF4H;WFS1;PNPLA2;PNPLA2;SELENON;CSRP3;PABPN1	Myopathy	99	279	28.57092677654688	3.4650608562430842	17.956928335130947
HP:0012133	3.346080978397825e-16	2.6120850729100897e-19	TSR2;G6PC3;RPL35;RPL35;RPL5;RPL11;RPL15;RPL18;RPL18;RPL26;RPL27;RPL31;RPL35A;RPL35A;RPS7;RPS10;RPS14;RPS14;RPS15A;RPS15A;RPS19;RPS20;RPS24;RPS26;RPS27;RPS28;RPS29	Erythroid Hypoplasia	27	32	3.276952175087814	8.23936345646438	15.475463552899694
HP:0030270	2.4522343756634545e-15	2.187785770637631e-18	TSR2;RPL35;RPL5;RPL11;RPL15;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS19;RPS20;RPS24;RPS24;RPS26;RPS27;RPS28;RPS29;RPS29	Elevated Red Cell Adenosine Deaminase Level	24	27	2.764928397730343	8.680152447962474	14.61043802387919
HP:0011904	3.6001504351332266e-14	3.6133995668784476e-17	TSR2;SBDS;RPL35;HBB;HBB;HBB;HBB;HBB;HBB;HBB;RPL5;RPL5;RPL11;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS20;RPS24;RPS24;RPS26;RPS27;RPS28;RPS29	Persistence Of Hemoglobin F	30	43	4.40340448527425	6.812910351598454	13.443679351515149
HP:0000576	6.056498340613184e-14	6.754208030125107e-17	MT-ATP6;MT-ATP6;MT-CO1;MT-CO3;MT-CO3;MT-CYB;MT-CYB;MT-ND1;MT-ND1;MT-ND2;MT-ND2;MT-ND4;MT-ND4;MT-ND4L;MT-ND4L;MT-ND5;MT-ND5;MT-ND6;MT-ND6;NDUFS2	Centrocecal Scotoma	20	21	2.150499864901378	9.300163337102651	13.217778397432328
