	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP477	1.292232812338032e-49	1.722977083117376e-52	RPS25;RPL24;RPL27;RPS27;RPL26;RPS26;RPL27A;RPS28;RPL23;RPS27A;RPL30;RPL29;RPL28;RPS29;RPS4X;FAU;RPL13A;RPS5;RPS4Y1;RPS6;RPS21;RPS24;RPS23;RPL35;RPL34;RPL3;RPL35A;RPL37A;RPL4;RPS7;RPL37;RPS9;RPL38;RPS8;RPL5;RPL36;RPL31;RPL32;RPSA;RPL10A;RPLP0;RPL7A;RPL9;RPL14;RPS15A;RPL8;RPLP1;RPL11;RPL10;RPL13;RPL12;RPL41;RPL39;RPL36A;RPL6;RPS11;RPS10;RPS13;RPL7;RPS12;RPS15;RPS14;RPL18A;RPL18;RPL21;RPS3;RPL19;RPS2;RPL22;RPS19;UBA52;RPS3A;RPS18;RPL23A;RPS20;RPLP2;RPL17;RPL15;RPS16	Cytoplasmic Ribosomal Proteins	79	88	9.011618481491489	8.7664607819621	48.888659235562976
WP111	1.8466385548735553e-42	4.924369479662814e-45	NDUFA1;NDUFA2;COX6B1;COX6A1;NDUFS8;NDUFV2;UQCRQ;ATP5F1D;ATP5F1E;NDUFS2;ATP5PB;ATP5MC1;ATP5MC2;NDUFS3;NDUFV1;ATP5MC3;NDUFS4;NDUFS5;NDUFS6;COX6A2;COX8A;COX7C;COX7B;COX7A2;COX7A1;COX6C;ATP5PF;UQCR10;NDUFA4;ATP5IF1;MT-ATP6;MT-ATP8;ATP5F1A;ATP5PO;NDUFS7;ATP5PD;COX5A;SDHA;MT-CYB;MT-CO1;MT-CO2;MT-CO3;SDHC;SDHB;SDHD;UQCR11;ATP5MF;MT-ND5;MT-ND6;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;UQCRC2;UQCRC1;UQCRFS1;UQCRH;UQCRB;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;NDUFA6;NDUFA7;NDUFA8;COX4I1;NDUFB10;NDUFC1;NDUFC2;NDUFB4;ATP5F1B;NDUFB5;NDUFB6;NDUFB7;COX5B;ATP5F1C;NDUFB8;NDUFB9	Electron Transport Chain: Oxphos System In Mitochondria	79	98	10.03566603620643	7.871923967476173	41.733618101303264
WP623	2.6011210087264305e-26	1.0404484034905722e-28	NDUFA2;NDUFS8;NDUFV2;ATP5F1D;ATP5F1E;ATP5PB;NDUFS2;ATP5MC1;ATP5MC2;NDUFS3;ATP5MC3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;ATP5MF;MT-ND5;MT-ND6;ATP5PF;NDUFA4;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ATP6;NDUFAB1;NDUFB1;NDUFB2;ATP5F1A;ATP6AP1;ATP5PO;NDUFA6;NDUFS7;NDUFA7;NDUFA8;ATP5PD;ATP6AP2;NDUFB10;NDUFC1;NDUFC2;NDUFB4;NDUFB5;ATP5F1B;NDUFB6;NDUFB7;NDUFB8;NDUFB9	Oxidative Phosphorylation	48	58	5.939475817346663	8.081521244654718	25.584839443190635
WP183	6.310879227962547e-17	3.3658022549133584e-19	PSMD6;UBE2B;UBE2D3;UBE2D2;UBC;PSMB10;UBA1;HLA-E;PSMD1;PSMD2;PSMD3;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMA1;UCHL1;PSMA3;PSMA4;PSMD13;H2AZ1;PSMD4;PSMD7;PSMD8;RPN2;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;UBB;RPN1;HLA-C;HLA-B;HLA-A;PSME1;PSMA6;PSMA7;PSME2;PSMB1	Proteasome Degradation	41	60	6.1442853282896515	6.672867194371152	16.19991013089024
WP3888	1.6933809136731698e-15	1.1289206091154466e-17	CLTC;FLII;CSRP1;RPL10A;GIPC1;MYH11;CALR;PSMD4;CALU;MYH9;IDH2;MYO1C;CTNNA1;CCN2;HSPA1A;FN1;GJA1;DNAJA1;CAPN2;MYL2;MAP2K2;HSP90AA1;HSPB1;CTNNB1;CAPZB;FGA;EIF2A;CNP;GAPDH;ITGB1;NFKBIA;NAP1L1;EWSR1;PBXIP1;FGB;CRIP2;CAV1;PPP2CA;PTMA;RAC1;RAF1;ENG;AP2S1;COPG1;MMP2;STIP1;NCL;PTPN11;IGFBP3;FGG;CDC42;MMP14;HTRA1;CFL1;CCN1;CLIC1;IGFBP7;ATP6V1E1;STAT3;RCAN2;SOD2;SARS1;ANXA1;HMGB1;STAT6;SET;HBD;NR4A1;RPL13A;PFN1;CCT7;PGK1;MAPK3;YWHAE;BSG;PGD;HERPUD1;VEGFA;HDAC1;ALB;RPS11;VCL;EZR;PPM1G;SLC25A11;PPP1CA;ATF4;ALDOA;NAPA;ADAMTS1;P4HB;FXR2;EIF3H;EIF3D;RPL5;EPN1;ARF4;RPL7;RPL18A;SDCBP;TMOD1;TMSB4X;PAK1;ARF6;RHOA;RHOC;RPL27;PRDX2;RPL26;BIN1;AP2A1;ACTG1;NDRG1;EGR1;RACK1;PABPC1;RPLP2;GPC1;RBM39;PRDX6;RPS6;ATP6V0D1;TPM3;TXN;TXNDC5;CTNND1;EIF4G2;EIF4G1;LDHA;CCDC124;HGS;MAPKAPK2;TKT;GLUD1;JUN;TMSB10;TPP1;SH3BGRL3	Vegfa-vegfr2 Signaling Pathway	138	420	43.00999729802756	3.2085563513004147	14.771245339529013
WP4396	3.076744451454002e-15	2.4613955611632016e-17	NDUFA1;NDUFA2;COX6B1;NDUFS8;COX6A1;NDUFV2;UQCRQ;CDC42;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;COX6A2;COX8A;COX7C;ADIPOR1;COX7B;COX7A2;COX7A1;COX6C;UQCR10;NDUFA4;NDUFS7;NDUFB11;COX5A;SDHA;MT-CYB;MT-CO1;MT-CO2;MT-CO3;DDIT3;SDHC;SDHB;SDHD;UQCR11;CYC1;TNFRSF1A;XBP1;JUN;UQCRC2;UQCRC1;UQCRFS1;UQCRH;UQCRB;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;NDUFA6;NDUFA7;RAC1;NDUFA8;NDUFB10;COX4I1;NDUFC1;NDUFC2;ATF4;NDUFA13;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;COX5B;NDUFB9	Nonalcoholic Fatty Liver Disease	67	145	14.848689543366657	4.512182694932218	14.511908573928782
WP4324	1.1091987777730172e-13	1.0352521925881493e-15	NDUFA1;NDUFA2;NDUFV2;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;NDUFAF3;MT-ND5;MT-ND6;MT-ND1;MT-ND2;MT-ND4;MT-ND4L;NDUFAB1;DMAC2;NDUFB1;NDUFB2;NDUFB3;TIMMDC1;NDUFA6;NDUFA7;NDUFA8;NDUFB11;NDUFB10;NDUFC1;NDUFC2;NDUFA13;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9	Mitochondrial Complex I Assembly Model Oxphos System	36	56	5.734666306403675	6.27761025254429	12.954990617643334
WP383	7.115079166536375e-13	7.5894177776388e-15	ACTN2;TPM2;TNNC2;TCAP;TPM1;TNNT3;MYBPC3;DES;ACTC1;TNNT2;ACTG1;MYL9;MYH6;MYBPC1;TNNC1;VIM;ACTA1;TMOD1;ACTA2;TNNI2;TNNT1;TNNI3;TPM3;TPM4;ACTN4;MYL1;MYL2;MYL3	Striated Muscle Contraction Pathway	28	38	3.8913807079167793	7.195389529232051	12.147820263338147
WP411	8.31907476099095e-11	9.98288971318914e-13	RBM39;NONO;SNRNP70;SNRPA;SNRPB;POLR2A;PRPF6;CLK1;SF3B1;SNRPD3;SNRPD2;PRPF4B;SUGP2;YBX1;PRPF8;SF3B2;SRSF9;SFPQ;NXF1;PRMT1;U2AF2;PTBP1;SRSF5;SRSF7;SRSF6;SF3A2;SUPT5H;DDX1;SNU13;SRSF2;SRSF1;TMED10;SRSF4;SRSF3;RBM5;PABPN1;HNRNPA1;HNRNPA2B1;HNRNPM;HNRNPH2;HNRNPH1;HNRNPD;HNRNPC;HNRNPAB;FUS;HNRNPU;HNRNPL;HNRNPK;DNAJC8;PPM1G;RBMX;PCBP2;SF3B5;U2AF1	Mrna Processing	54	125	12.800594433936773	4.218554089709762	10.079924972812712
WP107	8.985037122911362e-08	1.1980049497215149e-09	EIF2S2;EIF4B;EIF4A2;EIF4A1;EEF2;EEF1G;EEF1D;EEF1B2;EIF3B;EIF3A;EIF3G;EIF6;EIF3H;EIF3D;EIF5A;EIF5;EIF4G1;EIF5B;EIF3E;EIF4H;EEF1A2;EIF3I;EEF1A1;PABPC1;CLUH;EIF1;EIF2S3	Translation Factors	27	50	5.1202377735747095	5.273192612137203	7.046480124204172
