	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0002181	2.2698599256935238e-73	1.812408116970236e-77	RPLP1;RPLP2;RPLP0;RPSA;RPS2;RPL35A;RPL7;RPL17;RPS3;RPS12;RPL13;RPL10;RPL12;RPL9;RPL22;RPL4;RPS19;RPL3;RPL13A;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPL7A;RPS4X;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;UBA52;RPL38;RPS21;RACK1;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;RPL36	Cytoplasmic Translation	78	87	6.1494731153742235	12.684013497838237	72.6440009425317
GO:0006412	7.967294677948616e-55	1.27232428584296e-58	RPLP1;RPLP2;RPLP0;RPSA;RPS2;RPL35A;RPL7;RPL17;RPS3;RPS12;RPL13;RPL10;RPL12;RPL9;RPL22;RPL4;RPS19;RPL3;RPL13A;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;SARS1;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPL7A;RPS4X;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;RPL38;RPS21;RPL24;RPL36A;RPL19;RPL18A;RPL6;EIF4G1;RPL18;MRPL28;PABPC4;MRPL51;MRPL41;RPL36AL;PAIP2;MRPL34;RPL36;MRPS18B;MRPS12;EEF1A2;EEF1A1;MRPL24;MRPS5;MRPL12	Translation	92	167	11.804161037557417	7.7938618176491055	54.098689119744144
GO:0042776	1.6987311628496588e-35	4.069142038125979e-39	NDUFS8;SDHD;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;ATP5PD;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;ATP5F1B;NDUFB7;ATP5PF;NDUFV2;SDHB;ATP5PB;ATP5F1A;ATP5F1D;SDHA;ATP5F1C;ATP5PO;NDUFV1;NDUFA8;ATP5MF;ATP5F1E;NDUFA6;NDUFA11;SDHC;NDUFB11;NDUFA13;NDUFA12;STOML2;NDUFB9	Proton Motive Force-driven Mitochondrial Atp Synthesis	46	61	4.311699540664685	10.668646914322956	34.76987534610393
GO:0009060	4.074445998062544e-26	1.3013241769602504e-29	NDUFS8;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;UQCRH;UQCRB;NDUFB7;NDUFV2;UQCRC2;ATP5F1D;UQCRC1;MDH2;NDUFV1;NDUFA8;NDUFA6;BLOC1S1;OXA1L;NDUFA11;SDHC;NDUFB11;NDUFA13;NDUFA12;NDUFB9;SDHB	Aerobic Respiration	41	66	4.6651175358011345	8.788631730145493	25.38993143387881
GO:0006120	1.3918908287453112e-18	5.556894078350811e-22	NDUFS8;NDUFA4;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;COQ9;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;NDUFB7;NDUFV2;NDUFV1;NDUFA8;NDUFA6;NDUFB9	Mitochondrial Electron Transport, Nadh To Ubiquinone	29	45	3.1807619562280465	9.117312266394835	17.856394826746158
GO:0032981	3.72153441074812e-14	1.782913323577828e-17	NDUFS8;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFC2;NDUFB10;NDUFB7;NDUFA8;NDUFA6;OXA1L;NDUFA11;NDUFAF3;NDUFB11;NDUFA13;NDUFA12;NDUFB9	Mitochondrial Respiratory Chain Complex I Assembly	29	59	4.170332342610105	6.9538822370808075	13.429277960998608
GO:0015986	3.011691584366282e-11	1.6833153218272094e-14	ATP5PD;ATP5MC1;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP6V0C;ATP5F1D;ATP5F1C;ATP5PO;ATP5MC3;ATP5MF;ATP5MJ;ATP5F1E;ATP5MC2;ATP5MK	Proton Motive Force-driven Atp Synthesis	16	21	1.4843555795730883	10.779088393767294	10.521189504604777
GO:0021762	1.386970555228478e-10	8.859601119313177e-14	NDUFS3;GLUD1;MBP;CNP;CALM1;CALM2;CALM3;HSPA5;CKB;COX6B1;ATP5PF;ATP5PB;YWHAQ;ACTB;CDC42;RHOA;YWHAE;DYNLL1;BASP1;YWHAH;SIRT2;NDRG2	Substantia Nigra Development	22	44	3.1100783572007566	7.073776758409786	9.85793275870864
GO:0050821	1.4769370191782195e-10	1.061356848658893e-13	DVL1;PFDN1;FLOT1;BAG3;CRYAB;GAPDH;ATP1B1;NPM1;PFN1;HSP90AA1;HSPA1B;HSPD1;CLU;LAMP1;ATP1B2;TCP1;POLR2E;PPIB;MT3;CALR;GRN;PFN2;PHB1;CCT6A;BAG6;RPL5;CCT5;CCT3;CCT8;CCT4;STXBP1;RPS7;RPL23;RPL11;SUMO1;CCT2;SMAD3;PIN1;FLOT2;PTGES3;PFDN5;PHB2;RTN4;NOP53;UXT;PFDN2;MAPK8IP3;CDC37;HSP90AB1	Protein Stabilization	49	199	14.066036206430693	3.4835684538902467	9.830638023852943
GO:0000398	4.199174524019043e-10	3.3529020472844483e-13	CASC3;SF3B1;SNRNP200;BCAS2;HNRNPC;SNRNP70;SNRPC;HNRNPA1;HSPA8;PABPC1;SNRPB;DDX5;HNRNPA2B1;U2AF2;HNRNPH3;HNRNPH1;HNRNPA3;HNRNPM;NCBP2;HNRNPF;SNU13;HNRNPK;SNRPD2;HNRNPU;SRSF1;SF3B2;DDX39B;SF1;PRPF8;PRPF31;ZMAT2;RBM42;SF3B5;PNN;RALY;PRPF19;SRRM2;SF3B6;SRSF3;SRSF6;SRSF5;UBL5;RBM5;SRSF2;SRSF9;RBM6	Mrna Splicing, Via Spliceosome	46	184	13.005782221021345	3.536888379204893	9.376836075054051
