	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0070062	2.9475109264263455e-87	1.6089033441191843e-90	FAM168B;MYO1C;CLIC1;WASL;STK25;SDCBP;PDXK;PDCD5;TPP1;PSMA7;TAX1BP3;MYL12B;HGS;ARPC2;ARPC3;ARPC5;PSMD3;AKR7A2;CHMP2A;GET3;ACTN4;NARS1;GNG7;SNX3;TSPAN3;CUTA;ATP6V1G1;SH3BGRL;CS;FLOT1;SNCG;VAMP5;AHSA1;LDHA;ALDH1A1;SOD1;GOT2;PGK1;CFD;A2M;CST3;HLA-DRA;HLA-DRB1;CRYAB;APOE;PMP2;FTH1;ALDOA;PRNP;CD74;GAPDH;HLA-A;CAPNS1;HSPB1;GNAI2;ATP1A1;ATP1B1;APP;ALDH2;RPLP2;RPLP0;FABP3;KRT8;GSN;ATP5F1B;S100A6;ENO1;GPI;DBI;LDHB;P4HB;CTSD;TUBB;PSAP;PFN1;APRT;CTSB;HSP90AA1;HNRNPC;FH;THBS1;RNASE1;COL1A2;ANXA6;RHOC;HSP90AB1;SRPRA;ANXA5;RPSA;CD63;ENO2;GSTP1;LGALS1;QDPR;CNP;HNRNPA1;ALDOC;H2AZ1;UBB;UBC;HSPA1B;RRAS;HLA-C;SPP1;TXN;CTSA;C7;ESD;HSPD1;CLU;HSPA5;HSPA8;PYGB;LAMP1;PABPC1;PCNA;COL6A1;COL6A2;IMPDH2;CKB;EEF2;TPT1;ALAD;HLA-E;CD59;PKM;HSP90B1;HNRNPL;GLUL;AKR1B1;EZR;RPS2;CPE;STMN1;RHOQ;GOT1;DES;DDX5;PFKL;TCP1;RPL35A;ARF4;PGAM1;PAM;MYL12A;NCL;ANXA7;RAB6A;OGN;ATP6V1B2;CSRP1;CD9;TGM2;PCMT1;FBL;GPX3;NME2;HNRNPA2B1;PPIB;RPS3;AHCY;CFL1;ATP5F1A;EEF1G;STOM;YWHAQ;ATP6V0C;CALR;CANX;PSMB4;PSMB6;PSMB5;GRN;PRDX6;PRDX5;RPL12;PEBP1;PDIA3;PPP2R1A;TSPO;SRI;SDC4;DNAJA1;YWHAB;PRDX2;HSPA4;PFN2;CTNNB1;PHB1;RPL22;MYH9;BSG;ATP6V1E1;RPL4;GPX4;TAGLN2;TALDO1;HSPA9;RPS19;RPL3;CCT6A;MDH1;MDH2;PTGDS;ACTR1B;PAFAH1B1;BAG6;RPL5;RPL28;RPS9;RPS5;CAPZB;PRRC2A;CCT5;IDH2;ALDH9A1;RPL34;CCT3;TUFM;AARS1;SARS1;PSMB2;HINT1;ST13;PPT1;RPL14;CCT8;CCT4;RAB5C;RAB7A;GPM6A;PGD;HNRNPM;ARHGDIA;PTTG1IP;IST1;HSPA2;NAPA;VCP;EIF3B;EIF6;ARPC4;CD81;TPI1;MYL6;ACTB;EIF4A1;RPS20;PSMA6;S100A10;CDC42;DSTN;UBE2D3;ACTR2;ACTR1A;ARF3;RPS3A;RPL26;RPL27;ATP6V0D1;RPL37A;RHOA;HSPE1;STXBP1;B2M;HNRNPK;YWHAG;PPP1CA;PPP1CB;PSMC5;RPS8;RPS15A;RPS16;YWHAE;RPS14;RPS18;RPS29;RPS13;RPS11;SNRPD2;RPS4X;RHOB;RPL23A;RAB1A;RAN;RPL23;UBE2D2;RPS25;RPS26;RPS28;GNB1;GNB2;RPL30;RPL31;RPL10A;RPL11;PPIA;RPS27A;UBA52;RAC1;YWHAZ;GNG5;RACK1;ACTG1;YBX1;CSNK2B;TPM4;EEF1A1;TUBB4B;SIRPA;CCT2;GSTO1;BTG2;BASP1;RPL24;ARF1;ARF5;CLTC;SPTBN1;CAP1;PFKP;FKBP4;NUCB1;GLO1;YWHAH;PSME1;APLP2;PRDX1;LGALS3BP;ECH1;PSMD2;EIF3I;SQSTM1;ASAH1;DCTN2;SPTAN1;TUBB2A;SCARB2;FLOT2;GANAB;SEPTIN2;PMVK;PLEC;PPA1;PTPA;PCBP1;PCBP2;TRIP10;RAB11B;SEPTIN7;IGFBP7;CDC37;DPYSL2;UGP2;ATP6V1F;GNAS;TPRG1L;LAMTOR1;TUBA1A;H2AZ2;DAAM2;PLD3;HID1;SLC44A2;MINK1;TXNDC5;BRK1;NDRG1;ANP32B;HTRA1;ARPC1A;IGSF8;ARL8A;AP2M1;SAT2;OTUB1;CNDP2;VAT1;DNAJC7;CIB1;SDF4;TMED9;TMEM59;UBXN6;RAB1B;CHMP4B;CHMP1A;ITM2C;PHPT1;ARL8B;GPRC5B;CHMP5;CTSZ;CTSF;NDRG3;DPP7;GNPTG;PSME2;NDRG2;VPS4A;PA2G4;CFL2;ITM2B;RNF11;UFC1;TLN1;AUP1;CFAP20	Extracellular Exosome	408	2017	142.56881923804377	2.8617758229362344	86.53054457629975
GO:0022626	6.648564298238562e-74	7.258257967509347e-77	RPLP1;RPLP0;RPSA;RPS2;RPL35A;RPL7;RPL17;RPS3;RPS12;RPL13;RPL10;RPL12;RPL9;RPL22;RPL4;RPS19;RPL3;RPL13A;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS13;RPS11;RPL7A;RPS4X;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;RPS27A;UBA52;RPL38;RPS21;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;RPL36	Cytosolic Ribosome	72	76	5.371953526074034	13.402945436986963	73.17727212682765
GO:0016020	3.971005908588815e-58	6.502738933278627e-61	MYO1C;PGRMC1;CLIC1;BIN1;SDCBP;NOP56;SCD;AP3D1;CDIPT;ARPC3;EIF3D;CYB5B;DYNC1LI2;PSMD3;GPAA1;CHMP2A;SGTA;RAD21;CUTA;SDC3;DNAJB6;ECI2;SNRNP200;PPM1B;PPP1R15A;ARL6IP5;FLOT1;JTB;AP2A1;FADS2;CLPTM1;LDHA;CYB5R3;PGK1;HLA-DRB1;APOE;ALDOA;CD74;GAPDH;HLA-A;CAPNS1;RPN1;GNAI2;ATP1A1;ATP1B1;RPLP2;RPLP0;ATP5F1B;ENO1;GPI;NPM1;LDHB;PFN1;HSP90AA1;HNRNPC;ANXA6;HSP90AB1;SRPRA;CYC1;ANXA5;RPSA;ENO2;ACAA1;CLTA;CNP;HNRNPA1;CALM2;HLA-C;CTSA;PRKAR1A;HSPD1;CLU;HSPA5;HSPA8;PYGB;LAMP1;PABPC1;COL6A1;IMPDH2;XRCC6;XRCC5;COX4I1;IFITM1;NCAM1;ATP1A3;EEF2;CD59;ATP1B2;HSP90B1;HNRNPL;EZR;RPS2;ATP2A2;STMN1;DDX5;PFKL;PSMC3;RPL35A;ARF4;RPL7;PGAM1;PAM;NCL;ANXA7;RAB6A;CD9;FBL;HNRNPA2B1;PPIB;RPS3;JAK1;CFL1;ATP5PB;RPS12;ATP5F1A;RPL13;EEF1G;PLN;STOM;YWHAQ;ATP6V0C;RPL10;CALR;CANX;TMOD1;GRN;ERP29;PRDX6;RPL12;PPP2R1A;SLC6A1;SRI;POLR2B;DNAJA1;HNRNPH1;YWHAB;RPL9;KIF5B;CTNNB1;PHB1;MYH9;BSG;ATP5F1C;RPL4;LONP1;DLST;RPS19;DDOST;RPL13A;MDH2;ACTR1B;LRPPRC;RPL35;SLC1A3;SLC1A2;MATR3;PSMC4;VDAC2;BAG6;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;CAPZB;RPL29;ARCN1;CD151;PRRC2A;TUFM;AARS1;PSMB2;VEGFB;EMD;PPT1;RPL14;ATP1A2;BCAP31;HNRNPM;HNRNPF;PTTG1IP;HSPA2;NAPA;TMBIM6;NAP1L1;ADAR;HNRNPH2;CD81;MYL6;ACTB;EIF4A1;RPS20;SNAP25;S100A10;CDC42;ACTR2;RPL26;RPL15;RPL27;ATP6V0D1;HSPE1;SEC61A1;B2M;DAD1;HNRNPK;YWHAG;RPS7;PSMC1;PSMC5;RPS8;RPS15A;RPS16;YWHAE;RPS14;RPS23;RPS18;RPS13;RPS11;RPL7A;RPS4X;RPS6;RAN;RPL23;RPS15;RPS24;RPS26;GNB1;GNB2;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;PPIA;FKBP1A;RPS27A;RAC1;VAMP2;DYNLL1;GNG5;EIF5A;ACTG1;TPM4;EEF1A1;SIRPA;EIF4G2;RPL24;RPL19;CLTC;HNRNPU;PFKP;RPL18A;NUCB1;RPL6;EIF4G1;APLP2;RPL18;KLC1;LGALS3BP;KIF5A;ILF2;ECH1;PSMD2;ILK;PICALM;DCTN2;SPTAN1;SCARB2;EIF3A;MLEC;DCTN1;FLOT2;GANAB;CHD4;HERPUD1;SNX17;ARL6IP1;EIF4H;PMVK;PCBP1;PCBP2;MLF2;DPYSL2;ATP6V1F;HNRNPUL2;GNAS;IQSEC1;PRPF8;NSMF;KTN1;DDX42;NELFCD;CPSF7;PAF1;DNAJA4;DDX1;SLC39A7;DDX17;STMN2;IGSF8;ADIPOR1;ARL8A;DYNLL2;CDK5RAP3;CRBN;ATP6V0B;SEC62;PSMD1;DNAJC7;CIB1;SDF4;ELOVL1;ABCA2;DDX24;PNN;WNK1;LMBRD1;TMEM30A;ARL8B;DDX18;OCIAD1;NCDN;EIF3K;RABAC1;VPS51;FBXO2;TMEM59L;PSME2;PRPF19;MAGED2;PSMD13;PA2G4;POMP;EIF3L;ERGIC3;FARSA;ITM2B;NISCH;GIT1;RPL36;AUP1;CYB5D2;MTCH1;SBF1;ARHGDIA;PNPLA2;ABHD12;NENF;SLC44A2;ATP13A2;PFKM;PLEC;GRINA;SERINC1;DUOXA1;PBXIP1;HID1;SH3GLB2;SERINC3;TMEM120A;BAG3	Membrane	364	2089	147.65803836800865	2.4651553279666465	57.401099466734756
GO:0005829	1.6030697765184692e-45	3.500152350477007e-48	MYO1C;AIP;WASL;SAP18;BIN1;SDCBP;PDXK;HSPB6;COPE;DVL1;STX16;CPLX1;PSMA7;TAX1BP3;UBE2L6;MYL12B;HGS;HNRNPDL;ARPC2;ARPC3;CASC3;TCAP;EIF3D;ARPC5;PER1;DYNC1LI2;PSMD3;GPAA1;DAPK3;AKR7A2;LAMTOR5;CHMP2A;ACTN4;SGTA;NARS1;SSNA1;CREB3;RAD21;SNX3;EIF5B;EDF1;DNAJB6;ATP6V1G1;ECI2;BANF1;CSDE1;ERAL1;PPM1B;PPP1R15A;EIF3G;GABARAP;OAZ2;SBF1;AHSA1;AP2A1;BAG3;CBX7;LDHA;ALDH1A1;SOD1;PGK1;CRYAB;LMNA;MBP;FTH1;MT2A;RAF1;ALDOA;PRNP;S100B;GAPDH;CAPNS1;HSPB1;RPN1;GNAI2;APP;RPLP1;RPLP2;RPLP0;FABP3;KRT8;GSN;PTMA;S100A6;ENO1;GPI;NPM1;LDHB;P4HB;TUBB;PFN1;APRT;HSP90AA1;HNRNPC;TPM2;FH;RHOC;PFKM;HSP90AB1;ANXA5;RPSA;ENO2;ACAA1;GSTP1;QDPR;TPM1;CLTA;CLTB;UCHL1;ALDOC;UBB;UBC;HSPA1B;CALM1;TXN;PRKAR1A;HSPD1;THRA;CLU;MYL2;HSPA5;HSPA8;LAMP1;PABPC1;IMPDH2;CKB;XRCC6;XRCC5;COX4I1;NCAM1;EEF2;TPT1;ALAD;GFAP;PKM;HSP90B1;SNRPB;HNRNPL;GLUL;AKR1B1;EZR;RPS2;CHN1;PPP3CB;STMN1;YBX3;GOT1;DES;DDX5;PFKL;PSMC3;TCP1;RPL35A;ARF4;RPL7;RPL17;PGAM1;MYL12A;HK1;POLR2C;POLR2E;BTF3;RAB3A;RAB6A;ATP6V1B2;TGM2;PCMT1;NME2;SFPQ;RPS3;JAK1;AHCY;CFL1;EIF4B;EEF1B2;MYL9;RPS12;DNAJB2;MT3;NFKBIA;RPL13;EEF1G;YWHAQ;MAPK3;RPL10;CALR;PSMB4;PSMB6;PSMB5;TMOD1;PRDX6;PRDX5;PRDX3;RPL12;PEBP1;PPP2R1A;TSPO;SRI;GDI1;MAT2A;DNAJA1;HNRNPH1;YWHAB;STIP1;PRDX2;RPL9;KIF5B;HSPA4;CTNNA1;CTNNB1;RPL22;MYH9;ADD1;MAP2K2;ATP6V1E1;RPL4;LONP1;DLST;GPX4;SRP14;TAGLN2;TALDO1;RPS19;RPL3;CCT6A;PSMB10;RPL13A;MDH1;ACTR1B;RPS27;RPL35;PAFAH1B1;PSMC4;BAG6;CDKN1B;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;CAPZB;RPL29;ARCN1;CD151;PCP4;PSMD8;PRRC2A;CCT5;IDH2;ALDH9A1;RPL34;CCT3;SRP9;AARS1;SARS1;PSMB2;HINT1;NDUFV1;EMD;ST13;PPT1;RPL14;CCT8;CCT4;RAB7A;BCAP31;PGD;NCBP2;ARHGDIA;HNRNPF;AP2S1;POLR2K;PLAAT3;IST1;OAZ1;HSPA2;RAD23A;NAPA;EIF5;PSMD4;VCP;HNRNPH2;EIF3B;PCBP4;FBXW4;ARPC4;TPI1;GABARAPL2;MYL6;ACTB;EIF4A1;RPS20;SNAP25;PSMA6;CDC42;UBE2D3;UBE2M;ACTR2;ACTR1A;RPS3A;RPL26;RPL15;RPL27;RPL37A;RHOA;STXBP1;B2M;COPZ1;RPL37;YWHAG;RPS7;PPP1CA;PPP1CB;PSMC1;PSMC5;RPS8;RPS15A;RPS16;UBE2H;YWHAE;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;SNRPD2;TMSB4X;RPL7A;ETF1;CNBP;RPS4X;PPP2CB;RHOB;RPL23A;RPS6;RAB1A;RAN;RPL23;UBE2D2;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;GNB1;POLR2L;GNB2;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;PPIA;FKBP1A;RPL41;RPS27A;UBA52;RAC1;VAMP2;YWHAZ;SUMO1;DYNLL1;RPL38;RPS21;EIF5A;RACK1;ACTG1;YBX1;CSNK2B;TPM4;EEF1A1;TUBB4B;EIF4G2;CCT2;GSTO1;BLOC1S1;BTG2;RPL24;RPL36A;SMAD3;ARF1;RPL19;SERF2;HDLBP;CLTC;HNRNPU;BEX3;SPTBN1;SET;SRSF2;PFKP;RPL18A;FKBP4;RPL6;UBXN1;EIF4G1;GLO1;YWHAH;CALD1;PTPN11;PSME1;RING1;PRDX1;RPL18;ZFP36L1;KLC1;DMTN;DMPK;KIF5A;PTP4A2;ECH1;FLII;MRPL28;PSMD2;GPS2;NME3;SRSF5;PABPC4;EIF3I;ILK;PDAP1;PICALM;SQSTM1;PIN1;DCTN2;ITPK1;AAMP;SPTAN1;EIF3A;DPYSL3;DCTN1;EIF4A2;CTTN;NFE2L1;PSMD6;SNX17;ARL6IP1;KARS1;EIF4H;PEA15;PMVK;PLEC;PPA1;PTGES3;ANKRD1;PCBP1;PCBP2;ELOB;CNN3;TESK1;TRIP10;HMGN3;MAPRE1;VAMP3;RAB11B;ZYX;SEPTIN7;ADRM1;PKN1;CDC37;DPYSL2;RBBP7;GUK1;UGP2;ATP6V1F;PFKFB3;GNAS;RNF187;INTS11;DENND5A;MZT2B;CPLX2;MPRIP;TUBA1A;RRAGA;COPS6;CXXC5;GPBP1;RPS19BP1;DDX42;TRAPPC5;HID1;TP53INP2;SIRT2;CHPF;SYNPO;FBXL16;MINK1;PNMA1;BRK1;DNAJA4;DDX1;BAP1;NDRG1;NRGN;HTRA1;ARPC1A;DDX17;STMN2;RPL36AL;WBP2;FBXW5;FAM162A;PNPLA2;PBXIP1;MOAP1;CCDC124;OPTN;AP2M1;ANAPC16;CLIP3;PTCD3;DYNLL2;OTUB1;CDK5RAP3;CNDP2;ASB16;FMNL2;FNBP1;CEP89;CRBN;TBCB;PSMB7;PSMD1;PFDN5;SORT1;TSC22D3;S100A13;DNAJC7;NABP2;KLHDC3;MIEN1;C1orf43;PACSIN1;POLDIP3;RBCK1;TRIM8;UBXN6;MAP1LC3B;MAF1;BTBD1;GABARAPL1;RAB1B;ISCU;CHMP4B;CUEDC2;MAP1LC3A;WNK1;EPB41L1;ILRUN;PTGES2;GBA2;CHMP1A;SSU72;TCIM;SH3GLB2;TUBG2;PHPT1;MAN2C1;ARL8B;PLEKHJ1;ARGLU1;BEX4;BABAM1;DDIT4;TERF2IP;ANAPC11;WSB2;STMN3;GPRC5B;NOP53;CHMP5;MARCHF2;CALCOCO1;NCDN;EIF3K;PFDN2;ENOPH1;NDUFA12;TRMT112;VPS51;ANAPC5;HSPB8;FBXO2;PSME2;NDRG4;NDRG2;VPS4A;STUB1;MAGED2;SNX6;PSMD13;PPP6R1;SMG5;MAPK8IP1;RTRAF;POMP;EIF3L;NUDC;FARSA;NISCH;GIT1;SBDS;CIAO2B;STRAP;FBXO7;RPL36;TLN1;ATG4B;RNF114;TRAPPC1;SNX14;EPN1;WSB1;SELENOW;ESD;PMP2;EIF6;TSC22D1;ACO2;PDCD5;BTBD2;RUNDC3A	Cytosol	628	5226	369.3924885166171	1.7000887119331596	44.79504757377972
GO:0022625	7.949751077586109e-44	2.169691887987475e-46	RPLP1;RPLP2;RPLP0;RPL35A;RPL7;RPL17;RPL13;RPL10;RPL12;RPL9;RPL22;RPL4;RPL3;RPL13A;RPL35;RPL27A;RPL5;RPL21;RPL28;RPL29;RPL34;RPL14;RPL26;RPL15;RPL27;RPL37A;RPL37;RPL7A;RPL23A;RPL23;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;UBA52;RPL38;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;ZCCHC17;RPL36;RPL36AL	Cytosolic Large Ribosomal Subunit	48	56	3.9582815455282354	12.126474442988204	43.09964646974897
GO:0005925	6.376293228492249e-39	2.0883056425192958e-41	PDLIM1;SDCBP;STX16;ARPC2;ARPC3;ARPC5;ACTN4;FLOT1;FAM107A;HSPB1;RPLP1;RPLP2;RPLP0;GSN;NPM1;P4HB;PFN1;ANXA6;ANXA5;HSPA1B;RRAS;HSPA5;HSPA8;PABPC1;CD59;HSP90B1;EZR;RPS2;GJA1;ENG;RPL7;CSRP1;CD9;TGM2;NME2;PPIB;RPS3;JAK1;CFL1;YWHAQ;MAPK3;ATP6V0C;CALR;RPL12;PDIA3;SDC4;YWHAB;RPL9;CTNNA1;CTNNB1;RPL22;MYH9;ADD1;BSG;MAP2K2;RPL4;HSPA9;RPS19;RPL3;RPL13A;RPL5;RPS9;RPS5;RPS10;CD151;CD81;ACTB;CDC42;ACTR2;RPS3A;RPL27;RPL37A;RHOA;B2M;HNRNPK;YWHAG;RPS7;PPP1CB;RPS8;RPS16;YWHAE;RPS14;RPS18;RPS29;RPS13;RPS11;RPL7A;RPS4X;RHOB;RPL23;RPS15;GNB2;RPL30;RPL31;RPL10A;RPL8;PPIA;RAC1;YWHAZ;RPL38;ACTG1;TPM4;ARF1;RPL19;CLTC;CAP1;RPL6;RPL18;FLII;ILK;SCARB2;CTTN;FLOT2;PLEC;PCBP2;CNN3;MAPRE1;ZYX;TNS2;MPRIP;GIT1;TLN1	Focal Adhesion	122	420	29.687111591461765	4.109527450123781	38.195431719123256
GO:0005743	5.924508637063539e-39	2.2637314661268978e-41	NDUFS8;NDUFA4;NME4;SDHD;NDUFAB1;UQCRQ;UQCR11;MRPS12;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;COQ9;NDUFS7;NDUFS2;NDUFS6;MRPL33;NDUFB1;NDUFS3;ERAL1;ATP5PD;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;MPC2;NDUFB10;ATP5MC1;ATP5F1B;LDHB;UQCRH;CYC1;CNP;COX6C;IFI6;COX8A;COX5B;HSPD1;CLU;COX6A1;COX4I1;COX6B1;UQCRB;COX7C;NDUFB7;ATP5PF;NDUFV2;COX5A;SDHB;UQCRC2;RPS3;ATP5PB;ATP5F1A;ATP5F1D;SDHA;UQCRC1;PHB1;ATP5F1C;HSPA9;HADHA;UQCRFS1;ATP5PO;ATP5MC3;NDUFV1;NDUFA8;MRPL12;HADHB;ATP5MF;ATP5MJ;ATP5F1E;NDUFA6;ROMO1;MRPS5;MRPS34;SLC25A11;ATP5MC2;MRPL28;MRPL51;COX20;MRPL54;LETMD1;NDUFA11;MRPL41;GADD45GIP1;MRPL24;SLC25A28;PTCD3;ATP5MK;PHB2;SDHC;MRPL34;NDUFAF3;HIGD2A;MRPL20;MRPS26;TIMMDC1;MRPL40;AURKAIP1;NDUFB11;MRPL15;NDUFA13;TMEM14C;UQCR10;NDUFA12;STOML2;HIGD1A;TIMM8B;TIMM13;MPC1;MRPS18B;NDUFB9	Mitochondrial Inner Membrane	116	383	27.07181842745204	4.284898715276946	38.22734766304966
GO:0005739	8.883115049698661e-29	3.879089541353127e-31	HAX1;NDUFS8;CLIC1;NDUFA4;NME4;SDHD;NDUFAB1;BCKDK;UQCRQ;NDUFA1;NDUFS4;GPAA1;NDUFB5;IDH3B;NDUFS5;COQ9;NDUFS2;CS;MRPL33;NDUFB1;NDUFS3;ECI2;ERAL1;PPP1R15A;ATP5PD;JTB;NDUFB6;NDUFB4;NDUFB8;NDUFA7;NDUFC2;MPC2;GLUD1;CYB5R3;SOD1;GOT2;CRYAB;OAT;ALDH2;ATP5MC1;ATP5F1B;HSP90AA1;UQCRH;FH;ANXA6;HSP90AB1;CYC1;GSTP1;SPARC;COX6C;IFI6;UBB;HSPA1B;COX5B;HSPD1;CLU;HSPA5;PDHB;ACADM;COX6A1;CKB;COX4I1;ETFA;PKM;COX6B1;GLUL;COX7C;GJA1;NDUFB7;ATP5PF;HK1;NDUFV2;SDHB;TGM2;UQCRC2;COX7A1;ATP5PB;ATP5F1A;PLN;STOM;MAPK3;APEX1;PSMB4;PRDX5;PRDX3;ATP5F1D;ECHS1;PPP2R1A;TSPO;SDHA;DNAJA1;UQCRC1;HSPA4;PHB1;BSG;MAP2K2;ATP5F1C;LONP1;DLST;HSPA9;MDH2;HADHA;LRPPRC;VDAC2;UQCRFS1;ATP5PO;IDH2;TUFM;ACADVL;NDUFV1;RAB7A;BCAP31;NDUFA8;MRPL12;PLAAT3;HADHB;ATP5MF;ROMO1;HSPE1;STXBP1;DYNLL1;RACK1;MRPS5;MRPS34;OGDH;FKBP4;SLC25A11;MRPL28;TARDBP;GPS2;SQSTM1;KARS1;OXA1L;PON2;MRPL51;COX20;MRPL54;LETMD1;NDUFA11;SLC44A2;SIRT2;MRPL41;CEND1;COQ8A;GADD45GIP1;CHCHD10;DDX1;FAM162A;MRPL24;MOAP1;PYCR2;PTCD3;COX14;ATP5MK;PHB2;SDHC;FEZ1;TXN2;ACO2;MRPL34;C1orf43;MRPL20;MRPS26;MAP1LC3B;GABARAPL1;ISCU;PTGES2;NGRN;TIMMDC1;MRPL40;ARGLU1;AURKAIP1;DDIT4;NDUFB11;MTCH1;MRPL15;NDUFA13;PFDN2;NDUFA12;ATP5IF1;AK3;NDRG4;NENF;HIGD1A;PRELID1;COA3;POLDIP2;GIT1;TMX2;FBXO7;ATG4B;TIMM13;MPC1;MRPS18B;NDUFB9;IFI27L2;RAF1;PRDX6;GPX4;COX8A;ECH1;HIGD2A;STOML2;EIF5B;GATD3;AARS1	Mitochondrion	206	1212	85.66852202107539	2.4046171819016764	28.051434713087964
GO:0022627	1.7352955641285373e-27	8.524923622902202e-30	RPSA;RPS2;RPS3;RPS12;RPS19;RPS27;RPS9;RPS5;RPS10;RPS20;RPS3A;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPS4X;RPS6;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPS27A;RPS21;RACK1;UBA52	Cytosolic Small Ribosomal Subunit	33	42	2.9687111591461766	11.115934906072521	26.76062654338732
GO:0005747	6.5353968952438e-23	3.567356383866703e-25	NDUFS8;NDUFA4;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;NDUFB7;NDUFV2;NDUFV1;NDUFA8;NDUFA6;NDUFA11;NDUFB11;NDUFA13;NDUFA12;NDUFB9	Mitochondrial Respiratory Chain Complex I	32	48	3.392812753309916	9.431702344546382	22.184728032539418
