	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0003723	1.5105116521647635e-85	3.351479148357585e-89	SUPT5H;SAP18;NOP56;HNRNPDL;CASC3;MRPS12;EIF3D;TPD52L2;ERI3;ACTN4;KIF1C;EIF1B;EIF5B;EDF1;CS;SF3B1;CSDE1;ERAL1;SNRNP200;EIF3G;ZRANB2;LUC7L3;NSA2;GOT2;ALDOA;HLA-A;HSPB1;RPN1;HMGN2;RPLP0;JUN;ENO1;NPM1;P4HB;H1-0;DCN;PFN1;HSP90AA1;HNRNPC;HSP90AB1;SRPRA;SNRNP70;RPSA;SNRPC;LGALS1;CNP;HNRNPA1;UBC;HSPA1B;TXN;HSPD1;HSPA8;PABPC1;IMPDH2;XRCC6;XRCC5;EEF2;TPT1;PKM;HSP90B1;SNRPB;HNRNPL;EZR;RPS2;H1-2;YBX3;DDX5;TCP1;RPL35A;RPL7;NELFE;RPL17;NCL;ANXA7;BTF3;CSRP1;FBL;HNRNPA2B1;SFPQ;PPIB;RPS3;EIF4B;RPS12;ATP5F1A;U2AF2;RPL13;RPL10;APEX1;CALR;MAP4;CANX;GRN;RPL12;PEBP1;PDIA3;POLR2B;HNRNPH3;HNRNPH1;STIP1;RPL9;CTNNA1;RPL22;GTF2F1;MYH9;ADD1;FUS;ATP5F1C;RPL4;SRP14;HSPA9;RPS19;RPL3;CCT6A;RPL13A;MDH2;EIF1;RPS27;LRPPRC;RPL35;MATR3;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;ARCN1;PRRC2A;RPL34;CCT3;TUFM;SRP9;SARS1;RPL14;CCT4;HDGF;HNRNPA3;HNRNPM;NCBP2;HNRNPF;RBM5;MRPL12;EIF5;PSMD4;VCP;HADHB;NAP1L1;ADAR;SNU13;HNRNPH2;EIF3B;PCBP4;EIF4A1;RPS20;PSMA6;RPS3A;RPL26;RPL15;RPL27;RPL37A;HSPE1;STXBP1;RPL37;SUMO2;HNRNPK;YWHAG;RPS7;PSMC1;RPS8;RPS15A;RPS16;YWHAE;RPS14;RPS23;RPS18;RPS13;RPS11;SNRPD2;TMSB4X;RPL7A;ETF1;CNBP;RPS4X;RPL23A;RPS6;RAN;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;PPIA;RPL41;RPS27A;YWHAZ;SUMO1;RPL38;RPS21;EIF5A;RACK1;YBX1;EEF1A1;RBM6;EIF4G2;MRPS5;RPL24;RPL36A;ARF1;ERH;RPL19;SRSF3;HDLBP;CLTC;FKBP3;HNRNPU;SPTBN1;SRSF2;EWSR1;RPL18A;FKBP4;RPL6;SLC25A11;EIF4G1;PRDX1;ZFP36L1;SRSF1;SSRP1;ILF2;MRPL28;TARDBP;HNRNPA0;SRSF9;SRSF5;SRSF6;TRIM28;PABPC4;SF3B2;PDAP1;DDX39B;CIRBP;EIF3A;UBAP2L;EIF4A2;RBM39;GANAB;EIF4H;PLEC;PCBP1;PCBP2;SAFB;SF1;MAPRE1;ZYX;RBBP7;HNRNPUL2;ARL6IP4;MRPL54;PRPF8;PABPN1;KTN1;GPBP1;RPS19BP1;DDX42;MRPL41;SELENOH;ZCCHC24;CPSF7;PRPF31;DDX1;H1-10;DDX17;MRPL24;CCDC124;PTCD3;HNRNPAB;NAP1L4;TRIR;RBM42;SF3B5;SRRT;POLDIP3;MRPL20;MRPS26;DDX24;NUCKS1;PNN;C11orf68;ZNF768;ZCCHC17;NGRN;NOP10;MRPL40;RTN4;DDX18;NHP2;NOP53;MRPL15;EIF3K;PUF60;RALY;SRRM2;PA2G4;RTRAF;EIF3L;FARSA;LUC7L2;SBDS;SF3B6;STRAP;RPL36;FAM32A;CFAP20;NELFCD;RPL18;EIF3I	Rna Binding	325	1351	95.49354228586868	3.403371497384427	84.82087592020775
GO:0003735	2.1599236498324007e-60	9.584751053172401e-64	MRPS12;MRPL33;NDUFA7;RPLP1;RPLP2;RPLP0;RPSA;RPS2;RPL35A;RPL7;RPL17;RPS3;RPS12;RPL13;RPL10;RPL12;RPL9;RPL22;RPL4;RPS19;RPL3;RPL13A;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPL7A;RPS4X;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;UBA52;RPL38;RPS21;MRPS34;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;MRPL28;MRPL51;MRPL41;RPL36AL;MRPL24;MRPL34;RPL36;MRPS18B;MRPL20;MRPL15;MRPL12;MRPS5;MRPL54	Structural Constituent Of Ribosome	93	157	11.097325047284517	8.380397943084205	59.66556160025765
GO:0005515	3.7648764729442786e-58	2.506019396235375e-61	SHTN1;PSD;PDLIM1;MYO1C;HAX1;AIP;APBB1;NDUFS8;PGRMC1;SUPT5H;CLIC1;WASL;SAP18;NDUFA4;BIN1;STK25;SDCBP;NOP56;NME4;SCD;SDHD;NDUFAB1;COPE;CTDSP2;AP3D1;ABLIM1;DVL1;STX16;CDIPT;PDCD5;TPP1;CPLX1;PSMA7;BCKDK;TAX1BP3;UBE2L6;MYL12B;HGS;HNRNPDL;SYNM;ARPC2;ARPC3;CASC3;MRPS12;TCAP;ATP6V0E1;EIF3D;ARPC5;TAPBP;PER1;PJA2;CYB5B;NDUFS4;PHF1;PSMD3;GPAA1;DAPK3;TPD52L2;AKR7A2;TGOLN2;LAMTOR5;TNFSF12;CHMP2A;NDUFB5;GET3;ACTN4;SGTA;ENSA;NARS1;SSNA1;CREB3;KIF1C;NDUFS5;RAD21;GNG7;NUPR1;SNX3;SELENOF;EIF1B;EIF5B;EDF1;CUTA;RAMP1;PFDN1;SDC3;DNAJB6;COQ9;NDUFS7;NDUFS2;ATP6V1G1;PTP4A3;NDUFS3;ECI2;TADA3;BANF1;SF3B1;CSDE1;ERAL1;SNRNP200;PPM1B;PPP1R15A;EIF3G;ARL6IP5;BCAS2;ATP5PD;FLOT1;SNCG;ZFAND5;IPO13;CAMTA2;CLSTN1;NDUFB6;GABARAP;NDUFA7;VAMP5;OAZ2;RTN3;ZRANB2;LUC7L3;NDUFC2;BRI3;AHSA1;CTDNEP1;CBX6;MPC2;AP2A1;TMEM50A;BAG3;CBX7;FAM107A;AGR2;NDUFB10;CLPTM1;LDHA;ALDH1A1;GLUD1;CYB5R3;SOD1;PGK1;A2M;CST3;HLA-DRA;HLA-DRB1;CRYAB;LMNA;APOE;MBP;PMP2;FTH1;MT2A;RAF1;ALDOA;PRNP;OAT;CD74;S100B;GAPDH;HLA-A;CAPNS1;MT1E;HSPB1;RPN1;GNAI2;ATP1A1;ATP1B1;APP;HMGN2;RPLP1;RPLP2;RPLP0;JUN;FABP3;ATP5MC1;KRT8;GSN;PTMA;ATP5F1B;S100A6;ENO1;GPI;NPM1;EPHX1;LDHB;P4HB;H1-0;CTSD;TUBB;DCN;PSAP;PFN1;APRT;CTSB;HSP90AA1;HNRNPC;UQCRH;FH;THBS1;RNASE1;COL1A2;ANXA6;RHOC;PFKM;HSP90AB1;CYC1;SNRNP70;ANXA5;RPSA;CD63;ENO2;ACAA1;GSTP1;SNRPC;LGALS1;SPARC;TPM1;CLTA;CLTB;CNP;HNRNPA1;COX6C;IFI6;UCHL1;ALDOC;H2AZ1;OST4;UBB;UBC;HSPA1B;CALM1;CALM2;CALM3;COX8A;RRAS;HLA-C;SPP1;TXN;COX5B;PRKAR1A;ESD;HSPD1;THRA;CLU;MYL2;HSPA5;HSPA8;PDHB;PYGB;LAMP1;PABPC1;PCNA;COX6A1;COL6A2;IMPDH2;CKB;XRCC6;XRCC5;COX4I1;IFITM1;NCAM1;ATP1A3;EEF2;TPT1;HLA-E;ETFA;CD59;GFAP;PRKCSH;COX7A2;ATP1B2;PKM;HSP90B1;SNRPB;HNRNPL;UQCRB;GLUL;AKR1B1;EZR;RPS2;CHN1;COX7C;TIMP2;PPP3CB;H1-2;ATP2A2;CPE;STMN1;YBX3;ZNF32;RHOQ;GJA1;JUND;NDUFB7;DES;GAP43;ENG;DDX5;PFKL;PSMC3;TCP1;RPL35A;ARF4;RPL7;EGR1;NELFE;RPL17;PGAM1;ATF4;ATP5PF;PAM;MYL12A;NCL;HK1;POLR2C;POLR2E;NDUFV2;ANXA7;BTF3;RAB3A;RAB6A;COX5A;OGN;PTN;ATP6V1B2;CSRP1;SDHB;CD9;TGM2;PCMT1;FBL;GPX3;NME2;HNRNPA2B1;IGFBP4;UQCRC2;SFPQ;PPIB;HRC;RPS3;JAK1;AHCY;CFL1;EIF4B;COX7A1;KDELR1;EEF1B2;ATP5PB;RPS12;BRD2;DNAJB2;ATP5F1A;MT3;NFKBIA;U2AF2;RPL13;EEF1G;PLN;FKBP2;STOM;YWHAQ;MAPK3;ATP6V0C;RPL10;APEX1;CALR;MAP4;CANX;PSMB4;PSMB6;PSMB5;DUSP1;GRN;ERP29;PRDX6;PRDX5;PRDX3;ATP5F1D;RPL12;ECHS1;PEBP1;PDIA3;PPP2R1A;SLC6A1;TSPO;SRI;POLR2B;SDHA;GDI1;MAT2A;SDC4;DNAJA1;UQCRC1;HNRNPH3;HNRNPH1;YWHAB;STIP1;PRDX2;RPL9;KIF5B;HSPA4;PFN2;CTNNA1;CTNNB1;PHB1;RPL22;GTF2F1;MYH9;ADD1;BSG;TIMP3;FUS;MAP2K2;ATP5F1C;ATP6V1E1;RPL4;LONP1;POLR2I;DLST;GPX4;SRP14;TAGLN2;TALDO1;HSPA9;RPS19;RPL3;DDOST;CCT6A;PSMB10;MDH1;HADHA;ID1;PTGDS;NBL1;EIF1;TSPAN7;ACTR1B;RPS27;LRPPRC;SLC1A3;SLC1A2;PAFAH1B1;MATR3;PSMC4;VDAC2;BAG6;CDKN1B;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;CAPZB;UQCRFS1;ATP5PO;ATP5MC3;ARCN1;CD151;PCP4;PSMD8;PRRC2A;CCT5;RPL34;CCT3;TUFM;SRP9;SARS1;CEBPD;PSMB2;ACADVL;TMED10;CLK1;VEGFB;HINT1;NDUFV1;EMD;ST13;PPT1;RPL14;CCT8;CCT4;ATP1A2;RAB5C;RAB7A;BCAP31;GPM6A;APLP1;CCNG1;NDUFA8;HNRNPA3;RND2;HNRNPM;NCBP2;ARHGDIA;HNRNPF;RBM5;MRPL12;CRIP2;AP2S1;PTTG1IP;POLR2K;PLAAT3;IST1;ATN1;OAZ1;HSPA2;RAD23A;NAPA;EIF5;PSMD4;TMBIM6;VCP;MFAP4;HADHB;NAP1L1;ADAR;SNU13;HNRNPH2;SUMO3;EIF3B;FCGRT;ARPP19;ATP5F1E;EIF6;SCAND1;FBXW4;ARPC4;CD81;TPI1;GABARAPL2;ROMO1;MYL6;ACTB;EIF4A1;RPS20;SNAP25;PSMA6;S100A10;CDC42;DSTN;RAB4B;UBE2D3;UBE2M;ACTR2;ACTR1A;ARF3;RPS3A;RPL26;RPL15;RPL27;ATP6V0D1;RPL37A;RHOA;HSPE1;SEC61A1;STXBP1;B2M;SUMO2;HNRNPK;YWHAG;RPS7;PPP1CA;PPP1CB;NCS1;PSMC1;PSMC5;RPS8;RPS15A;RPS16;UBE2H;YWHAE;RPS14;RPS23;RPS18;RPS13;RPS11;SNRPD2;BTG1;TMSB4X;RPL7A;ETF1;CNBP;RPS4X;PPP2CB;RHOB;RPL23A;RPS6;RAB1A;RAN;RPL23;UBE2D2;RPS15;RPS25;RPS26;RPS28;GNB1;POLR2L;GNB2;RPL30;RPL31;RPL10A;RPL11;RPL8;PPIA;FKBP1A;RPL41;BLCAP;RPS27A;UBA52;RAC1;VAMP2;YWHAZ;SUMO1;DYNLL1;RPL38;GNG5;RPS21;EIF5A;RACK1;ACTG1;TMSB10;YBX1;CSNK2B;TPM4;EEF1A1;TUBA1B;TUBB4B;RBM6;EIF4G2;CCT2;GSTO1;BLOC1S1;BTG2;MT1X;BASP1;RPL24;RPL36A;SMAD3;ARF1;ARF5;ERH;RPL19;SRSF3;HDLBP;CLTC;FKBP3;REEP5;HNRNPU;BEX3;SPTBN1;SET;SRSF2;CAP1;IFITM3;PFKP;EWSR1;OGDH;RPL18A;FKBP4;NUCB1;RPL6;SLC25A11;UBXN1;EIF4G1;GLO1;CD164;YWHAH;EEF1A2;CALD1;ATP5MC2;PTPN11;PSME1;APLP2;RING1;PRDX1;RPL18;ZFP36L1;KLC1;SRSF1;TLE5;LGALS3BP;DMTN;SSRP1;DMPK;LAMTOR4;KIF1A;SCRN1;PNRC1;KIF5A;ILF2;TAF10;PTP4A2;ECH1;FLII;MRPL28;TARDBP;CBX3;PSMD2;GPS2;NME3;SRSF9;SRSF5;SRSF6;TRIM28;PABPC4;EIF3I;ILK;SNTA1;SF3B2;OS9;PDAP1;PICALM;SQSTM1;PIN1;SERINC3;DCTN2;AAMP;SPTAN1;DDX39B;TUBB2A;CIRBP;CCNI;SCARB2;EIF3A;UBAP2L;MLEC;DPYSL3;DCTN1;EIF4A2;CTTN;FLOT2;NFE2L1;RBM39;SPARCL1;GANAB;CHD4;DRAP1;PSMD6;HERPUD1;LAPTM4A;MORF4L2;SEPTIN2;SNX17;DAZAP2;ARL6IP1;KARS1;EIF4H;OXA1L;PEA15;PMVK;PLEC;PTGES3;PTPA;ANKRD1;TMED2;PCBP1;PCBP2;ELOB;SAFB;TAF7;TESK1;SF1;TRIP10;HMGN3;MAPRE1;TSC22D1;MLF2;CCDC85B;VAMP3;USF2;RAB11B;ZYX;SEPTIN7;ADRM1;IGFBP7;PKN1;CDC37;DPYSL2;RBBP7;MEA1;GUK1;RTN1;UGP2;ATP6V1F;PFKFB3;MRPL51;RUNDC3A;GNAS;COX20;CERCAM;RNF187;INTS11;FAM171A1;TNS2;ARL6IP4;ANKRD40;IQSEC1;LAMTOR1;DENND5A;MZT2B;MRPL54;LETMD1;PRPF8;CPLX2;PAQR6;ATRAID;TMEM205;MPRIP;TUBA1A;MTSS2;RRAGA;COPS6;GRINA;HDDC2;DAAM2;PABPN1;KTN1;GPBP1;RPS19BP1;DDX42;NDUFA11;TRAPPC5;PLD3;HID1;PLEKHM2;TP53INP2;NELFCD;SIRT2;MRPL41;CEND1;MT1M;MTURN;ZNF664;SYNPO;MINK1;RNF10;CPSF7;PAF1;TXNDC5;PNMA1;COQ8A;GADD45GIP1;SMARCC2;RDH11;C18orf32;TRPC4AP;SLC22A17;CYB5D2;BRK1;PCNP;DNAJA4;SELENOM;PRPF31;CHCHD10;DDX1;SLC39A7;BAP1;AP3S1;NDRG1;ANP32B;HTRA1;KAT2A;DDX17;STMN2;TSR2;GTF3C6;MYDGF;IGSF8;RPL36AL;WBP2;FBXW5;ST6GALNAC6;FAM162A;ADIPOR1;KIAA1191;ISOC2;PNPLA2;PBXIP1;VPS33A;ARL8A;MOAP1;SARAF;PYCR2;PLEKHB2;OPTN;AP2M1;SHISA4;ANAPC16;CLIP3;REX1BD;PTCD3;MCRS1;SAT2;DYNLL2;OTUB1;BSCL2;PLPPR2;ATXN7L3B;MRFAP1L1;DDRGK1;COX14;TMEM141;CDK5RAP3;ZMAT2;ASB16;LENG8;SLC38A2;FNBP1;CCNL2;PPP1R9B;CEP89;CRBN;TBCB;PSMB7;ATP6V0B;PSMD1;PFDN5;SORT1;VAT1;TSC22D3;S100A13;DNAJC7;C12orf57;PHB2;SDHC;FEZ1;SEPTIN5;HNRNPAB;NAP1L4;TXN2;CIB1;PAIP2;NABP2;TRIR;TCF25;KLHDC3;BCL7B;DBNDD2;SDF4;MIEN1;ANAPC13;TMEM175;PRADC1;CNPY3;NDFIP1;SYT11;RBM42;NDUFAF3;MCRIP2;BBLN;EMC6;TUBB2B;TMED9;TMEM147;ELOVL1;SF3B5;SSBP3;JAM3;BTBD2;TMEM120A;SRRT;TMEM59;PACSIN1;DGCR6L;RTF2;SEC11C;POLDIP3;MRPL20;RBCK1;UBL5;PPP1R12C;TRIM8;UBXN6;YIPF3;ROGDI;MAP1LC3B;DDX24;PSME3IP1;MAF1;BTBD1;GABARAPL1;RAB1B;ISCU;TSPYL2;CDIP1;PNN;TTYH1;C11orf68;CHMP4B;CUEDC2;MAP1LC3A;WNK1;EPB41L1;ZNF768;ILRUN;RNF167;NRDE2;KAT8;PTGES2;ZFAND3;MAGEF1;BEX1;MKNK2;HHATL;CHMP1A;ZCCHC17;SSU72;NGRN;NOP10;TIMMDC1;ATP13A2;MRPL40;RTN4;NPDC1;ITM2C;STARD7;TCIM;SH3GLB2;PHPT1;SERINC1;GINM1;SERTAD4;LMBRD1;TMEM30A;ARL8B;DDX18;PLEKHJ1;BSDC1;ARGLU1;TMEM248;BEX4;AURKAIP1;CZIB;BABAM1;DDIT4;NDUFB11;NHP2;OCIAD1;CLDND1;TERF2IP;ANAPC11;TECR;PODXL2;STMN3;MTCH1;NOP53;CHMP5;MRPL15;NDUFA13;MARCHF2;RNF181;TMEM14C;CALCOCO1;NCDN;SAE1;UXT;DKK3;EIF3K;CTSZ;GABBR1;MORF4L1;HSPB7;PLEKHB1;ZBTB47;SS18L2;EGFL7;PFDN2;PUF60;ENOPH1;FEZ2;NDUFA12;RABAC1;TRMT112;VPS51;BAZ2B;ATP5IF1;AK3;GNPTG;HSPB8;STOML2;FBXO2;PILRB;RALY;PSME2;NDRG4;PRPF19;NENF;NDRG2;VPS4A;STUB1;MAGED2;SNX6;PPP6R1;SMG5;MAPK8IP3;USP22;MAPRE3;SRRM2;PA2G4;MAPK8IP1;RTRAF;POMP;PRELID1;EIF3L;NUDC;RASD1;CFL2;ERGIC3;FARSA;ITM2B;NISCH;COA3;POLDIP2;GIT1;TMX2;NSG2;LUC7L2;SBDS;SF3B6;RNF11;UFC1;CIAO2B;STRAP;FBXO7;TSC22D4;FAM32A;TLN1;ATG4B;RNF114;TIMM13;TRAPPC1;MPC1;MRFAP1;MRPS18B;AUP1;CFAP20;SPCS1;EID1;SELENOK;EPN1;WSB1;NDUFB9	Protein Binding	1142	12054	852.0201026749527	1.3403439618556456	57.42424926859974
GO:0008137	1.9390465784082256e-19	1.7209199719620373e-22	NDUFS8;NDUFA4;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFB10;NDUFB7;NDUFV2;NDUFV1;NDUFA8;NDUFA6;NDUFA12;NDUFB9	Nadh Dehydrogenase (ubiquinone) Activity	28	41	2.8980275601188867	9.661743865145073	18.712411758480496
GO:0045296	1.7598444645385726e-19	1.9523457560889423e-22	SHTN1;CLIC1;NOP56;AHSA1;BAG3;LDHA;ALDOA;ENO1;PFN1;HSP90AB1;HSPA5;HSPA8;EEF2;PKM;EZR;RPS2;PCMT1;EEF1G;PSMB6;PRDX6;YWHAB;KIF5B;CTNNA1;CTNNB1;MYH9;ADD1;BSG;TAGLN2;CAPZB;RPL29;RPL34;EMD;RPL14;CCT8;IST1;EIF5;RPL15;HNRNPK;YWHAE;RPL7A;RPL23A;RAB1A;RAN;RPS26;YWHAZ;RACK1;EIF4G2;RPL24;HDLBP;SPTBN1;PFKP;RPL6;CALD1;PTPN11;PRDX1;PICALM;SPTAN1;CTTN;SEPTIN2;EIF4H;PLEC;PCBP1;MAPRE1;RAB11B;SEPTIN7;MPRIP;KTN1;H1-10;NDRG1;FMNL2;CHMP4B;RTN4;SH3GLB2;ARGLU1;CHMP5;PUF60;NUDC;TLN1	Cadherin Binding	78	306	21.629181302350716	3.6062391317383224	18.754525713536708
GO:0031625	2.504393660668237e-16	3.334005317064438e-19	APBB1;CASC3;PER1;NDUFS2;GABARAP;JUN;GPI;TUBB;HSP90AA1;HSP90AB1;UCHL1;HSPA1B;PRKAR1A;HSPD1;CLU;HSPA5;HSPA8;CKB;XRCC5;TCP1;JAK1;NFKBIA;ATP6V0C;CALR;PRDX6;DNAJA1;UQCRC1;HSPA9;LRPPRC;BAG6;RPL5;TMBIM6;VCP;TPI1;GABARAPL2;SUMO2;YWHAE;RPL23;RPL11;YWHAZ;SUMO1;ACTG1;TUBA1B;CCT2;SMAD3;UBXN1;TRIM28;SQSTM1;PCBP2;ELOB;RRAGA;MOAP1;OTUB1;PSMD1;SYT11;MAP1LC3B;GABARAPL1;MAP1LC3A;RTN4;STUB1;SMG5;PA2G4;FBXO7;AUP1;UBB;UBC;RPS27A;UBA52;UBE2L6	Ubiquitin Protein Ligase Binding	69	279	19.720724128613888	3.49885732136398	15.60129740420823
GO:0051082	7.220806572383465e-16	1.1214920347611329e-18	AIP;HSPB6;TAPBP;PFDN1;DNAJB6;CRYAB;NPM1;HSPA1B;HSPD1;CLU;HSPA5;HSPA8;PPIB;DNAJB2;CALR;CANX;DNAJA1;HSPA9;HSPA2;HSPE1;PPIA;TUBB4B;CCT2;PTGES3;DNAJA4;PFDN5;NAP1L4;PFDN2;HSPB1;TCP1;CCT3;CCT6A;CCT8;HSP90AB1;NUDC;HSP90AA1;NACA;HSP90B1;CDC37;CCT5;CCT4	Unfolded Protein Binding	41	111	7.845879492029181	5.22567292062705	15.141414288528592
GO:0044183	2.783784810853291e-10	4.941264363618e-13	PFDN1;CD74;HSPB1;HSP90AA1;HSP90AB1;HSPA1B;TCP1;CALR;CCT6A;CCT5;CCT3;CCT8;CCT4;CCT2;PFDN2;HSPA2;HSPA9;HSPA5;HSPA8;DNAJB6	Protein Folding Chaperone	20	39	2.756660362064307	7.255155649651062	9.555364339130076
GO:0003729	5.765686698633724e-09	1.151346356505514e-11	CASC3;LUC7L3;HSP90AA1;SNRPC;PKM;RPS2;RPL7;RPS3;CALR;RPS5;NCBP2;RBM5;EIF4A1;RPS13;RPS26;YBX1;EIF4G1;ZFP36L1;SRSF1;PCBP1;HNRNPAB;PAIP2;SF3B6;STRAP;CNBP;RPL35;PCBP2;SRRM2;PCBP4;SNRNP70;HNRNPL;SF3B1;SUPT5H;HNRNPK;CPSF7;HNRNPM;SRSF6;MRPL12;RPL24;POLDIP3;EIF3A;SRSF5;RPL13A;EIF4G2;LUC7L2;SF1;HDLBP	Mrna Binding	47	212	14.984922993785464	3.1364859211816976	8.239148960413177
GO:0046933	5.502856457905711e-08	1.2209577230764833e-10	ATP5PD;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP6V0C;ATP5F1D;ATP5F1C;ATP5PO;ATP5MF;ATP5F1E	Proton-transporting Atp Synthase Activity, Rotational Mechanism	11	14	0.9895703863820589	11.115934906072521	7.25941181561925
