	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0030270	2.982335271654712e-19	3.325900827093467e-23	TSR2;RPL35;RPL5;RPL11;RPL15;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS19;RPS20;RPS24;RPS24;RPS26;RPS27;RPS28;RPS29;RPS29	Elevated Red Cell Adenosine Deaminase Level	24	27	1.9084571737368279	12.575603126061841	18.525443535113478
HP:0012133	2.3927739754708817e-19	5.336843928785283e-23	TSR2;RPL35;RPL35;RPL5;RPL11;RPL15;RPL18;RPL18;RPL26;RPL27;RPL31;RPL35A;RPL35A;RPS7;RPS10;RPS14;RPS14;RPS15A;RPS15A;RPS19;RPS20;RPS24;RPS26;RPS27;RPS28;RPS29	Erythroid Hypoplasia	26	32	2.2618751688732774	11.494887232415902	18.621098323468402
HP:0002490	1.8942849829237891e-19	6.337520852873165e-23	MRPS34;LONP1;TXN2;TXN2;COX4I1;NDUFAF3;NDUFAF3;COX6B1;COX8A;COX20;ECHS1;ECHS1;NDUFA13;LRPPRC;LRPPRC;TIMMDC1;COX14;NDUFA11;MDH2;NDUFA1;NDUFA2;NDUFA4;NDUFA4;NDUFA6;NDUFA8;NDUFB3;NDUFB8;NDUFB8;NDUFB9;NDUFB10;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NDUFB11;NDUFS7;NDUFS7;SDHA;NDUFA12;COQ8A	Increased Csf Lactate	51	127	8.976817076465819	5.681301018565341	18.722554683621638
HP:0001895	8.57802843053393e-18	3.826487534530581e-21	TSR2;ALDOA;RPL35;HK1;RPL5;RPL11;RPL15;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS20;RPS24;RPS26;RPS27;RPS28;RPS29;SRSF2;SF3B1;TPI1;UQCRFS1	Normochromic Anemia	27	38	2.685976763037017	10.052209077740223	17.066612518693407
HP:0001639	6.97314096878626e-17	3.888224026311063e-20	ACADVL;ADAR;ATP5F1E;AIP;AIP;BCL7B;BAG3;NDUFAF3;NDUFAF3;COX6B1;CRYAB;DES;ECHS1;NDUFA13;LRPPRC;BSCL2;BSCL2;EMD;TIMMDC1;ATP5MK;HADHA;COX14;NDUFA11;NDUFA11;LMNA;LMNA;LMNA;MYL2;NDUFA1;NDUFA2;NDUFA2;NDUFA4;NDUFA6;NDUFB3;NDUFB8;NDUFB9;NDUFB10;NDUFS2;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NDUFV2;NDUFB11;NDUFB11;PPP1CB;MAP2K2;MAP2K2;NDUFS7;NDUFS7;PTPN11;PTPN11;PTPN11;RAF1;RAF1;RAF1;SDHA;SDHA;SDHA;SDHB;SDHD;NDUFA12;TPI1;TPM1;UQCRFS1;EIF4H;VPS33A;VPS33A	Hypertrophic Cardiomyopathy	79	313	22.123966495541744	3.5707882678234704	16.15657155502351
HP:0001227	6.696698418054603e-16	4.480895562431986e-19	TSR2;RPL35;RPL5;RPL11;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS20;RPS24;RPS26;RPS27;RPS28;RPS29	Abnormality Of The Thenar Eminence	20	23	1.6257227776276681	12.302220449408324	15.174139258824592
HP:0020118	5.740027215475374e-16	4.480895562431986e-19	TSR2;RPL35;RPL5;RPL11;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS20;RPS24;RPS26;RPS27;RPS28;RPS29	Radial Artery Aplasia	20	23	1.6257227776276681	12.302220449408324	15.241086048455205
HP:0001896	7.997007883442493e-16	7.134611694829926e-19	TSR2;SBDS;RPL35;RPL5;RPL11;RPL15;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS19;RPS20;RPS24;RPS24;RPS26;RPS26;RPS27;RPS28;RPS29	Reticulocytopenia	26	40	2.827343961091597	9.195909785932722	15.097072475855454
HP:0005532	2.4690591893814337e-15	2.478145723701673e-18	TSR2;RPL35;RPL5;RPL11;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS20;RPS24;RPS26;RPS27;RPS28;RPS29	Macrocytic Dyserythropoietic Anemia	20	24	1.696406376654958	11.789627930682977	14.607468498843431
HP:0000185	6.135421970134878e-15	6.842223675850204e-18	TSR2;DVL1;GNB2;RPL35;RPL5;RPL11;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS20;RPS24;RPS26;RPS27;RPS28;RPS29;SNRPB;UBB	Cleft Soft Palate	24	36	2.544609564982437	9.431702344546382	14.212155562847485
HP:0002415	2.6198119827329577e-14	3.213776269662377e-17	ADAR;ADAR;NDUFAF3;NDUFAF3;COX6B1;ECHS1;NDUFA13;TIMMDC1;HSPD1;NDUFA11;KARS1;NDUFA1;NDUFA2;NDUFA4;NDUFA6;NDUFB3;NDUFB8;NDUFB9;NDUFB10;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;PYCR2;NDUFB11;NDUFS7;NDUFS7;PSAP;PSAP;PSAP;SDHA;SDHB;SPTBN1;NDUFA12;TUFM	Leukodystrophy	46	136	9.612969467711428	4.78520192480662	13.581729875776281
HP:0012410	3.408832243951454e-14	4.561836392039416e-17	TSR2;RPL35;RPL5;RPL11;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS15A;RPS19;RPS20;RPS24;RPS26;RPS27;RPS28;RPS29	Pure Red Cell Aplasia	20	26	1.8377735747095378	10.882733474476595	13.467394370821227
HP:0000465	8.215755485181217e-14	1.1910875577936413e-16	TSR2;ACTB;ACTG1;ACTG1;CDC42;CDC42;CHN1;CPLX1;RPL35;LMNA;PPP1CB;PPP1CB;MAP2K2;MAP2K2;PTPN11;PTPN11;PTPN11;PTPN11;RAF1;RAF1;RAF1;RAF1;RPL5;RPL11;RPL15;RPL18;RPL26;RPL27;RPL31;RPL35A;RPS7;RPS10;RPS10;RPS15A;RPS19;RPS19;RPS20;RPS24;RPS24;RPS26;RPS27;RPS28;RPS29;RRAS;SNRPB;SNRPB;STXBP1;TPM2;TPM2	Webbed Neck	49	157	11.097325047284517	4.41547848614114	13.085352494558872
