	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP477	6.704128656794204e-60	8.938838209058939e-63	RPS25;RPL24;RPL27;RPS27;RPL26;RPS26;RPL27A;RPS28;RPL23;RPS27A;RPL30;RPL29;RPL28;RPS29;RPS4X;FAU;RPL13A;RPS5;RPS6;RPS21;RPS24;RPS23;RPL35;RPL34;RPL3;RPL35A;RPL37A;RPL4;RPS7;RPL37;RPS9;RPL38;RPS8;RPL5;RPL36;RPL31;RPL32;RPSA;RPL10A;RPLP0;RPL7A;RPL9;RPL14;RPS15A;RPL8;RPLP1;RPL11;RPL10;RPL13;RPL12;RPL41;RPL36A;RPL6;RPS11;RPS10;RPS13;RPL7;RPS12;RPS15;RPS14;RPL18A;RPL18;RPL21;RPS3;RPL19;RPS2;RPL22;RPS19;UBA52;RPS3A;RPS18;RPL23A;RPS20;RPLP2;RPL17;RPL15;RPS16	Cytoplasmic Ribosomal Proteins	77	88	6.220156714401513	12.379109327217124	59.173657659890964
WP111	1.0161411298160557e-36	2.7097096795094817e-39	NDUFA1;NDUFA2;COX6B1;COX6A1;NDUFS8;NDUFV2;UQCRQ;ATP5F1D;ATP5F1E;NDUFA12;NDUFS2;ATP5PB;ATP5MC1;ATP5MC2;NDUFS3;NDUFV1;ATP5MC3;NDUFS4;NDUFS5;NDUFS6;COX8A;COX7C;COX7A2;COX7A1;COX6C;ATP5PF;UQCR10;NDUFA4;ATP5IF1;ATP5F1A;ATP5PO;NDUFS7;ATP5PD;COX5A;SDHA;SDHC;SDHB;SDHD;UQCR11;ATP5MF;UQCRC2;UQCRC1;UQCRFS1;UQCRH;UQCRB;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;NDUFA6;NDUFA7;NDUFA8;COX4I1;NDUFB10;NDUFC1;NDUFC2;NDUFB4;ATP5F1B;NDUFB5;NDUFB6;NDUFB7;COX5B;ATP5F1C;NDUFB8;NDUFB9	Electron Transport Chain: Oxphos System In Mitochondria	65	98	6.926992704674412	9.383581414217064	35.99304596956805
WP623	6.848990833588469e-22	2.739596333435388e-24	NDUFA2;NDUFS8;NDUFV2;NDUFA11;ATP5F1D;ATP5F1E;ATP5PB;NDUFS2;ATP5MC1;ATP5MC2;NDUFS3;ATP5MC3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;ATP5MF;ATP5PF;NDUFA4;NDUFAB1;NDUFB1;NDUFB2;ATP5F1A;ATP5PO;NDUFA6;NDUFS7;NDUFA7;NDUFA8;ATP5PD;NDUFB10;NDUFC1;NDUFC2;NDUFB4;NDUFB5;ATP5F1B;NDUFB6;NDUFB7;NDUFB8;NDUFB9	Oxidative Phosphorylation	39	58	4.099648743582815	9.51301012337868	21.164373415031832
WP4396	4.103341043791527e-19	2.1884485566888143e-21	NDUFA1;NDUFA2;COX6B1;NDUFS8;COX6A1;NDUFV2;NDUFA11;UQCRQ;CDC42;NDUFA12;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;COX8A;COX7C;ADIPOR1;COX7A2;COX7A1;COX6C;UQCR10;NDUFA4;NDUFS7;NDUFB11;COX5A;SDHA;SDHC;SDHB;SDHD;UQCR11;CYC1;JUN;UQCRC2;UQCRC1;UQCRFS1;UQCRH;UQCRB;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;NDUFA6;NDUFA7;RAC1;NDUFA8;NDUFB10;COX4I1;NDUFC1;NDUFC2;ATF4;NDUFA13;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;COX5B;NDUFB9	Nonalcoholic Fatty Liver Disease	60	145	10.249121858957038	5.854160075925341	18.386862385718572
WP4324	7.543687795840746e-13	5.029125197227163e-15	NDUFA1;NDUFA2;NDUFV2;NDUFA12;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;NDUFAF3;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;TIMMDC1;NDUFA6;NDUFA7;NDUFA8;NDUFB11;NDUFB10;NDUFC1;NDUFC2;NDUFA13;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9	Mitochondrial Complex I Assembly Model Oxphos System	30	56	3.9582815455282354	7.579046526867629	12.12241629367334
WP183	8.345590104895107e-13	6.676472083916086e-15	PSMD6;UBE2D3;UBE2D2;UBC;PSMB10;HLA-E;PSMD1;PSMD2;PSMD3;PSMC1;PSMC3;PSMC4;PSMC5;UCHL1;PSMD13;H2AZ1;PSMD4;PSMD8;PSMB2;PSMB4;PSMB5;PSMB6;PSMB7;UBB;RPN1;HLA-C;HLA-A;PSME1;PSMA6;PSMA7;PSME2	Proteasome Degradation	31	60	4.241015941637396	7.309569317023445	12.078542949549275
WP3888	2.0917761909216976e-10	1.952324444860251e-12	CLTC;FLII;CSRP1;RPL10A;CALR;PSMD4;MYH9;IDH2;MYO1C;CTNNA1;GJA1;DNAJA1;MYL2;MAP2K2;HSP90AA1;HSPB1;CTNNB1;CAPZB;CNP;GAPDH;NFKBIA;NAP1L1;EWSR1;PBXIP1;CRIP2;PTMA;RAC1;RAF1;ENG;AP2S1;STIP1;NCL;PTPN11;CDC42;HTRA1;CFL1;CLIC1;IGFBP7;ATP6V1E1;SARS1;SET;RPL13A;PFN1;PGK1;MAPK3;YWHAE;BSG;PGD;HERPUD1;RPS11;EZR;SLC25A11;PPP1CA;ATF4;ALDOA;NAPA;P4HB;EIF3D;RPL5;EPN1;ARF4;RPL7;RPL18A;SDCBP;TMOD1;TMSB4X;UBAP2L;RHOA;RHOC;RPL27;PRDX2;RPL26;BIN1;AP2A1;ACTG1;NDRG1;EGR1;RACK1;PABPC1;RPLP2;RBM39;PRDX6;RPS6;ATP6V0D1;TXN;TXNDC5;EIF4G2;EIF4G1;LDHA;CCDC124;HGS;GLUD1;JUN;TMSB10;TPP1	Vegfa-vegfr2 Signaling Pathway	95	420	29.687111591461765	3.2000418668996655	9.679484784550182
WP534	1.3002419206657954e-08	1.3869247153768485e-10	TPI1;PGAM1;MDH1;MDH2;ALDOC;GPI;LDHA;MPC1;ENO2;PFKP;PKM;GOT2;GOT1;PGK1;PFKL;PFKM;ENO1;HK1;MPC2;ALDOA;GAPDH;LDHB	Glycolysis And Gluconeogenesis	22	44	3.1100783572007566	7.073776758409786	7.885975836127376
WP4629	2.1704915474313184e-07	2.604589856917582e-09	PGK1;GPI;TPI1;LDHA;ALDOA;GAPDH;PFKM;ENO1;PKM;HK1	Aerobic Glycolysis	10	11	0.7775195893001892	12.861412288017792	6.663441901099681
WP4290	2.1839653772505137e-07	2.911953836334018e-09	PDHB;PGAM1;PYCR2;FH;MDH2;SDHB;GLUD1;GPI;LDHA;PKM;GOT2;ACO2;TALDO1;IDH2;PGK1;PFKL;ENO1;DLST;GAPDH;PGD	Metabolic Reprogramming In Colon Cancer	20	42	2.9687111591461766	6.736930246104558	6.660754250852024
WP107	2.0772993489071088e-07	3.046705711730426e-09	EIF4B;ETF1;EIF4A2;EIF4A1;EEF2;EEF1G;EEF1B2;EIF3B;EIF3A;EIF3G;EIF6;EIF3D;EIF5A;EIF5;EIF4G1;EIF5B;EIF4H;EEF1A2;EIF3I;EEF1A1;PABPC1;EIF1	Translation Factors	22	50	3.534179951364496	6.2249235474006115	6.682500915014803
WP2359	2.729072809100786e-07	4.366516494561258e-09	PSMD6;TUBB2A;TUBB;HSPA9;HSPA8;SEPTIN5;TUBA1B;TUBB4B;PSMD1;PSMD2;PSMD3;TUBA1A;PSMC1;PSMC3;PSMC4;PSMC5;UBE2L6;STUB1;PSMD13;PSMD4;TUBB2B;PSMD8;HSPA2;HSPA1B;HSPA5;HSPA4	Parkin-ubiquitin Proteasomal System Pathway	26	68	4.806484733855714	5.409358697607484	6.563984877606433
WP411	5.770287008404159e-07	1.0001830814567208e-08	RBM39;NCBP2;SNRNP70;SNRPB;CLK1;SF3B1;SNRPD2;YBX1;PRPF8;SF3B2;SRSF9;SFPQ;U2AF2;SRSF5;SRSF6;SUPT5H;DDX1;SNU13;SRSF2;SRSF1;TMED10;SRSF3;RBM5;PABPN1;HNRNPA1;HNRNPA2B1;HNRNPM;HNRNPH2;HNRNPH1;HNRNPC;HNRNPAB;FUS;HNRNPU;HNRNPL;HNRNPK;PCBP2;SF3B5	Mrna Processing	37	125	8.83544987841124	4.187675840978594	6.238802584926375
WP2272	9.294898105174282e-07	1.7350476462991994e-08	NCL;ARPC4;ARPC5;ARPC3;TUBB2A;TUBB;CTNNB1;CDC42;TUBA1B;YWHAQ;TUBB4B;YWHAZ;ARPC2;WASL;TUBA1A;ACTB;ACTG1;ARPC1A;TUBB2B;EZR;RHOA;CTTN	Pathogenic Escherichia Coli Infection	22	54	3.8169143474736558	5.763818099445011	6.031755366796128
