	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0032543	3.1673693749523597e-18	2.529039743654072e-22	MRPS12;GATC;GATB;NDUFA7;MRPL19;MRPL12;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS11;MRPS15;MRPS34;MRPL49;MRPL2;MRPL21;MRPL55;MRPL10;MRPL41;MRPL50;MRPS27;MRPS31;MRPL24;MRPL38;MRPS24;PTCD3;MRPL34;MRPL57;MRPL32;MRPL13;MRPL4;MRPL1;QRSL1;MRPL46;MRPL44;MRPS30;MRPL40;MRPS18A;MRPL39;FASTKD2;MRPL35;MRPL15;MRPL36;MRPL27;MRPS33;MRPS28;MRPS17;MRPS2;MRPL11;MRPS18C;MRPS23;MRPS18B;MTG1	Mitochondrial Translation	54	93	13.445541349732967	4.016201251805489	17.499301286754598
GO:0042776	3.692824407146913e-17	5.897196434281241e-21	NDUFS8;SDHD;NDUFAB1;NDUFS4;NDUFB5;NDUFC1;NDUFA2;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;ATP5MG;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;ATP5F1B;ATP5PF;NDUFV2;SDHB;ATP5PB;ATP5F1A;NDUFS1;ATP5F1D;SDHA;ATP5F1C;ATP5PO;NDUFV1;NDUFA8;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFA11;SDHC;NDUFB11;NDUFA12;STOML2;NDUFB9	Proton Motive Force-driven Mitochondrial Atp Synthesis	42	63	9.1082699465933	4.611194029850746	16.43264134244926
GO:0009060	1.4974189004880463e-16	3.586918477694138e-20	NDUFS8;NDUFAB1;NDUFS4;NDUFB5;NDUFC1;NDUFA2;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;UQCRH;NDUFV2;UQCRC2;NDUFS1;ATP5F1D;UQCRC1;MDH2;NDUFV1;NDUFA8;UCN;NDUFV3;NDUFA6;COX10;OXA1L;SURF1;NDUFA5;NDUFA9;ME3;NDUFA11;SDHC;PANK2;NDUFB11;NDUFA12;NDUFB9;SDHB	Aerobic Respiration	42	65	9.397421373469278	4.469311136624569	15.824656689489094
GO:0032981	8.531195318513756e-14	2.72475098004272e-17	NDUFS8;NDUFAB1;NDUFS4;NDUFB5;NDUFC1;NDUFA2;NDUFS7;NDUFS2;NDUFB1;NDUFS3;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFC2;NDUFS1;NDUFA8;NDUFA6;OXA1L;TAFAZZIN;NDUFA5;NDUFA9;NDUFAF5;NDUFAF7;NDUFA11;NDUFAF2;NUBPL;FOXRED1;DMAC1;ECSIT;TIMM21;DMAC2;NDUFB11;NDUFAF4;NDUFA12;NDUFB9;TMEM126A	Mitochondrial Respiratory Chain Complex I Assembly	37	59	8.529967092841344	4.3376486213002785	13.068990114920918
GO:0006120	6.874363203624123e-10	2.7444758877451784e-13	NDUFS8;NDUFAB1;NDUFS4;NDUFB5;NDUFC1;NDUFA2;COQ9;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;DLD;NDUFV2;NDUFS1;NDUFV1;NDUFA8;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFB9	Mitochondrial Electron Transport, Nadh To Ubiquinone	28	45	6.5059071047095	4.303781094527363	9.16276752585566
GO:0006099	5.864349959778046e-07	2.8094937526883003e-10	SDHD;IDH3B;PDHA1;DLAT;PDHB;SDHB;SDHA;IDH2;IDH3A;SUCLG1;MRPS36;NNT;DHTKD1;SDHC;ACO2;SUCLA2;OGDH;MDH2;SDHAF2;ACO1	Tricarboxylic Acid Cycle	20	31	4.481847116577655	4.462445835339432	6.231780120722749
GO:0009083	7.140836912533889e-05	3.991205556350784e-08	BCKDK;DLD;DBT;BCKDHA;BCKDHB;IVD;ALDH6A1;HIBCH;MCCC1;MCCC2	Branched-chain Amino Acid Catabolic Process	10	11	1.5903328478178778	6.2879918588873815	4.1462508855354265
GO:0006635	9.202283076031293e-05	5.8781750725207874e-08	PEX7;ECI2;ACADM;ACADS;CPT2;HADHA;LEP;ACAA2;CPT1A;PEX5;HSD17B4;HADHB;EHHADH;DECR1;HADH;ACAD10;MTLN;CPT1B;HSD17B10;BDH2;ABCD4	Fatty Acid Beta-oxidation	21	42	6.072179964395533	3.45839552238806	4.036104411316012
GO:0006631	0.0001718384565432229	1.234865944497769e-07	CYP1A1;PCCA;PCCB;TH;GGT1;TNXB;PRKAR2B;CYP2J2;ACSF3;THEM4;PM20D1;MECR;PNPLA8;HACL1;CRYL1;ANGPTL3;ECI2;GPAT2;ACOT2;ACSF2;PPARG;HSD17B10;CPT1B;ACBD4;ACOT1;GPAM;DECR2;GNPAT;CPT1A;PPARA;ACOT4	Fatty Acid Metabolic Process	31	81	11.7106327884771	2.6471669430624654	3.76487963680556
GO:0007007	0.0001820108339693031	1.4532963427762944e-07	OPA1;HSPA9;MTX1;IMMT;MICOS10;APOO;GHITM;DNAJC11;CHCHD3;SAMM50;MAIP1;TAFAZZIN;TMEM11	Inner Mitochondrial Membrane Organization	13	19	2.746938555321789	4.7325412411626075	3.7399027604047657
