	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0005739	4.413272809293172e-67	2.408991708129461e-70	TMEM223;TK2;HRK;NDUFS8;PDHX;POLRMT;SDHD;NDUFAB1;PHYH;BCKDK;RAB29;TRIM24;BCAT2;NDUFS4;PRODH;HTRA2;NDUFB5;GATC;IDH3B;PRKN;OPA1;CIDEA;RAB11FIP3;COQ9;NDUFS2;NIPSNAP2;NDUFB1;ERN1;NDUFS3;ECI2;GCAT;GATB;ATP5MG;CLPX;MFN2;NDUFA3;NDUFB4;NDUFB8;NDUFA7;ZNF205;NDUFC2;FARS2;MPC2;MLYCD;AIFM1;TRUB2;TOMM40;GOT2;PCCA;ATP5MC1;ATP5F1B;TH;UQCRH;PDHA1;CYC1;DLD;COX6C;BCL2;DLAT;HSPD1;GHR;PDHB;DBT;ACADM;PC;MTHFD1;BCKDHA;ETFA;ARSB;COX7C;ACADS;TMEM11;ATP5PF;NDUFV2;MAOA;ACO1;SDHB;BCKDHB;MMUT;UQCRC2;S100A1;CPT2;ATP5PB;ATP5F1A;IVD;AK4;NDUFS1;PRDX5;PRDX3;ATP5F1D;PPP2R1A;SDHA;UQCRC1;ATP7B;ATP5F1C;LONP1;ETFB;HSPA9;MDH2;HADHA;LRPPRC;ACAA2;CRAT;TSFM;ABCG1;VDAC2;MAPK8;MAPK9;MTIF2;UQCRFS1;ATP5PO;PPP3CC;GCLC;AMT;IDH2;MRPL19;TUFM;HARS2;ACOT2;NDUFV1;IDH3A;CPT1A;PEX5;ALDH5A1;NDUFA8;HK2;MRPL12;SUCLG1;HCCS;HADHB;OXCT1;NDUFV3;TIMM10;NTHL1;ABAT;MRPS22;MRPS25;MRPS5;MRPS36;MRPS11;MRPS15;MRPS34;CYCS;PLIN5;DHODH;OGDH;ALDH6A1;BDH1;PTS;PMPCA;GRSF1;COX10;MRPL49;NNT;RIPK1;ALKBH1;ENDOG;FASTKD3;OXA1L;PDK2;STK11;KCNJ8;FXN;TAFAZZIN;DECR1;KYNU;CLPP;TST;ME3;HADH;IMMT;HKDC1;MTERF2;CRY2;NADK2;ACSF3;FASTKD1;BOLA3;WDR81;LRRC10;EARS2;PITRM1;COA6;COX20;VARS2;DNLZ;THEM4;MRPL2;DCAF8;NDUFAF5;MICOS10;MTARC1;NAIF1;TTC19;CIAPIN1;GLYAT;GRAMD4;ACAD10;GPAT2;HIBCH;RPUSD3;LETMD1;FDX2;FAHD1;DARS2;SARM1;HSDL2;USP30;COX15;NDUFAF7;FASTKD5;MRPL21;MTERF4;MRPL55;MRPL10;GLRX5;ATG4D;USP48;LDHD;NUDT13;NIT1;NDUFA11;HSCB;MRPL41;SUPV3L1;RBFA;CLYBL;NDUFAF2;PPM1K;TCAIM;GTPBP8;PNKD;FTMT;CHCHD4;OXR1;MRPL50;PDPR;MTLN;GIMAP8;TRPV1;NUBPL;FAM110B;PTCD2;NUDT8;SYNE2;CHCHD10;DDX1;CPT1B;MRPS27;MRPS31;JARID2;GCDH;FBXW7;TBRG4;FAM162A;MRPL24;TMEM143;COA7;FOXRED1;DNAJC19;MTFMT;MRPL38;MTERF3;SIRT1;MALSU1;DNAJA3;PTCD3;FMC1;PGAM5;DHTKD1;COX14;ATP5MK;MCCC1;TIMM17A;SDHC;HSD17B10;TXN2;MIPEP;ACO2;NIPSNAP1;MRPL34;ELAC2;ECSIT;MRPL57;ANTKMT;AIFM2;TACO1;FEM1A;TMEM70;APOO;BDH2;MECR;TRMT61B;HINT2;BCL2L13;PECR;MRPL32;MRPL13;MRPL4;AGXT2;BCO2;IFIH1;PANK2;AMBRA1;SLIRP;TMEM126A;QRSL1;ISCU;PPA2;MRPL46;GHITM;TFB2M;OPA3;ACSS3;DCTPP1;PTGES2;MRPL44;RSAD1;GRPEL1;CAPN10;MCCC2;TXNRD2;PNPLA8;SARS2;MRPS30;MRPL40;MIEF1;SPHK2;GLRX2;C19orf12;DNAJC11;MRPS18A;MTPAP;RMND1;NDUFB11;SDHAF2;CHCHD3;COA4;MRPL39;FASTKD2;CISD1;MRPL35;COQ3;MRPL15;NDUFAF4;MRPL36;MRPL27;MTRES1;SPATA7;SUCLA2;PEMT;MTRF1L;WARS2;AMACR;NDUFA12;MUTYH;ATP5IF1;AK3;MTUS1;NFU1;TRAK1;SPG7;MRPS28;COA3;POLDIP2;COQ6;MRPS2;MRPL11;MRPS23;BOLA1;USP15;ATG4B;AFG3L2;SAMM50;CERT1;MPC1;HEBP2;PUS1;MRPS18B;NFS1;SIRT4;NDUFB9;GLRX;MRPS33;GFM1;HAGH;ACSS1;TUSC2;MTRF1;ATPAF2;RTN4IP1;PCCB;MRPS10;HIBADH;BID;MRRF;MPV17L2;SURF1;MTHFS;IFI27L1;TWNK;TMEM65;MTFP1;PDE12;ATPAF1;MTG1;HIGD2A;STOML2;DTYMK;ISCA1;BCL2L11;NDUFA9;GATD3;COX7B2;COQ10A;NAXE;GSTK1;COX7B;GUF1	Mitochondrion	419	1244	179.85218751685818	2.3296908744061047	66.35523922553068
GO:0005743	3.62399352928367e-54	3.9563248136284606e-57	NDUFS8;SDHD;NDUFAB1;UQCR11;MRPS12;NDUFS4;PRODH;NDUFB5;NDUFC1;NDUFA2;OPA1;COQ9;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;GCAT;ATP5MG;CLPX;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;MPC2;AIFM1;TOMM40;CYP1A1;ATP5MC1;ATP5F1B;UQCRH;CYC1;COX6C;HSPD1;COX7C;ATP5PF;NDUFV2;COX5A;SDHB;UQCRC2;CPT2;COX7B;ATP5PB;ATP5F1A;NDUFS1;ATP5F1D;SDHA;UQCRC1;ATP5F1C;HSPA9;HADHA;CRAT;UQCRFS1;ATP5PO;ATP5MC3;MRPL19;NDUFV1;NDUFA8;MRPL12;HCCS;HADHB;NDUFV3;ATP5MJ;NDUFA6;TIMM10;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS36;MRPS11;MRPS15;MRPS34;CYCS;DHODH;ATP5MC2;PMPCA;COX10;MRPL49;NNT;TAFAZZIN;NDUFA5;NDUFA9;IMMT;LETM2;MPV17L2;COQ5;COX20;THEM4;MRPL2;NDUFAF5;MICOS10;TTC19;LETMD1;TMEM65;COX15;MRPL21;CYP2U1;MRPL55;MRPL10;LDHD;NDUFA11;MRPL41;NDUFAF2;GUF1;SMIM20;MRPL50;MTLN;MAIP1;MRPS27;MRPS31;MRPL24;FOXRED1;DNAJC19;MRPL38;MRPS24;CCDC51;PTCD3;DMAC1;COQ2;ATP5MK;COQ10A;TIMM17A;SDHC;DMAC2L;COQ7;MRPL34;ECSIT;MRPL57;MTG1;TMEM70;APOO;TIMM21;HIGD2A;MRPL32;MRPL13;MRPL4;MRPL1;TMEM126A;MRPL46;MRPL44;GRPEL1;MRPS30;MRPL40;SPHK2;MRPS18A;NDUFB11;CHCHD3;MRPL39;MRPL35;COQ3;MRPL15;NDUFAF4;MRPL36;MRPL27;UQCR10;MTFP1;NDUFA12;STOML2;SPG7;MRPS33;MRPS28;MRPS17;COQ6;MRPS2;MRPL11;MRPS18C;PAM16;MRPS23;AFG3L2;TIMM22;TIMM8B;MPC1;MRPS18B;SIRT4;NDUFB9;ENDOG	Mitochondrial Inner Membrane	180	365	52.77013540486595	3.411020241259456	53.44081258643642
GO:0005759	4.765253056414083e-50	7.803361991944458e-53	TK2;NDUFS8;PDHX;POLRMT;NDUFAB1;BCKDK;BCAT2;PRODH;IDH3B;NDUFS7;NDUFS2;NDUFS3;CLPX;NDUFB8;FARS2;MLYCD;TRUB2;GOT2;PCCA;PCCB;ATP5F1B;PDHA1;DLD;DLAT;HSPD1;PDHB;DBT;ACADM;PC;BCKDHA;ETFA;ACADS;BCKDHB;MMUT;ATP5PB;ATP5F1A;IVD;AK4;NDUFS1;PRDX5;PRDX3;ATP5F1D;HIBADH;ATP5F1C;LONP1;ETFB;HSPA9;MDH2;ACAA2;BTD;AMT;IDH2;HARS2;ACOT2;MTHFS;IDH3A;ALDH5A1;SUCLG1;OXCT1;ABAT;OGDH;ALDH6A1;BDH1;OXA1L;PDK2;ETFDH;FXN;DECR1;CLPP;TST;HAGH;NDUFA9;ME3;HADH;NADK2;ACSF3;LACTB2;COQ5;EARS2;PITRM1;THEM4;PDSS1;LYRM7;GLYAT;ACAD10;PDE12;HIBCH;RPUSD3;FDX2;FAHD1;DARS2;NDUFAF7;DGLUCY;MTERF4;GLRX5;ATG4D;NUDT13;PDSS2;PHYKPL;NAXD;ETFBKMT;SUPV3L1;PYROXD2;PPM1K;GUF1;FTMT;CBR4;PDPR;NAXE;FLAD1;NUBPL;TFB1M;MAIP1;HSD17B8;GCDH;TBRG4;ACSF2;MRRF;DNAJA3;MMAB;DHTKD1;MCEE;GFM1;MCCC1;TWNK;HSD17B10;TXN2;MIPEP;ACO2;ELAC2;MTG1;ISCA1;MECR;TRMT61B;TARS2;AGXT2;BCO2;LDHAL6B;ISCU;PPA2;TFB2M;ACSS3;GRPEL1;MCCC2;TXNRD2;SARS2;ACOT13;ACSS2;SDHAF3;GLRX2;ACSS1;SDHAF2;COQ3;MTRES1;SUCLA2;MTRF1L;WARS2;AK3;ACAD8;PIN4;GSTK1;POLDIP2;PAM16;PUS1;NFS1;SIRT4;FASTKD3;FASTKD5;BOLA3;TSFM;ACSM5;FASTKD2;FASTKD1;FASTK;MTERF2	Mitochondrial Matrix	175	367	53.05928683174192	3.298197364675261	49.32191403141892
GO:0005747	1.502599526380975e-11	3.280784992098199e-14	NDUFS8;NDUFAB1;NDUFS4;NDUFB5;NDUFC1;NDUFA2;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFV2;NDUFS1;NDUFV1;NDUFA8;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFA11;FOXRED1;NDUFB11;NDUFA12;NDUFB9	Mitochondrial Respiratory Chain Complex I	30	48	6.939634245023466	4.322994402985075	10.82315675238576
GO:0005762	1.7796850571492999e-09	4.857219042438045e-12	MRPL19;MRPL12;MRPL49;MPV17L2;MRPL2;MRPL21;MTERF4;MRPL55;MRPL10;MRPL41;MRPL50;MRPL24;MRPL38;MRPL34;MRPL57;MRPL32;MRPL13;MRPL4;MRPL1;MRPL46;MRPL44;MRPS30;MRPL40;MRPS18A;MRPL39;MRPL35;MRPL15;MRPL36;MRPL27;MRPL11	Mitochondrial Large Ribosomal Subunit	30	55	7.951664239089389	3.7727951153324284	8.749656846030403
GO:0005763	7.56860342448577e-09	2.478800248194029e-11	MRPS12;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS11;MRPS15;MRPS34;MRPS27;MRPS31;MRPS24;PTCD3;MRPS18A;MRPS33;MRPS28;MRPS17;MRPS2;MRPS18C;MRPS23;MRPS18B	Mitochondrial Small Ribosomal Subunit	21	31	4.481847116577655	4.685568127106404	8.120984250089705
GO:0042645	6.614169337917888e-07	2.5272481094664416e-09	POLRMT;TERT;CLPX;ATP5F1B;DBT;LONP1;HSPA9;HADHA;LRPPRC;VDAC2;TUFM;HADHB;GRSF1;MTERF2;FASTKD5;SUPV3L1;TFB1M;TWNK;HSD17B10;ELAC2;TFB2M;FASTKD2;POLDIP2	Mitochondrial Nucleoid	23	43	6.216755677833523	3.699678930926761	6.1795246903443175
GO:0031966	6.853489868722274e-07	2.9927903356865826e-09	NDUFAB1;HTRA2;NDUFA2;NDUFS3;ALPL;ATP5F1B;COX6C;ACADM;COX7C;COX5A;COX7B;VDAC2;NDUFA6;OGDH;OXA1L;ETFDH;NDUFA9;HKDC1;LYRM7;GRAMD4;TMEM135;FAM162A;COX14;VPS13A;GPER1;RNF5;ANTKMT;BCL2L13;PNPLA8;C19orf12;NDUFAF4;PEMT;PLA2G4C;TRAK1;UBIAD1;TAFAZZIN;GPAM;GPAT2;OPA1;SDHB;GNPAT;TMEM14B	Mitochondrial Membrane	42	114	16.481631331930732	2.548291437549097	6.164088224890695
GO:0005777	6.485698169544693e-05	3.186205432636585e-07	URAD;PEX7;ABCD4;PHYH;GNPAT;PEX11A;ECI2;MLYCD;PRDX5;EPHX2;CRAT;IDH2;PEX5;HSD17B4;PEX3;EHHADH;ACOX1;PMVK;HSDL2;PEX26;TMEM135;LONP2;PTGR3;ACOT4;PEX13;ISOC1;DDO;PECR;PNPLA8;MIEF1;PIPOX;AMACR;HACL1;GSTK1;PEX16;DECR2	Peroxisome	36	105	15.180449910988834	2.371471215351812	4.188043266324676
GO:0005782	5.93595955526023e-05	3.2401525956660646e-07	NUDT19;PEX7;ACOT8;PHYH;GNPAT;ECI2;MLYCD;PRDX5;EPHX2;CRAT;ACOT2;HSD17B4;EHHADH;ACOX1;LONP2;ACOT4;DDO;PIPOX;GRHPR;AMACR;HACL1;GSTK1	Peroxisomal Matrix	22	49	7.0842099584614555	3.1054980201035636	4.226509066790205
