	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0002151	3.8776895152744544e-30	4.3244000393380775e-34	DNAJC19;MTFMT;MTFMT;MRPS34;LYRM7;SUCLG1;NFS1;AIFM1;AIFM1;LONP1;COX5A;TXN2;TXN2;COX10;COX15;PNPLA8;ATPAF2;CYC1;COX20;EARS2;PET100;PET100;HIBCH;DLD;NDUFAF2;TSFM;LRPPRC;LRPPRC;TACO1;WARS2;WARS2;PITRM1;FARS2;MPC1;COQ2;GOT2;HTRA2;HSD17B10;COX14;NDUFA11;GFM1;MDH2;MIPEP;MRPS28;NDUFA2;NDUFA8;NDUFA9;NDUFA9;NDUFB8;NDUFB8;NDUFB9;NDUFC2;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;OCRL;OGDH;PC;PDHA1;PDHA1;PDHA1;TIMM22;NAXE;NDUFAF5;NDUFS7;TMEM70;RMND1;DARS2;PNPO;PNPO;MRPL12;FDX2;SDHA;SDHA;SDHB;FOXRED1;FASTKD2;TARS2;PUS1;NDUFA12;SURF1;SURF1;SURF1;SURF1;TK2;ISCU;PDSS1;TUFM;UQCRC2;TWNK;TWNK;TWNK;TWNK;TWNK;CHCHD10;CHCHD10;MRPL44;MRPS22;COQ9;PDSS2;PDSS2;ISCA1;PDHX	Increased Serum Lactate	109	219	31.662081242919566	3.4426037620118586	29.411426967614517
HP:0002490	6.130765376803314e-23	1.3674061284271917e-26	MTFMT;MTFMT;MRPS34;SUCLG1;SUCLG1;AIFM1;AIFM1;LONP1;TXN2;TXN2;COX10;COX15;COX20;PET100;PET100;NDUFAF2;NDUFAF2;LRPPRC;LRPPRC;TACO1;HTRA2;HSD17B10;COX14;NDUFA11;GFM1;MDH2;NDUFAF4;NDUFA2;NDUFA6;NDUFA8;NDUFA9;NDUFB8;NDUFB8;NDUFB9;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;PDHA1;PDHA1;PDHA1;NAXE;NDUFB11;NDUFAF5;NDUFAF5;NDUFAF5;NDUFS7;NDUFS7;RMND1;DARS2;SDHA;FOXRED1;FOXRED1;NUBPL;NDUFA12;SURF1;SURF1;SURF1;PDHX	Increased Csf Lactate	72	129	18.650267033500565	3.86053453661923	22.212485303919966
HP:0003128	2.8046761039542e-21	9.383325874721311e-25	MRPS34;LYRM7;ATP5F1D;BCKDHA;BCKDHB;SUCLG1;SUCLG1;SUCLA2;COX10;TKFC;TKFC;PNPLA8;ATPAF2;CYC1;EARS2;PET100;DBT;DLAT;DLD;DLD;NDUFAF2;TSFM;LRPPRC;LRPPRC;WARS2;WARS2;FARS2;MPC1;COQ2;NFU1;HSD17B10;HSD17B10;HSD17B10;HADHA;HADHB;HADH;USP18;ELAC2;NDUFA11;NDUFA11;COA6;BOLA3;MIPEP;NDUFAF4;NDUFA6;NDUFA8;NDUFB9;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFS6;NDUFS8;NDUFV2;NDUFV2;GATC;PC;PCCA;PCCB;PDHB;PDHB;GATB;PHKB;NAXE;NDUFB11;NDUFAF5;NDUFAF5;NDUFS7;TMEM70;RMND1;QRSL1;SDHD;FOXRED1;FOXRED1;NUBPL;PUS1;PUS1;PMPCA;SURF1;MLYCD;TK2;ISCU;TUFM;COQ9;PDHX;PDHX	Lactic Acidosis	91	200	28.91514268759778	3.1471399253731343	20.552117285704597
HP:0001943	2.3203190220154557e-17	1.0350480749483465e-20	ACADM;ACADM;AGL;AGL;ATP5F1D;BCKDHA;BCKDHB;SUCLG1;SUCLG1;SUCLG1;ACSF3;NFS1;CPT1A;CPT2;DBT;DLD;DLD;NDUFAF2;LRPPRC;EHHADH;MRPS2;ETFA;ETFB;ETFDH;WARS2;FAH;PTF1A;MTOR;MPC1;GALT;GCDH;GHR;GHR;GHSR;HSD17B10;HSD17B10;HADHA;FOXA2;NDUFA11;TRMT10A;IGF1;KCNJ11;MRPS28;NDUFAF4;NDUFA6;NDUFA6;NDUFB9;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFV2;GATC;OTX2;PC;PCCA;PCCA;PCCB;PCCB;GATB;NDUFB11;NDUFAF5;PPP2R5D;PPP2R5D;NDUFS7;PTEN;RNF125;PROKR2;PNPO;PNPO;QRSL1;FOXRED1;FOXRED1;NUBPL;MCCC2;MCCC2;MLYCD;NNT;UQCRC2;MCCC1;MCCC1	Hypoglycemia	85	200	28.91514268759778	2.9396361940298505	16.634452299602266
HP:0002415	5.349022655241461e-16	2.98261550978112e-19	ABAT;ACOX1;MTFMT;PEX16;COX15;PET100;NDUFAF2;NDUFAF2;TACO1;GLRX5;GLRX5;NADK2;NADK2;POLR3A;POLR3A;POLR3A;HSPD1;NDUFA11;BOLA3;NDUFAF4;NDUFA2;NDUFA6;NDUFA9;NDUFB8;NDUFB9;NDUFS1;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;PC;PDHA1;NDUFB11;NDUFAF5;NDUFAF5;NDUFS7;NDUFS7;SDHA;SDHB;FOXRED1;FOXRED1;NUBPL;NUBPL;SLC16A2;IFIH1;NDUFA12;SURF1;SURF1;TUFM;EXOSC5;ISCA1;AIMP2	Leukodystrophy	65	136	19.66229702756649	3.3058192493415275	15.271725562690976
HP:0001639	1.1127654437540753e-14	7.445737328565241e-18	FKBP6;MTFMT;SUCLG1;NFS1;COX7B;COX15;CPT1A;TKFC;ATPAF2;PET100;GPR101;DLD;NDUFAF2;NDUFAF2;LRPPRC;TACO1;FAH;TMEM126A;TXNRD2;FXN;PPA2;COQ2;MYPN;MYPN;ATP5MK;HSD17B10;HSD17B10;HSD17B10;HADHA;HADH;HADH;HCCS;COX14;ELAC2;NDUFA11;NDUFA11;COA6;KCNJ8;KCNJ11;BOLA3;MC2R;MIPEP;NDUFAF4;NDUFAF4;NDUFA2;NDUFA2;NDUFA6;NDUFA9;NDUFB8;NDUFB9;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NDUFV2;NF1;NF1;NF1;OPA1;PDHA1;NDUFB11;NDUFB11;NDUFAF5;NDUFAF5;TAPT1;PPARG;PPARG;NDUFS7;NDUFS7;TMEM70;TMEM70;QRSL1;SDHA;SDHA;SDHA;SDHB;SDHD;FOXRED1;FOXRED1;FOXRED1;FASTKD2;NUBPL;IFIH1;NDUFA12;SURF1;SURF1;SURF1;SYNE2;TAFAZZIN;MLX;MRAP;NNT;UQCRFS1;MRPL44;MRPS22	Hypertrophic Cardiomyopathy	109	317	45.83050115984248	2.3783287819577192	13.95359636955442
HP:0011923	5.415746552893618e-13	4.2277490654907247e-16	SUCLG1;SUCLG1;TXN2;TXN2;EARS2;NDUFAF2;TSFM;MRPS23;NDUFA11;GFM1;NDUFAF4;NDUFA6;NDUFA8;NDUFB9;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFV2;GATC;TIMM22;NDUFB11;NDUFAF5;NDUFAF5;NDUFS7;PTCD3;QRSL1;MRPL12;FOXRED1;NUBPL;TK2;ISCU	Decreased Activity Of Mitochondrial Complex I	37	60	8.674542806279334	4.26535447761194	12.266341668040651
HP:0002928	5.683406318814773e-12	5.070508592675163e-15	MTFMT;COX15;PET100;DLAT;NDUFAF2;TACO1;GLRX5;GLRX5;NDUFA2;NDUFA9;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;PDHA1;PDHA1;PDHB;NDUFAF5;NDUFS7;SDHA;FOXRED1;NDUFA12;SURF1;PDHX;PDHX	Decreased Activity Of The Pyruvate Dehydrogenase Complex	28	39	5.638452824081567	4.965901262916188	11.24539129420845
HP:0008972	1.8647658108217737e-10	1.8716284484661494e-13	MTFMT;SUCLA2;COX15;PET100;NDUFAF2;TACO1;NFU1;BOLA3;NDUFA2;NDUFA9;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;PDHA1;NDUFAF5;NDUFS7;SDHA;FOXRED1;NDUFA12;SURF1;TK2	Decreased Activity Of Mitochondrial Respiratory Chain	25	35	5.060149970329611	4.940565031982942	9.72937570190037
HP:0003542	1.7498108724620244e-10	1.951389397191953e-13	AIFM1;AIFM1;LONP1;COX10;PNPLA8;NDUFAF2;PITRM1;MPC1;NDUFA11;NDUFAF4;NDUFA6;NDUFB9;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFS8;NDUFV2;PC;PDHA1;NDUFB11;NDUFAF5;NDUFS7;SDHB;FOXRED1;NUBPL;UQCRC2;TWNK;PDHX	Increased Serum Pyruvate	31	51	7.373361385337433	4.204323968393328	9.757008889305038
