	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP111	2.3948367634503324e-22	3.1931156846004435e-25	NDUFA2;NDUFA3;NDUFS8;NDUFV2;ATP5F1D;NDUFA12;NDUFS2;ATP5PB;ATP5MC1;ATP5MC2;NDUFS3;NDUFV1;ATP5MC3;NDUFS4;NDUFS6;COX7C;COX7B;COX6C;ATP5PF;UQCR10;NDUFA5;NDUFV3;ATP5IF1;DMAC2L;ATP5F1A;COX15;ATP5PO;NDUFS7;ATP5MG;COX5A;SDHA;SDHC;SDHB;SDHD;UQCR11;COX17;SURF1;UQCRC2;UQCRC1;UQCRFS1;UQCRH;NDUFAB1;NDUFB1;NDUFB2;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFC1;NDUFC2;NDUFS1;NDUFB4;ATP5F1B;NDUFB5;ATP5F1C;NDUFB8;NDUFB9	Electron Transport Chain: Oxphos System In Mitochondria	57	95	13.734692776608945	4.150074626865671	21.62072408356416
WP4396	2.42505514107713e-17	6.466813709539013e-20	NDUFA2;NDUFA3;NDUFS8;BCL2L11;NDUFV2;NDUFA11;FASLG;NDUFA12;NDUFS2;BID;NDUFS3;NDUFV1;NDUFS4;NDUFS6;COX7C;COX7B;COX6C;COX7B2;UQCR10;NDUFV3;NDUFA5;MAP3K5;PRKAA2;PRKAB1;NDUFS7;NDUFB11;COX5A;SDHA;PIK3CA;PIK3CB;MAPK9;DDIT3;PPARA;SDHC;SDHB;SDHD;UQCR11;LEP;LEPR;MLX;CYC1;ERN1;VCAM1;UQCRHL;IL6R;PRKAG3;AKT2;CYCS;UQCRC2;UQCRC1;UQCRFS1;UQCRH;NDUFAB1;NDUFB1;NDUFB2;MAPK8;PIK3R3;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFC1;NDUFC2;NDUFS1;NDUFB4;NDUFB5;NDUFB8;NDUFB9	Nonalcoholic Fatty Liver Disease	68	153	22.1200841560123	3.0741293532338307	16.615278381930477
WP623	5.724206884473873e-16	2.289682753789549e-18	NDUFA2;NDUFA3;NDUFS8;NDUFV2;NDUFA11;ATP5F1D;ATP5PB;NDUFS2;ATP5MC1;ATP5MC2;NDUFS3;ATP5MC3;NDUFV1;NDUFS4;NDUFS6;ATP5PF;NDUFV3;NDUFA5;DMAC2L;NDUFAB1;NDUFB1;NDUFB2;ATP5F1A;ATP5PO;NDUFA6;NDUFS7;NDUFA7;NDUFA8;NDUFA9;ATP5MG;NDUFC1;NDUFC2;NDUFS1;NDUFB4;NDUFB5;ATP5F1B;NDUFB8;NDUFB9	Oxidative Phosphorylation	38	60	8.674542806279334	4.380634328358209	15.242284678343129
WP4324	1.7750638215527173e-13	9.46700704828116e-16	NDUFA2;NDUFA3;NDUFV2;NDUFA12;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS6;DMAC1;NDUFAF4;FOXRED1;ECSIT;NDUFA5;NDUFV3;TMEM70;NDUFAB1;DMAC2;NDUFB1;NDUFB2;NUBPL;NDUFA6;NDUFA7;NDUFA8;NDUFB11;NDUFAF2;NDUFAF7;NDUFC1;NDUFC2;NDUFS1;NDUFB4;NDUFB5;NDUFB8;NDUFB9	Mitochondrial Complex I Assembly Model Oxphos System	34	56	8.096239952527378	4.199480277185501	12.750786027482192
WP4686	4.431914879793999e-09	2.954609919862666e-11	PCCB;MCCC2;MLYCD;MMUT;BCKDHA;PCCA;BCKDHB;HSD17B10;BCAT2;HIBCH;ACAD8;DBT;HIBADH;MCCC1;DLD;IVD;ACSF3;ALDH6A1	Leucine, Isoleucine And Valine Metabolism	18	24	3.469817122511733	5.18759328358209	8.353408589342525
WP78	4.973932052861915e-06	3.979145642289532e-08	SDHA;IDH3B;SDHC;SDHB;MDH2;SDHD;SUCLG1;SUCLA2;ACO2;DLD;IDH3A;OGDH;IDH2	Tca Cycle (aka Krebs Or Citric Acid Cycle)	13	18	2.6023628418838	4.995460199004976	5.30330015176988
WP4922	1.2508518423484218e-05	1.1674617195251936e-07	COX20;COA3;COX14;COX15;TACO1;COX5A;COX18;COX17;COX10;COX7C;PNKD;COX7B;COX6C;COA6;TMEM177;SMIM20;SURF1;PET100	Mitochondrial Complex Iv Assembly	18	34	4.915574256891622	3.661830553116769	4.902794127445677
WP143	0.0002583909524430523	2.756170159392558e-06	CRAT;CHKB;ACSL6;CPT2;CPT1B;ACSS2;DLD;ACADM;ACADS;LIPC;CPT1A;HADH;HADHB;HADHA;DECR1;GCDH	Fatty Acid Beta-oxidation	16	33	4.770998543453634	3.3535956580732695	3.587722697228225
WP5037	0.0019888340706995717	2.3866008848394865e-05	FLAD1;ETFDH;ETFA;COQ9;PDSS2;PDSS1;COQ7;COQ2;COQ6	Riboflavin And Coq Disorders	9	14	2.0240599881318446	4.446508528784648	2.701401448743623
WP2895	0.004258169809166596	5.677559745555461e-05	BMP4;PPARGC1A;EBF3;LEP;SMAD1;CEBPG;PRDM16;CIDEA;HOXC9;SLC7A10;PPARG;ZNF423	Differentiation Of White And Brown Adipocyte	12	25	3.6143928359497224	3.320059701492537	2.370777023566191
