	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0042776	1.7166815744943037e-23	1.370713489695228e-27	NDUFS8;SDHD;NDUFAB1;NDUFA1;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFB1;NDUFS3;ATP5PD;ATP5MG;NDUFB6;NDUFA3;NDUFB4;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;ATP5F1B;NDUFB7;ATP5PF;NDUFV2;SDHB;ATP5PB;ATP5F1A;ATP5F1D;SDHA;ATP5F1C;ATP5PO;NDUFV1;NDUFA8;ATP5MF;ATP5F1E;ATP5ME;NDUFA6;NDUFA9;NDUFA11;SDHC;NDUFB11;NDUFA13;NDUFA12;STOML2;NDUFB9	Proton Motive Force-driven Mitochondrial Atp Synthesis	48	63	9.053892215568862	5.301587301587302	22.76531025420711
GO:0009060	4.930740995212563e-15	7.874067382964809e-19	NDUFS8;NDUFAB1;NDUFA1;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;UQCRH;UQCRB;NDUFB7;NDUFV2;UQCRC2;ATP5F1D;UQCRC1;MDH2;NDUFV1;NDUFA8;NDUFA6;COX10;SURF1;NDUFA9;NDUFA11;SDHC;NDUFB11;NDUFA13;NDUFA12;NDUFB9;SDHB	Aerobic Respiration	41	65	9.341317365269461	4.389102564102564	14.30708780973904
GO:0032543	5.592167632301404e-14	1.3395482990182219e-17	MRPS12;MRPL33;NDUFA7;MRPL12;MRPS25;MRPS10;MRPS5;MRPS11;MRPS34;MRPS6;MRPS9;MRPL28;MRPL49;MRPL23;MRPL2;MRPL41;MRPL50;GADD45GIP1;MRPS31;GFM2;MRPL24;MRPS24;MRPL53;PTCD3;MRPL34;MRPL57;MRPL32;MRPL4;MRPS26;MRPL37;QRSL1;MRPL44;MRPL40;MRPS18A;AURKAIP1;MRPL22;MRPL16;MRPL39;MRPL35;MRPL15;MRPS28;MRPS17;MRPS7;MRPS2;MRPL11;MRPS18C;MRPS23;MTG1;IARS2	Mitochondrial Translation	49	93	13.365269461077844	3.6662186379928317	13.252419818540574
GO:0006099	6.324437363387938e-14	2.0199416682810407e-17	SDHD;IDH3B;CS;FH;PDHA1;DLAT;PDHB;SDHB;PDHA2;SDHA;DLST;IDH2;IDH3G;SUCLG1;MRPS36;NNT;DHTKD1;SUCLG2;SDHC;ACO2;SUCLA2;OGDHL;OGDH;MDH2;MDH1;ACO1	Tricarboxylic Acid Cycle	26	31	4.455089820359281	5.836021505376345	13.19897810427777
GO:0032981	1.3246469301887786e-13	5.2884339276140953e-17	NDUFS8;NDUFAB1;NDUFA1;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB2;NDUFC2;NDUFA10;NDUFB10;NDUFB7;NDUFA8;NDUFA6;NDUFA9;NDUFAF5;NDUFA11;NUBPL;TMEM186;FOXRED1;ECSIT;TIMM21;NDUFB11;NDUFAF4;NDUFA13;NDUFA12;BCS1L;NDUFAF1;NDUFB9	Mitochondrial Respiratory Chain Complex I Assembly	37	59	8.479041916167665	4.363700564971752	12.877899862635822
GO:0006120	7.117237011097378e-13	3.4097270893152557e-16	NDUFS8;NDUFA4;NDUFAB1;NDUFA1;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;COQ9;NDUFS7;NDUFS2;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;DLD;NDUFB7;NDUFV2;NDUFV1;NDUFA8;NDUFA6;NDUFA9;NDUFAF1;NDUFB9	Mitochondrial Electron Transport, Nadh To Ubiquinone	31	45	6.4670658682634725	4.7935185185185185	12.147688571492473
GO:0015986	1.4728264982482615e-09	8.23202290621034e-13	ATP5PD;ATP5MG;ATP5MC1;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP6V0C;ATP5F1D;ATP5F1C;ATP5PO;ATP5MC3;ATP5MF;ATP5MJ;ATP5F1E;ATP5ME;ATP5MGL;ATP5MK;VPS9D1	Proton Motive Force-driven Atp Synthesis	19	23	3.305389221556886	5.7481884057971016	8.831848410856923
GO:0045333	1.6770434693833267e-06	1.0712510184499053e-09	NDUFA4;UQCRQ;UQCR11;CYP1A2;UQCRH;CYC1;COX6C;COX8A;COX5B;COX4I1;COX7A2;COX6B1;UQCRB;COX7C;COX5A;UQCRC2;COX7B;UQCRC1;CYCS;MTLN;UQCR10;COQ10A	Cellular Respiration	22	38	5.461077844311377	4.0285087719298245	5.7754556802271635
GO:1902600	1.5372066319054817e-06	1.1046678127714257e-09	ATP5PD;ATP5MG;ATP1A1;ATP1B1;ATP5MC1;ATP5F1B;UQCRH;CYC1;COX8A;COX5B;COX4I1;COX6B1;ATP5PF;COX5A;ATP6V1C1;COX7A1;COX7B;ATP5PB;ATP5F1A;ATP6V0C;UQCRC1;ATP6V1E1;UQCRFS1;ATP5PO;ATP5MC3;ATP5MF;ATP5ME;ATP6V0D1;NNT;TCIRG1;SURF1;ATP5MGL;SLC9B2;SLC9A9;COX7B2;MFSD3;SLC46A1;ATP6V0B;SLC2A9;SLC17A6;UQCR10;SLC9A8;SLC36A2	Proton Transmembrane Transport	43	113	16.239520958083833	2.6478613569321534	5.813267750545354
GO:0006635	2.5088403595441835e-06	2.003226093535758e-09	SLC27A2;ECI2;ACADM;ACADS;CPT2;ACAT1;ECHS1;HADHA;ECI1;ACAA2;CPT1A;HADHB;ECH1;DECR1;HADH;ACAD10;MTLN;CPT1B;HSD17B10;BDH2;AUH;ABCD4;ECHDC2	Fatty Acid Beta-oxidation	23	42	6.0359281437125745	3.8105158730158735	5.600526972473675
