	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0005739	2.533379342124372e-90	1.382848985875749e-93	GLYATL1B;TMEM223;VWA8;LIPT2;TK2;EYA2;NDUFS8;PDHX;NDUFA4;ACACB;SDHD;NDUFAB1;PHYH;AIM2;UQCRQ;TRIM24;NDUFA1;SEPTIN4;HTRA2;TIMM44;NDUFB5;IDH3B;NDUFS5;CIDEA;NOL3;RAB11FIP3;COQ9;NDUFS2;NIPSNAP2;ZNF217;CS;MRPL33;NDUFB1;NDUFS3;ECI2;GCAT;ATP5PD;ATP5MG;CLPX;JTB;NDUFB6;MFN2;NDUFA3;NDUFB4;NDUFA7;NDUFC2;NDUFA10;MPC2;MLYCD;AIFM1;PEX11B;GLUD1;SOD1;OTC;GOT2;CRYAB;OAT;ALDH2;ATP5MC1;ATP5F1B;TH;CAPN1;HSP90AA1;UQCRH;FH;HSP90AB1;PDHA1;CYC1;DLD;COX6C;UBB;HSPA1A;HSPA1B;DLAT;COX5B;HSPD1;CLU;GHR;PDHB;ACADM;PC;CKB;BCKDHA;COX4I1;ETFA;HCLS1;PKM;COX6B1;COX7C;ACADS;TMEM11;NDUFB7;TAT;ATP5PF;NDUFV2;MAOA;ACO1;SDHB;UBA1;UQCRC2;S100A1;CPT2;COX7A1;ATP5PB;ACAT1;ATP5F1A;IVD;PLN;AK4;MAOB;MAPK3;PSMB4;PDHA2;PRDX5;PRDX3;ATP5F1D;ECHS1;PPP2R1A;SDHA;DNAJA1;UQCRC1;PHB1;BSG;ARL2;MAP2K2;ATP5F1C;DLST;ETFB;HSPA9;MDH2;HADHA;PNPLA4;ECI1;ACAA2;CRAT;TSFM;VDAC2;ACADSB;MAPK8;MTIF2;UQCRFS1;ATP5PO;IDH2;TUFM;ACADVL;ACOT2;NDUFV1;GSK3A;LIG3;CPT1A;HLCS;RAB7A;IDH3G;BCAP31;ALDH5A1;NDUFA8;MRPL12;NUDT6;SUCLG1;MAPK12;MYOM2;HADHB;ATP5MF;ATP5ME;SYNJ2BP;HSPE1;NTHL1;ABAT;MRPS25;MRPS5;MRPS36;MRPS11;MRPS34;MRPS6;MRPS9;HMGN5;CYCS;PLIN5;DHODH;OGDH;ALDH6A1;BDH1;MAP2K1;PTS;ACSM2A;PMPCA;COX10;TRAP1;MRPL28;TARDBP;GPS2;MRPL49;NNT;ALKBH1;AUH;ENDOG;STARD3;PDK2;KCNJ8;CRY1;MRPL23;DECR1;HADH;DGUOK;IMMT;PUS10;HSDL1;MTERF2;CRY2;COX19;NADK2;ACSF3;FASTKD1;BOLA3;COX20;THEM4;IBA57;MRPL2;ERCC6L2;DCAF8;NDUFAF5;FAM72A;MICOS13;ACSM2B;XAF1;GLYAT;CAPRIN2;ACAD10;LETMD1;FDX2;FAHD1;METAP1D;HSDL2;TRMT10C;RTL10;DHX32;FASTKD5;CFAP91;ATP5MGL;GLRX5;LDHD;NIT1;HOGA1;NDUFA11;ADHFE1;SIRT2;MRPL41;PARP9;SUPV3L1;PUSL1;TCAIM;PNKD;FTMT;MRPL50;SPATA5;PDPR;MTLN;GIMAP8;TRPV1;COQ8A;GADD45GIP1;NUBPL;CREB3L4;PTCD2;NUDT8;PALLD;CHCHD10;CPT1B;MRPS31;GCDH;GTPBP3;TBRG4;MTARC2;FAM162A;MRPL24;TMEM143;TMEM186;PINX1;MIEF2;DCPS;RPUSD4;FOXRED1;DNAJC19;ECHDC3;MTFMT;ASB9;MALSU1;MRPL53;DNAJA3;PTCD3;DHTKD1;COX14;NARS2;SUCLG2;COA8;ATP5MK;IMMP1L;PPP3R2;FAM210A;MCCC1;RMDN3;SDHC;HSD17B10;TXN2;ACO2;NIPSNAP1;MRPL34;ELAC2;ECSIT;MRPL57;ANTKMT;AGMAT;TACO1;CCM2;DHRS4;APOO;BDH2;SELENOO;TRMT61B;HINT2;BCL2L13;PECR;MRPL32;MRPL4;MRPS26;AGXT2;BCO2;MRPL37;AMBRA1;MAP1LC3B;QRSL1;GABARAPL1;ISCU;GHITM;TFB2M;OPA3;ACSS3;PTGES2;MRPL44;RSAD1;GRPEL1;MCCC2;TXNRD2;NGRN;TIMMDC1;MRPL40;SPHK2;CREBZF;C19orf12;DNAJC11;MRPS18A;ARGLU1;AURKAIP1;MRPL22;NDUFB11;MRPL16;CHCHD3;SIRT5;COA4;MRPL39;CISD1;MRPL35;MRPL15;NDUFAF4;NDUFA13;MTRES1;SUCLA2;PEMT;CLN8;APEX2;AASS;AMACR;POLG2;PFDN2;NDUFA12;GLS2;MRM2;MUTYH;ATP5IF1;AK3;ACSL5;STAP1;NFU1;SPG7;HIGD1A;BCS1L;MRPS28;COA3;POLDIP2;COQ6;TMX2;NDUFAF1;MRPS2;COQ4;MRPL11;MSRB2;FIS1;MRPS23;PTRH2;AFG3L2;SAMM50;TIMM13;MPC1;FLVCR1;HEBP2;NFS1;NDUFB9;GLRX;PXMP2;MPV17L;SUOX;GFM1;HAGH;IFI27L2;KYAT1;MCUR1;MTRF1;ECHDC2;GARS1;RTN4IP1;MRPS10;HIBADH;BID;MRRF;RMDN2;SURF1;MTO1;MIX23;MTHFS;OGDHL;TWNK;TMEM65;MTFP1;PLA2G6;YJEFN3;ATPAF1;MTG2;BCAT1;MTG1;GPX4;COX8A;ECH1;ABHD6;HIGD2A;STOML2;PARS2;ABHD11;ISCA1;HDHD5;GCSH;CRLS1;NDUFA9;GTPBP10;GATD3;COX7B2;UQCC1;COQ10A;IARS2;RPP14;LIPT1;GSTK1;COX7B	Mitochondrion	462	1244	178.77844311377245	2.5842041800643085	89.59629977512994
GO:0005743	6.461063584640365e-61	7.05356286532791e-64	NDUFS8;NDUFA4;SDHD;NDUFAB1;UQCRQ;UQCR11;MRPS12;NDUFA1;TIMM44;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;COQ9;NDUFS7;NDUFS2;MRPL33;NDUFB1;NDUFS3;GCAT;ATP5PD;ATP5MG;CLPX;NDUFB6;NDUFA3;NDUFB4;NDUFB2;NDUFA7;NDUFC2;NDUFA10;MPC2;AIFM1;NDUFB10;OTC;ATP5MC1;ATP5F1B;LDHB;UQCRH;CYC1;COX6C;COX8A;COX5B;HSPD1;CLU;COX4I1;COX6B1;UQCRB;COX7C;NDUFB7;ATP5PF;NDUFV2;COX5A;SDHB;UQCRC2;CPT2;COX7B;ATP5PB;ATP5F1A;ATP5F1D;SDHA;UQCRC1;PHB1;ATP5F1C;HSPA9;HADHA;CRAT;UQCRFS1;ATP5PO;ATP5MC3;NDUFV1;NDUFA8;MRPL12;HADHB;ATP5MF;ATP5MJ;ATP5F1E;ATP5ME;NDUFA6;MRPS25;MRPS10;MRPS5;MRPS36;MRPS11;MRPS34;MRPS6;MRPS9;CYCS;DHODH;PMPCA;COX10;TRAP1;MRPL28;MRPL49;NNT;MRPL23;NDUFA9;IMMT;COQ5;COX20;THEM4;MRPL2;NDUFAF5;MICOS13;LETMD1;TMEM65;ATP5MGL;SLC9B2;LDHD;NDUFA11;MRPL41;MRPL50;MTLN;CHDH;GADD45GIP1;MAIP1;NEU4;MRPS31;MRPL24;TMEM186;FOXRED1;DNAJC19;MRPS24;MRPL53;PTCD3;ATP5MK;DNAJC30;IMMP1L;COQ10A;SDHC;MRPL34;ECSIT;MRPL57;MTG1;APOO;TIMM21;HIGD2A;MRPL32;MRPL4;MRPS26;MRPL37;MTG2;MRPL44;GRPEL1;TIMMDC1;MRPL40;SPHK2;UQCC1;MRPS18A;AURKAIP1;MRPL22;NDUFB11;MRPL16;CHCHD3;MRPL39;MRPL35;MRPL15;NDUFAF4;NDUFA13;TMEM14C;UQCR10;MTFP1;NDUFA12;CRLS1;STOML2;SPG7;HIGD1A;MRPS28;MRPS17;MRPS7;COQ6;NDUFAF1;MRPS2;COQ4;MRPL11;MRPS18C;PAM16;MRPS23;AFG3L2;TIMM22;TIMM8B;TIMM13;MPC1;FLVCR1;NDUFB9;ENDOG;PSEN2;BCS1L;SLC27A1	Mitochondrial Inner Membrane	189	365	52.45508982035928	3.6030821917808225	60.189695984958504
GO:0005759	2.5015868493859417e-42	4.096485015369992e-45	LIPT2;TK2;NDUFS8;PDHX;NDUFAB1;TIMM44;IDH3B;NDUFS7;NDUFS2;CS;NDUFS3;CLPX;NDUFA10;MLYCD;GLUD1;SOD1;OTC;GOT2;OAT;ALDH2;ATP5F1B;FH;PDHA1;DLD;DLAT;HSPD1;PDHB;ACADM;PC;BCKDHA;ETFA;ACADS;GCSH;ATP5PB;ACAT1;ATP5F1A;IVD;AK4;PDHA2;PRDX5;PRDX3;ATP5F1D;ECHS1;HIBADH;ARL2;ATP5F1C;DLST;ETFB;HSPA9;MDH2;GARS1;ECI1;ACAA2;BTD;ACADSB;IDH2;ACADVL;ACOT2;MTHFS;IDH3G;ALDH5A1;SUOX;SUCLG1;ATP5F1E;ABAT;OGDH;ALDH6A1;BDH1;RNASEL;TRAP1;COASY;AUH;PDK2;ETFDH;DECR1;HAGH;NDUFA9;HADH;DGUOK;NADK2;ACSF3;COQ5;THEM4;PDSS1;ACSM2B;GLYAT;ACAD10;FDX2;FAHD1;TRMT10C;PARS2;DGLUCY;GLRX5;HOGA1;PDSS2;PHYKPL;NAXD;ADHFE1;SUPV3L1;PYROXD2;FTMT;AADAT;PDPR;GADD45GIP1;NUBPL;GPT2;TFB1M;MAIP1;GCDH;GFM2;TBRG4;RPUSD4;ACSF2;MRRF;DNAJA3;MMAB;DHTKD1;NARS2;SUCLG2;GFM1;MCCC1;TWNK;HSD17B10;TXN2;ACO2;ELAC2;MTG1;ISCA1;TRMT61B;TARS2;AGXT2;BCO2;ISCU;MTG2;TFB2M;ACSS3;GRPEL1;MCCC2;TXNRD2;ACSS2;IARS2;SIRT5;MTRES1;SUCLA2;AASS;POLG2;GLS2;MRM2;AK3;OGDHL;LIPT1;GSTK1;POLDIP2;NDUFAF1;PAM16;NFS1;FASTKD5;BOLA3;TSFM;IBA57;FASTKD1;FASTK;MTERF2;ACSM2A;HSPE1	Mitochondrial Matrix	165	367	52.74251497005988	3.1284059945504086	41.60178441480563
GO:0005747	9.660721038826532e-16	2.1093277377350506e-18	NDUFS8;NDUFA4;NDUFAB1;NDUFA1;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;NDUFB7;NDUFV2;NDUFV1;NDUFA8;NDUFA6;NDUFA9;NDUFA11;FOXRED1;NDUFB11;NDUFA13;NDUFA12;NDUFAF1;NDUFB9	Mitochondrial Respiratory Chain Complex I	34	48	6.898203592814371	4.928819444444445	15.014990458315623
GO:0031966	8.009164612014936e-13	2.185907372274819e-15	NDUFA4;NDUFAB1;NDUFA1;OGT;HTRA2;NDUFA2;NDUFS3;NDUFB6;ALPL;ATP5F1B;COX6C;CALM3;COX8A;COX5B;ACADM;COX4I1;COX7A2;COX6B1;COX7C;COX5A;COX7B;PLN;VDAC2;ACADVL;RAB7A;TMBIM6;NDUFA6;OGDH;BNIP1;ETFDH;NDUFA9;SLC9B2;FAM162A;COX14;GPER1;RNF5;ANTKMT;ABHD6;BCL2L13;MAP1LC3B;IFI27L2;NGRN;C19orf12;NDUFAF4;NDUFA13;PEMT;ABCG2;TMX2;TMEM14C;GPAM;SDHB;GNPAT	Mitochondrial Membrane	52	114	16.38323353293413	3.1739766081871346	12.096412780209455
GO:0005753	1.4166392208326566e-09	4.639648103163723e-12	ATP5PD;ATP5MG;ATP5MC1;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP5F1D;ATP5F1C;ATP5PO;ATP5MC3;ATP5MF;ATP5MJ;ATP5F1E;ATP5ME;ATP5MGL;ATP5MK	Mitochondrial Proton-transporting Atp Synthase Complex	17	20	2.874251497005988	5.914583333333334	8.848740738567981
GO:0005763	8.441105382707629e-08	3.2253131920826093e-10	MRPS12;MRPS25;MRPS10;MRPS5;MRPS11;MRPS34;MRPS6;MRPS9;MRPS31;MRPS24;PTCD3;MRPS26;MRPS18A;AURKAIP1;MRPS28;MRPS17;MRPS7;MRPS2;MRPS18C;MRPS23	Mitochondrial Small Ribosomal Subunit	20	31	4.455089820359281	4.489247311827957	7.073600677761035
GO:0005777	1.7091404234675553e-07	7.463495298984957e-10	VWA8;PEX12;ABCD4;PHYH;GNPAT;SYT7;ECI2;MLYCD;PEX11B;SOD1;NUDT7;PRDX5;EPHX2;CRAT;IDH2;MVD;PEX3;MVK;ECH1;PEX6;IDI1;ACOX1;ACBD5;HSDL2;LONP2;PTGR3;MTARC2;MIEF2;ISOC1;PEX11G;ACOX2;DDO;DHRS4;PECR;AMACR;GSTK1;FIS1;MARF1;DECR2;DHRS4L2;HAO1	Peroxisome	41	105	15.089820359281436	2.717063492063492	6.767222254054136
GO:0005750	7.837112066672461e-06	3.8501096397408376e-08	UQCRQ;UQCR11;UQCRH;CYC1;UQCRB;UQCRC2;UQCRC1;UQCRFS1;UQCR10;BCS1L;UQCRHL	Mitochondrial Respiratory Chain Complex Iii	11	13	1.868263473053892	5.887820512820514	5.105843942999913
GO:0005762	8.022541712097863e-06	4.379116655075253e-08	MRPL33;MRPL12;MRPL28;MRPL49;MRPL23;MRPL2;MRPL41;MRPL50;GADD45GIP1;MRPL24;MRPL53;MRPL34;MRPL57;MRPL32;MRPL4;MRPL37;MRPL44;MRPL40;MRPS18A;MRPL22;MRPL16;MRPL39;MRPL35;MRPL15;MRPL11	Mitochondrial Large Ribosomal Subunit	25	55	7.904191616766467	3.1628787878787876	5.095688016172398
