	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0002151	2.302385681254334e-34	2.567620922554181e-38	ACAT1;DNAJC19;MTFMT;MTFMT;MRPS34;SUCLG1;BCS1L;NFS1;AIFM1;AIFM1;COX5A;MTO1;TXN2;TXN2;COX4I1;COX6B1;COX8A;COX10;CYC1;COX20;FBXL4;DGUOK;DLD;ECHS1;ECHS1;TSFM;NDUFA13;NDUFA13;NDUFAF1;COQ4;TACO1;GFM2;GFM2;LIPT1;LIPT1;MPC1;UQCRQ;LIPT2;GTPBP3;GOT2;HTRA2;ADAMTS13;HSD17B10;POLG2;POLG2;POLG2;COX14;MICOS13;NDUFA11;GFM1;LDHA;MDH2;MRPS28;NDUFA1;NDUFA2;NDUFA4;NDUFA8;NDUFA9;NDUFA9;NDUFA10;NDUFB9;NDUFC2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFS8;NDUFV2;OCRL;OGDH;PC;PDHA1;PDHA1;PDHA1;TIMM22;NDUFAF5;NDUFS7;TRMT10C;NARS2;PNPO;PNPO;MRPL12;FDX2;SDHA;SDHA;SDHB;FOXRED1;TARS2;SOD1;NDUFA12;SURF1;SURF1;SURF1;SURF1;SLC19A3;TK2;ISCU;PDSS1;TUFM;UQCRB;UQCRC2;TWNK;TWNK;TWNK;TWNK;TWNK;CHCHD10;CHCHD10;MRPL44;COQ8A;COQ9;PDSS2;PDSS2;ISCA1;PDHX	Increased Serum Lactate	116	219	31.473053892215567	3.6856925418569255	33.6378219243159
HP:0002490	1.1825349395129574e-24	2.6375263510939164e-28	MTFMT;MTFMT;MRPS34;SUCLG1;SUCLG1;AIFM1;AIFM1;TXN2;TXN2;COX4I1;COX6B1;COX8A;COX10;COX20;ECHS1;ECHS1;NDUFA13;NDUFAF1;TACO1;TIMMDC1;COA8;GFM2;GFM2;LIPT1;HTRA2;HSD17B10;COX14;NDUFA11;GFM1;MDH2;NDUFAF4;NDUFA1;NDUFA2;NDUFA4;NDUFA4;NDUFA6;NDUFA8;NDUFA9;NDUFA10;NDUFB3;NDUFB9;NDUFB10;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS8;NDUFS8;NDUFV2;NDUFV2;PDHA1;PDHA1;PDHA1;NDUFB11;NDUFAF5;NDUFAF5;NDUFAF5;NDUFS7;NDUFS7;TRMT10C;NARS2;SDHA;FOXRED1;FOXRED1;NUBPL;NDUFA12;SURF1;SURF1;SURF1;SLC19A3;COQ8A;PDHX	Increased Csf Lactate	75	129	18.53892215568862	4.045542635658915	23.927186018612556
HP:0003128	2.7075421002422263e-22	9.05835429990708e-26	MRPS34;ATP5F1D;ATP5F1E;BCKDHA;SUCLG1;SUCLG1;SUCLA2;BCS1L;BCS1L;MTO1;COX6B1;COX8A;COX10;TKFC;TKFC;CYC1;FBXL4;DGUOK;DLAT;DLD;DLD;TSFM;MRPS7;NDUFAF1;TIMMDC1;FH;COA8;LIPT1;MPC1;SLC37A4;SLC37A4;SLC37A4;NFU1;LIPT2;GTPBP3;GTPBP3;HSD17B10;HSD17B10;HSD17B10;HADHA;HADHB;HADH;USP18;MICOS13;ELAC2;NDUFA11;NDUFA11;IBA57;BOLA3;LIG3;NDUFAF4;NDUFA1;NDUFA4;NDUFA6;NDUFA8;NDUFA10;NDUFB3;NDUFB3;NDUFB9;NDUFB10;NDUFB10;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFS8;NDUFV2;NDUFV2;PC;PDHB;PDHB;PHKA2;NDUFB11;NDUFAF5;NDUFAF5;NDUFS7;TRMT10C;QRSL1;SDHD;FOXRED1;FOXRED1;NUBPL;PMPCA;SURF1;MLYCD;TK2;ISCU;TUFM;COQ8A;COQ8A;COQ9;PDHX;PDHX	Lactic Acidosis	94	200	28.74251497005988	3.2704166666666667	21.567424781697753
HP:0001943	2.562281336906313e-18	1.1429826416443908e-21	ACADM;ACADM;ACADSB;ACAT1;AGL;AGL;ATP5F1D;AUH;BCKDHA;SUCLG1;SUCLG1;SUCLG1;BCS1L;ACSF3;NFS1;CDKN1C;MTO1;CPT1A;CPT2;DGUOK;DLD;DLD;NR1H4;MRPS7;NDUFAF1;MRPS2;ETFA;ETFB;ETFDH;TIMMDC1;FAH;FBP1;GPC4;MPC1;SLC37A4;SLC37A4;GALK1;GCDH;GHR;GHR;HSD17B10;HSD17B10;HADHA;MICOS13;HRAS;NDUFA11;IGF1;IGF2;KCNJ11;MEN1;MRPS28;NDUFAF4;NDUFA1;NDUFA6;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS2;NDUFS3;NDUFV1;NDUFS8;NDUFV2;OTC;PC;PHKA2;NDUFB11;NDUFAF5;POU1F1;POU1F1;PPP2R5D;PPP2R5D;NDUFS7;PNPO;PNPO;QRSL1;FOXRED1;FOXRED1;NUBPL;MCCC2;MCCC2;MLYCD;NNT;UQCRB;UQCRC2;MCCC1;MCCC1;LHX3	Hypoglycemia	88	200	28.74251497005988	3.0616666666666665	17.591373186707685
HP:0001639	4.7809888785081306e-17	2.6658798251969057e-20	ACADVL;ADAR;MTFMT;ATP5F1E;SUCLG1;BCS1L;BRCA1;AIP;AIP;NFS1;MTO1;BAG3;COX6B1;COX7B;CPT1A;CRYAB;TKFC;FBXL4;DLD;ABCC9;ECHS1;NDUFA13;NDUFAF1;NDUFAF1;COQ4;BSCL2;BSCL2;EMD;TACO1;TIMMDC1;FAH;DNAJC30;TXNRD2;COA8;LIPT1;GATA4;GTPBP3;ATP5MK;HSD17B10;HSD17B10;HSD17B10;HADHA;HADH;HADH;COX14;MICOS13;ELAC2;HRAS;HRAS;NDUFA11;NDUFA11;KCNJ8;KCNJ11;BOLA3;MEN1;NDUFAF4;NDUFAF4;NDUFA1;NDUFA2;NDUFA2;NDUFA4;NDUFA6;NDUFA9;NDUFA10;NDUFA10;NDUFB3;NDUFB9;NDUFB10;NDUFS2;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS8;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NDUFV2;PDHA1;NDUFB11;NDUFB11;NDUFAF5;NDUFAF5;PPP1CB;MAP2K1;MAP2K1;MAP2K1;MAP2K2;MAP2K2;NDUFS7;NDUFS7;QRSL1;SDHA;SDHA;SDHA;SDHB;SDHD;FOXRED1;FOXRED1;FOXRED1;NUBPL;NDUFA12;SURF1;SURF1;SURF1;MLX;SLC19A3;NNT;TPI1;TPM1;UQCRFS1;MRPL44	Hypertrophic Cardiomyopathy	116	317	45.55688622754491	2.546267087276551	16.32048226655482
HP:0011923	1.8160419707254166e-16	1.2151501978758223e-19	SUCLG1;SUCLG1;TXN2;TXN2;TSFM;NDUFAF1;TIMMDC1;TIMMDC1;MIEF2;MRPS23;GTPBP3;NDUFA11;GFM1;IBA57;NDUFAF4;NDUFA1;NDUFA6;NDUFA8;NDUFB3;NDUFB9;NDUFB10;NDUFB10;NDUFC2;NDUFS2;NDUFS3;NDUFV1;NDUFS8;NDUFV2;TIMM22;MRM2;NDUFB11;NDUFAF5;NDUFAF5;NDUFS7;PTCD3;QRSL1;MRPL12;FOXRED1;NUBPL;TK2;ISCU	Decreased Activity Of Mitochondrial Complex I	41	60	8.622754491017965	4.7548611111111105	15.740874118676267
HP:0002415	2.256528764136276e-15	1.761536896281246e-18	ABAT;ACOX1;ADAR;ADAR;MTFMT;COX6B1;FBXL4;ECHS1;NDUFA13;NDUFAF1;TACO1;GLRX5;GLRX5;ERCC6;TIMMDC1;LIPT1;NADK2;NADK2;GTPBP3;HSPD1;NDUFA11;IBA57;BOLA3;NDUFAF4;NDUFA1;NDUFA2;NDUFA4;NDUFA6;NDUFA9;NDUFA10;NDUFB3;NDUFB9;NDUFB10;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS8;NDUFS8;NDUFV2;NDUFV2;PC;PDHA1;NDUFB11;NDUFAF5;NDUFAF5;NDUFS7;NDUFS7;SDHA;SDHB;FOXRED1;FOXRED1;NUBPL;NUBPL;SLC16A2;NDUFA12;SURF1;SURF1;SLC19A3;TUFM;ISCA1;AIMP2	Leukodystrophy	65	136	19.544910179640716	3.3256740196078436	14.646559126125204
HP:0002928	5.753383773660305e-14	5.132939688779128e-17	MTFMT;DLAT;ECHS1;ECHS1;NDUFA13;TACO1;GLRX5;GLRX5;LIPT1;NDUFA2;NDUFA4;NDUFA9;NDUFA10;NDUFS2;NDUFS3;NDUFV1;NDUFS8;NDUFV2;PDHA1;PDHA1;PDHB;NDUFAF5;NDUFS7;SDHA;FOXRED1;NDUFA12;SURF1;SLC19A3;PDHX;PDHX	Decreased Activity Of The Pyruvate Dehydrogenase Complex	30	39	5.604790419161676	5.352564102564103	13.240076655833002
HP:0001942	7.096779989195502e-13	7.122897279219306e-16	ACADM;ACADM;ACADS;ACADVL;ACAT1;AUH;BCS1L;CACNA1S;NFS1;MTO1;COX6B1;COX6B1;COX10;CPT2;DLD;NDUFAF1;FBP1;FBP1;FH;SLC37A4;GCDH;HSD17B10;HSD17B10;HSD17B10;POLG2;COX14;HLCS;GFM1;IBA57;IVD;IVD;ALDH6A1;MRPS28;NDUFAF4;NDUFA2;NDUFA6;NDUFA9;NDUFB10;NDUFV1;OGDH;PRDX1;NDUFB11;NDUFS7;PNPO;PNPO;MCCC2;SUOX;MLYCD;MMAB;TUFM;UQCRB;UQCRC2;PDHX	Metabolic Acidosis	53	108	15.520958083832335	3.4147376543209877	12.148938658341555
HP:0008972	1.5761835386824117e-12	1.7577601635802517e-15	MTFMT;SUCLA2;DGUOK;ECHS1;NDUFA13;TACO1;LIPT1;NFU1;BOLA3;NDUFA2;NDUFA4;NDUFA9;NDUFA10;NDUFS2;NDUFS3;NDUFV1;NDUFS8;NDUFV2;PDHA1;NDUFAF5;NDUFS7;SDHA;FOXRED1;NDUFA12;SURF1;SLC19A3;TK2	Decreased Activity Of Mitochondrial Respiratory Chain	27	35	5.029940119760479	5.367857142857143	11.802393212483581
