	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
WP111	3.7766342466199134e-31	5.035512328826551e-34	NDUFA1;NDUFA2;NDUFA3;COX6B1;NDUFS8;NDUFV2;UQCRQ;ATP5F1D;ATP5F1E;NDUFA12;NDUFS2;ATP5PB;ATP5MC1;NDUFS3;NDUFV1;ATP5MC3;NDUFS5;COX8A;COX7C;COX7B;COX7A2;COX7A1;ATP5ME;COX6C;ATP5PF;UQCR10;NDUFA4;ATP5IF1;ATP5F1A;ATP5PO;NDUFS7;ATP5PD;ATP5MG;COX5A;SDHA;SDHC;SDHB;SDHD;UQCR11;ATP5MF;COX17;SURF1;UQCRC2;UQCRC1;UQCRFS1;UQCRH;UQCRB;NDUFA10;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;NDUFA6;NDUFA7;NDUFA8;NDUFA9;COX4I1;NDUFB10;NDUFC1;NDUFC2;NDUFB4;ATP5F1B;NDUFB5;NDUFB6;NDUFB7;COX5B;ATP5F1C;NDUFB9	Electron Transport Chain: Oxphos System In Mitochondria	68	95	13.652694610778443	4.980701754385965	30.422895072987203
WP4396	1.6811772899666923e-19	4.48313943991118e-22	MLXIP;MAP3K11;NDUFA1;NDUFA2;NDUFA3;COX6B1;NDUFS8;NDUFV2;NDUFA11;UQCRQ;NDUFA12;NDUFS2;BID;NDUFS3;NDUFV1;NDUFS5;IRS2;COX8A;COX7C;COX7B;COX7A2;COX7A1;COX6C;COX7B2;UQCR10;NDUFA4;TRAF2;PRKAB1;NDUFS7;NDUFB11;COX5A;SDHA;IL1A;SDHC;SDHB;SDHD;UQCR11;CASP3;MLX;CYC1;NR1H3;SREBF1;UQCRHL;CASP7;AKT2;CYCS;UQCRC2;UQCRC1;UQCRFS1;UQCRH;UQCRB;NDUFA10;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;MAPK8;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NR1H4;NDUFB10;COX4I1;NDUFC1;GSK3A;NDUFC2;ATF4;NDUFA13;NDUFB4;NDUFB5;NDUFB6;NDUFB7;COX5B;NDUFB9	Nonalcoholic Fatty Liver Disease	75	153	21.98802395209581	3.4109477124183005	18.774386485255206
WP623	2.7405233372815694e-16	1.0962093349126278e-18	NDUFA2;NDUFA3;NDUFS8;NDUFV2;NDUFA11;ATP5F1D;ATP5F1E;ATP5PB;NDUFS2;ATP5MC1;NDUFS3;ATP5MC3;NDUFV1;NDUFS5;ATP5MF;ATP5ME;ATP5PF;NDUFA4;NDUFA10;NDUFAB1;NDUFB1;NDUFB2;ATP5F1A;ATP5PO;NDUFA6;NDUFS7;NDUFA7;NDUFA8;ATP5PD;NDUFA9;ATP5MG;NDUFB10;NDUFC1;NDUFC2;NDUFB4;NDUFB5;ATP5F1B;NDUFB6;NDUFB7;NDUFB9	Oxidative Phosphorylation	40	60	8.622754491017965	4.638888888888888	15.562166495285101
WP4324	5.453610359277647e-12	2.908592191614745e-14	NDUFA1;NDUFA2;NDUFA3;NDUFV2;NDUFA12;NDUFS2;NDUFS3;NDUFV1;NDUFS5;NDUFAF4;FOXRED1;ECSIT;NDUFA10;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;TMEM186;TIMMDC1;NUBPL;NDUFAF1;NDUFA6;NDUFA7;NDUFA8;NDUFB11;NDUFB10;NDUFC1;NDUFC2;NDUFA13;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB9	Mitochondrial Complex I Assembly Model Oxphos System	34	56	8.047904191616766	4.224702380952381	11.26331589405492
WP78	5.6909219009622116e-11	3.7939479339748076e-13	SDHA;IDH3B;SDHC;SDHB;FH;MDH2;SDHD;DLST;CS;IDH3G;SUCLG1;SUCLA2;SUCLG2;ACO2;DLD;OGDH;IDH2	Tca Cycle (aka Krebs Or Citric Acid Cycle)	17	18	2.586826347305389	6.5717592592592595	10.244817374366
WP4922	2.1335995465586546e-07	1.7068796372469238e-09	COX6B1;COX20;COA3;COX14;TACO1;COX19;COX5A;COX17;HIGD1A;COX10;COX8A;COX7C;PNKD;COX7B;COX4I1;COX7A2;COX6C;TMEM177;NDUFA4;SURF1;COX5B	Mitochondrial Complex Iv Assembly	21	34	4.886227544910179	4.297794117647059	6.670887089616219
WP143	7.224878389104616e-07	6.743219829830975e-09	TPI1;CRAT;CHKB;ECI1;CPT2;ECHS1;CPT1B;ACSS2;DLD;ACSL5;ACADM;ACADS;ACADVL;ACAT1;CPT1A;HADH;HADHB;HADHA;DECR1;GCDH	Fatty Acid Beta-oxidation	20	33	4.74251497005988	4.217171717171717	6.141169458659345
WP3925	1.081017023241549e-06	1.1530848247909855e-08	PDHX;FH;GLUD1;SUCLG1;MAOA;ACO2;DLD;OGDH;TH;GPT2;TPO;ASNS;DLST;HIBADH;MDH1;MDH2;PDHA1;ADH7;LDHA;CS;ALDH1A1;PKM;GOT2;OAT;SRM;GOT1;ACADM;SDHA;HADH;PC;FAH;DDC;BCAT1;TAT;AUH;MCCC1;OTC	Amino Acid Metabolism	37	91	13.077844311377245	2.8292124542124544	5.966167466970226
WP2453	2.0541952282562876e-05	2.465034273907545e-07	ACO1;SDHA;PC;MDH1;FH;PDHA1;DLST;CS;SUCLG2;DLD;DLAT;OGDH	Tca Cycle And Deficiency Of Pyruvate Dehydrogenase Complex (pdhc)	12	16	2.2994011976047903	5.21875	4.687358283949411
WP4686	2.331114828026354e-05	3.1081531040351385e-07	MCCC2;MLYCD;ACADSB;ACAT1;BCKDHA;BCAT1;HSD17B10;ECHS1;AUH;HIBADH;MCCC1;DLD;IVD;ACSF3;ALDH6A1	Leucine, Isoleucine And Valine Metabolism	15	24	3.4491017964071853	4.348958333333334	4.632436333107504
