hgnc_symbol	ensembl_gene_id	Exists_in_GTEx_v8_mtDNA_trans_tests
AARS2	ENSG00000124608	Yes
AFG1L	ENSG00000135537	Yes
AFG3L2	ENSG00000141385	Yes
AGK	ENSG00000006530	Yes
AIFM1	ENSG00000156709	No
ALKBH1	ENSG00000100601	Yes
ANGEL2	ENSG00000174606	Yes
APEX1	ENSG00000100823	Yes
ATAD1	ENSG00000138138	Yes
ATAD3A	ENSG00000197785	Yes
ATAD3B	ENSG00000160072	Yes
ATP23	ENSG00000166896	Yes
AURKAIP1	ENSG00000175756	Yes
C12orf65	NA	NA
CARS2	ENSG00000134905	Yes
CASP3	ENSG00000164305	Yes
CASP8	ENSG00000064012	Yes
CASP9	ENSG00000132906	Yes
CDK5RAP1	ENSG00000101391	Yes
CHCHD1	ENSG00000172586	Yes
CHCHD4	ENSG00000163528	Yes
CLPB	ENSG00000162129	Yes
CLPP	ENSG00000125656	Yes
CLPX	ENSG00000166855	Yes
COA3	ENSG00000183978	Yes
COX14	ENSG00000178449	Yes
DAP3	ENSG00000132676	Yes
DARS2	ENSG00000117593	Yes
DDX28	ENSG00000182810	Yes
DHX30	ENSG00000132153	Yes
DNA2	ENSG00000138346	Yes
DNAJA3	ENSG00000103423	Yes
DNAJC11	ENSG00000007923	Yes
DNAJC15	ENSG00000120675	Yes
DNAJC19	ENSG00000205981	Yes
DNAJC4	ENSG00000110011	Yes
DNLZ	ENSG00000213221	Yes
DUS2	ENSG00000167264	Yes
EARS2	ENSG00000103356	Yes
ELAC2	ENSG00000006744	Yes
ENDOG	ENSG00000167136	Yes
ERAL1	ENSG00000132591	Yes
EXD2	ENSG00000081177	Yes
EXOG	ENSG00000157036	Yes
FARS2	ENSG00000145982	Yes
FASTK	ENSG00000164896	Yes
FASTKD1	ENSG00000138399	Yes
FASTKD2	ENSG00000118246	Yes
FASTKD3	ENSG00000124279	Yes
FASTKD5	ENSG00000215251	Yes
FKBP10	ENSG00000141756	Yes
GADD45GIP1	ENSG00000179271	Yes
GARS1	ENSG00000106105	Yes
GATB	ENSG00000059691	Yes
GATC	ENSG00000257218	Yes
GFER	ENSG00000127554	Yes
GFM1	ENSG00000168827	Yes
GFM2	ENSG00000164347	Yes
GRPEL1	ENSG00000109519	Yes
GRPEL2	ENSG00000164284	Yes
GRSF1	ENSG00000132463	Yes
GTPBP10	ENSG00000105793	Yes
GTPBP3	ENSG00000130299	Yes
GUF1	ENSG00000151806	Yes
HARS2	ENSG00000112855	Yes
HEMK1	ENSG00000114735	Yes
HSD17B10	ENSG00000072506	No
HSPD1	ENSG00000144381	Yes
HSPE1	ENSG00000115541	Yes
HTRA2	ENSG00000115317	Yes
IARS2	ENSG00000067704	Yes
IDE	ENSG00000119912	Yes
IMMP1L	ENSG00000148950	Yes
IMMP2L	ENSG00000184903	Yes
KARS1	ENSG00000065427	Yes
LACTB	ENSG00000103642	Yes
LACTB2	ENSG00000147592	Yes
LAP3	ENSG00000002549	Yes
LARS2	ENSG00000011376	Yes
LIG3	ENSG00000005156	Yes
LONP1	ENSG00000196365	Yes
LRPPRC	ENSG00000138095	Yes
MAIP1	ENSG00000162972	Yes
MALSU1	ENSG00000156928	Yes
MARS2	ENSG00000247626	Yes
METAP1D	ENSG00000172878	Yes
METTL15	ENSG00000169519	Yes
METTL17	ENSG00000165792	Yes
METTL4	ENSG00000101574	Yes
METTL5	ENSG00000138382	Yes
METTL8	ENSG00000123600	Yes
MGME1	ENSG00000125871	Yes
MIEF1	ENSG00000100335	Yes
MIPEP	ENSG00000027001	Yes
MPV17L2	ENSG00000254858	Yes
MRM1	ENSG00000278619	Yes
MRM2	ENSG00000122687	Yes
MRM3	ENSG00000171861	Yes
MRPL1	ENSG00000169288	Yes
MRPL10	ENSG00000159111	Yes
MRPL11	ENSG00000174547	Yes
MRPL12	ENSG00000262814	Yes
MRPL13	ENSG00000172172	Yes
MRPL14	ENSG00000180992	Yes
MRPL15	ENSG00000137547	Yes
MRPL16	ENSG00000166902	Yes
MRPL17	ENSG00000158042	Yes
MRPL18	ENSG00000112110	Yes
MRPL19	ENSG00000115364	Yes
MRPL2	ENSG00000112651	Yes
MRPL20	ENSG00000242485	Yes
MRPL21	ENSG00000197345	Yes
MRPL22	ENSG00000082515	Yes
MRPL23	ENSG00000214026	Yes
MRPL24	ENSG00000143314	Yes
MRPL27	ENSG00000108826	Yes
MRPL28	ENSG00000086504	Yes
MRPL3	ENSG00000114686	Yes
MRPL30	ENSG00000185414	Yes
MRPL32	ENSG00000106591	Yes
MRPL33	ENSG00000243147	Yes
MRPL34	ENSG00000130312	Yes
MRPL35	ENSG00000132313	Yes
MRPL36	ENSG00000171421	Yes
MRPL37	ENSG00000116221	Yes
MRPL38	ENSG00000204316	Yes
MRPL39	ENSG00000154719	Yes
MRPL4	ENSG00000105364	Yes
MRPL40	ENSG00000185608	Yes
MRPL41	ENSG00000182154	Yes
MRPL42	ENSG00000198015	Yes
MRPL43	ENSG00000055950	Yes
MRPL44	ENSG00000135900	Yes
MRPL45	ENSG00000278845	Yes
MRPL46	ENSG00000259494	Yes
MRPL47	ENSG00000136522	Yes
MRPL48	ENSG00000175581	Yes
MRPL49	ENSG00000149792	Yes
MRPL50	ENSG00000136897	Yes
MRPL51	ENSG00000111639	Yes
MRPL52	ENSG00000172590	Yes
MRPL53	ENSG00000204822	Yes
MRPL54	ENSG00000183617	Yes
MRPL55	ENSG00000162910	Yes
MRPL57	ENSG00000173141	Yes
MRPL58	ENSG00000167862	Yes
MRPL9	ENSG00000143436	Yes
MRPS10	ENSG00000048544	Yes
MRPS11	ENSG00000181991	Yes
MRPS12	ENSG00000128626	Yes
MRPS14	ENSG00000120333	Yes
MRPS15	ENSG00000116898	Yes
MRPS16	ENSG00000182180	Yes
MRPS17	ENSG00000239789	Yes
MRPS18A	ENSG00000096080	Yes
MRPS18B	ENSG00000204568	Yes
MRPS18C	ENSG00000163319	Yes
MRPS2	ENSG00000122140	Yes
MRPS21	ENSG00000266472	Yes
MRPS22	ENSG00000175110	Yes
MRPS23	ENSG00000181610	Yes
MRPS24	ENSG00000062582	Yes
MRPS25	ENSG00000131368	Yes
MRPS26	ENSG00000125901	Yes
MRPS27	ENSG00000113048	Yes
MRPS28	ENSG00000147586	Yes
MRPS30	ENSG00000112996	Yes
MRPS31	ENSG00000102738	Yes
MRPS33	ENSG00000090263	Yes
MRPS34	ENSG00000074071	Yes
MRPS35	ENSG00000061794	Yes
MRPS36	NA	NA
MRPS5	ENSG00000144029	Yes
MRPS6	ENSG00000243927	Yes
MRPS7	ENSG00000125445	Yes
MRPS9	ENSG00000135972	Yes
MRRF	ENSG00000148187	Yes
MTERF1	ENSG00000127989	Yes
MTERF2	ENSG00000120832	Yes
MTERF3	ENSG00000156469	Yes
MTERF4	ENSG00000122085	Yes
MTFMT	ENSG00000103707	Yes
MTG1	ENSG00000148824	Yes
MTG2	ENSG00000101181	Yes
MTIF2	ENSG00000085760	Yes
MTIF3	ENSG00000122033	Yes
MTO1	ENSG00000135297	Yes
MTPAP	ENSG00000107951	Yes
MTRES1	ENSG00000130349	Yes
MTRF1	ENSG00000120662	Yes
MTRF1L	ENSG00000112031	Yes
MTX1	ENSG00000173171	Yes
MTX2	ENSG00000128654	Yes
MUL1	ENSG00000090432	Yes
MUTYH	ENSG00000132781	Yes
MYG1	ENSG00000139637	Yes
NARS2	ENSG00000137513	Yes
NGRN	ENSG00000182768	Yes
NLN	ENSG00000123213	Yes
NOA1	ENSG00000084092	Yes
NRDC	ENSG00000078618	Yes
NSUN2	ENSG00000037474	Yes
NSUN3	ENSG00000178694	Yes
