hgnc_symbol	ensembl_gene_id	Exists_in_GTEx_v8_mtDNA_trans_tests
AADAT	ENSG00000109576	Yes
AASS	ENSG00000008311	Yes
ABAT	ENSG00000183044	Yes
ABCB10	ENSG00000135776	Yes
ABCB6	ENSG00000115657	Yes
ABCB7	ENSG00000131269	No
ABHD10	ENSG00000144827	Yes
ABHD11	ENSG00000106077	Yes
ACAA1	ENSG00000060971	Yes
ACAA2	ENSG00000167315	Yes
ACACA	ENSG00000278540	Yes
ACACB	ENSG00000076555	Yes
ACAD10	ENSG00000111271	Yes
ACAD11	ENSG00000240303	Yes
ACAD8	ENSG00000151498	Yes
ACAD9	ENSG00000177646	Yes
ACADL	ENSG00000115361	Yes
ACADM	ENSG00000117054	Yes
ACADS	ENSG00000122971	Yes
ACADSB	ENSG00000196177	Yes
ACADVL	ENSG00000072778	Yes
ACAT1	ENSG00000075239	Yes
ACLY	ENSG00000131473	Yes
ACO2	ENSG00000100412	Yes
ACOD1	ENSG00000102794	No
ACOT11	ENSG00000162390	Yes
ACOT13	ENSG00000112304	Yes
ACOT2	ENSG00000119673	Yes
ACOT7	ENSG00000097021	Yes
ACOT9	ENSG00000123130	No
ACP6	ENSG00000162836	Yes
ACSF2	ENSG00000167107	Yes
ACSF3	ENSG00000176715	Yes
ACSL1	ENSG00000151726	Yes
ACSL6	ENSG00000164398	Yes
ACSM1	ENSG00000166743	Yes
ACSM2A	ENSG00000183747	Yes
ACSM2B	ENSG00000066813	Yes
ACSM3	ENSG00000005187	Yes
ACSM4	ENSG00000215009	No
ACSM5	ENSG00000183549	Yes
ACSS1	ENSG00000154930	Yes
ACSS3	ENSG00000111058	Yes
ADHFE1	ENSG00000147576	Yes
AGK	ENSG00000006530	Yes
AGMAT	ENSG00000116771	Yes
AGPAT4	ENSG00000026652	Yes
AGPAT5	ENSG00000155189	Yes
AGXT	ENSG00000172482	Yes
AGXT2	ENSG00000113492	No
AIFM1	ENSG00000156709	No
AIFM2	ENSG00000042286	Yes
AIFM3	ENSG00000183773	Yes
AK2	ENSG00000004455	Yes
AK3	ENSG00000147853	Yes
AK4	ENSG00000162433	Yes
AKR1B10	ENSG00000198074	Yes
AKR7A2	ENSG00000053371	Yes
ALAS1	ENSG00000023330	Yes
ALAS2	ENSG00000158578	No
ALDH18A1	ENSG00000059573	Yes
ALDH1B1	ENSG00000137124	Yes
ALDH1L1	ENSG00000144908	Yes
ALDH1L2	ENSG00000136010	Yes
ALDH2	ENSG00000111275	Yes
ALDH3A2	ENSG00000072210	Yes
ALDH4A1	ENSG00000159423	Yes
ALDH5A1	ENSG00000112294	Yes
ALDH6A1	ENSG00000119711	Yes
ALDH7A1	ENSG00000164904	Yes
ALDH9A1	ENSG00000143149	Yes
AMACR	ENSG00000242110	Yes
AMT	ENSG00000145020	Yes
ANTKMT	ENSG00000103254	Yes
ARG2	ENSG00000081181	Yes
ATP5F1A	ENSG00000152234	Yes
ATP5F1B	ENSG00000110955	Yes
ATP5F1C	ENSG00000165629	Yes
ATP5F1D	ENSG00000099624	Yes
ATP5F1E	ENSG00000124172	Yes
ATP5IF1	ENSG00000130770	Yes
ATP5MC1	ENSG00000159199	Yes
ATP5MC2	ENSG00000135390	Yes
ATP5MC3	ENSG00000154518	Yes
ATP5MD	NA	NA
ATP5ME	ENSG00000169020	Yes
ATP5MF	ENSG00000241468	Yes
ATP5MG	ENSG00000167283	Yes
ATP5MPL	NA	NA
ATP5PB	ENSG00000116459	Yes
ATP5PD	ENSG00000167863	Yes
ATP5PF	ENSG00000154723	Yes
ATP5PO	ENSG00000241837	Yes
ATPAF1	ENSG00000123472	Yes
ATPAF2	ENSG00000171953	Yes
ATPSCKMT	ENSG00000150756	Yes
AUH	ENSG00000148090	Yes
BCAT2	ENSG00000105552	Yes
BCKDHA	ENSG00000248098	Yes
BCKDHB	ENSG00000083123	Yes
BCKDK	ENSG00000103507	Yes
BCO2	ENSG00000197580	Yes
BCS1L	ENSG00000074582	Yes
BDH1	ENSG00000161267	Yes
BOLA1	ENSG00000178096	Yes
BOLA3	ENSG00000163170	Yes
BPHL	ENSG00000137274	Yes
CA5A	ENSG00000174990	Yes
CA5B	ENSG00000169239	No
CAT	ENSG00000121691	Yes
CBR3	ENSG00000159231	Yes
CBR4	ENSG00000145439	Yes
CEP89	ENSG00000121289	Yes
CHCHD7	ENSG00000170791	Yes
CHDH	ENSG00000016391	Yes
CHPT1	ENSG00000111666	Yes
CISD1	ENSG00000122873	Yes
CISD3	ENSG00000277972	Yes
CKMT1A	ENSG00000223572	Yes
CKMT1B	ENSG00000237289	Yes
CKMT2	ENSG00000131730	Yes
CLYBL	ENSG00000125246	Yes
CMC1	ENSG00000187118	Yes
CMC2	ENSG00000103121	Yes
CMPK2	ENSG00000134326	Yes
COA1	ENSG00000106603	Yes
COA3	ENSG00000183978	Yes
COA4	ENSG00000181924	Yes
COA5	ENSG00000183513	Yes
COA6	ENSG00000168275	Yes
COA7	ENSG00000162377	Yes
COA8	ENSG00000256053	Yes
COASY	ENSG00000068120	Yes
COMT	ENSG00000093010	Yes
COQ10A	ENSG00000135469	Yes
COQ10B	ENSG00000115520	Yes
COQ2	ENSG00000173085	Yes
COQ3	ENSG00000132423	Yes
COQ4	ENSG00000167113	Yes
COQ5	ENSG00000110871	Yes
COQ6	ENSG00000119723	Yes
COQ7	ENSG00000167186	Yes
COQ8A	ENSG00000163050	Yes
COQ8B	ENSG00000123815	Yes
COQ9	ENSG00000088682	Yes
COX10	ENSG00000006695	Yes
COX11	ENSG00000166260	Yes
COX14	ENSG00000178449	Yes
COX15	ENSG00000014919	Yes
COX16	ENSG00000133983	Yes
COX17	ENSG00000138495	Yes
COX18	ENSG00000163626	Yes
COX19	ENSG00000240230	Yes
COX20	ENSG00000203667	Yes
COX4I1	ENSG00000131143	Yes
COX4I2	ENSG00000131055	Yes
COX5A	ENSG00000178741	Yes
COX5B	ENSG00000135940	Yes
COX6A1	ENSG00000111775	Yes
COX6A2	ENSG00000156885	Yes
COX6B1	ENSG00000126267	Yes
COX6B2	ENSG00000160471	Yes
COX6C	ENSG00000164919	Yes
COX7A1	ENSG00000161281	Yes
COX7A2	ENSG00000112695	Yes
