hgnc_symbol	ensembl_gene_id	Exists_in_GTEx_v8_mtDNA_trans_tests
ACAD9	ENSG00000177646	Yes
AFG1L	ENSG00000135537	Yes
AFG3L2	ENSG00000141385	Yes
AGK	ENSG00000006530	Yes
AIFM1	ENSG00000156709	No
ATAD1	ENSG00000138138	Yes
ATP23	ENSG00000166896	Yes
ATP5F1A	ENSG00000152234	Yes
ATP5F1B	ENSG00000110955	Yes
ATP5F1C	ENSG00000165629	Yes
ATP5F1D	ENSG00000099624	Yes
ATP5F1E	ENSG00000124172	Yes
ATP5IF1	ENSG00000130770	Yes
ATP5MC1	ENSG00000159199	Yes
ATP5MC2	ENSG00000135390	Yes
ATP5MC3	ENSG00000154518	Yes
ATP5MD	NA	NA
ATP5ME	ENSG00000169020	Yes
ATP5MF	ENSG00000241468	Yes
ATP5MG	ENSG00000167283	Yes
ATP5MPL	NA	NA
ATP5PB	ENSG00000116459	Yes
ATP5PD	ENSG00000167863	Yes
ATP5PF	ENSG00000154723	Yes
ATP5PO	ENSG00000241837	Yes
ATPAF1	ENSG00000123472	Yes
ATPAF2	ENSG00000171953	Yes
ATPSCKMT	ENSG00000150756	Yes
BCS1L	ENSG00000074582	Yes
CASP3	ENSG00000164305	Yes
CASP8	ENSG00000064012	Yes
CASP9	ENSG00000132906	Yes
CEP89	ENSG00000121289	Yes
CHCHD4	ENSG00000163528	Yes
CLPB	ENSG00000162129	Yes
CLPP	ENSG00000125656	Yes
CLPX	ENSG00000166855	Yes
CMC1	ENSG00000187118	Yes
CMC2	ENSG00000103121	Yes
COA1	ENSG00000106603	Yes
COA3	ENSG00000183978	Yes
COA4	ENSG00000181924	Yes
COA5	ENSG00000183513	Yes
COA6	ENSG00000168275	Yes
COA7	ENSG00000162377	Yes
COA8	ENSG00000256053	Yes
COX10	ENSG00000006695	Yes
COX11	ENSG00000166260	Yes
COX14	ENSG00000178449	Yes
COX15	ENSG00000014919	Yes
COX16	ENSG00000133983	Yes
COX17	ENSG00000138495	Yes
COX18	ENSG00000163626	Yes
COX19	ENSG00000240230	Yes
COX20	ENSG00000203667	Yes
COX4I1	ENSG00000131143	Yes
COX4I2	ENSG00000131055	Yes
COX5A	ENSG00000178741	Yes
COX5B	ENSG00000135940	Yes
COX6A1	ENSG00000111775	Yes
COX6A2	ENSG00000156885	Yes
COX6B1	ENSG00000126267	Yes
COX6B2	ENSG00000160471	Yes
COX6C	ENSG00000164919	Yes
COX7A1	ENSG00000161281	Yes
COX7A2	ENSG00000112695	Yes
COX7A2L	ENSG00000115944	Yes
COX7B	ENSG00000131174	No
COX7B2	ENSG00000170516	No
COX7C	ENSG00000127184	Yes
COX8A	ENSG00000176340	Yes
COX8C	ENSG00000187581	Yes
CYC1	ENSG00000179091	Yes
CYCS	ENSG00000172115	Yes
DMAC1	ENSG00000137038	Yes
DMAC2	ENSG00000105341	Yes
