hgnc_symbol	ensembl_gene_id	Exists_in_GTEx_v8_mtDNA_trans_tests
ACOD1	ENSG00000102794	No
ADCY10	ENSG00000143199	Yes
AHCYL1	ENSG00000168710	Yes
AIFM1	ENSG00000156709	No
AIFM2	ENSG00000042286	Yes
AIFM3	ENSG00000183773	Yes
AKAP1	ENSG00000121057	Yes
AKAP10	ENSG00000108599	Yes
APOO	ENSG00000184831	No
APOOL	ENSG00000155008	No
ARL2	ENSG00000213465	Yes
ARMC10	ENSG00000170632	Yes
ARMCX1	ENSG00000126947	No
ARMCX3	ENSG00000102401	No
ATAD3A	ENSG00000197785	Yes
ATAD3B	ENSG00000160072	Yes
ATP5MD	NA	NA
ATP5ME	ENSG00000169020	Yes
ATP5MG	ENSG00000167283	Yes
BAD	ENSG00000002330	Yes
BAK1	ENSG00000030110	Yes
BAX	ENSG00000087088	Yes
BBC3	ENSG00000105327	Yes
BCL2	ENSG00000171791	Yes
BCL2A1	ENSG00000140379	Yes
BCL2L1	ENSG00000171552	Yes
BCL2L10	ENSG00000137875	Yes
BCL2L11	ENSG00000153094	Yes
BCL2L13	ENSG00000099968	Yes
BCL2L2	ENSG00000129473	Yes
BID	ENSG00000015475	Yes
BIK	ENSG00000100290	Yes
BNIP3	ENSG00000176171	Yes
BNIP3L	ENSG00000104765	Yes
BOK	ENSG00000176720	Yes
C1QBP	ENSG00000108561	Yes
CASP3	ENSG00000164305	Yes
CASP8	ENSG00000064012	Yes
CASP9	ENSG00000132906	Yes
CHCHD2	ENSG00000106153	Yes
CHCHD3	ENSG00000106554	Yes
CHCHD6	ENSG00000159685	Yes
CYCS	ENSG00000172115	Yes
DIABLO	ENSG00000184047	Yes
DNAJC11	ENSG00000007923	Yes
DNM1L	ENSG00000087470	Yes
EFHD1	ENSG00000115468	Yes
ENDOG	ENSG00000167136	Yes
FIS1	ENSG00000214253	Yes
FKBP8	ENSG00000105701	Yes
FUNDC1	ENSG00000069509	No
FUNDC2	ENSG00000165775	No
GHITM	ENSG00000165678	Yes
HTRA2	ENSG00000115317	Yes
IFI27	ENSG00000165949	Yes
IMMT	ENSG00000132305	Yes
LETM1	ENSG00000168924	Yes
MARCHF5	ENSG00000198060	Yes
MAVS	ENSG00000088888	Yes
MCL1	ENSG00000143384	Yes
MCU	ENSG00000156026	Yes
MCUB	ENSG00000005059	Yes
MFF	ENSG00000168958	Yes
MFN1	ENSG00000171109	Yes
MFN2	ENSG00000116688	Yes
MGARP	ENSG00000137463	Yes
MICOS10	ENSG00000173436	Yes
MICOS13	ENSG00000174917	Yes
MICU1	ENSG00000107745	Yes
MICU2	ENSG00000165487	Yes
MICU3	ENSG00000155970	Yes
MIEF1	ENSG00000100335	Yes
MIEF2	ENSG00000177427	Yes
MIGA1	ENSG00000180488	Yes
MIGA2	ENSG00000148343	Yes
MTCH2	ENSG00000109919	Yes
MTFP1	ENSG00000242114	Yes
MTFR1	ENSG00000066855	Yes
MTFR2	ENSG00000146410	Yes
MTX1	ENSG00000173171	Yes
MTX2	ENSG00000128654	Yes
MTX3	ENSG00000177034	Yes
MUL1	ENSG00000090432	Yes
MYO19	ENSG00000278259	Yes
NBR1	ENSG00000188554	Yes
NIPSNAP1	ENSG00000184117	Yes
NIPSNAP2	ENSG00000146729	Yes
NLRX1	ENSG00000160703	Yes
OMA1	ENSG00000162600	Yes
OPA1	ENSG00000198836	Yes
PARK7	ENSG00000116288	Yes
PARL	ENSG00000175193	Yes
PDE2A	ENSG00000186642	Yes
PGAM5	ENSG00000247077	Yes
PIGBOS1	ENSG00000225973	Yes
PINK1	ENSG00000158828	Yes
PLD6	ENSG00000179598	Yes
PMAIP1	ENSG00000141682	Yes
PPIF	ENSG00000108179	Yes
PRKACA	ENSG00000072062	Yes
PRKN	ENSG00000185345	Yes
RAB24	ENSG00000169228	Yes
RHOT1	ENSG00000126858	Yes
RHOT2	ENSG00000140983	Yes
RMDN3	ENSG00000137824	Yes
RTL10	ENSG00000215012	Yes
SAMM50	ENSG00000100347	Yes
SEPTIN4	ENSG00000108387	Yes
SLC25A12	ENSG00000115840	Yes
SLC25A13	ENSG00000004864	Yes
SLC25A23	ENSG00000125648	Yes
SLC25A24	ENSG00000085491	Yes
SLC25A25	ENSG00000148339	Yes
SLC25A3	ENSG00000075415	Yes
SLC25A31	ENSG00000151475	Yes
SLC25A4	ENSG00000151729	Yes
SLC25A46	ENSG00000164209	Yes
SLC25A5	ENSG00000005022	No
SLC25A6	ENSG00000169100	No
SLC8B1	ENSG00000089060	Yes
SMDT1	ENSG00000183172	Yes
SNAP29	ENSG00000099940	Yes
SPHK2	ENSG00000063176	Yes
SPHKAP	ENSG00000153820	Yes
SPIRE1	ENSG00000134278	Yes
STX17	ENSG00000136874	Yes
STYXL1	ENSG00000127952	Yes
SYNJ2BP	ENSG00000213463	Yes
TMEM11	ENSG00000178307	Yes
TOMM20	ENSG00000173726	Yes
TOMM7	ENSG00000196683	Yes
USP30	ENSG00000135093	Yes
VDAC1	ENSG00000213585	Yes
VDAC3	ENSG00000078668	Yes
VPS13D	ENSG00000048707	Yes
